Joint_angle	INT_16_STR_PRE_L	INT_20_STR_PRE_L	INT_16_CON_PRE_R	INT_20_CON_PRE_R	INT_16_STR_POST_L	INT_20_STR_POST_L	INT_16_CON_POST_R	INT_20_CON_POST_R
0	-16.4224159608633	-7.30743637440652	-19.3543721236145	17.9779545013047	NaN	-12.0385766309586	NaN	-11.5191713792995
0.5	-16.0074828968194	-6.88190530794533	-19.0384010682021	18.1953864558285	NaN	-11.8466760387389	NaN	-11.2919265733697
1	-15.5840268804187	-6.50397893543364	-18.7817680251063	18.3569488293011	NaN	-11.6456116112582	NaN	-11.1426392395017
1.5	-14.9668778535999	-6.11584747874959	-18.5104784300268	18.5448535021145	NaN	-11.3575842008356	NaN	-10.9747883324231
2	-14.5567701941089	-5.73599689191477	-18.1289299564659	18.6271801177713	NaN	-11.0061921924214	NaN	-10.7860278964484
2.5	-14.0500714012442	-5.44810896797984	-17.7886411034233	18.8258968735727	NaN	-10.7086310362078	NaN	-10.6685926962157
3	-13.8400393066528	-5.06027595500117	-17.5573807507847	19.0024208004225	NaN	-10.4037864725115	NaN	-10.4411854999776
3.5	-13.6384645144828	-4.68074453230942	-17.2636892294386	19.1836051905967	NaN	-10.0839389217175	NaN	-10.1103469223897
4	-12.6246757245677	-4.36150173855079	-16.9233730991485	19.3890338253889	NaN	-9.65277099748064	NaN	-9.82023739905973
4.5	-11.762939104344	-3.9908506899307	-16.6456957202616	19.6557486594639	NaN	-9.20560394819218	NaN	-9.57441064310817
5	-11.3501174982165	-3.68483089761977	-16.3924872874903	19.748922175585	NaN	-8.79744604383048	NaN	-9.33331466120191
5.5	-10.9020966190377	-3.30074962805888	-16.1700420885587	19.8888627064025	NaN	-8.42877487730303	NaN	-9.06771472157213
6	-10.7674161343846	-2.96041161211488	-15.8687260190781	20.1516589340113	NaN	-8.10415597407892	NaN	-8.81839544154275
6.5	-10.6184687730864	-2.51372157687837	-15.5645560920466	20.2371837763068	NaN	-7.78015385183431	NaN	-8.59950565417297
