Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L
0	419.640147345598	457.275021172535	236.219980745926	520.041742781741	422.732816519949	431.832930570509	277.379261134503	417.131658389994
0.5	435.181653006791	468.47271044692	245.457455607467	528.856898800532	434.274893423023	440.777959220956	283.841618148026	421.566956431364
1	451.152655320174	479.33005144201	254.973218124748	537.783355794843	446.050117163349	450.024205982799	289.77918826244	426.347115968432
1.5	467.294341453525	489.69376003708	264.782170895458	546.416665284681	458.095802608058	459.06277919973	295.651959578189	431.478401344267
2	483.551570508041	499.741966761249	274.884255440049	554.867839824613	470.348015513373	468.603696136139	301.47381729059	436.939782002972
2.5	500.162240861407	509.715645446895	285.305290414528	563.121627709488	482.667994200491	478.640494013935	307.282834738747	442.697609494409
3	517.464807749168	519.693816708532	296.125592058032	571.225450286978	494.918889525492	489.119439012895	313.150127446913	448.726889260466
3.5	535.583510753158	529.542271645359	307.471694176596	579.291629056342	507.059976534281	500.003020322178	319.162379779359	455.034116618387
4	554.308847533998	539.033708933279	319.468956418291	587.455425982826	519.185442240393	511.307713828273	325.397028165581	461.670440710442
4.5	573.287297804771	548.026532094882	332.185870295505	595.817926353518	531.485162873823	523.097708903306	331.901502616501	468.733640417023
5	592.32894697707	556.55443921844	345.607052107449	604.402598539271	544.145897128603	535.445694704719	338.685703608549	476.35370894836
5.5	611.534303171259	564.802779723746	359.645479289085	613.152712662003	557.257848359979	548.393733865041	345.729032739237	484.658183160222
6	631.127185201955	572.993915276983	374.181835708983	621.977548767503	570.799825474598	561.931017886147	352.999350431791	493.738071418043
6.5	651.222806166117	581.274327846009	389.11031290606	630.815048421037	584.712499652194	575.998901913016	360.473019221649	503.629217848604
7	671.763724452335	589.686421169992	404.36664914133	639.679992363019	599.032541134094	590.518131979735	368.151032221578	514.315916724425
