Joint_angle	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_30_CON_POST_R	INT_31_CON_POST_L
0	492.26245812848	540.985688427256	383.292840797024	490.162990184732	294.628887074867	293.706859462128	423.479695249326	283.515666078067	451.908728722313	428.824221814947	263.636053306031	523.779884780781	277.677110057016	257.491211501363	444.17460445212	293.806982161921	560.249572468399	580.295091015186	312.144894415015	512.127603192119	314.165911294165	263.221464084564	455.371770190982	231.40086072865	429.428766807203	444.83056678036	265.010650846358	483.893513156862	257.786354745458	215.23090034116	354.078101105464	244.515522495329
0.5	507.808044623216	552.349665258146	393.408319805185	507.786957139048	299.950225003612	300.415756116335	430.616126566437	290.068358713611	466.750681983151	435.791023271365	267.008056457933	541.53396769507	281.182488947513	262.685238053142	452.887518218786	304.38116345531	590.114171010631	592.403630352788	317.70038558538	530.030186896436	321.156449127237	268.083583054929	466.263394603463	235.536775305807	439.999384673464	457.40873199125	268.91426011181	502.110637543823	262.227999371917	218.92255010288	360.133581393706	249.194303852128
1	524.138061122673	563.769735042841	404.530448027077	526.577733344884	305.49363216109	307.618273834993	438.107098908347	296.606891587185	481.573738565169	442.80494122112	270.517190388795	558.881749286853	284.91342036106	267.328651593311	461.957254107021	314.863276136251	621.700620215309	604.21331905753	323.921637635049	548.942286022211	328.188756472764	273.216681854797	477.199873874067	239.787408789131	451.336831785199	470.060230823832	272.86525298908	520.667341581302	266.76989100155	222.79803462294	366.229194905257	253.839676260848
1.5	541.386249665858	575.070706507889	416.53249085674	546.749586515576	310.862487118497	315.430082409994	445.987791153786	303.031414847979	496.305748825861	449.902782979977	274.085852888324	575.746189928766	288.622228480724	271.889784864285	471.327844294993	325.312546647617	655.631680321628	615.571160236124	330.770891622653	567.785340891398	335.32084850294	278.522971003342	488.094675649151	244.195894376454	463.513344716792	483.469718858656	276.846080428846	539.455341920722	271.405791377335	226.851409553136	372.346543356815	258.561014121616
2	559.498571701531	586.20222951061	429.203173225071	568.478374509778	316.448904079694	323.813604608795	454.231440974626	309.296601904462	510.876999406433	457.079881654852	277.676962397264	592.188089461872	292.314587864687	276.383749551276	480.90205635583	335.681934324521	692.276619292752	626.375573107099	338.265235927724	586.556970127057	342.646131861904	283.852869562844	498.965726796594	248.760974501221	476.634077385258	496.90640424696	280.82622748327	558.396130149492	276.102155704915	231.04087822666	378.424477113004	263.396353945957
2.5	578.374408484085	597.205328297809	442.569067636933	592.234839905293	322.191768892577	332.810014573227	462.86537992372	315.410759432747	525.31968060355	464.346447401036	281.316185138226	608.317046077444	296.015580232206	280.862113240726	490.614214106595	346.368941341762	731.42148982317	636.792002627431	346.542381477224	605.115423718258	350.20408126407	289.172110409285	509.961477512473	253.42683539008	490.786359877073	510.228752604346	284.77036223923	577.47534325765	280.841547641494	235.322289524288	384.439476991425	268.365058008684
3	598.043820780324	608.215502180466	456.778927998947	618.292652284868	328.24093070305	342.348611150107	471.931323065006	321.424186901522	539.725633421158	471.651831047426	285.073750506682	624.231933353791	299.751096823418	285.439881588758	500.438513180932	357.595217381026	772.156998517001	646.680865461045	355.769298371634	623.332189382316	357.955042690058	294.587149187971	521.091455712725	258.119502414395	506.11218165884	523.490831475995	288.696769099795	596.584838870688	285.636906773107	239.687115390579	390.39460667401	273.437474556073
3.5	618.633457375919	619.441100595546	471.839005328329	646.64485554205	334.794907432474	352.435222198862	481.54625621252	327.404197535205	554.233005878705	478.944616209591	289.064128064751	639.999626354956	303.573317819845	290.201855289737	510.408693970342	369.434615719607	813.52384298609	656.382843196662	366.149200875249	641.303230830514	365.85328003576	300.261357762631	532.276145887889	262.780811258564	522.794672332853	536.711037284609	292.670121467065	615.76197253337	290.532502424922	244.160012809762	396.316427289875	278.623051940823
4	640.204103456264	630.943639806572	487.626255431195	676.92090555147	341.972538075042	363.283140407775	491.862630310456	333.379264230792	568.964395629801	486.245466073673	293.385539080329	655.740176580998	307.545832218616	295.217958993344	520.572081814664	381.932147322666	855.023794553277	665.362108394027	377.820099969237	659.129597349764	373.873016360547	306.298667759893	543.490777812494	267.384044343625	541.009160803377	549.907379895181	296.775665233117	635.157641096149	295.594250016615	248.819179944465	402.268297416905	283.952016099148
4.5	663.040828521442	642.773296712924	503.791586973576	707.914208860128	349.727903596663	375.105633940931	502.968220984277	339.329263377506	583.935549278875	493.557794308168	298.062286197153	671.435549388611	311.693447157252	300.512737993017	530.95205207562	395.162904591749	896.368846371288	673.322624629271	390.815950425397	677.145800953223	381.998019282072	312.767349738499	554.562415402611	271.954636114888	560.902478956814	563.160898017481	301.103061063834	654.932450470022	300.850267893969	253.724783269926	408.326679173396	289.46127099302
