Joint_angle	INT_16_STR_PRE_L	INT_20_STR_PRE_L	INT_16_CON_PRE_R	INT_20_CON_PRE_R	INT_16_STR_POST_L	INT_20_STR_POST_L	INT_16_CON_POST_R	INT_20_CON_POST_R
0	14.1048067098533	16.5110765403327	16.8333238806392	15.6150454783645	11.2447264310889	15.4085125120701	9.42907514146038	14.5121388784926
0.5	13.9777670442169	16.3976404887196	16.7617068075299	15.5739694996165	11.112107097415	15.2910297350009	9.39780612385239	14.457255662818
1	13.8875402771879	16.3153456659276	16.5845069085255	15.5773512505348	11.0319562693981	15.2951009887464	9.325438447127	14.4558435164728
1.5	13.8124943898066	16.2692799091271	16.4539398239803	15.5294541762662	10.9846093476332	15.2812326123981	9.22041586197444	14.4353259795502
2	13.7280057143196	16.2784523561996	16.3453077673411	15.5073827529294	10.9757857092981	15.3486961459549	9.13070025907959	14.4609596742363
2.5	13.578863492471	16.1997309506706	16.2486901861533	15.5085887839343	10.946217395208	15.379410558968	9.04442345479378	14.4641073092756
3	13.4924829538689	16.2026767815711	16.1493021813561	15.51775329486	10.9160908834995	15.3984415696719	8.95722959523346	14.45660737862
3.5	13.4392739176315	16.2124398780197	16.0449733284371	15.5048629249486	10.8706174305891	15.3542618109173	8.8894738596843	14.3706130670797
4	13.3560812490174	16.0455959217676	15.892211592727	15.4815478615969	10.8490878016265	15.35011581356	8.84773786051704	14.3233149767725
4.5	13.2486004706593	15.8895997006627	15.7901613853946	15.5063249938603	10.7940180231766	15.3900297128289	8.7927878448295	14.2858195699737
5	13.1795668469193	15.8505342783968	15.7270303163529	15.4808208624944	10.7857868795145	15.4203697858041	8.71530660056374	14.2326738949981
5.5	13.0808460796094	15.8012607032068	15.7063881702716	15.4229299581332	10.7290647624421	15.4445965011789	8.67230886571282	14.1941192096861
6	13.0537362925061	15.7485755063299	15.6425113936226	15.4226511732623	10.7279098031677	15.4484820131047	8.62841016493658	14.1382219941221
6.5	12.9441868923844	15.7336802578562	15.5705080470151	15.3780680807947	10.7264833220372	15.4004046676692	8.54804671235841	14.1284572540339
