Joint_angle	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_15_CON_POST_L	INT_16_CON_POST_R
0	14.114380927875	-13.0907705671765	10.2873644456066	-16.97846702583	18.9239348304277	NaN	18.8788102570116	NaN
0.5	14.3729949768864	-12.5964930925329	10.6781638778169	-16.6197948359548	19.0204482138977	NaN	19.4062171228018	NaN
1	14.5989914496657	-12.1215159213186	11.1731233565409	-16.2779811655143	19.1015229723256	NaN	19.8945859037953	NaN
1.5	14.8670160853906	-11.4504624622745	11.7011593822219	-15.9415364870756	19.35305859935	NaN	20.3854858405255	NaN
2	15.1157431965397	-10.9912346983566	12.1289551778182	-15.5008218742631	19.5872928899894	NaN	20.905909002	NaN
2.5	15.3312717329809	-10.4067587976142	12.619381592324	-15.107767032226	19.7175955620142	NaN	21.3505695145264	NaN
3	15.5576359730726	-10.1552211999366	13.0787033348427	-14.8260545800391	19.9056981839992	NaN	21.7370270489852	NaN
3.5	15.8078756379079	-9.92499789014685	13.5825719207144	-14.4777052678287	20.0757694307364	NaN	22.2744355136347	NaN
4	16.0713904805023	-8.83609355404847	14.088477595925	-14.0603880442698	20.2581443306344	NaN	22.7442560604546	NaN
4.5	16.356379597836	-7.89615098871982	14.6610438581531	-13.729552388024	20.3530346107782	NaN	23.1495216955479	NaN
5	16.654728148555	-7.43905562797268	15.237287665504	-13.4405756610928	20.455063248777	NaN	23.5033800732961	NaN
5.5	16.9412218631888	-6.93387195962941	15.7062164404504	-13.2014773066235	20.4419223692448	NaN	23.9634304433167	NaN
6	17.2488640052329	-6.78295638911703	16.2693451592054	-12.8622354833878	20.4346525229958	NaN	24.4235163052721	NaN
6.5	17.4838197044008	-6.58613595004564	16.8222413293129	-12.5164919134749	20.4305970784738	NaN	24.9771490483496	NaN
