Joint_angle	INT_16_STR_PRE_L	INT_20_STR_PRE_L	INT_16_CON_PRE_R	INT_20_CON_PRE_R	INT_16_STR_POST_L	INT_20_STR_POST_L	INT_16_CON_POST_R	INT_20_CON_POST_R
0	-6.24605238209947	-2.8062067875994	-8.56630399453003	9.54279346230374	NaN	-5.65413603774611	NaN	NaN
0.5	-6.01677850459257	-2.58648129003139	-8.38629308418612	9.65017262276507	NaN	-5.51141962396615	NaN	NaN
1	-5.78990326138472	-2.39532359081789	-8.21381504526992	9.72127960801108	NaN	-5.39356088169903	NaN	NaN
1.5	-5.46937118962879	-2.20736240317402	-8.04404618182414	9.81727670000483	NaN	-5.2198086013678	NaN	NaN
2	-5.25001873030887	-2.0352842326405	-7.82166305700164	9.85961461655705	NaN	-5.02901191605574	NaN	NaN
2.5	-4.97084086626322	-1.88599737299098	-7.62332889367305	9.94786033146367	NaN	-4.86090893846063	NaN	NaN
3	-4.85069266313354	-1.70882896487259	-7.48117772918377	10.0241705552281	NaN	-4.68559482779787	NaN	NaN
3.5	-4.7407253371942	-1.53698363926004	-7.30540182721226	10.1082247438315	NaN	-4.48532322393534	NaN	NaN
4	-4.22060468497249	-1.35368376434369	-7.09482494702885	10.2057736062664	NaN	-4.22942352460174	NaN	NaN
4.5	-3.77163637442155	-1.14927765155297	-6.92788637748804	10.3182531128896	NaN	-3.97539861691078	NaN	NaN
5	-3.55330246823915	-1.00017722983999	-6.78206968417294	10.366359793273	NaN	-3.74206439088244	NaN	NaN
5.5	-3.3119989392148	-0.812942098333103	-6.66142145136874	10.4436556881857	NaN	-3.5305481760029	NaN	NaN
6	-3.23991335523544	-0.645005971289791	-6.49024115798067	10.5608863577778	NaN	-3.33978504068946	NaN	NaN
6.5	-3.14590107909081	-0.436456917186853	-6.31578010488816	10.6105051790205	NaN	-3.13575792472506	NaN	NaN
