Joint_angle	INT_16_STR_PRE_L	INT_20_STR_PRE_L	INT_16_CON_PRE_R	INT_20_CON_PRE_R	INT_16_STR_POST_L	INT_20_STR_POST_L	INT_16_CON_POST_R	INT_20_CON_POST_R
0	42.8101100965266	44.2560645030396	43.7688016173507	54.5612646182184	46.0129520025485	53.9133156113529	48.8012623438286	54.8669618276964
0.5	43.0226471105912	44.4592343107215	43.9402885882547	54.661820374227	46.1775395807232	54.0309353223362	48.9915190305881	55.0078763318535
1	43.2395497513119	44.6396752572772	44.0795710397341	54.7365381250869	46.3402466464611	54.1541717312276	49.1665211215583	55.100449407585
1.5	43.5556658258291	44.824988621271	44.2268080416715	54.8234383991229	46.529368852942	54.3307094916238	49.3376431662437	55.2045337550644
2	43.7657311711735	45.0063482839553	44.4338858447273	54.8615119890657	46.6749295454149	54.5460846814211	49.4740884161177	55.3215841014123
2.5	44.0252724268547	45.143800373238	44.6185708139391	54.9534125271212	46.8067991739165	54.7284658652875	49.6351466326029	55.3944056690767
3	44.1328550663463	45.3289712452847	44.7440827451266	55.0350495475714	46.9889777307874	54.9153111952683	49.8692533308366	55.5354208714639
3.5	44.2361057063916	45.5101785230489	44.9034779445068	55.1188418924953	47.1692759932895	55.1113521561009	50.0851717944635	55.7405738734261
4	44.7553886003619	45.6626009949289	45.0881777178991	55.2138464732276	47.3457122344075	55.3756236002242	50.3086014797042	55.9204707888431
4.5	45.1967873319729	45.8395683380926	45.2388815617424	55.3371940825423	47.5370659645296	55.6497012280741	50.5004559849894	56.0729079602086
5	45.4082428150635	45.9856774879314	45.3763053744604	55.3802840385428	47.7086721765697	55.8998693708154	50.6871451718861	56.2224115785887
5.5	45.6377280697965	46.1690570900833	45.4970330572765	55.44500233583	47.8794052037225	56.1258353022034	50.8374728954075	56.3871101011531
6	45.7067141076455	46.3315514757957	45.6605663276657	55.5665377072122	48.037799476639	56.3248007203675	51.00636461983	56.5417129866993
6.5	45.7830079250497	46.5448236331194	45.8256484721635	55.6060903810286	48.1636856873256	56.5233881011337	51.1628056275708	56.6774465438473
