Joint_angle	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_15_CON_POST_L	INT_16_CON_POST_R
0	8.41704958217103	-16.4337546285756	5.99003482406492	-19.356579501535	13.5293467661426	NaN	11.2624587685175	NaN
0.5	8.63675914979733	-16.0074828968194	6.33938508764948	-19.0384010682021	13.6051954078245	NaN	11.7329135297787	NaN
1	8.82895109100727	-15.5840268804187	6.77965380888928	-18.7817680251063	13.6671763098426	NaN	12.146817469753	NaN
1.5	9.06571336438594	-14.9668778535999	7.25795949364678	-18.5104784300268	13.8577073977849	NaN	12.5748318196151	NaN
2	9.28684090453696	-14.5567701941089	7.63819165740921	-18.1289299564659	14.0467540625044	NaN	13.0455014681255	NaN
2.5	9.47208678424359	-14.0500714012442	8.07584218634769	-17.7886411034233	14.1511442784433	NaN	13.4504009612034	NaN
3	9.66690175743036	-13.8400393066528	8.49572260768817	-17.5573807507847	14.3101636435798	NaN	13.7902270521096	NaN
3.5	9.88325035221819	-13.6384645144828	8.94432037119036	-17.2636892294386	14.4322624951908	NaN	14.2677429772841	NaN
4	10.1141466154994	-12.6246757245677	9.39496439471246	-16.9233730991485	14.5899346575549	NaN	14.7159550079182	NaN
4.5	10.3676778141828	-11.762939104344	9.91039564307579	-16.6456957202616	14.6770572652909	NaN	15.0896085450629	NaN
5	10.6340281836969	-11.3501174982165	10.4313552559918	-16.3924872874903	14.7617850167215	NaN	15.408531596798	NaN
5.5	10.8890684606691	-10.9020966190377	10.8473309008545	-16.1700420885587	14.7311716685015	NaN	15.7961588637547	NaN
6	11.1682217889577	-10.7674161343846	11.3498530031446	-15.8687260190781	14.6879833179969	NaN	16.200945473334	NaN
6.5	11.3878509082273	-10.6184687730864	11.8437854811336	-15.5645560920466	14.6735191777735	NaN	16.6976506025939	NaN
