Joint_angle	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_30_CON_POST_R	INT_31_CON_POST_L
0	27.9671274195559	30.8837416430404	17.8838257002369	27.5787880604051	15.525920340162	13.7844994210641	19.6426508045993	13.6952677979073	25.6744929244386	24.4806780662026	12.3008330023054	29.4702266836353	14.6326204936454	12.0847959164784	20.602561939569	14.192391402084	31.8297097843807	33.2871016619673	14.5641772836899	28.9551756943693	16.727906389682	12.3537329905404	21.1219304454903	11.0508330511166	24.3973287838765	25.5165355144816	12.3649695063113	27.3588488562027	13.7259513387552	10.1013991521379	16.4235324044886	11.6771398731789
0.5	28.8503257848404	31.5324873159676	18.3557976344901	28.5703921985174	15.8063363903499	14.0993670486546	19.9736665060027	14.0117966221609	26.5177154597891	24.8783981923743	12.4581652303321	30.4691517344954	14.8173418017163	12.3285663756605	21.0067010860951	14.7031788536555	33.5264205917413	33.9816761743995	14.8233875406919	29.9673696345331	17.1001207461137	12.5819260816207	21.6271267451695	11.2483487447139	24.9978820291781	26.238048879972	12.5471056181155	28.3888266078077	13.9624487207326	10.2746587896431	16.7044093534673	11.9005808383241
1	29.7780903231724	32.1844352183259	18.8747381973308	29.6276463055154	16.0984547185782	14.4374017186819	20.3211272120287	14.3276414569375	27.3598644096657	25.2788081006207	12.6218957593131	31.4452164342347	15.0139489453553	12.5464949980067	21.4273910434675	15.2095189167608	35.32095567166	34.6591079062848	15.1136611264499	31.0366405535832	17.4745591391745	12.8228370278772	22.1344035892641	11.4513429809401	25.6420014877121	26.9637688357961	12.7314525728174	29.4380038487229	14.2042837998461	10.456546315937	16.9871478389021	12.1224263180142
1.5	30.7580193808904	32.8295840466739	19.4347341564677	30.7626060526201	16.3813747513495	14.8040321439187	20.6866646571819	14.637979039857	28.1968407041274	25.6840090436271	12.7884037952885	32.3940861847749	15.209390268148	12.7605619729772	21.8620358043857	15.7142725338203	37.2486961804159	35.3106205932367	15.4332362696648	32.1020077803352	17.8543106130118	13.0718762904605	22.6397472674948	11.6618756387719	26.3337911683195	27.7329688486192	12.9171915600822	30.5002583481541	14.451124417272	10.6467827458282	17.2708944761836	12.3478996214106
2	31.7870428415896	33.4650594166584	20.0259277579634	31.985165998804	16.6757595470414	15.197494717818	21.0690374996173	14.9406198629531	29.0246836869103	26.093734598227	12.955959172516	33.3191818603238	15.4039647996266	12.9714765349985	22.3061253471665	16.2151673982911	39.3306215041216	35.9303873208939	15.7829102865621	33.1633366741503	18.2443486467433	13.322023609942	23.1439892983728	11.8798866615698	27.0792252275651	28.503728966093	13.1028988016644	31.571151320014	14.7011844652256	10.8434064427024	17.5528129051558	12.5788172289594
2.5	32.859444207429	34.0932033167394	20.6495588320332	33.3218122518398	16.9783886018309	15.619721860124	21.4695134840572	15.2359651814915	29.8452221997505	26.5085676408343	13.125759435543	34.226669951109	15.5989942593925	13.181658897772	22.7566133526071	16.7314049137832	41.5545765587247	36.5278984040765	16.1691085468659	34.2126128330599	18.6467750894358	13.5716707325954	23.6540153847931	12.1027105938584	27.8832651887495	29.2679304405061	13.2869257674882	32.6498706942747	14.9535355377291	11.0443452687876	17.831812213805	12.8161038099372
3	33.9769313342111	34.7217511192246	21.31256799602	34.7879427009446	17.2971584459103	16.0673953643539	21.8900275189362	15.5264447190331	30.6636740467223	26.9256167161885	13.3010813746822	35.1221135320987	15.7958430259895	13.3965066042871	23.2123029128905	17.2736919022159	43.8689012514346	37.0951470118286	16.5996216061422	35.2425703028354	19.0594785448485	13.8258139250511	24.1702674689021	12.3268146861547	28.7539779630074	30.0286747143846	13.4701255783079	33.730302210673	15.2088666089076	11.2491989781532	18.1080345077269	13.0583433083314
3.5	35.1466995760969	35.3625970577701	22.0152469123042	36.3831659640895	17.6425302851165	16.540788748549	22.336005865584	15.8153100512228	31.4878878931036	27.3419465704241	13.4872659550627	36.0092752970389	15.997260813981	13.6199995926514	23.6747590398361	17.8455958574926	46.2190943061932	37.6516754474606	17.0839311141781	36.2586347744631	19.4800237733812	14.0921206941733	24.6890573092014	12.5494212299437	29.7017677744212	30.7870170501324	13.6555157907473	34.8145579138538	15.4695348190516	11.4591247932946	18.3827117963663	13.3059869418602
4	36.3722023490378	36.0192529672177	22.7518545372695	38.0866335518838	18.0207665222147	17.0499124460491	22.8145197972993	16.1039365657234	32.3248289342758	27.7587368216273	13.6888960226136	36.894909886616	16.2065985429382	13.8554196258266	24.1461768685001	18.4492910411992	48.5768496341081	38.1667473791421	17.6284764407433	37.2665194722217	19.9070382701429	14.3754688472074	25.2092359653881	12.769254294342	30.7365956625235	31.5439905362872	13.8470738406292	35.9111693588228	15.7390498645676	11.6777927767001	18.6587828993049	13.5604781873274
4.5	37.6696354341676	36.6945833418227	23.5061028323573	39.830457056223	18.4294473833922	17.6047757392039	23.3296406921895	16.3913521884253	33.1753917891261	28.1761823489938	13.9071054994915	37.778002590182	16.4251634629577	14.1039186843414	24.6276406399285	19.0884048033266	50.9258045732245	38.6233814560231	18.234841860721	38.2851373663406	20.3396577345759	14.6790625159166	25.7227819829597	12.9875285326054	31.8668036530133	32.3042437452949	14.048983150001	37.0292170410297	16.0189089195258	11.9080267124129	18.9397944297719	13.8235794388808
