Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L
0	42.2288128380643	60.7480876503907	49.5162507167542	61.1134235476574	46.6260865074861	58.5831957380445	50.4646850496602	56.9847713591871
0.5	42.3264230899325	60.7934995149355	49.6487669379411	61.1877919014233	46.7376539957103	58.617777249998	50.6558710168343	57.257360775173
1	42.4259038347752	60.8231620921699	49.8079265992825	61.3472152006734	46.8092110152017	58.6002452555897	50.8428208718975	57.4755120874113
1.5	42.5162132385284	60.8733129181515	49.9510760731264	61.388063318964	46.8715963197105	58.4890118866468	51.0393937495483	57.7054281032176
2	42.6313035947101	60.8842232045648	50.1163867182801	61.4298370573643	46.998495017614	58.3510801531821	51.2280868026535	57.9437340325454
2.5	42.7186840603984	60.9327991338591	50.2731465633401	61.4869389722415	47.1067477781449	58.2383103829394	51.467519140566	58.2307642073128
3	42.842840487543	61.0322278276629	50.4315242747167	61.5812777367842	47.1992358003548	58.1055061848097	51.710946796815	58.4900120697205
3.5	42.9868372073074	61.0994363913381	50.5415551216491	61.5968801846549	47.228245136505	58.0270135473301	51.9108956717189	58.7427049953375
4	43.0774499271309	61.1526863319953	50.643030914576	61.6938444363007	47.2721963561966	57.9840714987358	52.1264769620851	58.9531669385323
4.5	43.1815209017723	61.234670889739	50.7623272559298	61.6999772637844	47.3793376939337	57.9683277967449	52.3213717679155	59.1581283846719
5	43.2748784416839	61.3353071752985	50.8712829409761	61.8555790806023	47.4963840623525	58.0198079344713	52.4920932267833	59.3717121104187
5.5	43.3696200915711	61.4444904460314	50.9592770562068	61.8322668706706	47.5935043705265	58.0149770881393	52.7232415948966	59.5649452872022
6	43.5433046926674	61.5399368057253	51.0545122732004	61.8792070327156	47.6402864083658	58.018920283659	52.9294645085436	59.7467312150183
6.5	43.6861791326407	61.6604230327117	51.147241398623	61.9961944194723	47.6904304926526	58.0358896496793	53.1062028210664	59.9328464112275
7	43.7982602399643	61.776067786135	51.2783129373336	62.0545566409712	47.7811552924968	57.9881146513133	53.297136633725	60.1591659225807
