Joint_angle	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_15_CON_POST_L	INT_16_CON_POST_R
0	455.22593566113	385.992583399872	452.322626623825	385.612826653323	448.861237516018	382.410950677336	450.180850200311	379.365080502198
0.5	455.583067601677	386.165403706816	452.593119647089	385.840756299186	449.299080313596	382.602328692129	450.411962267304	379.580154758852
1	455.95571594654	386.346139026108	452.802840826948	386.075888822769	449.742988484562	382.837833410765	450.660351273659	379.805010536532
1.5	456.304776525156	386.431913641852	452.992191651667	386.312426646824	450.101289420996	383.051170694303	450.905971839581	380.027884217805
2	456.662375620567	386.617563995032	453.236944926982	386.495046334501	450.466574289568	383.311910620299	451.135807940054	380.285851683524
2.5	457.035795484128	386.742085068487	453.444530299222	386.700411108673	450.881563076986	383.581559210667	451.400630176082	380.518728266768
3	457.401968169157	387.024331927857	453.668223778694	386.960655006683	451.266501102995	383.800405102482	451.691970982048	380.67805412875
3.5	457.754062643055	387.315455789418	453.865027569452	387.185970292212	451.65878306517	384.017385626559	451.908972861573	380.856672861479
4	458.097631987223	387.195122449696	454.059102796631	387.375180724528	452.043449852483	384.240550838038	452.157018885222	381.030064537178
4.5	458.428380994861	387.144637576645	454.213719621389	387.606725592488	452.469710050922	384.442522362706	452.434646486961	381.231549953986
5	458.750560734331	387.323483232963	454.364675502263	387.858088461672	452.890902236313	384.669848876917	452.735515648976	381.433802383633
5.5	459.077380038514	387.478055391438	454.575054915202	388.133315916368	453.367340085074	384.889160479061	452.983629389523	381.675319426816
6	459.391549705654	387.800541619959	454.73032347463	388.35670743548	453.839334876488	385.127926729183	453.230178140269	381.897052688927
6.5	459.742226389739	388.099797281314	454.88983712313	388.575514319888	454.30819667514	385.397285469117	453.430069152648	382.124933928468
