GMfascBEST			GMextMMM		
0.6695040888	1.6307870310	1.2147895300	0.6695040888	25.0953775900	10.1845662100
0.6934149491	1.2071486330	1.2609873910	0.6934149491	25.0837707400	10.1948007400
0.7173258094	0.9651806544	1.3042281890	0.7173258094	25.0693068100	10.2037766300
0.7412366697	0.8460734508	1.3235095630	0.7412366697	25.0557854600	10.2004067800
0.7651475300	0.6121228964	1.3499415520	0.7651475300	25.0375349000	10.2066063700
0.7890583903	0.2434582717	1.3407792760	0.7890583903	25.0137034800	10.2221252900
0.8129692506	0.1474804218	1.3413344680	0.8129692506	25.0128196900	10.2215162800
0.8368801109	0.0118325472	1.3254653330	0.8368801109	25.0115727400	10.2218121200
0.8607909713	-0.1711588589	1.3257203170	0.8607909713	25.0097430700	10.2238456700
0.8847018316	-0.3509634426	1.3784407770	0.8847018316	25.0154379900	10.2306554300
0.9086126919	-0.4473216282	1.4012296810	0.9086126919	25.0203523400	10.2344997900
0.9325235522	-0.7160599570	1.4476039470	0.9325235522	25.0436706300	10.2477158300
0.9564344125	-0.8294199447	1.4278404930	0.9564344125	25.0380545900	10.2557016400
0.9803452728	-0.9010962486	1.4250588680	0.9803452728	25.0262692400	10.2643368200
1.0042561330	-1.1658309140	1.5033338640	1.0042561330	25.0177723500	10.2800264100
1.0281669930	-1.3137380740	1.5411973290	1.0281669930	24.9996573500	10.2796055800
1.0520778540	-1.3801220550	1.5513014780	1.0520778540	24.9920756600	10.2833653300
1.0759887140	-1.5269122330	1.5731982490	1.0759887140	24.9838627100	10.2835767000
1.0998995740	-1.7729700100	1.6199306050	1.0998995740	24.9863112000	10.2871605000
1.1238104350	-1.8559490130	1.6396673400	1.1238104350	24.9884867100	10.2911805700
1.1477212950	-2.2027209150	1.7013865250	1.1477212950	24.9925758600	10.2950014100
1.1716321550	-2.3169962920	1.7288491980	1.1716321550	24.9893463200	10.2952350300
1.1955430160	-2.3532977600	1.7377182440	1.1955430160	24.9885899700	10.2943161700
1.2194538760	-2.4596923940	1.7330051100	1.2194538760	24.9827143500	10.2985917500
1.2433647360	-2.6843305290	1.7400913190	1.2433647360	24.9755197500	10.3070799000
1.2672755970	-2.7999833580	1.7384583930	1.2672755970	24.9708933400	10.3125408400
1.2911864570	-2.8504188580	1.7340008110	1.2911864570	24.9655957600	10.3159560800
1.3150973170	-3.0508705430	1.7452801640	1.3150973170	24.9646620800	10.3330116700
1.3390081780	-3.2257310440	1.7667405110	1.3390081780	24.9995779800	10.3377082000
1.3629190380	-3.4545189090	1.8157784440	1.3629190380	24.9921856400	10.3668383700
1.3868298980	-3.5226269260	1.8246048550	1.3868298980	24.9802457400	10.3774118200
1.4107407580	-3.6503834710	1.8351421110	1.4107407580	24.9805722100	10.3803705000
1.4346516190	-3.7751911430	1.8687237050	1.4346516190	24.9779020100	10.3843683600
1.4585624790	-3.8214601030	1.8800142760	1.4585624790	24.9713531900	10.3899892300
1.4824733390	-3.9361178410	1.9066137080	1.4824733390	24.9707665500	10.3901112400
1.5063842000	-4.1113280820	1.9410073470	1.5063842000	24.9733264900	10.3942150100
1.5302950600	-4.2298249840	1.9657437130	1.5302950600	24.9763448300	10.4020135300
1.5542059200	-4.4038735420	1.9942909300	1.5542059200	24.9852638800	10.4050426800
1.5781167810	-4.5215889860	2.0005314890	1.5781167810	24.9832888900	10.4034770700
1.6020276410	-4.7183822890	2.0192634700	1.6020276410	25.0173940400	10.4038122000
1.6259385010	-4.8126923470	2.0182086120	1.6259385010	25.0161948100	10.4053684700
1.6498493620	-4.9554429950	2.0338429400	1.6498493620	25.0146547300	10.4125778600
1.6737602220	-5.1033601290	2.0752870850	1.6737602220	25.0151749700	10.4228540100
1.6976710820	-5.2152660540	2.1183166060	1.6976710820	25.0134978500	10.4314616400
1.7215819430	-5.3613595230	2.1489166480	1.7215819430	24.9999729500	10.4432622300
1.7454928030	-5.5438361730	2.2131428450	1.7454928030	24.9852034000	10.4550207200
1.7694036630	-5.6439426740	2.2105591870	1.7694036630	24.9898922200	10.4528109600
1.7933145230	-5.8927039920	2.2093319040	1.7933145230	24.9780012600	10.4650746400
1.8172253840	-5.9230565990	2.1931799130	1.8172253840	24.9772716100	10.4661022700
1.8411362440	-6.0069569670	2.2040029700	1.8411362440	24.9825870600	10.4634568000
1.8650471040	-6.0986672640	2.2303590620	1.8650471040	24.9876918000	10.4607998700
1.8889579650	-6.2076488680	2.2703605720	1.8889579650	24.9944085900	10.4610373600
1.9128688250	-6.2501392790	2.2590464250	1.9128688250	24.9966082200	10.4604960900
1.9367796850	-6.5172595410	2.2564726480	1.9367796850	25.0046559900	10.4556927600
1.9606905460	-6.6332461420	2.2867869430	1.9606905460	25.0019648600	10.4551385200
1.9846014060	-6.7674074860	2.3138770600	1.9846014060	24.9920899600	10.4621125300
2.0085122660	-6.9037442240	2.3232723200	2.0085122660	24.9873469900	10.4702731800
2.0324231270	-7.0756426320	2.3624465630	2.0324231270	25.0209645800	10.4846250400
2.0563339870	-7.2991040820	2.4059464860	2.0563339870	25.0107113400	10.5069293700
2.0802448470	-7.4361064430	2.4158259490	2.0802448470	24.9977305300	10.5294508400
2.1041557080	-7.7180465490	2.4303251120	2.1041557080	24.9968857200	10.5412584600
2.1280665680	-7.8708852240	2.4610399570	2.1280665680	25.0361905300	10.5527152600
2.1519774280	-7.9117027380	2.4716431610	2.1519774280	25.0336852700	10.5653152700
2.1758882880	-8.1907807110	2.4614974250	2.1758882880	25.0237858000	10.5841137700
2.1997991490	-8.2488917410	2.4615136970	2.1997991490	25.0206105100	10.5904762300
2.2237100090	-8.3328708630	2.4741179660	2.2237100090	25.0127711400	10.5957087300
2.2476208690	-8.6540700470	2.4937235010	2.2476208690	25.0120281300	10.5977761800
2.2715317300	-8.7256298570	2.4741325310	2.2715317300	25.0043989000	10.6053410700
2.2954425900	-8.8976782290	2.5264432550	2.2954425900	24.9992479000	10.6038221200
2.3193534500	-9.2012135770	2.5690522460	2.3193534500	24.9500928000	10.6265949800
2.3432643110	-9.2624523250	2.5873649750	2.3432643110	24.9450550800	10.6330394500
2.3671751710	-9.2491242710	2.5934620370	2.3671751710	24.9461537600	10.6320685800
2.3910860310	-9.2464543000	2.5943509080	2.3910860310	24.9500739400	10.6315492000
2.4149968920	-9.3894663240	2.5859518240	2.4149968920	24.9360962100	10.6432035500
2.4389077520	-9.4231668930	2.6026078120	2.4389077520	25.0171977800	10.6498958000
2.4628186120	-9.5188165240	2.5951308980	2.4628186120	25.0177272900	10.6575160000
2.4867294730	-9.7204530240	2.6133840190	2.4867294730	24.9933750700	10.6667643200
2.5106403330	-9.7821681600	2.6171773820	2.5106403330	24.9871175100	10.6712179900
2.5345511930	-9.9711792450	2.6363740580	2.5345511930	24.9852527200	10.6740727900
2.5584620530	-10.1509922300	2.6302782860	2.5584620530	24.9674354000	10.6886413100
2.5823729140	-10.3519048000	2.6532162060	2.5823729140	24.9552971500	10.6988093100
2.6062837740	-10.5430787900	2.6530344360	2.6062837740	24.9494780400	10.7090450600
2.6301946340	-10.6553213100	2.6609875070	2.6301946340	24.9553935400	10.7074919500
2.6541054950	-10.8643886600	2.7066302940	2.6541054950	25.0137142400	10.7105338700
2.6780163550	-11.2158731700	2.7853925340	2.6780163550	24.9765344000	10.7443184100
2.7019272150	-11.2995506300	2.8042026340	2.7019272150	24.9753214500	10.7488648300
2.7258380760	-11.4299329200	2.8401609270	2.7258380760	24.9682787000	10.7587613400
2.7497489360	-11.4554496300	2.8299492220	2.7497489360	24.9636146400	10.7650311800
2.7736597960	-11.6150599400	2.8613345380	2.7736597960	24.9601389100	10.7705159100
2.7975706570	-11.6612902700	2.8700553450	2.7975706570	24.9605738600	10.7727848500
2.8214815170	-11.7307507800	2.8740214430	2.8214815170	24.9417468300	10.7716117500
2.8453923770	-11.7490622000	2.8739810030	2.8453923770	24.9383395300	10.7716944300
2.8693032380	-11.8869696200	2.9174501020	2.8693032380	24.9340576200	10.7741952700
2.8932140980	-11.9896487500	2.9306057000	2.8932140980	24.9252454400	10.7796577100
2.9171249580	-12.1706931000	2.9201440900	2.9171249580	24.9247227900	10.7881566900
2.9410358180	-12.3470168900	3.0080484620	2.9410358180	24.9964330800	10.8059730400
2.9649466790	-12.4562302800	3.0278218530	2.9649466790	24.9857565800	10.8193396100
2.9888575390	-12.4427295600	3.0410572600	2.9888575390	24.9879393100	10.8208895500
3.0127683990	-12.4375286500	3.0666177190	3.0127683990	24.9841639000	10.8251677700
3.0366792600	-12.5254193900	3.0776513600	3.0366792600	24.9796935700	10.8299408600
3.0605901200	-12.6373066900	3.0712248420	3.0605901200	24.9757237900	10.8334484200
3.0845009800	-12.6668785400	3.0867286870	3.0845009800	24.9829675600	10.8312790500
3.1084118410	-12.7971757300	3.1182253050	3.1084118410	24.9719289300	10.8341323500
3.1323227010	-12.8409633200	3.1200513920	3.1323227010	24.9652152800	10.8369474600
3.1562335610	-12.9818557700	3.1568414950	3.1562335610	24.9533774100	10.8483337800
3.1801444220	-13.0528993700	3.1780922710	3.1801444220	24.9413119700	10.8617742400
3.2040552820	-13.0783745100	3.1592275810	3.2040552820	25.0135695700	10.8761381400
3.2279661420	-13.0871694000	3.1793517410	3.2279661420	25.0131700900	10.8798885100
3.2518770030	-13.0821951400	3.2025520890	3.2518770030	25.0077027900	10.8869172200
3.2757878630	-13.0889123900	3.1884303380	3.2757878630	25.0059768600	10.8909443000
3.2996987230	-13.0966569900	3.1792887160	3.2996987230	25.0074084000	10.8915961900
3.3236095830	-13.1034645900	3.1883897220	3.3236095830	25.0096985800	10.8931717700
3.3475204440	-13.1573425400	3.2123441710	3.3475204440	25.0035184300	10.8988755500
3.3714313040	-13.2315676500	3.2045362580	3.3714313040	25.0012359800	10.9020846700
3.3953421640	-13.2844301500	3.2012505640	3.3953421640	25.0010981100	10.9033717300
3.4192530250	-13.4584963600	3.2402349530	3.4192530250	24.9965105700	10.9080638200
3.4431638850	-13.7027714000	3.2782650580	3.4431638850	24.9720545400	10.9163168700
3.4670747450	-13.8576319200	3.2786097220	3.4670747450	24.9581642700	10.9252995100
3.4909856060	-14.1045371800	3.3374776940	3.4909856060	25.0035492900	10.9593870400
3.5148964660	-14.1718531500	3.3442213880	3.5148964660	24.9986250500	10.9554239600
3.5388073260	-14.3512378800	3.3670586330	3.5388073260	24.9858237700	10.9681490700
3.5627181870	-14.4233017100	3.3989425570	3.5627181870	24.9778640600	10.9754719400
3.5866290470	-14.5064929200	3.4160436670	3.5866290470	24.9720434000	10.9799569900
3.6105399070	-14.5623443000	3.4110574820	3.6105399070	24.9677339500	10.9828667800
3.6344507680	-14.7753631700	3.3899634870	3.6344507680	24.9550632600	10.9882077600
3.6583616280	-14.8521214300	3.4280101540	3.6583616280	24.9557895800	10.9903799400
3.6822724880	-15.0333354200	3.4273232530	3.6822724880	24.9419580800	10.9988820600
3.7061833480	-15.0594211500	3.4293299530	3.7061833480	24.9375600400	11.0035306000
3.7300942090	-15.0455186800	3.4436914410	3.7300942090	24.9428752200	11.0039526700
3.7540050690	-15.1499245700	3.4693450640	3.7540050690	24.9371227100	11.0135374300
3.7779159290	-15.2002730400	3.4611678400	3.7779159290	24.9288756600	11.0062774700
3.8018267900	-15.2074496700	3.4962604800	3.8018267900	24.9270076800	11.0117205200
3.8257376500	-15.2030778200	3.4913995150	3.8257376500	24.9222252600	11.0138749700
3.8496485100	-15.2308983700	3.4896882630	3.8496485100	24.9873012600	11.0279175300
3.8735593710	-15.3017077000	3.4863200740	3.8735593710	24.9817013500	11.0364099800
3.8974702310	-15.3320750300	3.4827205910	3.8974702310	24.9803291000	11.0393786800
3.9213810910	-15.4409675700	3.5110188510	3.9213810910	24.9766062500	11.0459576100
3.9452919520	-15.5609436100	3.5277471130	3.9452919520	24.9578055800	11.0558295000
3.9692028120	-15.7598385000	3.5278987690	3.9692028120	24.9512594500	11.0615699600
3.9931136720	-15.8065567300	3.5327305190	3.9931136720	24.9421611100	11.0580382900
4.0170245330	-15.9257833100	3.5433225000	4.0170245330	24.9265997300	11.0655142500
4.0409353930	-16.0209096100	3.5258071430	4.0409353930	24.9147182300	11.0703016100
4.0648462530	-16.0296737700	3.5262494910	4.0648462530	24.9106787000	11.0726000900
4.0887571130	-16.0639572500	3.5367405720	4.0887571130	24.9124629600	11.0747429500
4.1126679740	-16.0998392500	3.5078026490	4.1126679740	24.9068546600	11.0780583500
4.1365788340	-16.1698889900	3.5343316420	4.1365788340	24.9027836500	11.0813844700
4.1604896940	-16.3392824500	3.5671611860	4.1604896940	24.8892209700	11.0970646300
4.1844005550	-16.5059867400	3.5886704600	4.1844005550	24.8731702400	11.1002656900
4.2083114150	-16.5791972300	3.6568658010	4.2083114150	24.9232454500	11.1166710900
4.2322222750	-16.6175919400	3.6896060520	4.2322222750	24.9235816800	11.1254897700
4.2561331360	-16.7022458300	3.6786292590	4.2561331360	24.9197021600	11.1320449400
4.2800439960	-16.7353897100	3.6572054910	4.2800439960	24.9159959700	11.1356286100
4.3039548560	-16.7886917100	3.7034636750	4.3039548560	24.9114579300	11.1440668700
4.3278657170	-16.8235596600	3.6828213620	4.3278657170	24.9068095700	11.1470214100
4.3517765770	-16.8308256000	3.6604188110	4.3517765770	24.9026761500	11.1500145200
4.3756874370	-16.8722598100	3.6696254770	4.3756874370	24.9050594300	11.1493476800
4.3995982980	-16.9101294900	3.6739294490	4.3995982980	24.9029044500	11.1506439000
4.4235091580	-16.9538018900	3.6519718510	4.4235091580	24.8990786700	11.1527265500
4.4474200180	-16.9470559800	3.6949137720	4.4474200180	24.8978740400	11.1563793900
4.4713308780	-16.9460695400	3.6966344470	4.4713308780	24.9042264000	11.1540058300
4.4952417390	-16.9822378300	3.6840387830	4.4952417390	24.9007246400	11.1576018900
4.5191525990	-17.0370365400	3.6953411890	4.5191525990	24.8953842800	11.1609794400
4.5430634590	-17.0567562300	3.7080545980	4.5430634590	24.9009362500	11.1598028000
4.5669743200	-17.0941438000	3.6746453020	4.5669743200	24.8932429400	11.1648714800
4.5908851800	-17.1216945100	3.6656460130	4.5908851800	24.8979056600	11.1638259700
4.6147960400	-17.1899353400	3.7275713030	4.6147960400	24.9003344400	11.1626307900
4.6387069010	-17.1947657800	3.7171512530	4.6387069010	24.8979799400	11.1649440300
4.6626177610	-17.1669908200	3.6699372970	4.6626177610	24.8948959400	11.1653127000
4.6865286210	-17.1866862400	3.7157622280	4.6865286210	24.8968542800	11.1658932400
4.7104394820	-17.3161499200	3.7631101670	4.7104394820	24.8942919500	11.1688482900
4.7343503420	-17.3879039800	3.7230417370	4.7343503420	24.8795094400	11.1667481400
4.7582612020	-17.5204065800	3.7450502400	4.7582612020	24.8711692200	11.1677452000
4.7821720630	-17.5336261600	3.7590927670	4.7821720630	24.8644286000	11.1710762800
4.8060829230	-17.5776575300	3.7618654680	4.8060829230	24.8603453800	11.1738521500
4.8299937830	-17.6517138400	3.7172222830	4.8299937830	24.8504285300	11.1777635700
4.8539046430	-17.8411708400	3.7880332190	4.8539046430	24.8387692900	11.1836772800
4.8778155040	-17.9441998400	3.7501168050	4.8778155040	24.8330485600	11.1839034000
4.9017263640	-18.1160004200	3.7773847880	4.9017263640	24.8226259900	11.1891118900
4.9256372240	-18.1472714800	3.8010198430	4.9256372240	24.8230278500	11.1871040800
4.9495480850	-18.2775374700	3.8049468730	4.9495480850	24.7968731500	11.1870387100
4.9734589450	-18.2373930900	3.7878576550	4.9734589450	24.7958340200	11.1861563800
4.9973698050	-18.2528352200	3.8082260090	4.9973698050	24.7946531400	11.1850181000
5.0212806660	-18.3239906000	3.8437205630	5.0212806660	24.7866539000	11.1865416800
5.0451915260	-18.4671575100	3.8529421660	5.0451915260	24.7724268200	11.1918101700
5.0691023860	-18.5355522100	3.8018844360	5.0691023860	24.7711060200	11.1904625200
5.0930132470	-18.5640103600	3.8008787190	5.0930132470	24.7724176600	11.1877424300
5.1169241070	-18.5854080800	3.8040762700	5.1169241070	24.7658413800	11.1917695100
5.1408349670	-18.5892843400	3.7970393900	5.1408349670	24.7628828400	11.1930637700
5.1647458280	-18.5635249400	3.7574408440	5.1647458280	24.7637006700	11.1893376500
5.1886566880	-18.5364264900	3.7536701550	5.1886566880	24.7659015300	11.1854933300
5.2125675480	-18.5365599500	3.7507885670	5.2125675480	24.7632976300	11.1850078500
5.2364784080	-18.5751799200	3.7261842970	5.2364784080	24.7605720200	11.1882854400
5.2603892690	-18.5617320600	3.7335724380	5.2603892690	24.7564576500	11.1864673700
5.2843001290	-18.5628079200	3.7348280590	5.2843001290	24.7591182100	11.1892170100
5.3082109890	-18.5949100100	3.7143711890	5.3082109890	24.7540561700	11.1867738800
5.3321218500	-18.6096880500	3.7143067690	5.3321218500	24.7564162000	11.1890555500
5.3560327100	-18.5956172300	3.7314049710	5.3560327100	24.7520826400	11.1903886500
5.3799435700	-18.5950790500	3.7409809950	5.3799435700	24.7584299600	11.1887743400
5.4038544310	-18.7597552100	3.7489008460	5.4038544310	24.7499876500	11.1909771800
5.4277652910	-18.7697820500	3.7603863380	5.4277652910	24.7452013200	11.1945396500
5.4516761510	-18.7629118800	3.7689359000	5.4516761510	24.7468429900	11.1961182700
5.4755870120	-18.7315433900	3.7506247510	5.4755870120	24.7467819400	11.1926829300
5.4994978720	-18.7317314400	3.7569295820	5.4994978720	24.7447374400	11.1959867400
5.5234087320	-18.7203669800	3.7444902740	5.5234087320	24.7516043000	11.1912536500
5.5473195930	-18.7516371300	3.7528491410	5.5473195930	24.7496958300	11.1936370700
5.5712304530	-18.7265364100	3.7555960450	5.5712304530	24.7469023100	11.1941706000
5.5951413130	-18.7236169400	3.7620263750	5.5951413130	24.7516919300	11.1935395200
5.6190521730	-18.7351606400	3.7624574920	5.6190521730	24.7468114000	11.1946960200
5.6429630340	-18.7223465200	3.7698326540	5.6429630340	24.7466160200	11.1948753700
5.6668738940	-18.7141641400	3.7551675110	5.6668738940	24.7534933500	11.1895998700
5.6907847540	-18.7073148700	3.7559594050	5.6907847540	24.7502652600	11.1930316400
5.7146956150	-18.6717297800	3.7521510280	5.7146956150	24.7503985800	11.1915608800
5.7386064750	-18.6459572700	3.7442462050	5.7386064750	24.7546469900	11.1896322000
5.7625173350	-18.6608065800	3.7435060370	5.7625173350	24.7517626600	11.1917164100
5.7864281960	-18.6553177900	3.7503895440	5.7864281960	24.7536018400	11.1910033100
5.8103390560	-18.6297399900	3.7514589150	5.8103390560	24.7536756700	11.1908346700
5.8342499160	-18.6430339800	3.7474953930	5.8342499160	24.7573741100	11.1888948400
5.8581607770	-18.6057390000	3.7502906240	5.8581607770	24.7535367000	11.1934652500
5.8820716370	-18.6286810700	3.7429845080	5.8820716370	24.7491239700	11.1949423600
5.9059824970	-18.6319051300	3.7365685120	5.9059824970	24.7494840400	11.1946326500
5.9298933580	-18.6034300200	3.7343165760	5.9298933580	24.7532460000	11.1938766700
5.9538042180	-18.6238564300	3.7386442250	5.9538042180	24.7548041900	11.1917198200
5.9777150780	-18.6248665700	3.7363112960	5.9777150780	24.7545899800	11.1924775200
6.0016259390	-18.6387084200	3.7371605570	6.0016259390	24.7564108400	11.1930548500
6.0255367990	-18.5839266700	3.7261096890	6.0255367990	24.7598004600	11.1885283700
6.0494476590	-18.5577817400	3.7254495490	6.0494476590	24.7604242900	11.1875937300
6.0733585190	-18.5436184200	3.7292591560	6.0733585190	24.7604418600	11.1883321200
6.0972693800	-18.5795744900	3.7367489790	6.0972693800	24.7596654200	11.1896096000
6.1211802400	-18.6180477400	3.7323485630	6.1211802400	24.7573107200	11.1906929600
6.1450911000	-18.6167650300	3.7435709640	6.1450911000	24.7586254200	11.1910300300
6.1690019610	-18.6183759200	3.7624660370	6.1690019610	24.7586359300	11.1907594600
6.1929128210	-18.6510020600	3.7521672100	6.1929128210	24.7592784100	11.1907133800
6.2168236810	-18.6791520800	3.7460945420	6.2168236810	24.7569370300	11.1939817000
6.2407345420	-18.6592101400	3.7503103230	6.2407345420	24.7548141000	11.1961513600
6.2646454020	-18.6558170800	3.7538336670	6.2646454020	24.7557106600	11.1954879500
6.2885562620	-18.6485553100	3.7432011820	6.2885562620	24.7550398000	11.1963505600
6.3124671230	-18.6253302700	3.7484190520	6.3124671230	24.7551654800	11.1948801900
6.3363779830	-18.6201437300	3.7504356290	6.3363779830	24.7595796000	11.1924087900
6.3602888430	-18.6165627400	3.7360414110	6.3602888430	24.7584996300	11.1927887700
6.3841997040	-18.5770637700	3.7354134200	6.3841997040	24.7601424300	11.1921064300
6.4081105640	-18.5683527800	3.7411144550	6.4081105640	24.7616497200	11.1900533200
6.4320214240	-18.5898309900	3.7349940380	6.4320214240	24.7650304800	11.1883300200
6.4559322840	-18.5925297200	3.7173136600	6.4559322840	24.7617143400	11.1906936800
6.4798431450	-18.5318750600	3.7154739950	6.4798431450	24.7620475700	11.1898800100
6.5037540050	-18.4886175800	3.7339400580	6.5037540050	24.7678733100	11.1862348800
6.5276648650	-18.5385600900	3.7112209670	6.5276648650	24.7671226600	11.1863691500
6.5515757260	-18.5024291700	3.6710841710	6.5515757260	24.7625336100	11.1890418400
6.5754865860	-18.4407681800	3.6927270780	6.5754865860	24.7656401000	11.1877507000
6.5993974460	-18.4497722900	3.6853668150	6.5993974460	24.7682195500	11.1866046800
6.6233083070	-18.4213177400	3.6924941800	6.6233083070	24.7641590200	11.1880555400
6.6472191670	-18.4094847200	3.7024598310	6.6472191670	24.7666083900	11.1869764700
6.6711300270	-18.4017641800	3.7056921190	6.6711300270	24.7691731400	11.1851318200
6.6950408880	-18.4151005900	3.6940473790	6.6950408880	24.7671701800	11.1862931300
6.7189517480	-18.3995296400	3.6966211630	6.7189517480	24.7654991600	11.1875854700
6.7428626080	-18.3588361100	3.7019229650	6.7428626080	24.7675010200	11.1874580800
6.7667734690	-18.3691753100	3.6844975360	6.7667734690	24.7692190900	11.1869323800
6.7906843290	-18.2387795200	3.6593618600	6.7906843290	24.7676283700	11.1867620500
6.8145951890	-18.2059472700	3.6552891870	6.8145951890	24.7687174400	11.1863539000
6.8385060490	-18.2409766700	3.6512724850	6.8385060490	24.7682192700	11.1859304300
6.8624169100	-18.2000679400	3.6272935370	6.8624169100	24.7655627100	11.1885867300
6.8863277700	-18.1676055300	3.6343818380	6.8863277700	24.7645375600	11.1870097900
6.9102386300	-18.1260965300	3.6345164160	6.9102386300	24.7692518800	11.1853492800
6.9341494910	-18.1739552500	3.6213746440	6.9341494910	24.7651092200	11.1885478200
6.9580603510	-18.1356919000	3.6294981060	6.9580603510	24.7669485400	11.1867753500
6.9819712110	-18.1169915300	3.6416981500	6.9819712110	24.7688949400	11.1846477300
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
