GMfascBEST			GMextMMM		
t	x	y	t	x	y
0.0000000000	2.5014914760	1.1630750440	0.0000000000	25.1045610100	10.1900337000
0.0239108603	2.5010630710	1.1632126690	0.0239108603	25.1044918400	10.1899656700
0.0478217206	2.5021714830	1.1616648940	0.0478217206	25.1049907600	10.1903001200
0.0717325809	2.5045001300	1.1608984150	0.0717325809	25.1048516500	10.1901104200
0.0956434413	2.5042925740	1.1627321040	0.0956434413	25.1042437100	10.1900314300
0.1195543016	2.5055948360	1.1623817530	0.1195543016	25.1046137800	10.1899497500
0.1434651619	2.5093785800	1.1612982330	0.1434651619	25.1039399300	10.1900891900
0.1673760222	2.5047469490	1.1635115170	0.1673760222	25.1044320700	10.1899083300
0.1912868825	2.5012777420	1.1648505580	0.1912868825	25.1040075400	10.1902538300
0.2151977428	2.4950980290	1.1652237240	0.2151977428	25.1040821100	10.1904786900
0.2391086031	2.4907905170	1.1667372340	0.2391086031	25.1036258400	10.1907704800
0.2630194634	2.4948959290	1.1659745110	0.2630194634	25.1032561900	10.1907503100
0.2869303238	2.4956178980	1.1640201060	0.2869303238	25.1035640900	10.1905288200
0.3108411841	2.4930713820	1.1645520050	0.3108411841	25.1033464400	10.1909516900
0.3347520444	2.4962832840	1.1634277570	0.3347520444	25.1036561100	10.1902015100
0.3586629047	2.5056289110	1.1615632940	0.3586629047	25.1036092600	10.1906378300
0.3825737650	2.5051652140	1.1617911550	0.3825737650	25.1038254400	10.1905805500
0.4064846253	2.5047310680	1.1601126530	0.4064846253	25.1036879600	10.1901411800
0.4303954856	2.5087765680	1.1604325620	0.4303954856	25.1035426500	10.1902632600
0.4543063459	2.5133331560	1.1535873770	0.4543063459	25.1042840200	10.1896452700
0.4782172063	2.4953504150	1.1458855870	0.4782172063	25.1037060500	10.1886024300
0.5021280666	2.4695742450	1.1512172150	0.5021280666	25.1034870100	10.1887404800
0.5260389269	2.4386110670	1.1492744030	0.5260389269	25.1031787000	10.1888734100
0.5499497872	2.4175666110	1.1566917390	0.5499497872	25.1035070800	10.1896339500
0.5738606475	2.3644427250	1.1341972290	0.5738606475	25.1034648300	10.1875712900
0.5977715078	2.2999088340	1.1308040470	0.5977715078	25.1005459300	10.1869462000
0.6216823681	2.0909381680	1.1814188020	0.6216823681	25.0990240300	10.1878820500
0.6455932284	1.8661535030	1.2035516500	0.6455932284	25.0983245900	10.1851256500
