GMfasMMM			GMext		
t	x	y	t	x	y
0.0000000000	27.3751773500	0.8760410060	0.0000000000	48.1097967200	10.4053295200
0.0247917493	27.3755094300	0.8759599621	0.0247917493	48.1098209600	10.4050684200
0.0495834986	27.3740099300	0.8760835109	0.0495834986	48.1091186700	10.4052851300
0.0743752479	27.3752848400	0.8759862816	0.0743752479	48.1089528400	10.4052633000
0.0991669972	27.3746659500	0.8760578516	0.0991669972	48.1090087800	10.4054431200
0.1239587465	27.3755670800	0.8759265355	0.1239587465	48.1090961200	10.4054541400
0.1487504958	27.3766682200	0.8759200328	0.1487504958	48.1091956900	10.4053932000
0.1735422451	27.3769899000	0.8757563256	0.1735422451	48.1096934100	10.4050244300
0.1983339944	27.3769540500	0.8757097692	0.1983339944	48.1088764600	10.4054375300
0.2231257438	27.3770115700	0.8758307042	0.2231257438	48.1091256500	10.4052544800
0.2479174931	27.3763367400	0.8757333615	0.2479174931	48.1090083000	10.4053191500
0.2727092424	27.3763369300	0.8758424118	0.2727092424	48.1094396100	10.4050277700
0.2975009917	27.3768630800	0.8757638566	0.2975009917	48.1090188800	10.4052758500
0.3222927410	27.3763686000	0.8757681253	0.3222927410	48.1093723300	10.4051752600
0.3470844903	27.3770932900	0.8759078665	0.3470844903	48.1089784900	10.4052866500
0.3718762396	27.3773774500	0.8757909386	0.3718762396	48.1090945500	10.4053386900
0.3966679889	27.3770352100	0.8756215947	0.3966679889	48.1091271400	10.4053859300
0.4214597382	27.3774100100	0.8756481002	0.4214597382	48.1092408400	10.4050654700
0.4462514875	27.3781222000	0.8756824673	0.4462514875	48.1087839600	10.4052705300
0.4710432368	27.3797034000	0.8755307815	0.4710432368	48.1096865200	10.4050753600
0.4958349861	27.3782656000	0.8753049824	0.4958349861	48.1093490400	10.4049767100
0.5206267354	27.3782062500	0.8758314864	0.5206267354	48.1091620500	10.4052923900
0.5454184847	27.3775071600	0.8764139103	0.5454184847	48.1093447600	10.4054953500
0.5702102340	27.3750801400	0.8770477823	0.5702102340	48.1088382300	10.4054684600
0.5950019833	27.3752919900	0.8774022154	0.5950019833	48.1090544400	10.4055084500
0.6197937326	27.3748124300	0.8772894409	0.6197937326	48.1087622700	10.4054639300
0.6445854820	27.3746037500	0.8769890853	0.6445854820	48.1087586000	10.4054780700
0.6693772313	27.3747871700	0.8771044933	0.6693772313	48.1090683100	10.4055150500
0.6941689806	27.3741622000	0.8771087979	0.6941689806	48.1090028300	10.4056592500
