CALfront			CALext		
t	x	y	t	x	y
0	16.24257023	16.66047512	0	2.156249953	24.34374947
0.024653009	16.24016612	16.66071703	0.024653009	2.157914013	24.34340848
0.049306018	16.23251606	16.66354378	0.049306018	2.157328038	24.34345174
0.073959027	16.23572042	16.66136865	0.073959027	2.156979289	24.34345357
0.098612036	16.23744884	16.66115933	0.098612036	2.157596397	24.34328422
0.123265045	16.23115844	16.66427453	0.123265045	2.159352218	24.34351946
0.147918053	16.22813793	16.6666182	0.147918053	2.158361852	24.343156
0.172571062	16.22928213	16.66459191	0.172571062	2.159779509	24.34354938
0.197224071	16.23078234	16.66396936	0.197224071	2.158478811	24.34349385
0.22187708	16.23525854	16.66183552	0.22187708	2.159240856	24.34321432
0.246530089	16.23807263	16.66037837	0.246530089	2.158353862	24.34327008
0.271183098	16.23979441	16.65959452	0.271183098	2.158258782	24.34330587
0.295836107	16.23562748	16.66151827	0.295836107	2.158628793	24.34325518
0.320489116	16.23120254	16.66333715	0.320489116	2.159173838	24.3433544
0.345142125	16.23055106	16.66377736	0.345142125	2.158661784	24.34330837
0.369795134	16.22750366	16.6642586	0.369795134	2.159078892	24.34311627
0.394448142	16.23005187	16.66278302	0.394448142	2.158679992	24.34342537
0.419101151	16.22812853	16.6642174	0.419101151	2.159120642	24.34329836
0.44375416	16.23034232	16.66251388	0.44375416	2.157395346	24.34321369
0.468407169	16.23645327	16.66059791	0.468407169	2.158734163	24.34329493
0.493060178	16.23627334	16.6615874	0.493060178	2.157919321	24.34339941
0.517713187	16.23636329	16.66081248	0.517713187	2.158780045	24.34334523
0.542366196	16.23808297	16.6604854	0.542366196	2.157217522	24.34327637
0.567019205	16.23743652	16.66012589	0.567019205	2.159099924	24.34346398
0.591672214	16.2308322	16.66335511	0.591672214	2.159273568	24.34323682
0.616325223	16.23081539	16.66337153	0.616325223	2.158064962	24.34323711
0.640978231	16.22979818	16.66420359	0.640978231	2.157206426	24.3432164
0.66563124	16.22910593	16.66456071	0.66563124	2.158552524	24.34317179
0.690284249	16.22976795	16.66415643	0.690284249	2.159051945	24.34307274
0.714937258	16.23551451	16.6618795	0.714937258	2.157945088	24.34311224
0.739590267	16.23944336	16.66050774	0.739590267	2.157527573	24.34312683
0.764243276	16.23980953	16.66038971	0.764243276	2.158719069	24.34316084
0.788896285	16.23859933	16.66117025	0.788896285	2.158707452	24.34301024
0.813549294	16.23968783	16.66109851	0.813549294	2.15690727	24.34325311
0.838202303	16.23900776	16.66140584	0.838202303	2.159361915	24.34325268
0.862855312	16.2372788	16.66212659	0.862855312	2.158268457	24.34319404
0.88750832	16.23832589	16.66196113	0.88750832	2.158297071	24.34329704
0.912161329	16.23566587	16.66292984	0.912161329	2.157908385	24.34318106
0.936814338	16.23678685	16.66264914	0.936814338	2.157627669	24.34318942
0.961467347	16.23745074	16.66246765	0.961467347	2.156013303	24.34317676
0.986120356	16.23878538	16.66158068	0.986120356	2.158402371	24.34297442
1.010773365	16.23740735	16.66215945	1.010773365	2.156358875	24.34314832
