SOLfas2JULY			SOLext		
t	x	y	t	x	y
0.0	9.232738051	10.30782335	0.0	25.99238711	14.14500526
0.02486016159	9.23166981	10.30706705	0.02486016159	25.99167136	14.14475521
0.04972032318	9.231411361	10.30666604	0.04972032318	25.99191605	14.14460163
0.07458048477	9.231521835	10.30705426	0.07458048477	25.99196279	14.14447418
0.09944064636	9.234065916	10.30693417	0.09944064636	25.99273576	14.14442877
0.124300808	9.232397545	10.30736935	0.124300808	25.99307511	14.14430073
0.1491609695	9.235106744	10.30649668	0.1491609695	25.99330058	14.14402916
0.1740211311	9.23638111	10.30711759	0.1740211311	25.99279891	14.14428875
0.1988812927	9.234404524	10.30715878	0.1988812927	25.99295062	14.14447705
0.2237414543	9.23503709	10.30746421	0.2237414543	25.99219059	14.14432457
0.2486016159	9.236663525	10.30743489	0.2486016159	25.99268141	14.14420355
0.2734617775	9.23364702	10.30653849	0.2734617775	25.99206419	14.14417613
0.2983219391	9.238482831	10.30656397	0.2983219391	25.99202521	14.14449573
0.3231821007	9.241378965	10.30671631	0.3231821007	25.99371551	14.1443418
0.3480422623	9.244857792	10.30556305	0.3480422623	25.99268295	14.14400312
0.3729024239	9.243595656	10.30478389	0.3729024239	25.99470013	14.14316383
0.3977625855	9.238339781	10.3046258	0.3977625855	25.99449086	14.14318283
0.422622747	9.235278931	10.30572999	0.422622747	25.99398455	14.14326617
0.4474829086	9.232396699	10.3055502	0.4474829086	25.9932233	14.14330139
0.4723430702	9.233693385	10.30514836	0.4723430702	25.99255331	14.14380558
0.4972032318	9.231895373	10.30542596	0.4972032318	25.99267893	14.14414366
0.5220633934	9.231608792	10.30622043	0.5220633934	25.99204903	14.14410126
0.546923555	9.229446114	10.30639515	0.546923555	25.99307971	14.144364
0.5717837166	9.22818717	10.30606374	0.5717837166	25.99087845	14.14431047
0.5966438782	9.224755077	10.30784791	0.5966438782	25.9913385	14.14458563
0.6215040398	9.221281468	10.30821278	0.6215040398	25.99279894	14.14398797
0.6463642014	9.217858883	10.30952176	0.6463642014	25.99297358	14.14429846
0.671224363	9.217456322	10.30977226	0.671224363	25.99546028	14.14403122
0.6960845245	9.203939891	10.31398568	0.6960845245	25.99559682	14.14476954
0.7209446861	9.197779442	10.31392931	0.7209446861	25.99450358	14.14386838
0.7458048477	9.185463976	10.31648094	0.7458048477	25.99522719	14.14507018
0.7706650093	9.163785792	10.31748806	0.7706650093	25.99520438	14.14492018
0.7955251709	9.151401913	10.3211754	0.7955251709	25.99660268	14.14477568
0.8203853325	9.0605517	10.32907417	0.8203853325	25.98864353	14.14810926
0.8452454941	9.038107177	10.35118195	0.8452454941	25.98857122	14.15689688
0.8701056557	8.898511914	10.37943847	0.8701056557	25.98411953	14.1606052
0.8949658173	8.79063001	10.38798817	0.8949658173	25.9732215	14.15583026
0.9198259789	8.665631805	10.39372037	0.9198259789	25.98144646	14.15547235
0.9446861405	8.584129279	10.43336413	0.9446861405	25.98777313	14.17105414
0.9695463021	8.527207947	10.45351608	0.9695463021	25.98327301	14.17801957
0.9944064636	8.465156964	10.45895696	0.9944064636	25.96518655	14.18406367
1.019266625	8.396400865	10.47351189	1.019266625	25.94594808	14.20566704
1.044126787	8.225665134	10.48826925	1.044126787	25.8857401	14.22438657
1.068986948	8.205548953	10.51402483	1.068986948	25.86832606	14.23334502
1.09384711	8.011181934	10.53536018	1.09384711	25.86068959	14.2489702
1.118707272	7.965440872	10.54081345	1.118707272	25.86916896	14.24884028
1.143567433	7.89531831	10.56003367	1.143567433	25.82554327	14.25980055
1.168427595	7.827745173	10.58653027	1.168427595	25.82129027	14.25794438
1.193287756	7.794433161	10.59637857	1.193287756	25.82872321	14.26885645
