SOLendSAME			SOLext		
t	x	y	t	x	y
0.000000000	20.56308918	7.535377195	0.000000000000	27.149999410000	12.899999720000
0.02371466515	20.5649144	7.535241908	0.023714665150	27.149803560000	12.899850690000
0.0474293303	20.56524827	7.535347455	0.047429330300	27.149961030000	12.899901460000
0.07114399545	20.56648172	7.535439871	0.071143995450	27.150164770000	12.900165840000
0.0948586606	20.5660208	7.53557172	0.094858660600	27.149953340000	12.899978560000
0.1185733257	20.56707736	7.535511393	0.118573325700	27.149766770000	12.899987630000
0.1422879909	20.5691664	7.535351219	0.142287990900	27.150132170000	12.900165940000
0.166002656	20.5681593	7.535323002	0.166002656000	27.149968840000	12.900031830000
0.1897173212	20.56842567	7.535373276	0.189717321200	27.150218290000	12.900112930000
0.2134319863	20.56819799	7.535460176	0.213431986300	27.149755450000	12.900258180000
0.2371466515	20.56704575	7.535454357	0.237146651500	27.149777190000	12.900103070000
0.2608613166	20.56745375	7.535400513	0.260861316600	27.149831960000	12.900252520000
0.2845759818	20.56720593	7.535120996	0.284575981800	27.149674430000	12.900023330000
0.3082906469	20.56643653	7.535243728	0.308290646900	27.150574170000	12.900191720000
0.3320053121	20.56672314	7.535000192	0.332005312100	27.150199680000	12.900556600000
0.3557199772	20.56728192	7.535132498	0.355719977200	27.149595850000	12.900227200000
0.3794346424	20.56633361	7.535884453	0.379434642400	27.150180460000	12.900802760000
0.4031493075	20.566758	7.535689259	0.403149307500	27.149438660000	12.900945250000
0.4268639727	20.5673208	7.535536138	0.426863972700	27.149908570000	12.900618390000
0.4505786378	20.56659904	7.535790487	0.450578637800	27.149638750000	12.900497030000
0.474293303	20.56455452	7.53598563	0.474293303000	27.149576970000	12.900917640000
0.4980079681	20.56480522	7.536191146	0.498007968100	27.149017570000	12.900863080000
0.5217226333	20.56581951	7.535862968	0.521722633300	27.149488240000	12.900737660000
0.5454372984	20.56609717	7.536194551	0.545437298400	27.149073170000	12.901076770000
0.5691519636	20.56125889	7.537080733	0.569151963600	27.148851350000	12.901367020000
0.5928666287	20.5538552	7.538555028	0.592866628700	27.148719250000	12.901831970000
0.6165812939	20.54861449	7.539527092	0.616581293900	27.148345200000	12.902342000000
0.640295959	20.53591701	7.542322189	0.640295959000	27.147801660000	12.902784910000
0.6640106242	20.51920584	7.543495319	0.664010624200	27.147721260000	12.903287250000
0.6877252893	20.39267583	7.562905485	0.687725289300	27.146711450000	12.910511650000
0.7114399545	20.34649815	7.56744139	0.711439954500	27.148288150000	12.912613510000
0.7351546196	20.31802371	7.564928949	0.735154619600	27.148774410000	12.914406840000
0.7588692848	20.29201835	7.572919496	0.758869284800	27.150988790000	12.916129660000
0.7825839499	20.24938953	7.596031823	0.782583949900	27.152924740000	12.919158460000
0.8062986151	20.15410903	7.612492616	0.806298615100	27.155380990000	12.927037170000
0.8300132802	20.11559243	7.618967206	0.830013280200	27.157275350000	12.930729860000
0.8537279454	20.04151259	7.626340012	0.853727945400	27.149414660000	12.939383450000
0.8774426105	19.97472679	7.636696297	0.877442610500	27.146325950000	12.952981180000
0.9011572757	19.88937409	7.641455398	0.901157275700	27.145436690000	12.960917800000
0.9248719408	19.80864365	7.646867527	0.924871940800	27.147305340000	12.967053260000
0.948586606	19.74684653	7.662086434	0.948586606000	27.149971030000	12.974035670000
0.9723012711	19.56314707	7.687832439	0.972301271100	27.156266760000	12.981851220000
0.9960159363	19.07955536	7.716314158	0.996015936300	27.169672290000	13.001898150000
1.019730601	18.9186185	7.710066175	1.019730601000	27.167699710000	13.008122040000
1.043445267	18.58143006	7.705620616	1.043445267000	27.160310600000	13.018218710000
1.067159932	18.14984758	7.740180655	1.067159932000	27.158456770000	13.028908630000
1.090874597	17.98476175	7.758948223	1.090874597000	27.142079820000	13.037916590000
1.114589262	17.65558548	7.747356825	1.114589262000	27.129367990000	13.050483090000
1.138303927	17.39991894	7.750003287	1.138303927000	27.114745640000	13.050509540000
1.162018592	17.04597112	7.757746922	1.162018592000	27.114024320000	13.056779260000
1.185733257	16.84385122	7.757129852	1.185733257000	27.122224610000	13.059279540000
1.209447923	16.62925174	7.762636525	1.209447923000	27.127549670000	13.060479660000
1.233162588	16.43770805	7.759986619	1.233162588000	27.139060320000	13.061629440000
1.256877253	16.33717757	7.761719905	1.256877253000	27.138937350000	13.067306990000
1.280591918	15.93511581	7.751377196	1.280591918000	27.125880450000	13.070441670000
1.304306583	15.74222367	7.754183604	1.304306583000	27.122884450000	13.070863650000
1.328021248	15.65635867	7.755176687	1.328021248000	27.125057740000	13.069242770000
1.351735913	15.5302757	7.753929281	1.351735913000	27.123151330000	13.070224200000
1.375450579	15.3956743	7.754325173	1.375450579000	27.125650510000	13.075425390000
1.399165244	15.21251871	7.7550989	1.399165244000	27.084266890000	13.093902620000
1.422879909	15.18758263	7.754677413	1.422879909000	27.092610310000	13.098798790000
1.446594574	15.12225306	7.755959522	1.446594574000	27.087990260000	13.097248710000
1.470309239	15.08319119	7.760878659	1.470309239000	27.095559990000	13.103484770000
1.494023904	15.08013405	7.761354366	1.494023904000	27.099241850000	13.107785810000
1.51773857	15.07370644	7.762011511	1.517738570000	27.096710190000	13.108921200000
1.541453235	15.07231686	7.763619512	1.541453235000	27.094490020000	13.113802620000
1.5651679	15.07059324	7.764972641	1.565167900000	27.098493400000	13.115141190000
1.588882565	15.07420026	7.766721542	1.588882565000	27.087847550000	13.114956040000
1.61259723	15.08049628	7.766323464	1.612597230000	27.083069530000	13.115635570000
1.636311895	15.08164648	7.768132841	1.636311895000	27.083200850000	13.114462320000
1.66002656	14.98726297	7.773392258	1.660026560000	27.079601250000	13.109473710000
1.683741226	14.9636998	7.770826486	1.683741226000	27.077904590000	13.111666310000
1.707455891	14.82229741	7.77167847	1.707455891000	27.079704220000	13.102175290000
1.731170556	14.77645845	7.774593807	1.731170556000	27.075269920000	13.102590410000
1.754885221	14.76063469	7.775214016	1.754885221000	27.078806690000	13.101086130000
1.778599886	14.75034666	7.767887034	1.778599886000	27.077577750000	13.104236510000
1.802314551	14.72269953	7.766817442	1.802314551000	27.079198670000	13.106212720000
1.826029216	14.68786147	7.768449388	1.826029216000	27.078160210000	13.110265460000
1.849743882	14.661485	7.76577161	1.849743882000	27.075594540000	13.112738380000
1.873458547	14.61689605	7.770005321	1.873458547000	27.075672390000	13.114211630000
1.897173212	14.59255537	7.76763371	1.897173212000	27.069798670000	13.116395720000
1.920887877	14.55916979	7.769407129	1.920887877000	27.073790880000	13.116557030000
1.944602542	14.53073744	7.771865918	1.944602542000	27.067674420000	13.117750150000
1.968317207	14.51620105	7.769383831	1.968317207000	27.073545380000	13.118137530000
1.992031873	14.48108508	7.769201332	1.992031873000	27.075782900000	13.120122080000
2.015746538	14.4189858	7.768223201	2.015746538000	27.077832340000	13.121550980000
2.039461203	14.30125111	7.773333163	2.039461203000	27.073908080000	13.122364410000
2.063175868	14.30712562	7.770263011	2.063175868000	27.068963340000	13.123415130000
2.086890533	14.29745346	7.766863629	2.086890533000	27.067151930000	13.123555580000
2.110605198	14.25735341	7.768391525	2.110605198000	27.065673530000	13.125410150000
2.134319863	14.15075238	7.773680622	2.134319863000	27.067774650000	13.128949590000
2.158034529	14.0423219	7.764664483	2.158034529000	27.064340200000	13.131187700000
2.181749194	13.96154247	7.760712701	2.181749194000	27.062018610000	13.130793820000
2.205463859	13.75057964	7.76289228	2.205463859000	27.059402390000	13.130863660000
2.229178524	13.68132452	7.765247977	2.229178524000	27.064216420000	13.124697650000
2.252893189	13.62818588	7.768856538	2.252893189000	27.057894780000	13.120935520000
2.276607854	13.57976429	7.761151283	2.276607854000	27.058792980000	13.122354130000
2.300322519	13.48845498	7.760564716	2.300322519000	27.050759120000	13.116384950000
2.324037185	13.42446809	7.757361691	2.324037185000	27.045831080000	13.117290130000
2.34775185	13.20145928	7.76715529	2.347751850000	27.052759100000	13.108386980000
2.371466515	13.11983399	7.770195945	2.371466515000	27.056684350000	13.106289120000
2.39518118	13.06754215	7.770777084	2.395181180000	27.056320160000	13.107525250000
2.418895845	12.93234498	7.765472641	2.418895845000	27.048008480000	13.096131740000
2.44261051	12.77752739	7.76361605	2.442610510000	27.040157760000	13.094193560000
2.466325175	12.44305737	7.749783846	2.466325175000	27.060855130000	13.077937630000
2.490039841	12.19129157	7.746046854	2.490039841000	27.053075650000	13.060673350000
2.513754506	11.85166174	7.743017574	2.513754506000	26.979671500000	13.042794990000
2.537469171	11.77455348	7.746908027	2.537469171000	26.967815620000	13.043332880000
2.561183836	11.59272681	7.742693762	2.561183836000	26.968660760000	13.030005970000
2.584898501	11.41494705	7.747421224	2.584898501000	26.971886620000	13.029057490000
2.608613166	11.14078446	7.728305558	2.608613166000	26.945464500000	13.020427730000
2.632327832	11.08124361	7.735750147	2.632327832000	26.939452340000	13.021243670000
2.656042497	10.60507945	7.711043725	2.656042497000	26.998640110000	12.991477500000
2.679757162	10.39270903	7.692228282	2.679757162000	27.006830450000	12.978995700000
2.703471827	10.17388773	7.671068974	2.703471827000	26.970325160000	12.965357920000
2.727186492	10.06580077	7.665793028	2.727186492000	26.947039950000	12.967454240000
2.750901157	9.971795891	7.665241345	2.750901157000	26.936241800000	12.966772540000
2.774615822	9.913822631	7.669911905	2.774615822000	26.930626670000	12.967155610000
2.798330488	9.753077606	7.661915517	2.798330488000	26.928735210000	12.964563900000
2.822045153	9.505378239	7.640230305	2.822045153000	26.921345670000	12.951896920000
2.845759818	9.449124946	7.624112947	2.845759818000	26.911254070000	12.952346450000
2.869474483	9.311727442	7.608392942	2.869474483000	26.895038980000	12.943292830000
2.893189148	9.18840375	7.59840117	2.893189148000	26.913373820000	12.931100580000
2.916903813	9.109116196	7.59243921	2.916903813000	26.902375390000	12.916805550000
2.940618478	9.078920176	7.588452689	2.940618478000	26.904837060000	12.911791510000
2.964333144	9.092329736	7.594894764	2.964333144000	26.906579600000	12.910568150000
2.988047809	9.098684519	7.599229951	2.988047809000	26.906973000000	12.908557560000
3.011762474	9.08270021	7.60093384	3.011762474000	26.911428220000	12.908478710000
3.035477139	9.07805119	7.602785906	3.035477139000	26.916065410000	12.908199190000
3.059191804	8.948292815	7.581969621	3.059191804000	26.907292390000	12.896710370000
3.082906469	8.790861355	7.560929707	3.082906469000	26.904137760000	12.890834340000
3.106621135	8.713693506	7.549316622	3.106621135000	26.890025510000	12.884608090000
3.1303358	8.456569994	7.534792151	3.130335800000	26.869710660000	12.845450470000
3.154050465	8.360405688	7.527103046	3.154050465000	26.877627880000	12.826154400000
3.17776513	8.22061122	7.513305156	3.177765130000	26.877445240000	12.815101840000
3.201479795	8.048169373	7.491325401	3.201479795000	26.885262380000	12.808715330000
3.22519446	7.878944542	7.472697779	3.225194460000	26.883187480000	12.798560550000
3.248909125	7.713714005	7.465190243	3.248909125000	26.903086220000	12.763053150000
3.272623791	7.592163924	7.456654709	3.272623791000	26.911711290000	12.748040510000
3.296338456	7.567004666	7.454801254	3.296338456000	26.907230020000	12.742979710000
3.320053121	7.467948848	7.44511852	3.320053121000	26.902542490000	12.741339210000
3.343767786	7.167968298	7.425540496	3.343767786000	26.869278030000	12.724805260000
3.367482451	7.120504088	7.432909142	3.367482451000	26.856227080000	12.724289470000
3.391197116	7.047713732	7.43073665	3.391197116000	26.855049670000	12.717756370000
3.414911781	6.974313618	7.429343127	3.414911781000	26.850967530000	12.713273540000
3.438626447	6.783153651	7.407153018	3.438626447000	26.866563530000	12.707110340000
3.462341112	6.625602427	7.391940975	3.462341112000	26.851402560000	12.689503000000
3.486055777	6.389840319	7.379371616	3.486055777000	26.838017680000	12.673211440000
3.509770442	6.293295237	7.377593445	3.509770442000	26.824595920000	12.659257470000
3.533485107	6.244568774	7.36781673	3.533485107000	26.808374470000	12.648259260000
3.557199772	6.224041172	7.372681387	3.557199772000	26.803845230000	12.650112240000
3.580914437	6.119166213	7.365558219	3.580914437000	26.783292030000	12.643123200000
3.604629103	5.913160153	7.359539741	3.604629103000	26.752448390000	12.617333010000
3.628343768	5.871883953	7.358076534	3.628343768000	26.749090500000	12.611795140000
3.652058433	5.784441304	7.36363318	3.652058433000	26.742279260000	12.601299770000
3.675773098	5.712908693	7.364659259	3.675773098000	26.739839850000	12.595436910000
3.699487763	5.3777001	7.332838687	3.699487763000	26.753905080000	12.590568820000
3.723202428	5.339920159	7.321757968	3.723202428000	26.759071930000	12.582704560000
3.746917094	5.240718423	7.311528874	3.746917094000	26.752540010000	12.575891830000
3.770631759	5.172336572	7.308743794	3.770631759000	26.746888780000	12.573575400000
3.794346424	5.102037362	7.307351869	3.794346424000	26.725736970000	12.576341840000
3.818061089	5.009345816	7.307747454	3.818061089000	26.702779560000	12.571525180000
3.841775754	4.927086134	7.30831657	3.841775754000	26.715784880000	12.562020900000
3.865490419	4.88585743	7.304642368	3.865490419000	26.705356970000	12.548946350000
3.889205084	4.803774907	7.30395063	3.889205084000	26.698761180000	12.536913870000
3.91291975	4.632212201	7.302603919	3.912919750000	26.696959480000	12.524380650000
3.936634415	4.590197325	7.302058255	3.936634415000	26.695194370000	12.523250360000
3.96034908	4.47449186	7.292382246	3.960349080000	26.696239550000	12.512525140000
3.984063745	4.389378962	7.289814084	3.984063745000	26.689744510000	12.508452090000
4.00777841	4.331985798	7.293227274	4.007778410000	26.683126890000	12.508599600000
4.031493075	4.265807138	7.292648185	4.031493075000	26.682745450000	12.509157870000
4.05520774	4.2552908	7.294248867	4.055207740000	26.676455610000	12.504928000000
4.078922406	4.284856346	7.293021835	4.078922406000	26.678069530000	12.507405850000
4.102637071	4.263510592	7.295736804	4.102637071000	26.672606650000	12.506266630000
4.126351736	4.211356312	7.29422163	4.126351736000	26.677252340000	12.509793780000
4.150066401	4.124326394	7.29440973	4.150066401000	26.672268580000	12.506405290000
4.173781066	4.1092439	7.297961186	4.173781066000	26.661367950000	12.501884990000
4.197495731	4.055822682	7.29840591	4.197495731000	26.654374320000	12.503350140000
4.221210397	4.004692665	7.297855017	4.221210397000	26.643838650000	12.500350630000
4.244925062	3.978089701	7.299240498	4.244925062000	26.630514480000	12.504945420000
4.268639727	3.961354798	7.297735761	4.268639727000	26.623262610000	12.508326710000
4.292354392	3.950370968	7.289816536	4.292354392000	26.620454220000	12.509802080000
4.316069057	3.906192622	7.295720147	4.316069057000	26.612738580000	12.512395800000
4.339783722	3.877144757	7.299929152	4.339783722000	26.610326120000	12.514944420000
4.363498387	3.873804078	7.29737657	4.363498387000	26.612004700000	12.517582170000
4.387213053	3.834097361	7.298368352	4.387213053000	26.603649440000	12.518403370000
4.410927718	3.783091678	7.296512596	4.410927718000	26.596409570000	12.520085380000
4.434642383	3.767779348	7.300385302	4.434642383000	26.600457460000	12.520488450000
4.458357048	3.75985844	7.304619629	4.458357048000	26.599205220000	12.520127440000
4.482071713	3.761253116	7.305270631	4.482071713000	26.597840570000	12.521719840000
4.505786378	3.711764814	7.303279535	4.505786378000	26.599307110000	12.522355870000
4.529501043	3.683500801	7.2997934	4.529501043000	26.593471750000	12.525597240000
4.553215709	3.710563554	7.296829717	4.553215709000	26.599125870000	12.525524370000
4.576930374	3.725174241	7.296044115	4.576930374000	26.590542460000	12.526575190000
4.600645039	3.714771789	7.297795417	4.600645039000	26.596525240000	12.525965590000
4.624359704	3.697908644	7.299138293	4.624359704000	26.599936100000	12.526449270000
4.648074369	3.71774384	7.300651391	4.648074369000	26.589587560000	12.528110320000
4.671789034	3.729249695	7.305159339	4.671789034000	26.592013030000	12.528424460000
