SOLfas			SOLext		
t	x	y	t	x	y
1.9807427790	20.2589601700	10.2561064800	1.9807427790	40.6837305300	16.9779530100
1.9990829890	20.1627941400	10.2554661900	1.9990829890	40.6671375100	16.9827311500
2.0174232000	20.0780908900	10.2593204100	2.0174232000	40.6450216400	16.9822709500
2.0357634110	19.9794632100	10.2629218700	2.0357634110	40.6344051000	16.9809891200
2.0541036220	19.8638809900	10.2607711800	2.0541036220	40.6239713800	16.9797859300
2.0724438330	19.8189000000	10.2689145600	2.0724438330	40.6200930000	16.9805217500
2.0907840440	19.7664195500	10.2699755200	2.0907840440	40.6183136200	16.9801511200
2.1091242550	19.6908186300	10.2627669800	2.1091242550	40.6139711500	16.9822581700
2.1274644660	19.6224353800	10.2617576900	2.1274644660	40.6071852100	16.9800419800
2.1458046770	19.5520792200	10.2574523400	2.1458046770	40.6021381500	16.9784313200
2.1641448880	19.5219354900	10.2579561900	2.1641448880	40.6023965000	16.9790262500
2.1824850990	19.4679509100	10.2584539600	2.1824850990	40.5986004500	16.9771369400
2.2008253090	19.4129327600	10.2611273000	2.2008253090	40.6002363300	16.9772811600
2.2191655200	19.3498778800	10.2648909600	2.2191655200	40.6050498000	16.9760191200
2.2375057310	19.3039407600	10.2648595800	2.2375057310	40.6012097400	16.9739929200
2.2558459420	19.2489617800	10.2629230200	2.2558459420	40.6001527700	16.9748247700
2.2741861530	19.2008081500	10.2679908400	2.2741861530	40.5976521100	16.9713603300
2.2925263640	19.1582086900	10.2710882700	2.2925263640	40.5988494700	16.9711838100
2.3108665750	19.0921638400	10.2676524800	2.3108665750	40.5970817300	16.9696285000
2.3292067860	19.0645361100	10.2641037800	2.3292067860	40.5967992000	16.9689074200
2.3475469970	18.9936776000	10.2677014100	2.3475469970	40.5920245400	16.9696165500
2.3658872080	18.9519354100	10.2645568100	2.3658872080	40.5959705000	16.9699271500
2.3842274190	18.9157815700	10.2620835900	2.3842274190	40.5961808500	16.9688209200
2.4025676300	18.8922423600	10.2622011300	2.4025676300	40.5984101100	16.9692864200
2.4209078400	18.8582177100	10.2614447800	2.4209078400	40.5916512500	16.9712082000
2.4392480510	18.7690972000	10.2571635400	2.4392480510	40.5826354300	16.9744575400
2.4575882620	18.7032984500	10.2592818700	2.4575882620	40.5757241800	16.9769102800
2.4759284730	18.6535211300	10.2569532300	2.4759284730	40.5625336800	16.9787951400
2.4942686840	18.6285524900	10.2582551900	2.4942686840	40.5601341100	16.9778823400
2.5126088950	18.5740893700	10.2566854100	2.5126088950	40.5595276800	16.9786719100
2.5309491060	18.5486869400	10.2566296100	2.5309491060	40.5538370000	16.9817395000
2.5492893170	18.5650549000	10.2559681800	2.5492893170	40.5467723900	16.9820603600
2.5676295280	18.5691309100	10.2582487000	2.5676295280	40.5476335100	16.9812953000
2.5859697390	18.5532179300	10.2585380800	2.5859697390	40.5446214700	16.9803875100
2.6043099500	18.4755171100	10.2582545600	2.6043099500	40.5418554700	16.9821715100
2.6226501600	18.4100265000	10.2534631900	2.6226501600	40.5426881000	16.9819603000
2.6409903710	18.4002970000	10.2553366700	2.6409903710	40.5402674600	16.9824735900
2.6593305820	18.3770821200	10.2591906600	2.6593305820	40.5399988300	16.9837049500
2.6776707930	18.3711723800	10.2613861000	2.6776707930	40.5396750300	16.9829675900
2.6960110040	18.3767028600	10.2632669100	2.6960110040	40.5379450300	16.9812932000
2.7143512150	18.3399901600	10.2651641200	2.7143512150	40.5391133700	16.9775414500
2.7326914260	18.3057507300	10.2645516800	2.7326914260	40.5380187500	16.9770596400
2.7510316370	18.2861879500	10.2637230900	2.7510316370	40.5335346100	16.9792151000
2.7693718480	18.2590071600	10.2626381200	2.7693718480	40.5360183000	16.9772858700
2.7877120590	18.2048852200	10.2660183100	2.7877120590	40.5375036000	16.9793797100
2.8060522700	18.1442998900	10.2663823900	2.8060522700	40.5375691100	16.9782379400
2.8243924810	18.1215941600	10.2664320400	2.8243924810	40.5397181500	16.9772261700
2.8427326910	18.0692428400	10.2641090400	2.8427326910	40.5380319300	16.9787425400
2.8610729020	17.9105232800	10.2563840000	2.8610729020	40.5374312500	16.9794895100
2.8794131130	17.8848513300	10.2581583300	2.8794131130	40.5375797900	16.9793493900
2.8977533240	17.8231572300	10.2598401900	2.8977533240	40.5364173500	16.9797541100
2.9160935350	17.7444792400	10.2612335100	2.9160935350	40.5405641500	16.9778442100
2.9344337460	17.7427579500	10.2628388500	2.9344337460	40.5387801900	16.9765167100
2.9527739570	17.7455050100	10.2646542500	2.9527739570	40.5392976700	16.9753830000
2.9711141680	17.7159781000	10.2653413200	2.9711141680	40.5422434700	16.9752935800
2.9894543790	17.6464112600	10.2640892800	2.9894543790	40.5425012300	16.9747884200
3.0077945900	17.5986745600	10.2632215300	3.0077945900	40.5431015400	16.9740225800
3.0261348010	17.5956054100	10.2638013300	3.0261348010	40.5435553400	16.9737406200
3.0444750110	17.5731427100	10.2661433500	3.0444750110	40.5448569000	16.9721881600
3.0628152220	17.4847280000	10.2642730300	3.0628152220	40.5442853800	16.9734180500
3.0811554330	17.3874827500	10.2637923800	3.0811554330	40.5381581600	16.9738231600
3.0994956440	17.3408620100	10.2633671300	3.0994956440	40.5408904400	16.9725964300
3.1178358550	17.3129893600	10.2642108500	3.1178358550	40.5409428000	16.9719572600
3.1361760660	17.2262900700	10.2648622900	3.1361760660	40.5367834100	16.9722870100
3.1545162770	17.1701338900	10.2668208700	3.1545162770	40.5382689900	16.9725087500
3.1728564880	17.1479087600	10.2683279400	3.1728564880	40.5377105200	16.9726162200
3.1911966990	17.1338538400	10.2688186300	3.1911966990	40.5374443200	16.9715913000
3.2095369100	17.1266081700	10.2690373600	3.2095369100	40.5376885100	16.9720643500
