GMfas			GMext		
t	x	y	t	x	y
0.0000000000	27.0536075400	1.1620787820	0.0000000000	47.6939333000	9.9102811860
0.0234417122	27.0536127100	1.1619074090	0.0234417122	47.6937623300	9.9104446920
0.0468834244	27.0537802500	1.1620514210	0.0468834244	47.6939726500	9.9103363380
0.0703251366	27.0536520400	1.1620382640	0.0703251366	47.6937289500	9.9103321980
0.0937668487	27.0536081300	1.1619532370	0.0937668487	47.6936761200	9.9104780450
0.1172085609	27.0519765500	1.1625670910	0.1172085609	47.6925833700	9.9112100290
0.1406502731	27.0515302200	1.1627175710	0.1406502731	47.6924856300	9.9113311350
0.1640919853	27.0531298300	1.1623288200	0.1640919853	47.6926172300	9.9110049160
0.1875336975	27.0538263000	1.1621439100	0.1875336975	47.6926053300	9.9106453670
0.2109754096	27.0537792600	1.1619920810	0.2109754096	47.6928986300	9.9105018550
0.2344171218	27.0535432200	1.1621459330	0.2344171218	47.6931730600	9.9102133210
0.2578588340	27.0538989400	1.1619611070	0.2578588340	47.6934433500	9.9099251540
0.2813005462	27.0540077100	1.1618125040	0.2813005462	47.6936559800	9.9100719470
0.3047422584	27.0527770600	1.1622254720	0.3047422584	47.6928335100	9.9105618150
0.3281839706	27.0528144700	1.1624721130	0.3281839706	47.6927724800	9.9106401390
0.3516256827	27.0518352300	1.1626922090	0.3516256827	47.6930151900	9.9106165130
0.3750673949	27.0514187200	1.1627815390	0.3750673949	47.6926286200	9.9110061390
0.3985091071	27.0501980700	1.1630309100	0.3985091071	47.6923295100	9.9114959810
0.4219508193	27.0498991700	1.1631267850	0.4219508193	47.6916279300	9.9115548270
0.4453925315	27.0500435600	1.1631161900	0.4453925315	47.6913385000	9.9117029270
0.4688342437	27.0494444400	1.1631935710	0.4688342437	47.6914349000	9.9119172760
0.4922759558	27.0496382400	1.1632502130	0.4922759558	47.6907521800	9.9121264940
0.5157176680	27.0506696200	1.1630731710	0.5157176680	47.6912614500	9.9119389180
0.5391593802	27.0515247800	1.1628112030	0.5391593802	47.6912619900	9.9115179430
0.5626010924	27.0516533200	1.1625542600	0.5626010924	47.6924941200	9.9108424090
0.5860428046	27.0514760900	1.1623492390	0.5860428046	47.6915682600	9.9113104720
0.6094845167	27.0516808800	1.1629893870	0.6094845167	47.6913375600	9.9112288940
0.6329262289	27.0537272700	1.1629806720	0.6329262289	47.6922433600	9.9110312820
0.6563679411	27.0485353000	1.1620511180	0.6563679411	47.6915254600	9.9112662250
0.6798096533	27.0450860700	1.1608051390	0.6798096533	47.6906275200	9.9117673990
0.7032513655	27.0273016300	1.1587503870	0.7032513655	47.6906473200	9.9109643770
0.7266930777	26.9840745900	1.1684996630	0.7266930777	47.6898660700	9.9123147540
0.7501347898	26.9274593500	1.1776372650	0.7501347898	47.6884981800	9.9132305340
0.7735765020	26.8815895900	1.1337087770	0.7735765020	47.6886839100	9.9119783220
0.7970182142	26.8074290900	1.1373863440	0.7970182142	47.6889914100	9.9113508690
0.8204599264	26.7182411500	1.1360445580	0.8204599264	47.6871232700	9.9113005290
0.8439016386	26.6859448500	1.1190201020	0.8439016386	47.6883317700	9.9100066730
0.8673433508	26.6222578000	1.1233151330	0.8673433508	47.6901625200	9.9078623220
0.8907850629	26.5280820300	1.1270293060	0.8907850629	47.6927420000	9.9039529860
0.9142267751	26.4124344100	1.1380935590	0.9142267751	47.6935029500	9.9031807530
0.9376684873	26.2668908700	1.1198679140	0.9376684873	47.6861544600	9.9089216190
0.9611101995	26.1088739600	1.1223098880	0.9611101995	47.6851389700	9.9104940800
0.9845519117	25.9944714200	1.1211012780	0.9845519117	47.6841402100	9.9106208790
1.0079936240	25.5859576200	1.1574904290	1.0079936240	47.6805146600	9.9085140000
1.0314353360	25.3302140600	1.1753475970	1.0314353360	47.6675981500	9.9111779970
1.0548770480	25.0750749500	1.2155190920	1.0548770480	47.6723189200	9.9118220100
1.0783187600	24.9166539800	1.2049220650	1.0783187600	47.6743349000	9.9091346250
1.1017604730	24.7031182500	1.2267938090	1.1017604730	47.6767365200	9.9078430490
