GMfas			GMext		
t	x	y	t	x	y
4.0868331850	2.9544010710	2.6443760790	4.0868331850	42.4744070800	7.5031135420
4.1108733800	2.8940396270	2.6503706560	4.1108733800	42.4856703600	7.5044853430
4.1349135750	2.8211585700	2.6678747950	4.1349135750	42.4963673400	7.5078593740
4.1589537710	2.6899193120	2.6818123380	4.1589537710	42.5026097700	7.5155154160
4.1829939660	2.5889643970	2.6883371570	4.1829939660	42.5092752800	7.5207743230
4.2070341610	2.4747199070	2.6967380830	4.2070341610	42.5153933700	7.5289092200
4.2310743560	2.3502567830	2.7131612310	4.2310743560	42.5204977100	7.5408705650
4.2551145520	2.1653841820	2.7361535240	4.2551145520	42.5275473200	7.5530954210
4.2791547470	2.0293644190	2.7490793700	4.2791547470	42.5293567400	7.5588286440
4.3031949420	1.7241705110	2.7864214510	4.3031949420	42.5334653500	7.5683572980
4.3272351370	1.6608466810	2.7927227250	4.3272351370	42.5353068100	7.5696322710
4.3512753320	1.3985141620	2.8297993730	4.3512753320	42.5460452200	7.5856812850
4.3753155280	1.2984750310	2.8288485250	4.3753155280	42.5538092800	7.5941683700
4.3993557230	1.2369951150	2.8475472160	4.3993557230	42.5622470800	7.5965034610
4.4233959180	1.0924834520	2.8654295130	4.4233959180	42.5746816400	7.6145608950
4.4474361130	1.0007144910	2.8813704070	4.4474361130	42.5803055000	7.6223502550
4.4714763080	0.9391564386	2.8858813170	4.4714763080	42.5809927100	7.6289409660
4.4955165040	0.8398174037	2.9083026610	4.4955165040	42.5871443100	7.6315256620
4.5195566990	0.8044399587	2.9098753360	4.5195566990	42.5876096800	7.6344671420
4.5435968940	0.7370235798	2.9183857590	4.5435968940	42.5946136700	7.6386410210
4.5676370890	0.7217041195	2.9289427360	4.5676370890	42.5987518800	7.6414255260
4.5916772840	0.6754940604	2.9413801470	4.5916772840	42.6045640500	7.6437336270
4.6157174800	0.6487204281	2.9412466530	4.6157174800	42.6023716800	7.6473027870
4.6397576750	0.6016491303	2.9466696930	4.6397576750	42.6073368400	7.6618953690
4.6637978700	0.4192416095	2.9669687690	4.6637978700	42.6099346300	7.6779054070
4.6878380650	0.3798133391	2.9689946530	4.6878380650	42.6132634200	7.6824689290
4.7118782600	0.2578522818	2.9869136960	4.7118782600	42.6163358200	7.6907937950
4.7359184560	0.1522100693	2.9978235330	4.7359184560	42.6206481100	7.6977862240
4.7599586510	-0.0096826915	3.0123576750	4.7599586510	42.6174627200	7.7035045940
4.7839988460	-0.2586079026	3.0424716640	4.7839988460	42.6187261800	7.7123097830
4.8080390410	-0.5848719824	3.0840188620	4.8080390410	42.6278270000	7.7401189960
4.8320792360	-0.7507619640	3.1010014470	4.8320792360	42.6242348500	7.7591530870
4.8561194320	-0.9912964041	3.1331330640	4.8561194320	42.6313277900	7.7716257100
4.8801596270	-1.1414347800	3.1480902740	4.8801596270	42.6279500400	7.7772607940
4.9041998220	-1.2696449330	3.1641905540	4.9041998220	42.6339954300	7.7835096590
4.9282400170	-1.4065875630	3.1788875690	4.9282400170	42.6290707700	7.7908128030
4.9522802130	-1.4935305000	3.1899604920	4.9522802130	42.6336362900	7.7956480300
4.9763204080	-1.5956247880	3.1952671520	4.9763204080	42.6309048200	7.8046364850
5.0003606030	-1.8208714570	3.2168738360	5.0003606030	42.6436033800	7.8245407090
5.0244007980	-1.8516569720	3.2259749790	5.0244007980	42.6434459400	7.8288961830
5.0484409930	-2.0023061990	3.2383801920	5.0484409930	42.6409486900	7.8400170050
5.0724811890	-2.0598867280	3.2486656310	5.0724811890	42.6387896800	7.8448469470
5.0965213840	-2.1504706420	3.2561965680	5.0965213840	42.6406680200	7.8493665040
5.1205615790	-2.1853018190	3.2618336160	5.1205615790	42.6355788900	7.8515208070
5.1446017740	-2.2311132890	3.2681150350	5.1446017740	42.6407852600	7.8533322900
5.1686419690	-2.2411122310	3.2704276150	5.1686419690	42.6424136400	7.8561520950
5.1926821650	-2.2527907860	3.2711775440	5.1926821650	42.6404231700	7.8562933900
5.2167223600	-2.3000671990	3.2676097390	5.2167223600	42.6426793300	7.8577943250
5.2407625550	-2.2960269390	3.2712914330	5.2407625550	42.6371966600	7.8574265500
5.2648027500	-2.2995086160	3.2629268120	5.2648027500	42.6377637700	7.8592571760
5.2888429450	-2.3098122880	3.2622560280	5.2888429450	42.6376059800	7.8604690410
5.3128831410	-2.3305901860	3.2701282340	5.3128831410	42.6375738900	7.8647698470
5.3369233360	-2.3418129380	3.2726019580	5.3369233360	42.6396578100	7.8668573330
5.3609635310	-2.3364214340	3.2667426890	5.3609635310	42.6428274500	7.8698536880
5.3850037260	-2.3431672000	3.2759974230	5.3850037260	42.6446677300	7.8702731540
5.4090439210	-2.3223298330	3.2771489390	5.4090439210	42.6430338500	7.8732460470
5.4330841170	-2.3222908550	3.2843256850	5.4330841170	42.6410548800	7.8763851520
5.4571243120	-2.3092281550	3.2865765240	5.4571243120	42.6401112600	7.8709706100
5.4811645070	-2.3073761970	3.2892458290	5.4811645070	42.6388463000	7.8682915340
5.5052047020	-2.2947892900	3.2895755210	5.5052047020	42.6377202900	7.8662986720
5.5292448970	-2.2813163270	3.2882360820	5.5292448970	42.6359856700	7.8652830520
5.5532850930	-2.2860423400	3.2905392920	5.5532850930	42.6354712700	7.8641034050
5.5773252880	-2.2836450720	3.2897373270	5.5773252880	42.6382412500	7.8616808060
5.6013654830	-2.2725296480	3.2877579660	5.6013654830	42.6374576800	7.8591514570
5.6254056780	-2.2288128860	3.2822548840	5.6254056780	42.6352268800	7.8577281160
5.6494458740	-2.1964637940	3.2800755860	5.6494458740	42.6345269700	7.8560177900
5.6734860690	-2.1632368840	3.2779433550	5.6734860690	42.6325168800	7.8536676400
5.6975262640	-2.1275377190	3.2751582810	5.6975262640	42.6316843500	7.8510638380
5.7215664590	-2.1090939230	3.2737906150	5.7215664590	42.6338032900	7.8508004270
5.7456066540	-2.0848570010	3.2733293290	5.7456066540	42.6334831500	7.8491153200
5.7696468500	-2.0455208870	3.2670284850	5.7696468500	42.6326608400	7.8465606520
5.7936870450	-2.0254397120	3.2635637270	5.7936870450	42.6317501700	7.8466602030
5.8177272400	-2.0192131330	3.2642221840	5.8177272400	42.6313941600	7.8451777900
5.8417674350	-1.9894573250	3.2666268300	5.8417674350	42.6277078400	7.8446697190
5.8658076300	-1.9844119210	3.2656297960	5.8658076300	42.6277904200	7.8440151280
5.8898478260	-1.9614722100	3.2645356750	5.8898478260	42.6267066100	7.8440378100
5.9138880210	-1.9394285830	3.2622750730	5.9138880210	42.6252422500	7.8443977530
5.9379282160	-1.9281462880	3.2605183910	5.9379282160	42.6286738400	7.8429110140
5.9619684110	-1.9171450740	3.2602232510	5.9619684110	42.6245305500	7.8442209160
5.9860086060	-1.8958097030	3.2523219820	5.9860086060	42.6249732900	7.8453620580
6.0100488020	-1.8447646480	3.2477015070	6.0100488020	42.6217641400	7.8462897650
6.0340889970	-1.8733648310	3.2603341660	6.0340889970	42.6244266500	7.8511413860
6.0581291920	-1.8601303730	3.2555033470	6.0581291920	42.6266089500	7.8522341430
6.0821693870	-1.8428824500	3.2522797550	6.0821693870	42.6263855400	7.8532769610
6.1062095820	-1.8472969130	3.2509970510	6.1062095820	42.6236913200	7.8523377370
6.1302497780	-1.8378162380	3.2484014990	6.1302497780	42.6235783700	7.8527614190
6.1542899730	-1.8483837290	3.2525971710	6.1542899730	42.6233791000	7.8555233020
6.1783301680	-1.8547497390	3.2510744790	6.1783301680	42.6244480500	7.8546834780
6.2023703630	-1.8554752890	3.2562847710	6.2023703630	42.6227450000	7.8609765960
6.2264105580	-1.8522537400	3.2538904230	6.2264105580	42.6202807100	7.8636329680
6.2504507540	-1.8493180580	3.2518951060	6.2504507540	42.6185588100	7.8635811030
6.2744909490	-1.8351831980	3.2487558550	6.2744909490	42.6204320000	7.8620267700
6.2985311440	-1.8341805440	3.2493257310	6.2985311440	42.6193561200	7.8618836250
6.3225713390	-1.8272352540	3.2493869290	6.3225713390	42.6217995600	7.8614130420
6.3466115340	-1.7890664910	3.2440863050	6.3466115340	42.6192545300	7.8625328430
6.3706517300	-1.7642813750	3.2437587860	6.3706517300	42.6202575000	7.8608540880
6.3946919250	-1.7568883180	3.2446108810	6.3946919250	42.6181438800	7.8652971840
6.4187321200	-1.7393599850	3.2423072990	6.4187321200	42.6175263000	7.8652952960
6.4427723150	-1.6992190170	3.2383338730	6.4427723150	42.6198556600	7.8604526390
6.4668125110	-1.6697844810	3.2343290460	6.4668125110	42.6205518700	7.8629383280
6.4908527060	-1.5859470120	3.2217673700	6.4908527060	42.6216395300	7.8601291260
6.5148929010	-1.4257935000	3.2043362550	6.5148929010	42.6195972100	7.8584768100
6.5389330960	-1.4104453110	3.1980302530	6.5389330960	42.6190180800	7.8589332210
6.5629732910	-1.2668534470	3.1785613260	6.5629732910	42.6188455200	7.8589648360
6.5870134870	-1.1682247140	3.1688524230	6.5870134870	42.6197533500	7.8555849580
6.6110536820	-1.1131453700	3.1596809040	6.6110536820	42.6191419300	7.8538286140
6.6350938770	-1.0622006550	3.1522925330	6.6350938770	42.6194050600	7.8532310890
6.6591340720	-1.0151996240	3.1548931930	6.6591340720	42.6208676300	7.8526390100
6.6831742670	-0.9490127245	3.1504726700	6.6831742670	42.6205548000	7.8532120060
6.7072144630	-0.9101427042	3.1401977900	6.7072144630	42.6207067200	7.8533456650
6.7312546580	-0.6959131615	3.1204017450	6.7312546580	42.6206048100	7.8537197310
6.7552948530	-0.4291964628	3.1270388800	6.7552948530	42.6191035900	7.8506830080
6.7793350480	0.5989188602	2.9762914530	6.7793350480	42.6036664300	7.8040933910
6.8033752430	1.0414653360	2.9333664800	6.8033752430	42.6028569700	7.7862196410
			6.8274154390	42.5890555900	7.6959998270
			6.8514556340	42.5699182100	7.6633522460
			6.8754958290	42.5595429200	7.6138601150
			6.8995360240	42.5183630200	7.4968557570
			6.9235762190	42.4838764900	7.4274953770
			6.9476164150	42.5081673800	7.3847746150
			6.9716566100	42.4868361200	7.3384302990
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
