CALbump			CALext2		
t	x	y	t	x	y
1.72876304	17.40095259	7.91746924	1.72876304	0.4804181982	15.05615204
1.788375559	17.43395864	7.915015308	1.788375559	0.48299744	15.05626901
1.847988077	17.40905028	7.922244471	1.847988077	0.4815373937	15.05659762
1.907600596	17.3725348	7.925768545	1.907600596	0.4819400722	15.05683122
1.967213115	17.36263481	7.933839909	1.967213115	0.4819969121	15.05694112
2.026825633	17.38731258	7.936344742	2.026825633	0.4831137786	15.05718328
2.086438152	17.47790126	7.93900679	2.086438152	0.4821654961	15.05726142
2.146050671	17.51734799	7.940031374	2.146050671	0.4849091776	15.05702488
2.205663189	17.60772777	7.930496883	2.205663189	0.4835507151	15.05715092
2.265275708	17.60649036	7.930053731	2.265275708	0.480790197	15.05701658
2.324888227	17.59214287	7.927919784	2.324888227	0.4934859548	15.05655232
2.384500745	17.64730428	7.921090373	2.384500745	0.4952026244	15.05697485
2.444113264	17.72595162	7.921598877	2.444113264	0.4973635136	15.05638992
2.503725782	17.81575951	7.919628085	2.503725782	0.4968630371	15.05689031
2.563338301	17.83218216	7.923508181	2.563338301	0.496244462	15.05643612
2.62295082	17.78431612	7.920952034	2.62295082	0.5010009561	15.05669308
2.682563338	17.6875139	7.922192467	2.682563338	0.42991971	15.06092002
2.742175857	17.63462869	7.923179852	2.742175857	0.3153423781	15.06063437
2.801788376	17.62300621	7.923898795	2.801788376	0.2668558022	15.05994287
2.861400894	17.63955641	7.921531187	2.861400894	0.2690047419	15.05897974
2.921013413	17.64884193	7.921841862	2.921013413	0.2707793658	15.05851546
2.980625931	17.65027447	7.925307974	2.980625931	0.2590329345	15.05820395
3.04023845	17.64490394	7.924615202	3.04023845	0.2464494651	15.05745387
3.099850969	17.63517573	7.924760949	3.099850969	0.2428301014	15.05710114
3.159463487	17.66035329	7.922710326	3.159463487	0.248196403	15.05710207
3.219076006	17.64641439	7.924146684	3.219076006	0.2329691615	15.05652483
3.278688525	17.63118092	7.926407368	3.278688525	0.2364281179	15.05741986
3.338301043	17.61677039	7.927444963	3.338301043	0.2423598343	15.05744207
3.397913562	17.60391608	7.930068123	3.397913562	0.240888291	15.05751411
3.45752608	17.58194536	7.92730721	3.45752608	0.2404306758	15.05759805
3.517138599	17.60832845	7.926456259	3.517138599	0.2408577389	15.05757109
3.576751118	17.62518429	7.924435973	3.576751118	0.2419646889	15.05744292
3.636363636	17.62869079	7.923396587	3.636363636	0.245152113	15.05705732
3.695976155	17.64281923	7.920487784	3.695976155	0.2457944458	15.05700393
