CALbump2MM			CALext		
t	x	y	t	x	y
0.000000	18.15114361	8.886058702	0.000000000000	-7.440254750000	14.245161900000
0.05961251863	18.16608189	8.884911295	0.059612518630	-7.438842632000	14.245567650000
0.1192250373	18.16515436	8.884828666	0.119225037300	-7.437955869000	14.244631370000
0.1788375559	18.15283036	8.885982119	0.178837555900	-7.438770027000	14.245715930000
0.2384500745	18.14945564	8.887621751	0.238450074500	-7.438582154000	14.245080520000
0.2980625931	18.14120948	8.892703019	0.298062593100	-7.438743296000	14.245451280000
0.3576751118	17.94013684	8.906639628	0.357675111800	-7.443568345000	14.247188690000
0.4172876304	17.79482023	8.935552113	0.417287630400	-7.439276228000	14.247971290000
0.476900149	17.83982137	8.941988671	0.476900149000	-7.436831432000	14.246233100000
0.5365126677	17.8465845	8.949974381	0.536512667700	-7.439232534000	14.250014830000
0.5961251863	17.71285712	8.963788201	0.596125186300	-7.457094715000	14.249116680000
0.6557377049	17.42633979	8.988042112	0.655737704900	-7.586934728000	14.243354250000
0.7153502235	17.28001234	9.013958822	0.715350223500	-7.643328810000	14.227118440000
0.7749627422	17.26128542	9.024535173	0.774962742200	-7.618361683000	14.218331920000
0.8345752608	17.3973653	9.005652739	0.834575260800	-7.627211688000	14.228567420000
0.8941877794	17.41238288	9.018000285	0.894187779400	-7.641302708000	14.234782020000
0.9538002981	17.37960655	9.032621113	0.953800298100	-7.700154194000	14.233684940000
1.013412817	17.27880153	9.035846658	1.013412817000	-7.700840484000	14.231268260000
1.073025335	17.28738829	9.03303917	1.073025335000	-7.703761502000	14.232879580000
1.132637854	17.55815179	9.019922136	1.132637854000	-7.713676526000	14.234327530000
1.192250373	17.55463092	9.027334082	1.192250373000	-7.714579736000	14.235383980000
1.251862891	17.56575816	9.027377316	1.251862891000	-7.708105898000	14.235247380000
1.31147541	17.4870428	9.036349241	1.311475410000	-7.724146763000	14.236422760000
1.371087928	17.37187535	9.031182437	1.371087928000	-7.743568702000	14.234093800000
1.430700447	17.3714002	9.026217778	1.430700447000	-7.759082341000	14.235974810000
1.490312966	17.35616568	9.028197173	1.490312966000	-7.762763065000	14.238720110000
1.549925484	17.41561444	9.014864062	1.549925484000	-7.764869340000	14.243277110000
1.609538003	17.43418495	9.020248143	1.609538003000	-7.758712742000	14.243067020000
1.669150522	17.48101983	9.017512127	1.669150522000	-7.752881312000	14.241462140000
1.72876304	17.54166169	9.012912163	1.728763040000	-7.747304752000	14.244359780000
1.788375559	17.61285057	8.999739716	1.788375559000	-7.739960138000	14.244476570000
1.847988077	17.67748418	8.98890029	1.847988077000	-7.728887037000	14.246026700000
1.907600596	17.71535904	8.970705702	1.907600596000	-7.725050229000	14.250351130000
1.967213115	17.72185958	8.969228984	1.967213115000	-7.734550121000	14.250980480000
2.026825633	17.77788732	8.96659872	2.026825633000	-7.717022967000	14.249476490000
2.086438152	17.79278553	8.962444406	2.086438152000	-7.710379656000	14.251792550000
2.146050671	17.80813204	8.957355101	2.146050671000	-7.703299102000	14.250917590000
2.205663189	17.77992965	8.9646687	2.205663189000	-7.696274689000	14.264115810000
2.265275708	17.79364421	8.963703027	2.265275708000	-7.706462048000	14.255968200000
2.324888227	17.79658664	8.963319303	2.324888227000	-7.729254057000	14.256924850000
2.384500745	17.79924652	8.962961413	2.384500745000	-7.727032948000	14.251727690000
2.444113264	17.83667611	8.961759456	2.444113264000	-7.745610089000	14.248588850000
2.503725782	17.84383809	8.959095154	2.503725782000	-7.753263311000	14.245750210000
2.563338301	17.88041919	8.948514016	2.563338301000	-7.752552613000	14.248460400000
2.62295082	17.889624	8.945373193	2.622950820000	-7.731867410000	14.251946900000
2.682563338	17.92019666	8.944975634	2.682563338000	-7.714397965000	14.250988970000
2.742175857	17.96609323	8.942658877	2.742175857000	-7.710947744000	14.248807490000
2.801788376	17.9886856	8.946039644	2.801788376000	-7.692027798000	14.250767220000
2.861400894	18.06234721	8.937904931	2.861400894000	-7.682450826000	14.245407350000
2.921013413	18.08066153	8.942582719	2.921013413000	-7.689099225000	14.252964420000
2.980625931	18.1482875	8.939423318	2.980625931000	-7.688433172000	14.224448060000
3.04023845	18.2056799	8.937331059	3.040238450000	-7.675982190000	14.235976490000
3.099850969	18.22124837	8.938640946	3.099850969000	-7.714229473000	14.225399330000
3.159463487	18.26025287	8.930424538	3.159463487000	-7.720727392000	14.230421640000
3.219076006	18.31032152	8.920330044	3.219076006000	-7.702021219000	14.229372720000
3.278688525	18.37105461	8.907456875	3.278688525000	-7.696577589000	14.230422440000
3.338301043	18.46316089	8.894229005	3.338301043000	-7.683003237000	14.240444040000
3.397913562	18.51720976	8.897407233	3.397913562000	-7.660406474000	14.246851200000
3.45752608	18.56948718	8.886745701	3.457526080000	-7.669608029000	14.242963770000
3.517138599	18.60567674	8.878834667	3.517138599000	-7.662436630000	14.250503770000
3.576751118	18.62149	8.87335266	3.576751118000	-7.715601024000	14.253228380000
3.636363636	18.67067351	8.868581987	3.636363636000	-7.727756606000	14.257980700000
3.695976155	18.63942332	8.879122114	3.695976155000	-7.729532709000	14.256801860000
3.755588674	18.62723103	8.883183181	3.755588674000	-7.732736488000	14.250760910000
3.815201192	18.61915644	8.883448656	3.815201192000	-7.720017407000	14.236951900000
3.874813711	18.59935421	8.887276194	3.874813711000	-7.709876156000	14.227422380000
3.93442623	18.60519042	8.885469643	3.934426230000	-7.703497358000	14.217907290000
3.994038748	18.59753979	8.886621975	3.994038748000	-7.709369502000	14.218688990000
4.053651267	18.61794391	8.891291596	4.053651267000	-7.712047520000	14.222602520000
4.113263785	18.73170197	8.913147167	4.113263785000	-7.717607260000	14.227683270000
4.172876304	18.8186259	8.930004574	4.172876304000	-7.712908579000	14.225327130000
4.232488823	18.69284094	8.939950924	4.232488823000	-7.717732578000	14.224323910000
4.292101341	18.69627162	8.947858353	4.292101341000	-7.716454187000	14.226976570000
4.35171386	18.67838101	8.954953925	4.351713860000	-7.723892945000	14.229189360000
