SOLfasORS			SOLext		
t	x	y	t	x	y
0.0	11.95903335	9.69012584	0.0	27.831578340000	13.221052340000
0.02371466515	11.95798093	9.68629217	0.023714665150	27.831526040000	13.220853020000
0.0474293303	11.9535919	9.686306323	0.047429330300	27.830714350000	13.221218580000
0.07114399545	11.95716732	9.688783181	0.071143995450	27.831391900000	13.221037280000
0.0948586606	11.9578899	9.687120707	0.094858660600	27.830127240000	13.221595100000
0.1185733257	11.95128914	9.686891156	0.118573325700	27.831948870000	13.220618620000
0.1422879909	11.95822833	9.686869284	0.142287990900	27.831318600000	13.220916960000
0.166002656	11.94746493	9.686889597	0.166002656000	27.830997180000	13.220300290000
0.1897173212	11.95104349	9.676960765	0.189717321200	27.828968380000	13.219353250000
0.2134319863	11.94241025	9.68006283	0.213431986300	27.826466930000	13.218695050000
0.2371466515	11.89091599	9.669860646	0.237146651500	27.828506390000	13.217525610000
0.2608613166	11.83184537	9.658046522	0.260861316600	27.824810070000	13.216134500000
0.2845759818	11.71370413	9.622604149	0.284575981800	27.827016840000	13.212451180000
0.3082906469	11.70189001	9.610790025	0.308290646900	27.828165650000	13.208569150000
0.3320053121	11.69007588	9.634418273	0.332005312100	27.834891130000	13.207230830000
0.3557199772	11.68536392	9.607099859	0.355719977200	27.830104300000	13.206854520000
0.3794346424	11.68220834	9.633484739	0.379434642400	27.834830480000	13.206071170000
0.4031493075	11.65120015	9.645103276	0.403149307500	27.842244270000	13.206098750000
0.4268639727	11.57052083	9.686864918	0.426863972700	27.841694960000	13.205540530000
0.4505786378	11.40078862	9.682325325	0.450578637800	27.843060140000	13.203418200000
0.474293303	11.41273301	9.682354672	0.474293303000	27.842704020000	13.202442930000
0.4980079681	11.34066612	9.681163147	0.498007968100	27.858506030000	13.203975820000
0.5217226333	11.30746927	9.683361899	0.521722633300	27.865736440000	13.207484540000
0.5454372984	11.28520119	9.686431207	0.545437298400	27.885816920000	13.204785840000
0.5691519636	11.1430556	9.679580903	0.569151963600	27.946264800000	13.207763000000
0.5928666287	11.08918673	9.682030491	0.592866628700	27.973529630000	13.210298880000
0.6165812939	11.0078833	9.686145493	0.616581293900	27.987974830000	13.215700890000
