SOLfas			SOLext		
t	x	y	t	x	y
1.8614837120	14.7479915600	10.9152559200	1.8614837120	39.1327844000	16.9868839200
1.8797335520	14.6195906800	10.9092385900	1.8797335520	39.1132335900	16.9873287200
1.8979833930	14.5207133300	10.9079232700	1.8979833930	39.1027103400	16.9864851900
1.9162332330	14.4045414400	10.9136377600	1.9162332330	39.0874124400	16.9866311400
1.9344830730	14.3539287300	10.9145859500	1.9344830730	39.0906613300	16.9854774200
1.9527329140	14.2540638900	10.9176572500	1.9527329140	39.0778659900	16.9869961400
1.9709827540	14.1844301100	10.9180975500	1.9709827540	39.0787269000	16.9866928400
1.9892325940	14.0846246000	10.9198880900	1.9892325940	39.0757888900	16.9854967900
2.0074824350	14.0101930700	10.9218909300	2.0074824350	39.0775893500	16.9860244800
2.0257322750	13.9641185900	10.9205633100	2.0257322750	39.0747674500	16.9868858500
2.0439821150	13.8372395100	10.9196403600	2.0439821150	39.0786040800	16.9855875400
2.0622319550	13.7151844600	10.9219243800	2.0622319550	39.0659239100	16.9858607200
2.0804817960	13.6304283200	10.9215004600	2.0804817960	39.0713710700	16.9875927200
2.0987316360	13.5437411000	10.9208858200	2.0987316360	39.0706022600	16.9878087100
2.1169814760	13.4952191600	10.9210241200	2.1169814760	39.0688325900	16.9876269300
2.1352313170	13.3724840600	10.9205351200	2.1352313170	39.0770551000	16.9867249100
2.1534811570	13.2710873900	10.9201066000	2.1534811570	39.0744970300	16.9874779200
2.1717309970	13.2059603800	10.9225369700	2.1717309970	39.0743364100	16.9862441700
2.1899808380	13.1763297400	10.9233922800	2.1899808380	39.0762328800	16.9856822400
2.2082306780	13.0876911700	10.9208848900	2.2082306780	39.0791510800	16.9843376900
2.2264805180	12.9952243500	10.9230514800	2.2264805180	39.0728610700	16.9835705900
2.2447303590	12.8935221300	10.9244118900	2.2447303590	39.0756685600	16.9825452800
2.2629801990	12.8584909200	10.9259447000	2.2629801990	39.0756615700	16.9826157100
2.2812300390	12.8174210600	10.9279645300	2.2812300390	39.0782657400	16.9821052100
2.2994798800	12.7787527100	10.9268810400	2.2994798800	39.0702558800	16.9832025400
2.3177297200	12.7285660800	10.9284898100	2.3177297200	39.0670409200	16.9837566500
2.3359795600	12.6780300000	10.9289821300	2.3359795600	39.0538514900	16.9826068700
2.3542294000	12.6572277300	10.9291614300	2.3542294000	39.0410690500	16.9832829900
2.3724792410	12.6156089300	10.9301835300	2.3724792410	39.0324779300	16.9838103600
2.3907290810	12.4934401100	10.9294639000	2.3907290810	39.0176015500	16.9867373100
2.4089789210	12.4689172600	10.9298080100	2.4089789210	39.0046065700	16.9870319400
2.4272287620	12.4312903800	10.9319780100	2.4272287620	39.0085697700	16.9880777900
2.4454786020	12.3943877500	10.9307904700	2.4454786020	39.0058032300	16.9885570400
2.4637284420	12.3296416000	10.9301263300	2.4637284420	39.0000357000	16.9884801000
2.4819782830	12.2729950300	10.9331459800	2.4819782830	38.9888790300	16.9879894400
