CALbumpBEST			CALext		
t	x	y	t	x	y
0.000000000000	10.389660900000	7.764114827000	0.000000000000	-15.228167250000	14.853089240000
0.025110486140	10.388318780000	7.764991676000	0.025110486140	-15.229361860000	14.852276090000
0.050220972280	10.388618690000	7.765070995000	0.050220972280	-15.228370890000	14.852499440000
0.075331458420	10.388311700000	7.764666521000	0.075331458420	-15.229733260000	14.852572330000
0.100441944600	10.383271480000	7.765997060000	0.100441944600	-15.229415490000	14.852374710000
0.125552430700	10.385467910000	7.765803540000	0.125552430700	-15.228707250000	14.852423300000
0.150662916800	10.386152740000	7.765248501000	0.150662916800	-15.228947640000	14.852728000000
0.175773403000	10.383455510000	7.767206732000	0.175773403000	-15.229101300000	14.852711440000
0.200883889100	10.385093700000	7.766776628000	0.200883889100	-15.229708330000	14.852581990000
0.225994375300	10.386948070000	7.766076331000	0.225994375300	-15.229671370000	14.852776260000
0.251104861400	10.387432350000	7.766184048000	0.251104861400	-15.228544500000	14.852558940000
0.276215347500	10.387569060000	7.766158964000	0.276215347500	-15.228957970000	14.852378600000
0.301325833700	10.387928780000	7.766061681000	0.301325833700	-15.228652370000	14.852588080000
0.326436319800	10.387478900000	7.765886774000	0.326436319800	-15.228515570000	14.852625990000
0.351546805900	10.385567460000	7.767052621000	0.351546805900	-15.228999790000	14.852620810000
0.376657292100	10.386575850000	7.766308153000	0.376657292100	-15.229158120000	14.852087240000
0.401767778200	10.385340770000	7.766346170000	0.401767778200	-15.228492730000	14.852229690000
0.426878264400	10.387087030000	7.766286258000	0.426878264400	-15.228797680000	14.852849500000
0.451988750500	10.387293100000	7.765857212000	0.451988750500	-15.229288440000	14.852537500000
0.477099236600	10.387991020000	7.766294090000	0.477099236600	-15.228053190000	14.852087140000
0.502209722800	10.388465780000	7.766414075000	0.502209722800	-15.228928800000	14.852834700000
0.527320208900	10.388651690000	7.766534958000	0.527320208900	-15.228524160000	14.852529340000
0.552430695100	10.389633000000	7.765594784000	0.552430695100	-15.228747090000	14.852046090000
