GMfasMMM			GMext		
t	x	y	t	x	y
0.0000000000	17.8717705000	1.2414478120	0.0000000000	45.7694927000	14.4088816600
0.0233530277	17.8729221600	1.2410388840	0.0233530277	45.7690332800	14.4089043400
0.0467060554	17.8735663600	1.2412197360	0.0467060554	45.7691615500	14.4088649800
0.0700590832	17.8721523900	1.2414568230	0.0700590832	45.7689828400	14.4088458200
0.0934121109	17.8713691800	1.2417884640	0.0934121109	45.7688923400	14.4089544700
0.1167651386	17.8711698200	1.2417133920	0.1167651386	45.7687673700	14.4087781000
0.1401181663	17.8706123200	1.2418272080	0.1401181663	45.7690253600	14.4088769400
0.1634711940	17.8721179300	1.2415279680	0.1634711940	45.7692586100	14.4089157300
0.1868242218	17.8721573200	1.2418944550	0.1868242218	45.7685492700	14.4089219700
0.2101772495	17.8694325700	1.2418113580	0.2101772495	45.7691223500	14.4088584300
0.2335302772	17.8709509800	1.2418405880	0.2335302772	45.7690003900	14.4087961000
0.2568833049	17.8721759300	1.2414523270	0.2568833049	45.7687701100	14.4089800800
0.2802363326	17.8724281900	1.2417322140	0.2802363326	45.7684643500	14.4090606300
0.3035893604	17.8722409900	1.2419276950	0.3035893604	45.7685799100	14.4088111900
0.3269423881	17.8706839600	1.2417140770	0.3269423881	45.7683940500	14.4090592100
0.3502954158	17.8705138200	1.2416414780	0.3502954158	45.7681402400	14.4089564500
0.3736484435	17.8727405100	1.2419676490	0.3736484435	45.7682590100	14.4089803800
0.3970014712	17.8718574100	1.2418964510	0.3970014712	45.7682934600	14.4089302100
0.4203544990	17.8714124300	1.2418017300	0.4203544990	45.7678636500	14.4089534500
0.4437075267	17.8723475400	1.2423199020	0.4437075267	45.7678677200	14.4088872000
0.4670605544	17.8718434900	1.2420206820	0.4670605544	45.7677959600	14.4090520500
0.4904135821	17.8692925000	1.2425611110	0.4904135821	45.7673592900	14.4090242800
0.5137666098	17.8687127300	1.2426990810	0.5137666098	45.7676767500	14.4089576300
0.5371196376	17.8703430900	1.2426128360	0.5371196376	45.7678661200	14.4090907400
0.5604726653	17.8695386300	1.2429941810	0.5604726653	45.7676991300	14.4089942000
0.5838256930	17.8694632100	1.2432902070	0.5838256930	45.7673551700	14.4090837100
0.6071787207	17.8683612900	1.2429806220	0.6071787207	45.7678157400	14.4093036900
0.6305317484	17.8685548100	1.2422922480	0.6305317484	45.7669099600	14.4091824600
0.6538847762	17.8630627000	1.2421056060	0.6538847762	45.7673524500	14.4090449000
0.6772378039	17.8535701600	1.2397864860	0.6772378039	45.7675386900	14.4094695000
0.7005908316	17.8301097500	1.2383904820	0.7005908316	45.7670180000	14.4091956300
0.7239438593	17.7578567100	1.2363666410	0.7239438593	45.7669787900	14.4090367700
0.7472968870	17.7379916100	1.1925821140	0.7472968870	45.7660775700	14.4091001500
0.7706499148	17.7068995700	1.1816848130	0.7706499148	45.7662101400	14.4090164600
0.7940029425	17.5769065700	1.1703444240	0.7940029425	45.7663690600	14.4096591600
0.8173559702	17.3313709600	1.0766056830	0.8173559702	45.7663826200	14.4097844600
0.8407089979	17.2095413000	1.0439174440	0.8407089979	45.7659277900	14.4102844000
0.8640620256	17.1271633200	1.0332471090	0.8640620256	45.7666456800	14.4104696700
0.8874150534	16.9415792300	1.0334494580	0.8874150534	45.7660934700	14.4109054800
0.9107680811	16.7095231400	1.0385564620	0.9107680811	45.7670346400	14.4111781800
0.9341211088	16.3924612100	1.0152201930	0.9341211088	45.7678486400	14.4117046000
0.9574741365	16.3279511700	1.0183605910	0.9574741365	45.7682379400	14.4115777100
0.9808271642	16.1302576500	1.0262057440	0.9808271642	45.7687555100	14.4120253900
1.0041801920	16.0142219500	1.0008612390	1.0041801920	45.7689160700	14.4120344400
1.0275332200	15.7045939800	0.9967148936	1.0275332200	45.7676843500	14.4128226700
1.0508862470	15.4878329300	1.0077355130	1.0508862470	45.7687410800	14.4131166400
1.0742392750	15.2954725600	0.9864720036	1.0742392750	45.7679846600	14.4140263800
1.0975923030	15.1379309400	0.9898081552	1.0975923030	45.7683248500	14.4140677600
1.1209453310	15.0984360100	0.9915652844	1.1209453310	45.7680045000	14.4141556600
1.1442983580	14.9787347300	1.0171798670	1.1442983580	45.7689699100	14.4147410900
1.1676513860	14.8512124500	1.0379359290	1.1676513860	45.7684946100	14.4146574000
1.1910044140	14.5423315100	1.0526343540	1.1910044140	45.7687735700	14.4149227500
1.2143574410	14.4972773500	1.0469979300	1.2143574410	45.7701532700	14.4151993700
1.2377104690	14.2397549400	1.0773679050	1.2377104690	45.7701888200	14.4164638900
1.2610634970	14.1126323300	1.0927503680	1.2610634970	45.7680789300	14.4162150500
1.2844165250	14.0678151900	1.0893800770	1.2844165250	45.7684013000	14.4166178300
1.3077695520	13.9497401500	1.1074662890	1.3077695520	45.7679907900	14.4178998100
1.3311225800	13.8253633900	1.1294601080	1.3311225800	45.7687283900	14.4178430400
1.3544756080	13.6423440800	1.1410352880	1.3544756080	45.7684843000	14.4195753400
1.3778286350	13.5460913700	1.1528356820	1.3778286350	45.7665096200	14.4204395700
1.4011816630	13.5106352200	1.1627824410	1.4011816630	45.7682138100	14.4203263500
1.4245346910	13.3445393400	1.1785248790	1.4245346910	45.7678286600	14.4219283300
1.4478877190	13.1929583700	1.1835488230	1.4478877190	45.7683746500	14.4233619200
1.4712407460	13.0589457800	1.1983442980	1.4712407460	45.7687030300	14.4233033700
1.4945937740	12.9572722600	1.2023525430	1.4945937740	45.7668297400	14.4243142800
1.5179468020	12.8552993900	1.2037723070	1.5179468020	45.7691216100	14.4247889100
1.5412998300	12.7612241600	1.2217201800	1.5412998300	45.7709341000	14.4242823700
1.5646528570	12.7362766400	1.2203529450	1.5646528570	45.7696206200	14.4235485500
1.5880058850	12.6328559000	1.2315847940	1.5880058850	45.7707746200	14.4237143000
1.6113589130	12.5671589900	1.2326097890	1.6113589130	45.7692255500	14.4233829500
1.6347119400	12.4240542800	1.2439912670	1.6347119400	45.7699712400	14.4247613400
1.6580649680	12.3344361400	1.2598125580	1.6580649680	45.7701468000	14.4246434900
