GMfasMMM			GMextMMM		
t	x	y	t	x	y
0.0000000000	24.8152135200	0.7120675457	0.0000000000	46.6969970300	13.1746759900
0.0183833667	24.8152482800	0.7119099407	0.0183833667	46.6975076500	13.1749421500
0.0367667335	24.8151032900	0.7116736944	0.0367667335	46.6964582400	13.1746653300
0.0551501002	24.8153623100	0.7117161711	0.0551501002	46.6971133000	13.1747440100
0.0735334669	24.8154422500	0.7119917356	0.0735334669	46.6965406800	13.1747388200
0.0919168337	24.8154662900	0.7120729901	0.0919168337	46.6962446700	13.1746825300
0.1103002004	24.8156549600	0.7118272643	0.1103002004	46.6964386500	13.1747369800
0.1286835671	24.8161798000	0.7118335942	0.1286835671	46.6964571800	13.1747257400
0.1470669338	24.8161866000	0.7120816116	0.1470669338	46.6962941200	13.1745769000
0.1654503006	24.8162018900	0.7119780635	0.1654503006	46.6969484800	13.1745023100
0.1838336673	24.8154176200	0.7116865308	0.1838336673	46.6970347900	13.1746252700
0.2022170340	24.8149961400	0.7116827241	0.2022170340	46.6961638100	13.1747276000
0.2206004008	24.8152566100	0.7118754107	0.2206004008	46.6964055500	13.1745337200
0.2389837675	24.8157748500	0.7119772282	0.2389837675	46.6964188000	13.1746452000
0.2573671342	24.8166279700	0.7120756350	0.2573671342	46.6964431500	13.1743734500
0.2757505009	24.8160312200	0.7121381278	0.2757505009	46.6964031200	13.1746214000
0.2941338677	24.8160251000	0.7124145502	0.2941338677	46.6953631600	13.1747144100
0.3125172344	24.8161353600	0.7124545304	0.3125172344	46.6963703100	13.1748001000
0.3309006011	24.8164406900	0.7123021969	0.3309006011	46.6956676800	13.1745095900
0.3492839679	24.8160179500	0.7121939884	0.3492839679	46.6961337300	13.1744648900
0.3676673346	24.8162389300	0.7127388877	0.3676673346	46.6955776200	13.1744431400
0.3860507013	24.8147351900	0.7131104192	0.3860507013	46.6958525200	13.1745238800
0.4044340681	24.8146280500	0.7132935846	0.4044340681	46.6957505500	13.1746319400
0.4228174348	24.8147328900	0.7132013652	0.4228174348	46.6956081400	13.1746290000
0.4412008015	24.8150728200	0.7132614502	0.4412008015	46.6964298100	13.1747098200
0.4595841682	24.8141924600	0.7135883197	0.4595841682	46.6956766900	13.1747481200
0.4779675350	24.8140263800	0.7135010849	0.4779675350	46.6951912100	13.1748033800
0.4963509017	24.8136282500	0.7129261034	0.4963509017	46.6956422900	13.1749203000
0.5147342684	24.8132899000	0.7129193158	0.5147342684	46.6952887000	13.1748303900
0.5331176352	24.8139536200	0.7128303531	0.5331176352	46.6963348600	13.1748284600
0.5515010019	24.8144730300	0.7130454634	0.5515010019	46.6954510400	13.1747714600
0.5698843686	24.8160208800	0.7131165627	0.5698843686	46.6951008900	13.1746453500
0.5882677354	24.8158798000	0.7129350293	0.5882677354	46.6953464400	13.1746458700
0.6066511021	24.8158877300	0.7126240442	0.6066511021	46.6956258100	13.1749297000
0.6250344688	24.8157483100	0.7130117771	0.6250344688	46.6952167100	13.1746998400
0.6434178355	24.8164094900	0.7129967665	0.6434178355	46.6955858400	13.1746530100
0.6618012023	24.8159630800	0.7130098650	0.6618012023	46.6957346200	13.1748379800
0.6801845690	24.8159120700	0.7132725757	0.6801845690	46.6952306000	13.1747637100
0.6985679357	24.8162403600	0.7142007999	0.6985679357	46.6950155000	13.1748394500
0.7169513025	24.8166628800	0.7148964783	0.7169513025	46.6960298200	13.1750279100
0.7353346692	24.8178273700	0.7152420932	0.7353346692	46.6952729700	13.1748206200
0.7537180359	24.8178607500	0.7151695985	0.7537180359	46.6956868400	13.1748064900
0.7721014027	24.8166875300	0.7156484734	0.7721014027	46.6953554000	13.1748643600
0.7904847694	24.8165533800	0.7169948745	0.7904847694	46.6952207600	13.1750890200
0.8088681361	24.8175590000	0.7171993177	0.8088681361	46.6948234400	13.1750066600
0.8272515028	24.8203730900	0.7168738953	0.8272515028	46.6957310300	13.1749809600
0.8456348696	24.8205558800	0.7165700905	0.8456348696	46.6954872100	13.1750712100
0.8640182363	24.8230232700	0.7181506163	0.8640182363	46.6951131400	13.1750298100
0.8824016030	24.8249502600	0.7198617587	0.8824016030	46.6947897300	13.1753255500
0.9007849698	24.8300708700	0.7213061124	0.9007849698	46.6951509000	13.1753243300
0.9191683365	24.8331322300	0.7210577415	0.9191683365	46.6953457200	13.1753925400
0.9375517032	24.8342205800	0.7212145398	0.9375517032	46.6955308700	13.1753279900
0.9559350699	24.8311761400	0.7224157804	0.9559350699	46.6949556500	13.1752790800
0.9743184367	24.8283053300	0.7213108269	0.9743184367	46.6952038800	13.1758546700
0.9927018034	24.8290756900	0.7209079546	0.9927018034	46.6948919000	13.1754662300
1.0110851700	24.8291263200	0.7199417418	1.0110851700	46.6955581900	13.1757589200
1.0294685370	24.8295344300	0.7202909539	1.0294685370	46.6960913800	13.1758128900
1.0478519040	24.8286726000	0.7199085443	1.0478519040	46.6953277000	13.1760488900
1.0662352700	24.8306212100	0.7188567705	1.0662352700	46.6948193900	13.1758022400
1.0846186370	24.8325582900	0.7180218928	1.0846186370	46.6953752100	13.1759843300
1.1030020040	24.8279316100	0.7174450445	1.1030020040	46.6956269100	13.1758352100
1.1213853710	24.8138249100	0.7147728257	1.1213853710	46.6959482800	13.1762208800
1.1397687370	24.6814829600	0.7148475788	1.1397687370	46.6959974400	13.1771236700
1.1581521040	24.3941326200	0.7287822288	1.1581521040	46.6970322900	13.1783934300
1.1765354710	24.0264880800	0.7850729008	1.1765354710	46.6973012300	13.1814236900
1.1949188370	23.7628033400	0.8118702392	1.1949188370	46.6990421100	13.1829399300
1.2133022040	23.2206327900	0.8805670346	1.2133022040	46.7018523400	13.1876082100
1.2316855710	22.7159297100	0.8916306220	1.2316855710	46.7033848200	13.1955113000
1.2500689380	21.9822371000	0.9601284638	1.2500689380	46.7054586800	13.2092921500
1.2684523040	21.6207518700	0.9672396270	1.2684523040	46.6805891100	13.2206901400
1.2868356710	20.8844496700	1.0643017540	1.2868356710	46.6876572500	13.2381223600
1.3052190380	20.2031186600	1.1606973420	1.3052190380	46.6909365200	13.2449131900
1.3236024050	19.4820554100	1.2461431170	1.3236024050	46.6928726400	13.2483562200
1.3419857710	18.9725270200	1.3249194470	1.3419857710	46.6960758200	13.2507537600
1.3603691380	18.4177182800	1.3909303460	1.3603691380	46.6947418500	13.2532897100
1.3787525050	18.2200374800	1.4176024430	1.3787525050	46.6948054700	13.2552582100
1.3971358710	17.7790860100	1.4623267990	1.3971358710	46.6944958500	13.2598589100
1.4155192380	17.4398792200	1.5462782300	1.4155192380	46.6944351000	13.2669429000
1.4339026050	17.1737238100	1.5873600190	1.4339026050	46.6943361700	13.2713306000
1.4522859720	16.8008820600	1.6305100880	1.4522859720	46.6983460800	13.2791736600
1.4706693380	16.6396328600	1.6417501610	1.4706693380	46.6995110300	13.2826357400
1.4890527050	16.3351781800	1.6795453970	1.4890527050	46.6590151100	13.3026637200
1.5074360720	15.9518825700	1.7460248050	1.5074360720	46.6591921900	13.3120608600
1.5258194390	15.6844276100	1.7928626700	1.5258194390	46.6647856700	13.3175334300
1.5442028050	15.4643000900	1.8196563160	1.5442028050	46.6641864000	13.3205447200
1.5625861720	15.3724975400	1.8339291570	1.5625861720	46.6631692100	13.3218669500
1.5809695390	15.2177994500	1.8609428130	1.5809695390	46.6593033200	13.3243131000
1.5993529050	14.9647273200	1.9269199260	1.5993529050	46.6728972200	13.3244899400
1.6177362720	14.7195447600	1.9520423570	1.6177362720	46.6689242600	13.3279879100
1.6361196390	14.6467723300	1.9676825260	1.6361196390	46.6693247200	13.3297998800
1.6545030060	14.4590083400	1.9968355040	1.6545030060	46.6627639600	13.3317385900
1.6728863720	14.1693543900	2.0569507590	1.6728863720	46.6625189900	13.3328321000
1.6912697390	13.9862062100	2.0954596780	1.6912697390	46.6600050000	13.3349088300
1.7096531060	13.7686196300	2.1303272750	1.7096531060	46.6576357000	13.3356366300
1.7280364730	13.6513887100	2.1498773420	1.7280364730	46.6564559200	13.3365658900
1.7464198390	13.3750890100	2.2054242970	1.7464198390	46.6533960700	13.3381431400
1.7648032060	13.1586734000	2.2406264830	1.7648032060	46.6527024100	13.3407132600
1.7831865730	12.9426272200	2.2701751970	1.7831865730	46.6532782800	13.3436736800
1.8015699400	12.7269577600	2.2931023600	1.8015699400	46.6541565600	13.3466272800
1.8199533060	12.6240317100	2.3012692820	1.8199533060	46.6528829800	13.3484998700
1.8383366730	12.4355809600	2.3303783430	1.8383366730	46.6522020700	13.3484501500
1.8567200400	12.2635786900	2.3422527400	1.8567200400	46.6511481300	13.3521082300
1.8751034060	12.1131016000	2.3508957860	1.8751034060	46.6524789500	13.3536198100
1.8934867730	11.9568097100	2.3659014290	1.8934867730	46.6520514300	13.3557035200
1.9118701400	11.8837260900	2.3650749810	1.9118701400	46.6533678300	13.3534737300
1.9302535070	11.7438610500	2.3824177780	1.9302535070	46.6535262800	13.3561753200
1.9486368730	11.5854470200	2.4003112340	1.9486368730	46.6505025700	13.3568285400
1.9670202400	11.4326658500	2.4186633830	1.9670202400	46.6524024800	13.3572375200
1.9854036070	11.2847983800	2.4304705340	1.9854036070	46.6525116200	13.3582371700
2.0037869740	11.1789796900	2.4362260790	2.0037869740	46.6520143700	13.3571288900
2.0221703400	10.8975352100	2.4836149680	2.0221703400	46.6518739100	13.3574609900
2.0405537070	10.7390324600	2.5166228420	2.0405537070	46.6527532900	13.3604102500
2.0589370740	10.5610313100	2.5407010560	2.0589370740	46.6531104800	13.3614038500
2.0773204400	10.4740115800	2.5488337990	2.0773204400	46.6524034200	13.3602268200
2.0957038070	10.3040168000	2.5639111630	2.0957038070	46.6523353100	13.3635424000
2.1140871740	10.1522129500	2.5786100940	2.1140871740	46.6190100800	13.3721012000
2.1324705410	10.0217755900	2.5895761990	2.1324705410	46.6230287000	13.3792959200
2.1508539070	9.9010466960	2.6021822790	2.1508539070	46.6254894800	13.3859972900
2.1692372740	9.8651126260	2.6036876540	2.1692372740	46.6280512800	13.3880875500
2.1876206410	9.7601987160	2.6170153000	2.1876206410	46.6289256400	13.3910929300
2.2060040080	9.7009224760	2.6169421800	2.2060040080	46.6295640600	13.3943111400
2.2243873740	9.6355998700	2.6248361480	2.2243873740	46.6305309800	13.3962462800
2.2427707410	9.6114276610	2.6248023650	2.2427707410	46.6313933800	13.3972435900
2.2611541080	9.5973299030	2.6302659460	2.2611541080	46.6331862800	13.3983916500
2.2795374740	9.5451409510	2.6295578850	2.2795374740	46.6330216900	13.3999773900
2.2979208410	9.4789091110	2.6345682140	2.2979208410	46.6344499900	13.4007391700
2.3163042080	9.4139820720	2.6430002700	2.3163042080	46.6355394200	13.4017422800
2.3346875750	9.2978420850	2.6539470980	2.3346875750	46.6351079900	13.4029833500
2.3530709410	9.2501161420	2.6513822500	2.3530709410	46.6354321600	13.4039443400
2.3714543080	9.1412650540	2.6565621070	2.3714543080	46.6357456800	13.4052860900
2.3898376750	9.0094702660	2.6702338550	2.3898376750	46.6344695800	13.4075483800
2.4082210420	8.8694196130	2.6687727320	2.4082210420	46.6351145700	13.4094836300
2.4266044080	8.7107265770	2.6814879280	2.4266044080	46.6348037300	13.4113886400
2.4449877750	8.6332050350	2.6925118820	2.4449877750	46.6348326600	13.4126615000
2.4633711420	8.4756347180	2.7030379600	2.4633711420	46.6346515400	13.4145418300
2.4817545090	8.3379751970	2.7128563600	2.4817545090	46.6350931800	13.4181795200
2.5001378750	8.2223393620	2.7228483950	2.5001378750	46.6368400300	13.4206112000
2.5185212420	8.1472347510	2.7206450210	2.5185212420	46.6345413400	13.4224170800
2.5369046090	8.1078299840	2.7299872300	2.5369046090	46.6367211200	13.4225222000
2.5552879750	8.0099142510	2.7360822430	2.5552879750	46.6356136200	13.4249795900
2.5736713420	7.9547056820	2.7468750090	2.5736713420	46.6358323800	13.4278877300
2.5920547090	7.9195541940	2.7476427260	2.5920547090	46.6359718200	13.4275281700
2.6104380760	7.9027912000	2.7490144340	2.6104380760	46.6355799400	13.4280840700
2.6288214420	7.8862550590	2.7552999210	2.6288214420	46.6359778200	13.4269425300
2.6472048090	7.8455559200	2.7605798020	2.6472048090	46.6355842900	13.4266246200
2.6655881760	7.8995415960	2.7682267840	2.6655881760	46.6360207700	13.4255007600
2.6839715430	7.9658834220	2.7734220390	2.6839715430	46.6366524500	13.4221381200
2.7023549090	7.9584968340	2.7683782820	2.7023549090	46.6375379800	13.4192864900
2.7207382760	7.9453555460	2.7662914320	2.7207382760	46.6380477600	13.4190230500
2.7391216430	7.9403942140	2.7676357580	2.7391216430	46.6379057100	13.4175393800
2.7575050090	7.9422087580	2.7693050180	2.7575050090	46.6408032700	13.4171985400
2.7758883760	7.9393669600	2.7709689480	2.7758883760	46.6389214200	13.4176642700
2.7942717430	7.9379497950	2.7707691940	2.7942717430	46.6395829100	13.4180188300
2.8126551100	7.9293327690	2.7685114550	2.8126551100	46.6374425400	13.4168330400
2.8310384760	7.9314525090	2.7697272540	2.8310384760	46.6383284800	13.4166788500
2.8494218430	7.9349638580	2.7718153130	2.8494218430	46.6353693000	13.4153085900
2.8678052100	7.9275975560	2.7698140060	2.8678052100	46.6344238500	13.4178674600
2.8861885770	7.9230768990	2.7684900820	2.8861885770	46.6349465700	13.4172296300
2.9045719430	7.9180750760	2.7682349780	2.9045719430	46.6351833500	13.4178917000
2.9229553100	7.9004702170	2.7693255070	2.9229553100	46.6353576400	13.4161159100
2.9413386770	7.8855018230	2.7749279120	2.9413386770	46.6369891500	13.4167171800
2.9597220430	7.9013356240	2.7791090610	2.9597220430	46.6353877200	13.4174679000
2.9781054100	7.9242110250	2.7781497310	2.9781054100	46.6349290100	13.4161281300
2.9964887770	7.9445485160	2.7741840580	2.9964887770	46.6350324100	13.4146276200
3.0148721440	7.9489664770	2.7702268660	3.0148721440	46.6348047900	13.4140983600
3.0332555100	7.9400487920	2.7691846960	3.0332555100	46.6350323200	13.4127580500
3.0516388770	7.9255261280	2.7688357340	3.0516388770	46.6345963100	13.4136665800
3.0700222440	7.9151350120	2.7693720420	3.0700222440	46.6348741700	13.4136643600
3.0884056110	7.9109571830	2.7705765690	3.0884056110	46.6364430000	13.4138948800
3.1067889770	7.8935247040	2.7716710410	3.1067889770	46.6331784700	13.4145291400
3.1251723440	7.8861278930	2.7740021840	3.1251723440	46.6345854400	13.4157297700
3.1435557110	7.8977149840	2.7756908410	3.1435557110	46.6368894000	13.4140046600
3.1619390780	7.9173581190	2.7804341110	3.1619390780	46.6371291600	13.4136600500
3.1803224440	7.9057934440	2.7768634560	3.1803224440	46.6360619200	13.4140540900
3.1987058110	7.8998497840	2.7773430720	3.1987058110	46.6376477700	13.4146231200
3.2170891780	7.8963649770	2.7773623070	3.2170891780	46.6371804200	13.4138723200
3.2354725440	7.8981389960	2.7761386770	3.2354725440	46.6375065100	13.4129690200
3.2538559110	7.9003227290	2.7762681840	3.2538559110	46.6373773200	13.4134922700
3.2722392780	7.8901129120	2.7802599240	3.2722392780	46.6366999500	13.4131665800
3.2906226450	7.8771216070	2.7819938640	3.2906226450	46.6384891300	13.4132911400
3.3090060110	7.8635791140	2.7819046020	3.3090060110	46.6388542600	13.4130553200
3.3273893780	7.8238543340	2.7811475290	3.3273893780	46.6385447300	13.4138005100
3.3457727450	7.8070177970	2.7851437870	3.3457727450	46.6378939800	13.4142930800
3.3641561120	7.7730472320	2.7890202860	3.3641561120	46.6377412000	13.4143138800
3.3825394780	7.7333501390	2.7944950630	3.3825394780	46.6397120200	13.4158615000
3.4009228450	7.7019293290	2.7977343730	3.4009228450	46.6405768400	13.4157018700
3.4193062120	7.6679072300	2.8044506900	3.4193062120	46.6400489300	13.4164134700
3.4376895780	7.6476638770	2.8014817100	3.4376895780	46.6409639500	13.4154379600
3.4560729450	7.6232772060	2.7987549720	3.4560729450	46.6408533000	13.4168001900
3.4744563120	7.6202930190	2.7974305090	3.4744563120	46.6402498600	13.4174967200
3.4928396790	7.6052164960	2.7969724600	3.4928396790	46.6388899900	13.4169983300
3.5112230450	7.5974465470	2.7957022120	3.5112230450	46.6397021400	13.4169563500
3.5296064120	7.6044250680	2.7954735240	3.5296064120	46.6398196300	13.4161561000
3.5479897790	7.6261882810	2.7951713460	3.5479897790	46.6394571300	13.4150756100
3.5663731460	7.6455087010	2.7972041120	3.5663731460	46.6399692000	13.4149968700
3.5847565120	7.6425955180	2.7962754010	3.5847565120	46.6395385900	13.4142695800
3.6031398790	7.6429840320	2.7966457800	3.6031398790	46.6384978700	13.4142517000
3.6215232460	7.6643831120	2.7995429740	3.6215232460	46.6382534500	13.4134849400
3.6399066120	7.6853540250	2.7939198230	3.6399066120	46.6392631200	13.4125847400
3.6582899790	7.7228745510	2.7879432210	3.6582899790	46.6396028900	13.4115251600
3.6766733460	7.7260698140	2.7861414920	3.6766733460	46.6402519800	13.4106119500
3.6950567130	7.7207518130	2.7859986070	3.6950567130	46.6398132100	13.4111625100
3.7134400790	7.7263797680	2.7844442470	3.7134400790	46.6393572600	13.4104170900
3.7318234460	7.7254800200	2.7871316150	3.7318234460	46.6389620400	13.4103742200
3.7502068130	7.7468754800	2.7864228180	3.7502068130	46.6392585900	13.4096225800
3.7685901800	7.7538637220	2.7831183290	3.7685901800	46.6387882900	13.4093650400
3.7869735460	7.7636439800	2.7811024280	3.7869735460	46.6390192100	13.4095846400
3.8053569130	7.7556829000	2.7792269850	3.8053569130	46.6413072000	13.4093507400
3.8237402800	7.7346798590	2.7806299600	3.8237402800	46.6414003000	13.4097156900
3.8421236470	7.7248934050	2.7810467060	3.8421236470	46.6408400400	13.4097313100
3.8605070130	7.7261516870	2.7817167410	3.8605070130	46.6414558300	13.4099436300
3.8788903800	7.7127732210	2.7806139620	3.8788903800	46.6406727200	13.4099912700
3.8972737470	7.6953078160	2.7788365960	3.8972737470	46.6406135200	13.4102369100
3.9156571130	7.7003380190	2.7822451490	3.9156571130	46.6413235500	13.4102178300
3.9340404800	7.7045654270	2.7868185390	3.9340404800	46.6419807100	13.4092347000
3.9524238470	7.7131683470	2.7890077060	3.9524238470	46.6404873500	13.4089932400
3.9708072140	7.7156858540	2.7876987430	3.9708072140	46.6402949800	13.4087509200
3.9891905800	7.7308836700	2.7863608770	3.9891905800	46.6400981700	13.4084565600
4.0075739470	7.7523036300	2.7846720160	4.0075739470	46.6416722700	13.4076014500
4.0259573140	7.7841818660	2.7834908040	4.0259573140	46.6407880900	13.4075844400
4.0443406810	7.8001717550	2.7825088350	4.0443406810	46.6404914600	13.4077629000
4.0627240470	7.8036196970	2.7810914030	4.0627240470	46.6407103300	13.4072575900
4.0811074140	7.8328197920	2.7752503310	4.0811074140	46.6405906800	13.4069906900
4.0994907810	7.8654631290	2.7718566360	4.0994907810	46.6405927100	13.4061676100
4.1178741470	7.8999491060	2.7618190840	4.1178741470	46.6399236300	13.4060234100
4.1362575140	7.9371909680	2.7534712080	4.1362575140	46.6384639900	13.4053278300
4.1546408810	7.9519485520	2.7513266220	4.1546408810	46.6396197500	13.4055019800
4.1730242480	7.9982496520	2.7417697230	4.1730242480	46.6388404900	13.4047193800
4.1914076140	8.0339218970	2.7449575420	4.1914076140	46.6397053000	13.4043358100
4.2097909810	8.0443365870	2.7339441880	4.2097909810	46.6383803900	13.4040620800
4.2281743480	8.0578833690	2.7232369710	4.2281743480	46.6381936400	13.4040409800
4.2465577150	8.0702512150	2.7233570440	4.2465577150	46.6379893000	13.4039901800
4.2649410810	8.1057163400	2.7298056460	4.2649410810	46.6377797100	13.4035446200
4.2833244480	8.1175196750	2.7185953480	4.2833244480	46.6382630900	13.4028208300
4.3017078150	8.2122752850	2.6888822990	4.3017078150	46.6361983500	13.4022035300
4.3200911810	8.2163761700	2.6784537980	4.3200911810	46.6367778500	13.4022805700
4.3384745480	8.2267333610	2.6687714080	4.3384745480	46.6363601900	13.4018972700
4.3568579150	8.2720240760	2.6619297790	4.3568579150	46.6365887800	13.4022768300
4.3752412820	8.3393640340	2.6581862010	4.3752412820	46.6352697500	13.4016589800
4.3936246480	8.3764702950	2.6561805750	4.3936246480	46.6360357300	13.4006869900
4.4120080150	8.3969389740	2.6553663790	4.4120080150	46.6369333300	13.4009278500
4.4303913820	8.4065311560	2.6550816140	4.4303913820	46.6360058300	13.4007598400
4.4487747490	8.4370986660	2.6471180730	4.4487747490	46.6354845200	13.3997669600
4.4671581150	8.4869214820	2.6389378730	4.4671581150	46.6355029800	13.3998481600
4.4855414820	8.5491446220	2.6416797340	4.4855414820	46.6347785400	13.3990047100
4.5039248490	8.5823447870	2.6378128740	4.5039248490	46.6349323900	13.3986242400
4.5223082160	8.6480163320	2.6257568590	4.5223082160	46.6351946100	13.3980002600
4.5406915820	8.7410932430	2.6136040910	4.5406915820	46.6339822900	13.3955831700
4.5590749490	8.9484981070	2.5579488770	4.5590749490	46.6335340400	13.3950169800
			4.5774583160	46.6334921300	13.3926511000
			4.5958416820	46.6293546300	13.3903401300
			4.6142250490	46.6264735100	13.3792553400
			4.6326084160	46.6512587600	13.3628063300
			4.6509917830	46.6463191500	13.3497660400
			4.6693751490	46.6449093900	13.3411889400
