GMfasBEST1MMM			GMext		
t	x	y	t	x	y
0.0000000000	13.3329427100	1.4129750710	0.0000000000	41.3901336500	14.2299004800
0.0230547550	13.3320820400	1.4125840380	0.0230547550	41.3897473300	14.2302889400
0.0461095101	13.3341375100	1.4128287600	0.0461095101	41.3892811500	14.2303577200
0.0691642651	13.3368959700	1.4131128840	0.0691642651	41.3905613100	14.2298819600
0.0922190202	13.3354170100	1.4126750500	0.0922190202	41.3901951800	14.2299409900
0.1152737752	13.3362451300	1.4124768110	0.1152737752	41.3904132400	14.2300426300
0.1383285303	13.3429389500	1.4129519960	0.1383285303	41.3898341300	14.2302851900
0.1613832853	13.3535835600	1.4127174590	0.1613832853	41.3900395500	14.2299678000
0.1844380403	13.3571423700	1.4128784870	0.1844380403	41.3907646200	14.2299303900
0.2074927954	13.3546862000	1.4123063280	0.2074927954	41.3901343500	14.2300714300
0.2305475504	13.3526680400	1.4118925430	0.2305475504	41.3900420700	14.2300021300
0.2536023055	13.3457246400	1.4114533520	0.2536023055	41.3892284900	14.2302160300
0.2766570605	13.3504770200	1.4125148180	0.2766570605	41.3894229400	14.2301714500
0.2997118156	13.3493571300	1.4131075820	0.2997118156	41.3898676900	14.2300937400
0.3227665706	13.3405981700	1.4130851490	0.3227665706	41.3897029700	14.2302977200
0.3458213256	13.3362632500	1.4134858200	0.3458213256	41.3897802700	14.2303140500
0.3688760807	13.3383184200	1.4143502150	0.3688760807	41.3899613900	14.2302437600
0.3919308357	13.3381018700	1.4142333580	0.3919308357	41.3899259900	14.2301779400
0.4149855908	13.3335454500	1.4144647810	0.4149855908	41.3900807300	14.2303569800
0.4380403458	13.3344230200	1.4154137050	0.4380403458	41.3893419800	14.2304705000
0.4610951009	13.3379686500	1.4160537250	0.4610951009	41.3897172700	14.2303324300
0.4841498559	13.3366868400	1.4165623560	0.4841498559	41.3905127300	14.2301782300
0.5072046110	13.3381686900	1.4164157860	0.5072046110	41.3901542700	14.2301598700
0.5302593660	13.3434925800	1.4168000440	0.5302593660	41.3906574000	14.2299778500
0.5533141210	13.3403860500	1.4164755750	0.5533141210	41.3898378200	14.2300486100
