GMfascBEST			GMext		
0.6293723221	33.2848826300	2.1345305170	0.6293723221	45.7901606400	16.7127260900
0.6535789499	33.2854059700	2.1348230210	0.6535789499	45.7901703100	16.7127549400
0.6777855777	33.2875288400	2.1345659360	0.6777855777	45.7904643400	16.7124780000
0.7019922055	33.2854421300	2.1336941730	0.7019922055	45.7898430800	16.7126811600
0.7261988332	33.2850646800	2.1335891960	0.7261988332	45.7896958700	16.7123973400
0.7504054610	33.2854690300	2.1333063490	0.7504054610	45.7898136800	16.7123644100
0.7746120888	33.2836616500	2.1327468900	0.7746120888	45.7897985400	16.7123689200
0.7988187166	33.2776436400	2.1346808970	0.7988187166	45.7897534800	16.7129143300
0.8230253443	33.2849546700	2.1345123230	0.8230253443	45.7893704900	16.7126116100
0.8472319721	33.2863500500	2.1340086710	0.8472319721	45.7897057100	16.7126767000
0.8714385999	33.2834614700	2.1351532810	0.8714385999	45.7895002300	16.7128855100
0.8956452277	33.2835649800	2.1350707420	0.8956452277	45.7895773400	16.7129281600
0.9198518554	33.2902150000	2.1339842980	0.9198518554	45.7905489500	16.7121939500
0.9440584832	33.2885961000	2.1335846930	0.9440584832	45.7909654400	16.7121784700
0.9682651110	33.2836370100	2.1345191320	0.9682651110	45.7897092500	16.7128656700
0.9924717388	33.2836185600	2.1340813040	0.9924717388	45.7897358900	16.7127653800
1.0166783670	33.2811966200	2.1345066120	1.0166783670	45.7900839300	16.7125410700
1.0408849940	33.1760338800	2.2064399380	1.0408849940	45.7886618500	16.7130636000
1.0650916220	33.1602227200	2.2219634200	1.0650916220	45.7894073100	16.7127330000
1.0892982500	33.0670359700	2.2509641430	1.0892982500	45.7905890400	16.7125589700
1.1135048780	33.0217926400	2.2579483140	1.1135048780	45.7901797500	16.7123434900
1.1377115050	32.9483654100	2.2791282930	1.1377115050	45.7905626700	16.7120892200
1.1619181330	32.8632900300	2.2920897510	1.1619181330	45.7904971800	16.7121347300
1.1861247610	32.6489361200	2.3530185660	1.1861247610	45.7904472300	16.7117354400
1.2103313890	32.5155887400	2.3925084350	1.2103313890	45.7904354900	16.7118784900
1.2345380170	32.3952138100	2.4154516620	1.2345380170	45.7902335800	16.7121556500
1.2587446440	32.3031565200	2.4249787140	1.2587446440	45.7898011300	16.7119169500
1.2829512720	32.1999060600	2.4400234200	1.2829512720	45.7901796900	16.7116787300
1.3071579000	32.1024531300	2.4582811180	1.3071579000	45.7904688400	16.7117311700
1.3313645280	31.9228781200	2.4801828530	1.3313645280	45.7910979200	16.7115317100
1.3555711550	31.7743060300	2.4823916690	1.3555711550	45.7904684300	16.7109822000
1.3797777830	31.6351582300	2.4623544080	1.3797777830	45.7907437400	16.7103898800
1.4039844110	31.4278759800	2.4423586180	1.4039844110	45.7903038000	16.7100600500
1.4281910390	31.3103495900	2.4526453610	1.4281910390	45.7904104900	16.7097129500
1.4523976660	31.1790211600	2.4758749670	1.4523976660	45.7912924300	16.7093281300
1.4766042940	31.0467232900	2.4909146620	1.4766042940	45.7901925000	16.7091281600
1.5008109220	30.9847813000	2.5069730350	1.5008109220	45.7903461600	16.7095619700
1.5250175500	30.8585165200	2.5050147500	1.5250175500	45.7899554000	16.7091759600
1.5492241780	30.5391715300	2.5057463420	1.5492241780	45.7880686500	16.7080148700
1.5734308050	30.3858223500	2.5072619140	1.5734308050	45.7894711000	16.7080604700
1.5976374330	30.1728430000	2.5135704010	1.5976374330	45.7889576000	16.7076398400
1.6218440610	30.0176703500	2.5228999070	1.6218440610	45.7890150700	16.7077081600
1.6460506890	29.8704988500	2.5337731220	1.6460506890	45.7884981100	16.7080322200
1.6702573160	29.4707393900	2.5605037250	1.6702573160	45.7889168500	16.7057461800
1.6944639440	29.3996266700	2.5519642810	1.6944639440	45.7895889000	16.7061718700
1.7186705720	29.2649249000	2.5583284130	1.7186705720	45.7884090600	16.7074565100
1.7428772000	29.1421787700	2.5665305590	1.7428772000	45.7889228500	16.7076567500
1.7670838280	29.0803255300	2.5687466090	1.7670838280	45.7905924600	16.7080872300
1.7912904550	28.8194885500	2.6060190300	1.7912904550	45.7883701000	16.7070917900
1.8154970830	28.6844504600	2.6241167190	1.8154970830	45.7880368200	16.7073652500
1.8397037110	28.5570071000	2.6393825710	1.8397037110	45.7894574100	16.7066197100
1.8639103390	28.5209930000	2.6433892180	1.8639103390	45.7903134200	16.7069052700
1.8881169660	28.3662133600	2.6481575620	1.8881169660	45.7903564700	16.7064195700
1.9123235940	28.0097271500	2.6128825620	1.9123235940	45.7915221300	16.7039372800
1.9365302220	27.8788443000	2.6041275650	1.9365302220	45.7911381400	16.7023670000
1.9607368500	27.7802745000	2.6004551290	1.9607368500	45.7915071800	16.7043202000
1.9849434780	27.3192686800	2.6420525120	1.9849434780	45.7889708500	16.7013585600
2.0091501050	27.1157320900	2.6556614410	2.0091501050	45.7892495500	16.7015550800
2.0333567330	26.9971628800	2.6511293610	2.0333567330	45.7890171700	16.7020183100
2.0575633610	26.9142921000	2.6450599280	2.0575633610	45.7885592800	16.7041260400
2.0817699890	26.7553303400	2.6494553270	2.0817699890	45.7872627200	16.7051308800
2.1059766160	26.4417265500	2.6760668970	2.1059766160	45.7857006400	16.7016042800
2.1301832440	26.3974343000	2.6631647330	2.1301832440	45.7864535300	16.7018805300
2.1543898720	26.2206337200	2.6465180890	2.1543898720	45.7862471900	16.7010628200
2.1785965000	26.0936682000	2.6457602590	2.1785965000	45.7870775600	16.7022257900
2.2028031270	25.9573323400	2.6612839760	2.2028031270	45.7865864300	16.7034625300
2.2270097550	25.8007045800	2.6922643940	2.2270097550	45.7850359100	16.7054905500
2.2512163830	25.6794114400	2.6962654250	2.2512163830	45.7857632800	16.7064153300
2.2754230110	25.6101862700	2.6975997990	2.2754230110	45.7846582900	16.7078341000
2.2996296390	25.5071679700	2.6935610170	2.2996296390	45.7858968900	16.7079654300
2.3238362660	25.4702787400	2.6878944940	2.3238362660	45.7871100500	16.7087185700
2.3480428940	25.1917205900	2.6944298910	2.3480428940	45.7818088700	16.7079304800
2.3722495220	25.0553206700	2.6817890920	2.3722495220	45.7791768400	16.7064694900
2.3964561500	25.0251267600	2.6704370260	2.3964561500	45.7818480400	16.7081989500
2.4206627770	24.9660204200	2.6620313690	2.4206627770	45.7832997900	16.7094418700
2.4448694050	24.9189898700	2.6604477940	2.4448694050	45.7854985900	16.7091809400
2.4690760330	24.8917090000	2.6409432060	2.4690760330	45.7864370100	16.7086803700
2.4932826610	24.8776376200	2.6262430520	2.4932826610	45.7874594300	16.7092619400
2.5174892890	24.7837451700	2.6338331610	2.5174892890	45.7867960100	16.7075616800
2.5416959160	24.7421529100	2.6340195330	2.5416959160	45.7876013300	16.7080283300
2.5659025440	24.6747829200	2.6360577340	2.5659025440	45.7885106200	16.7079620500
2.5901091720	24.6462462400	2.6399458130	2.5901091720	45.7885657500	16.7086470400
2.6143158000	24.6090600200	2.6398897040	2.6143158000	45.7888259700	16.7084571700
2.6385224270	24.4708116100	2.6504909660	2.6385224270	45.7886185400	16.7077206900
2.6627290550	24.4526044000	2.6590362330	2.6627290550	45.7893005900	16.7087784800
2.6869356830	24.4002155500	2.6736211020	2.6869356830	45.7889103200	16.7092715700
2.7111423110	24.2759140600	2.6883228790	2.7111423110	45.7865392700	16.7094552100
2.7353489390	24.2193169600	2.6847439840	2.7353489390	45.7884566500	16.7090095300
2.7595555660	24.1765980800	2.6827242360	2.7595555660	45.7898861200	16.7083798500
2.7837621940	24.0749748500	2.6699643690	2.7837621940	45.7863442200	16.7073135800
2.8079688220	23.9105064900	2.6755860500	2.8079688220	45.7877747700	16.7053033200
2.8321754500	23.8816224500	2.6766714530	2.8321754500	45.7888795600	16.7065110100
2.8563820770	23.7988069600	2.6814332040	2.8563820770	45.7881890700	16.7074782100
2.8805887050	23.6477474300	2.6549109640	2.8805887050	45.7876082100	16.7067009700
2.9047953330	23.6139268900	2.6467505640	2.9047953330	45.7891214000	16.7072407400
2.9290019610	23.5133297200	2.6498236150	2.9290019610	45.7894139300	16.7070102600
2.9532085890	23.2277162600	2.6499414670	2.9532085890	45.7889386300	16.7061253500
2.9774152160	23.0970648000	2.6400779890	2.9774152160	45.7871466200	16.7059213000
3.0016218440	23.0082174600	2.6417667770	3.0016218440	45.7879289300	16.7068063900
3.0258284720	22.8016862900	2.6335317410	3.0258284720	45.7882917700	16.7064971100
3.0500351000	22.6307270700	2.6249880570	3.0500351000	45.7872742400	16.7060561200
3.0742417270	22.4406000400	2.6309863360	3.0742417270	45.7881429500	16.7059237000
3.0984483550	22.1994527500	2.6095023780	3.0984483550	45.7874249700	16.7058707200
3.1226549830	22.0933088700	2.6054398980	3.1226549830	45.7876739500	16.7061312300
3.1468616110	21.9080914900	2.5837183710	3.1468616110	45.7866396800	16.7049138100
3.1710682380	21.8646389300	2.5731381590	3.1710682380	45.7861558000	16.7065277600
3.1952748660	21.7095258900	2.5519405070	3.1952748660	45.7841179500	16.7070060700
3.2194814940	21.5766016700	2.5406074190	3.2194814940	45.7830362700	16.7075196100
3.2436881220	21.5518643200	2.5394375980	3.2436881220	45.7853986400	16.7090086300
3.2678947500	21.4742613300	2.5401536480	3.2678947500	45.7865517000	16.7089522700
3.2921013770	21.4010328600	2.5338902960	3.2921013770	45.7871759600	16.7090508600
3.3163080050	21.2619558100	2.5151682000	3.3163080050	45.7868294800	16.7090593900
3.3405146330	21.1596925700	2.5120736960	3.3405146330	45.7861843900	16.7091677900
3.3647212610	21.1215947800	2.5162009900	3.3647212610	45.7870476800	16.7094514100
3.3889278880	21.0753968200	2.5247631980	3.3889278880	45.7877525000	16.7098236100
3.4131345160	21.0153324000	2.5318056880	3.4131345160	45.7888084900	16.7103050200
3.4373411440	20.9434709200	2.5378994370	3.4373411440	45.7879607300	16.7108384700
3.4615477720	20.8985387800	2.5463409730	3.4615477720	45.7882219700	16.7106147000
3.4857544000	20.8048724900	2.5579384880	3.4857544000	45.7880250200	16.7109259600
3.5099610270	20.6445798000	2.5445834940	3.5099610270	45.7861154000	16.7108258100
3.5341676550	20.5720263600	2.5336257730	3.5341676550	45.7855084500	16.7116789700
3.5583742830	20.5284614000	2.5337730380	3.5583742830	45.7880983600	16.7108488700
3.5825809110	20.3515765000	2.5380346920	3.5825809110	45.7870568800	16.7119066000
3.6067875380	20.2333184400	2.5428264400	3.6067875380	45.7873815600	16.7115377500
3.6309941660	20.1077801900	2.5466714830	3.6309941660	45.7881379600	16.7105631100
3.6552007940	19.9704053200	2.5367386570	3.6552007940	45.7887019300	16.7103441700
3.6794074220	19.8572454900	2.5249142370	3.6794074220	45.7892895200	16.7098476100
3.7036140500	19.6865415400	2.5310629880	3.7036140500	45.7911073000	16.7088522400
3.7278206770	19.5751653800	2.5235645040	3.7278206770	45.7913366200	16.7091974500
3.7520273050	19.4865470800	2.5163153060	3.7520273050	45.7905623900	16.7103273700
3.7762339330	19.3244285200	2.5234024310	3.7762339330	45.7905280700	16.7089703700
3.8004405610	19.2794796400	2.5326818860	3.8004405610	45.7903115300	16.7084460700
3.8246471880	19.2691792800	2.5443908270	3.8246471880	45.7887130000	16.7103556700
3.8488538160	19.2815859600	2.5482424180	3.8488538160	45.7875342000	16.7112303900
3.8730604440	19.2753959000	2.5522320960	3.8730604440	45.7888532900	16.7105503700
3.8972670720	19.2199886000	2.5540389770	3.8972670720	45.7889353800	16.7105995300
3.9214736990	19.1366823500	2.5607495130	3.9214736990	45.7889080500	16.7113671300
3.9456803270	19.0104054000	2.5667149640	3.9456803270	45.7900174000	16.7095688800
3.9698869550	18.9877388600	2.5725344080	3.9698869550	45.7905450800	16.7098088100
3.9940935830	18.8071059200	2.5637450420	3.9940935830	45.7902859700	16.7113813400
4.0183002110	18.7169055700	2.5593998030	4.0183002110	45.7898929700	16.7111670800
4.0425068380	18.6464470600	2.5544729860	4.0425068380	45.7909689700	16.7106498400
4.0667134660	18.6264470600	2.5510444560	4.0667134660	45.7913588500	16.7107452100
4.0909200940	18.5800937900	2.5320178680	4.0909200940	45.7913651500	16.7110816400
4.1151267220	18.4786995800	2.5177504960	4.1151267220	45.7907160000	16.7109714100
4.1393333490	18.3932196800	2.5233883100	4.1393333490	45.7906783500	16.7109040200
4.1635399770	18.2351243400	2.5175068160	4.1635399770	45.7899377500	16.7111199100
4.1877466050	18.1698287600	2.5025342480	4.1877466050	45.7902419200	16.7109226600
4.2119532330	18.0461552000	2.4983557470	4.2119532330	45.7905181900	16.7108891200
4.2361598610	17.8792985600	2.4676501180	4.2361598610	45.7899507500	16.7115928100
4.2603664880	17.7333419900	2.4599742640	4.2603664880	45.7905801400	16.7117440700
4.2845731160	17.5765601700	2.4586299510	4.2845731160	45.7925009100	16.7108228200
4.3087797440	17.4552959900	2.4494969810	4.3087797440	45.7921834900	16.7114650900
4.3329863720	17.3487269800	2.4357170000	4.3329863720	45.7916996700	16.7119982100
4.3571929990	17.1882575100	2.4397605240	4.3571929990	45.7929817800	16.7122785300
4.3813996270	17.0841472100	2.4461740070	4.3813996270	45.7919309200	16.7127198700
4.4056062550	17.0503978000	2.4571310640	4.4056062550	45.7926353700	16.7129688100
4.4298128830	17.1296936000	2.4616833770	4.4298128830	45.7909103600	16.7133480400
4.4540195110	17.1537478300	2.4655650780	4.4540195110	45.7916536100	16.7132552800
4.4782261380	17.1457560800	2.4661773020	4.4782261380	45.7906998400	16.7132980300
4.5024327660	17.1468155700	2.4552894270	4.5024327660	45.7908905100	16.7125778500
4.5266393940	17.1417851800	2.4585252140	4.5266393940	45.7909767700	16.7118915800
4.5508460220	17.1103007400	2.4503104060	4.5508460220	45.7904617000	16.7115907000
4.5750526490	17.1110772500	2.4180453490	4.5750526490	45.7909061400	16.7117359300
4.5992592770	17.1131571600	2.4110351240	4.5992592770	45.7908075000	16.7122940000
4.6234659050	17.0913348800	2.4067611210	4.6234659050	45.7923470100	16.7117082200
4.6476725330	17.0072612200	2.4038705280	4.6476725330	45.7917143800	16.7117146100
4.6718791610	16.8292945400	2.3858504290	4.6718791610	45.7896280200	16.7148417100
4.6960857880	16.7949998700	2.3786093420	4.6960857880	45.7889058900	16.7150743000
4.7202924160	16.6128513000	2.3870084740	4.7202924160	45.7909586600	16.7145858100
4.7444990440	16.5129249500	2.3871292980	4.7444990440	45.7912293400	16.7147605000
4.7687056720	16.4436730600	2.3897568680	4.7687056720	45.7893515200	16.7151113000
4.7929122990	16.3705303100	2.4008082180	4.7929122990	45.7910097300	16.7151172300
4.8171189270	16.3218650600	2.4037859980	4.8171189270	45.7904864900	16.7149940400
4.8413255550	16.2594913800	2.4139973330	4.8413255550	45.7911916300	16.7147407600
4.8655321830	16.2428645900	2.4381536610	4.8655321830	45.7915573700	16.7153777000
4.8897388100	16.2228717500	2.4447174630	4.8897388100	45.7926932400	16.7140315300
4.9139454380	16.1883841000	2.4401683270	4.9139454380	45.7926625100	16.7136849400
4.9381520660	16.1880700200	2.4413295080	4.9381520660	45.7915146300	16.7135373700
4.9623586940	16.2084449300	2.4394847310	4.9623586940	45.7913963800	16.7125506600
4.9865653220	16.2249804200	2.4252143730	4.9865653220	45.7917045100	16.7117692400
5.0107719490	16.2266933100	2.4192536520	5.0107719490	45.7913964400	16.7115523600
5.0349785770	16.2269363100	2.4200722600	5.0349785770	45.7914505900	16.7116237200
5.0591852050	16.2635660900	2.4067186120	5.0591852050	45.7913999100	16.7112721600
5.0833918330	16.2989144700	2.4120935520	5.0833918330	45.7922622700	16.7111540600
5.1075984600	16.3145314400	2.4090196270	5.1075984600	45.7921922000	16.7114104100
5.1318050880	16.3062945200	2.3891243480	5.1318050880	45.7922985400	16.7113965300
5.1560117160	16.2987773000	2.3748805630	5.1560117160	45.7906813300	16.7112750100
5.1802183440	16.2984014400	2.3582325610	5.1802183440	45.7913034100	16.7102663800
5.2044249720	16.2968932300	2.3417034540	5.2044249720	45.7912980300	16.7111393800
5.2286315990	16.3103536200	2.3246959100	5.2286315990	45.7897867000	16.7129388000
5.2528382270	16.3260627900	2.3213333840	5.2528382270	45.7922412900	16.7111099700
5.2770448550	16.3582729000	2.2828702870	5.2770448550	45.7905170500	16.7118011300
5.3012514830	16.3663028000	2.2752463460	5.3012514830	45.7900539700	16.7127345400
5.3254581100	16.3846635000	2.2737505320	5.3254581100	45.7919178700	16.7095647000
5.3496647380	16.3855956200	2.2694394410	5.3496647380	45.7932891500	16.7077865400
5.3738713660	16.3667966300	2.2559074430	5.3738713660	45.7909767700	16.7103771900
5.3980779940	16.3774592100	2.2364948210	5.3980779940	45.7907111200	16.7119235900
5.4222846220	16.3903756400	2.2177727310	5.4222846220	45.7918816000	16.7113898500
5.4464912490	16.4221252700	2.2122134250	5.4464912490	45.7911977500	16.7113377600
5.4706978770	16.4429568400	2.2153853650	5.4706978770	45.7912395600	16.7137731400
5.4949045050	16.4411346800	2.1933326540	5.4949045050	45.7910147100	16.7125964300
5.5191111330	16.4583456000	2.1752232060	5.5191111330	45.7891496400	16.7122323300
5.5433177600	16.4654726800	2.1793569830	5.5433177600	45.7881932400	16.7139118500
5.5675243880	16.4869120600	2.1771616310	5.5675243880	45.7863238400	16.7151800600
5.5917310160	16.5131665800	2.1775950210	5.5917310160	45.7916010800	16.7117063000
5.6159376440	16.5162832700	2.1464462550	5.6159376440	45.7878459400	16.7132048500
5.6401442720	16.5212974900	2.1608399950	5.6401442720	45.7865056000	16.7137378100
5.6643508990	16.5878488700	2.1635539520	5.6643508990	45.7902735100	16.7104277300
5.6885575270	16.6046422600	2.1426766160	5.6885575270	45.7922416000	16.7094493700
5.7127641550	16.6374346400	2.1541671380	5.7127641550	45.7897026100	16.7112494700
5.7369707830	16.6481010300	2.1585257430	5.7369707830	45.7898679300	16.7110900400
5.7611774100	16.6535034400	2.1571422780	5.7611774100	45.7907072900	16.7109896700
5.7853840380	16.6577360600	2.1401678130	5.7853840380	45.7819929600	16.7169899900
5.8095906660	16.6576799200	2.1536246980	5.8095906660	45.7828034500	16.7176728800
5.8337972940	16.6736748900	2.1604588970	5.8337972940	45.7822916300	16.7185402800
5.8580039210	16.6874650800	2.1536260400	5.8580039210	45.7874190300	16.7141720200
5.8822105490	16.6981679800	2.1562100400	5.8822105490	45.7879706300	16.7140358100
5.9064171770	16.7273200800	2.1540001230	5.9064171770	45.7853779200	16.7169265900
5.9306238050	16.7459685500	2.1450968750	5.9306238050	45.7873067200	16.7152783100
5.9548304330	16.7450646200	2.1436545820	5.9548304330	45.7829964500	16.7193539100
5.9790370600	16.7379024800	2.1483709850	5.9790370600	45.7827984900	16.7198175000
6.0032436880	16.7380806600	2.1495353110	6.0032436880	45.7839825900	16.7183254500
6.0274503160	16.7297622900	2.1488722950	6.0274503160	45.7892164100	16.7133066300
6.0516569440	16.7218577200	2.1476422350	6.0516569440	45.7890066400	16.7131025200
6.0758635710	16.7153419100	2.1487667590	6.0758635710	45.7876233100	16.7154126400
6.1000701990	16.7219150700	2.1560504870	6.1000701990	45.7894894400	16.7136983900
6.1242768270	16.7289205800	2.1551502630	6.1242768270	45.7915349600	16.7113190800
6.1484834550	16.7566229500	2.1499633220	6.1484834550	45.7864456600	16.7168280900
6.1726900830	16.7833473100	2.1488012210	6.1726900830	45.7866859400	16.7163232800
6.1968967100	16.8023470400	2.1486300050	6.1968967100	45.7873060100	16.7161163500
6.2211033380	16.8329068300	2.1390913830	6.2211033380	45.7884004100	16.7147980300
6.2453099660	16.8608546500	2.1264251180	6.2453099660	45.7884854800	16.7147927100
6.2695165940	16.9136851200	2.1213041920	6.2695165940	45.7893948400	16.7133289900
6.2937232210	17.1025060400	2.1799678940	6.2937232210	45.7885910700	16.7128569000
6.3179298490	17.1975859000	2.1978766470	6.3179298490	45.7901392300	16.7120556800
6.3421364770	17.2121728200	2.2121886200	6.3421364770	45.7903222800	16.7120297600
6.3663431050	17.3148192400	2.2363457720	6.3663431050	45.7882867800	16.7129324800
6.3905497330	17.3929161500	2.2305435810	6.3905497330	45.7904599100	16.7117953600
6.4147563600	17.5314428300	2.2167837170	6.4147563600	45.7883772400	16.7129322800
6.4389629880	17.5587341300	2.2197940210	6.4389629880	45.7884751700	16.7126001600
6.4631696160	17.7072232900	2.2152710680	6.4631696160	45.7896277300	16.7115431200
6.4873762440	17.8458342300	2.2156981660	6.4873762440	45.7916482600	16.7103350500
6.5115828710	17.9837378500	2.2151474700	6.5115828710	45.7897614200	16.7103550200
6.5357894990	18.1720344900	2.2297066460	6.5357894990	45.7926997400	16.7076886700
6.5599961270	18.2868370100	2.2393068520	6.5599961270	45.7912620900	16.7084243700
6.5842027550	18.4628211500	2.2590474370	6.5842027550	45.7919299800	16.7086885800
6.6084093820	18.6858842300	2.2599999720	6.6084093820	45.7939948300	16.7085143300
6.6326160100	18.9682635500	2.2840193420	6.6326160100	45.7905506000	16.7074993700
6.6568226380	19.4842273500	2.3732018940	6.6568226380	45.7935141100	16.7056512400
			6.6810292660	45.7939799600	16.7070586800
			6.7052358940	45.7946857700	16.7081851800
			6.7294425210	45.7966555600	16.7081673200
			6.7536491490	45.8006683600	16.7054642200
			6.7778557770	45.8078943700	16.7038346100
			6.8020624050	45.8051119000	16.7074899600
			6.8262690320	45.8151583700	16.7013708300
			6.8504756600	45.8127502400	16.7018740800
			6.8746822880	45.8081421200	16.7102362000
			6.8988889160	45.8048479800	16.7095201500
			6.9230955440	45.8051148600	16.7092143600
			6.9473021710	45.7995336500	16.7135333300
			6.9715087990	45.7963391400	16.7180976300
					
					
					
