GMfascBEST			GMext		
t	x	y	t	x	y
0.0000000000	33.2778438400	2.1126253700	0.0000000000	45.7914372200	16.7119258600
0.0242066278	33.2924511100	2.1324089820	0.0242066278	45.7911295700	16.7117450000
0.0484132556	33.2930451300	2.1323530240	0.0484132556	45.7910595800	16.7117197800
0.0726198833	33.2901785400	2.1314517170	0.0726198833	45.7907772000	16.7115006900
0.0968265111	33.2914154900	2.1316633550	0.0968265111	45.7910705700	16.7113585800
0.1210331389	33.2969465500	2.1314733650	0.1210331389	45.7908748800	16.7112474400
0.1452397666	33.2946585200	2.1314546020	0.1452397666	45.7911297700	16.7114900200
0.1694463944	33.2924391200	2.1310399640	0.1694463944	45.7911804800	16.7115490100
0.1936530222	33.2929749600	2.1293166640	0.1936530222	45.7907240400	16.7114791100
0.2178596500	33.2915057400	2.1303313390	0.2178596500	45.7907209800	16.7114813700
0.2420662777	33.2883114600	2.1300596740	0.2420662777	45.7910300900	16.7116388800
0.2662729055	33.2902685000	2.1307099680	0.2662729055	45.7909357100	16.7114302400
0.2904795333	33.2906955800	2.1309020260	0.2904795333	45.7907282500	16.7113148400
0.3146861611	33.2905119200	2.1306192800	0.3146861611	45.7909595500	16.7114047900
0.3388927888	33.2873635800	2.1313809930	0.3388927888	45.7894777200	16.7121838700
0.3630994166	33.2909868300	2.1308524130	0.3630994166	45.7899642100	16.7119021300
0.3873060444	33.2934051700	2.1297508980	0.3873060444	45.7909203400	16.7114087700
0.4115126722	33.2919399400	2.1318402390	0.4115126722	45.7899149800	16.7120596200
0.4357192999	33.2917493300	2.1321262920	0.4357192999	45.7899654600	16.7119773100
0.4599259277	33.2903764900	2.1326357260	0.4599259277	45.7898013100	16.7121991700
0.4841325555	33.2875148700	2.1328114950	0.4841325555	45.7902893100	16.7119745800
0.5083391833	33.2884577100	2.1331943310	0.5083391833	45.7903909800	16.7119256500
0.5325458110	33.2898784300	2.1308722110	0.5325458110	45.7910595600	16.7119280200
0.5567524388	33.2838716900	2.1327035500	0.5567524388	45.7900164700	16.7127363000
0.5809590666	33.2847208200	2.1345390850	0.5809590666	45.7897168000	16.7130388400
0.6051656944	33.2849000000	2.1344994510	0.6051656944	45.7904691400	16.7125524100
