GMfasMMM			GMext		
t	x	y	t	x	y
0.0000000000	27.7414828800	1.1212436610	0.0000000000	48.4793648600	12.7839524400
0.0189311474	27.7420201600	1.1213922570	0.0189311474	48.4796691600	12.7839150300
0.0378622948	27.7416456200	1.1216760580	0.0378622948	48.4799854500	12.7840332200
0.0567934423	27.7410243400	1.1220656390	0.0567934423	48.4791552500	12.7841594700
0.0757245897	27.7412119900	1.1222294250	0.0757245897	48.4790678700	12.7841732800
0.0946557371	27.7409122500	1.1222309360	0.0946557371	48.4793288800	12.7841699700
0.1135868845	27.7405306200	1.1219975120	0.1135868845	48.4792221400	12.7842095600
0.1325180319	27.7416557700	1.1215737720	0.1325180319	48.4795698800	12.7840880900
0.1514491793	27.7416881400	1.1217215810	0.1514491793	48.4794578600	12.7839138800
0.1703803268	27.7416377200	1.1213881620	0.1703803268	48.4796159600	12.7838680900
0.1893114742	27.7423379500	1.1214666500	0.1893114742	48.4794541800	12.7838854300
0.2082426216	27.7429005300	1.1212674390	0.2082426216	48.4800182300	12.7838978500
0.2271737690	27.7425675100	1.1212489950	0.2271737690	48.4798314700	12.7838760600
0.2461049164	27.7426458900	1.1212610790	0.2461049164	48.4794208800	12.7840403200
0.2650360638	27.7424729900	1.1213706200	0.2650360638	48.4796081100	12.7838927800
0.2839672113	27.7429590900	1.1215054580	0.2839672113	48.4796074300	12.7838383400
0.3028983587	27.7424731600	1.1213480150	0.3028983587	48.4793847800	12.7837987800
0.3218295061	27.7426306300	1.1217010120	0.3218295061	48.4800141300	12.7838091900
0.3407606535	27.7426478700	1.1216100160	0.3407606535	48.4797818300	12.7838454800
0.3596918009	27.7432384700	1.1215140200	0.3596918009	48.4796985400	12.7837359600
0.3786229483	27.7434645700	1.1214935250	0.3786229483	48.4795359100	12.7838715900
0.3975540958	27.7429604400	1.1217095910	0.3975540958	48.4799505800	12.7838582400
0.4164852432	27.7446459000	1.1216318170	0.4164852432	48.4795346800	12.7840147500
0.4354163906	27.7446459500	1.1213989240	0.4354163906	48.4798231000	12.7837887100
0.4543475380	27.7446107300	1.1212257930	0.4543475380	48.4798808600	12.7837779400
0.4732786854	27.7439835000	1.1214787090	0.4732786854	48.4791074900	12.7836860900
0.4922098328	27.7448642600	1.1215580250	0.4922098328	48.4794818600	12.7837900700
0.5111409803	27.7446452800	1.1216477950	0.5111409803	48.4798264700	12.7836986900
0.5300721277	27.7446283900	1.1216816380	0.5300721277	48.4798349100	12.7838094700
0.5490032751	27.7467478500	1.1216054580	0.5490032751	48.4802743400	12.7836747100
0.5679344225	27.7503901000	1.1213281690	0.5679344225	48.4801744100	12.7834405300
0.5868655699	27.7480241500	1.1219351470	0.5868655699	48.4794216300	12.7839708600
0.6057967173	27.7476001600	1.1222089510	0.6057967173	48.4796471100	12.7839594500
0.6247278648	27.7454899400	1.1225246650	0.6247278648	48.4796002000	12.7839240000
0.6436590122	27.7455900300	1.1224125940	0.6436590122	48.4798004100	12.7841296200
0.6625901596	27.7440937400	1.1228677320	0.6625901596	48.4796616600	12.7842214500
0.6815213070	27.7444977500	1.1236150800	0.6815213070	48.4790471600	12.7845626400
0.7004524544	27.7449367300	1.1246563370	0.7004524544	48.4793677200	12.7842914000
0.7193836018	27.7449126500	1.1262618080	0.7193836018	48.4802552100	12.7844007000
0.7383147493	27.7444037100	1.1264619580	0.7383147493	48.4790739600	12.7845893200
0.7572458967	27.7441707500	1.1261246040	0.7572458967	48.4789582200	12.7846103200
0.7761770441	27.7438895200	1.1261504310	0.7761770441	48.4787968500	12.7848696700
0.7951081915	27.7450468600	1.1272916670	0.7951081915	48.4786595000	12.7850134700
0.8140393389	27.7471092000	1.1290644590	0.8140393389	48.4794443100	12.7846642300
0.8329704863	27.7498836600	1.1314203850	0.8329704863	48.4795851400	12.7847958200
0.8519016338	27.7504947500	1.1320929560	0.8519016338	48.4789175900	12.7850819500
0.8708327812	27.7509435900	1.1337402460	0.8708327812	48.4789818100	12.7849909600
0.8897639286	27.7525902400	1.1333369180	0.8897639286	48.4790449200	12.7847600500
0.9086950760	27.7543010200	1.1339772150	0.9086950760	48.4790749500	12.7848130600
0.9276262234	27.7548964400	1.1325921860	0.9276262234	48.4790136900	12.7848447700
0.9465573708	27.7529233000	1.1320680100	0.9465573708	48.4792314800	12.7847867500
0.9654885183	27.7529019400	1.1289302040	0.9654885183	48.4792433300	12.7847653500
0.9844196657	27.7550117400	1.1287015690	0.9844196657	48.4791830300	12.7847439600
1.0033508130	27.7566269800	1.1286127730	1.0033508130	48.4797714000	12.7846042000
1.0222819610	27.7561704200	1.1279547310	1.0222819610	48.4797975600	12.7846457500
1.0412131080	27.7596432400	1.1284310980	1.0412131080	48.4789076400	12.7849882000
1.0601442550	27.7598291900	1.1279740130	1.0601442550	48.4792275800	12.7851752100
1.0790754030	27.7593047200	1.1312244660	1.0790754030	48.4779117200	12.7861492200
1.0980065500	27.7630063800	1.1377531290	1.0980065500	48.4784783900	12.7863345600
1.1169376980	27.7611497100	1.1409072900	1.1169376980	48.4773463900	12.7867411600
1.1358688450	27.7627157000	1.1542612070	1.1358688450	48.4777831000	12.7872206400
1.1547999920	27.7385817400	1.1727775050	1.1547999920	48.4773177100	12.7878576100
1.1737311400	27.7450012200	1.1878607190	1.1737311400	48.4775235600	12.7883075100
1.1926622870	27.7470083500	1.1917898190	1.1926622870	48.4778912500	12.7888049600
1.2115934350	27.7455134100	1.1935254050	1.2115934350	48.4778135400	12.7881975900
1.2305245820	27.7476390800	1.1947479610	1.2305245820	48.4767748800	12.7879386800
1.2494557300	27.7523385700	1.1943973310	1.2494557300	48.4779507400	12.7874445800
1.2683868770	27.7480432000	1.1949313590	1.2683868770	48.4783596000	12.7871688200
1.2873180240	27.7473502000	1.1963624000	1.2873180240	48.4778347200	12.7872589200
1.3062491720	27.7423655800	1.1990128700	1.3062491720	48.4782944000	12.7872923700
1.3251803190	27.7429339300	1.2026420330	1.3251803190	48.4778743100	12.7878060100
1.3441114670	27.7419356400	1.2055814930	1.3441114670	48.4766714200	12.7885731400
1.3630426140	27.7412367100	1.2073332490	1.3630426140	48.4766314800	12.7883297300
1.3819737610	27.7419692300	1.2083590070	1.3819737610	48.4775616300	12.7878541000
1.4009049090	27.7412460000	1.2108163660	1.4009049090	48.4779848800	12.7878932400
1.4198360560	27.7343789000	1.2155340830	1.4198360560	48.4773275300	12.7881196500
1.4387672040	27.7247031500	1.2254590930	1.4387672040	48.4773585100	12.7879044000
1.4576983510	27.7235692000	1.2301979670	1.4576983510	48.4774430400	12.7876358400
1.4766294990	27.7332195000	1.2444333970	1.4766294990	48.4757963400	12.7883686400
1.4955606460	27.7026499200	1.2667691680	1.4955606460	48.4769694800	12.7881283500
1.5144917930	27.6296443200	1.2955615280	1.5144917930	48.4761923300	12.7886925800
1.5334229410	27.6463928900	1.3275805400	1.5334229410	48.4769407000	12.7892651400
1.5523540880	27.6284640200	1.3544611390	1.5523540880	48.4765663600	12.7890065000
1.5712852360	27.5999865000	1.3786565510	1.5712852360	48.4773267000	12.7896176900
1.5902163830	27.5287350600	1.3903518920	1.5902163830	48.4776190600	12.7900057800
1.6091475300	27.4411097800	1.3866551510	1.6091475300	48.4754571200	12.7920729500
1.6280786780	27.1842218600	1.3646222200	1.6280786780	48.4746085200	12.7957885900
1.6470098250	27.1037186100	1.3620049070	1.6470098250	48.4744755800	12.7970692900
1.6659409730	26.7285929900	1.3460406580	1.6659409730	48.4730386800	12.8031845500
1.6848721200	26.2498470900	1.3446405930	1.6848721200	48.4741198700	12.8100009800
1.7038032680	25.8218213400	1.3738106240	1.7038032680	48.4990885100	12.8312131700
1.7227344150	25.5609979500	1.3943820740	1.7227344150	48.4935867000	12.8469834900
1.7416655620	25.0840416300	1.4445247600	1.7416655620	48.4910839400	12.8575554700
1.7605967100	24.7088832400	1.4586162770	1.7605967100	48.4853044300	12.8694531400
1.7795278570	24.2069748400	1.4626134740	1.7795278570	48.4797707900	12.8870756500
1.7984590050	23.8839012700	1.4720099850	1.7984590050	48.4992612700	12.9068925200
1.8173901520	23.4966181900	1.4914867660	1.8173901520	48.4956612100	12.9264099600
1.8363212990	23.3594912100	1.5001439510	1.8363212990	48.4909450300	12.9330090500
1.8552524470	23.0291817000	1.5246305590	1.8552524470	48.4877933500	12.9416317300
1.8741835940	22.7578075200	1.5275009290	1.8741835940	48.4884122800	12.9511100900
1.8931147420	22.4684024700	1.5340947620	1.8931147420	48.5104563800	12.9708025400
1.9120458890	22.3188985100	1.5462706150	1.9120458890	48.5106327800	12.9875714800
1.9309770370	22.1550643900	1.5620307000	1.9309770370	48.5024020600	13.0008762700
1.9499081840	21.9455871300	1.5963370660	1.9499081840	48.5022427300	13.0084491200
1.9688393310	21.7799895500	1.6248716860	1.9688393310	48.4997369500	13.0143852600
1.9877704790	21.6147626000	1.6657390410	1.9877704790	48.4985021800	13.0213646800
2.0067016260	21.5412277300	1.6774646210	2.0067016260	48.4972062800	13.0229819400
2.0256327740	21.4469828500	1.6889732450	2.0256327740	48.4948498900	13.0310805400
2.0445639210	21.5524963700	1.6709262250	2.0445639210	48.5135695000	13.0602806300
2.0634950680	21.5292675300	1.6644813040	2.0634950680	48.5138464300	13.0696591300
2.0824262160	21.3542551700	1.6934376770	2.0824262160	48.5108807300	13.0789822700
2.1013573630	21.1262957800	1.7232370160	2.1013573630	48.5063909400	13.0850509200
2.1202885110	20.9798054900	1.7359331130	2.1202885110	48.5031328000	13.0891722200
2.1392196580	20.8694315100	1.7518873510	2.1392196580	48.4995826000	13.0949142200
2.1581508060	20.8457530300	1.7641856000	2.1581508060	48.5015537200	13.0959361300
2.1770819530	20.7740570300	1.7823897040	2.1770819530	48.4986780900	13.1025329700
2.1960131000	20.6950472600	1.7930458810	2.1960131000	48.4979543100	13.1150106700
