CALbump			CALskinUSE		
t	x	y	t	x	y
0.0	18.025472030000	10.170143470000	0.0	6.206152798	14.24232501
0.059612518630	17.927331410000	10.167321370000	0.05961251863	6.076971482	14.24540939
0.119225037300	17.888838410000	10.165723800000	0.1192250373	6.008315609	14.24637918
0.178837555900	17.878258410000	10.161658420000	0.1788375559	5.927224451	14.24289225
0.238450074500	17.742730470000	10.176722000000	0.2384500745	5.775554566	14.24660393
0.298062593100	17.590869060000	10.180664260000	0.2980625931	5.62359549	14.25363397
0.357675111800	17.515175710000	10.181280260000	0.3576751118	5.526883824	14.25725843
0.417287630400	17.430992540000	10.177418410000	0.4172876304	5.534166118	14.24986003
0.476900149000	17.351826640000	10.179483960000	0.476900149	5.480249873	14.24096871
0.536512667700	17.252947630000	10.184976570000	0.5365126677	5.364770842	14.24216158
0.596125186300	17.127456070000	10.192846500000	0.5961251863	5.264443428	14.24857026
0.655737704900	17.021708510000	10.226306180000	0.6557377049	5.169099877	14.25759771
0.715350223500	16.935997020000	10.229210270000	0.7153502235	5.087413057	14.25935436
0.774962742200	16.820188410000	10.239733690000	0.7749627422	4.997515337	14.26347338
0.834575260800	16.721286270000	10.234166130000	0.8345752608	4.912224903	14.25642205
0.894187779400	16.703877460000	10.236931170000	0.8941877794	4.874536398	14.25531044
0.953800298100	16.684371240000	10.241910650000	0.9538002981	4.843122825	14.25300769
1.013412817000	16.694346830000	10.245085480000	1.013412817	4.821186516	14.25732925
1.073025335000	16.661131790000	10.259733000000	1.073025335	4.73926791	14.27253293
1.132637854000	16.736232770000	10.244405540000	1.132637854	4.754795561	14.26291384
1.192250373000	16.804013050000	10.250921050000	1.192250373	4.77469701	14.26055742
1.251862891000	16.861454520000	10.243677070000	1.251862891	4.780361154	14.2687858
1.311475410000	16.877501640000	10.250464370000	1.31147541	4.781494726	14.26915121
1.371087928000	16.853575970000	10.255644270000	1.371087928	4.768783319	14.27426518
1.430700447000	16.789966660000	10.279571840000	1.430700447	4.724888892	14.28429401
1.490312966000	16.785191930000	10.270285780000	1.490312966	4.740482088	14.27658199
1.549925484000	16.804518120000	10.298690450000	1.549925484	4.732456145	14.28288318
1.609538003000	16.796899700000	10.310420680000	1.609538003	4.731140056	14.28073927
1.669150522000	16.794092260000	10.315804520000	1.669150522	4.706671663	14.2800547
1.728763040000	16.817387130000	10.308771150000	1.72876304	4.729571416	14.27924253
1.788375559000	16.818941770000	10.310849110000	1.788375559	4.737105443	14.27520774
1.847988077000	16.812647830000	10.315386790000	1.847988077	4.736051157	14.27514938
1.907600596000	16.811584690000	10.316993490000	1.907600596	4.735932871	14.27288249
1.967213115000	16.806560030000	10.315819030000	1.967213115	4.727670228	14.27267749
2.026825633000	16.810155830000	10.312842150000	2.026825633	4.735318848	14.26820589
2.086438152000	16.826458440000	10.301021230000	2.086438152	4.738938061	14.26470014
2.146050671000	16.819539500000	10.263123570000	2.146050671	4.735588751	14.26475625
2.205663189000	16.818672910000	10.259600280000	2.205663189	4.72973472	14.26194973
