GMfasMMM			GMextMMM		
t	x	y	t	x	y
0	19.58700528	1.706964741	0	15.4197528	12.2672811
0.059612519	20.06440326	1.929234031	0.059612519	15.41664418	12.26888973
0.119225037	20.41212702	2.027551721	0.119225037	15.41585564	12.26966332
0.178837556	20.41433383	2.029805927	0.178837556	15.41347583	12.2712855
0.238450075	20.43007797	2.029177918	0.238450075	15.41060379	12.2722585
0.298062593	20.45709504	2.018300614	0.298062593	15.40941606	12.27381167
0.357675112	20.45881021	2.018247968	0.357675112	15.40821471	12.27472678
0.41728763	20.45968012	2.028109316	0.41728763	15.40593787	12.27550752
0.476900149	20.46005204	2.023609515	0.476900149	15.40368197	12.27642599
0.536512668	20.47419277	2.023327058	0.536512668	15.40190403	12.2771132
0.596125186	20.47813468	2.021855145	0.596125186	15.39860625	12.2786401
0.655737705	20.48422668	2.010006367	0.655737705	15.39295897	12.28168537
0.715350224	20.48836764	2.0209926	0.715350224	15.38991552	12.27944618
0.774962742	20.49858261	2.022489416	0.774962742	15.38523066	12.28092744
0.834575261	20.49898902	1.952420465	0.834575261	15.39343534	12.27757058
0.894187779	20.5044107	2.016818138	0.894187779	15.38608674	12.27960817
0.953800298	20.52137766	2.0001029	0.953800298	15.37395763	12.27266798
1.013412817	20.5320699	2.012399927	1.013412817	15.36315354	12.274158
1.073025335	20.54230552	2.01321622	1.073025335	15.34992467	12.27444796
1.132637854	20.56317597	2.004568823	1.132637854	15.34908753	12.27385431
1.192250373	20.57555308	1.983538564	1.192250373	15.34858427	12.27340103
1.251862891	20.61472053	1.935448415	1.251862891	15.33863939	12.27614008
1.31147541	20.6553006	1.989793367	1.31147541	15.33886476	12.27350904
1.371087928	20.73463003	1.972743913	1.371087928	15.33225138	12.27374423
1.430700447	20.82875789	1.957841356	1.430700447	15.32797395	12.27515236
1.490312966	20.88116286	1.954133785	1.490312966	15.32703408	12.27308888
1.549925484	20.90428756	1.951095376	1.549925484	15.32366275	12.27403328
1.609538003	20.91987661	1.951118821	1.609538003	15.32544407	12.27198009
1.669150522	20.9796667	1.943996878	1.669150522	15.32590447	12.27113261
1.72876304	20.99092014	1.927136978	1.72876304	15.32570359	12.2716868
1.788375559	21.01861432	1.853521182	1.788375559	15.32664436	12.27105989
1.847988077	21.03232794	1.938154491	1.847988077	15.32605642	12.27384672
1.907600596	21.09124987	1.475068737	1.907600596	15.32620182	12.27358801
1.967213115	21.12666262	1.154911187	1.967213115	15.32501197	12.2732209
2.026825633	21.16509011	1.921188127	2.026825633	15.32827461	12.27336888
2.086438152	21.17977639	1.920220831	2.086438152	15.3271096	12.27457414
2.146050671	21.1990257	1.916830224	2.146050671	15.32386035	12.27587388
2.205663189	21.26186394	0.820768324	2.205663189	15.32457627	12.27617524
2.265275708	21.27651982	-0.080854336	2.265275708	15.32087693	12.27769247
2.324888227	21.3323275	1.893353381	2.324888227	15.32634267	12.27742467
2.384500745	21.41214379	1.890261613	2.384500745	15.33006975	12.27544732
2.444113264	21.43063855	0.369922216	2.444113264	15.32600643	12.27672931
2.503725782	21.47060122	1.89231732	2.503725782	15.32979275	12.27687819
2.563338301	21.59638077	1.879017396	2.563338301	15.32649851	12.27800833
2.62295082	21.65404208	1.871562068	2.62295082	15.32463166	12.27807198
