SOLfas			CALext		
t	x	y	t	x	y
0.0000000000000	6.9296576440000	9.0684408680000	0.0000000000000	-11.6349807400000	13.4315586400000
0.0596125186300	6.9319479710000	9.0671516260000	0.0596125186300	-11.6342737600000	13.4292313600000
0.1192250373000	6.9365135220000	9.0671415700000	0.1192250373000	-11.6345326800000	13.4292330800000
0.1788375559000	6.9354218170000	9.0659661770000	0.1788375559000	-11.6344827500000	13.4290884500000
0.2384500745000	6.9322088910000	9.0665646730000	0.2384500745000	-11.6347270300000	13.4292128400000
0.2980625931000	6.9324393450000	9.0670472440000	0.2980625931000	-11.6350327700000	13.4293806200000
0.3576751118000	6.9101606370000	9.0685812780000	0.3576751118000	-11.6354115900000	13.4291978700000
0.4172876304000	6.9311566310000	9.0701385520000	0.4172876304000	-11.6352447200000	13.4292061200000
0.4769001490000	6.9168618920000	9.0725202150000	0.4769001490000	-11.6353804000000	13.4290244700000
0.5365126677000	6.9229100050000	9.0754842590000	0.5365126677000	-11.6353941100000	13.4289246200000
0.5961251863000	6.9183668250000	9.0745733800000	0.5961251863000	-11.6359441500000	13.4290012200000
0.6557377049000	6.9254018520000	9.0706492700000	0.6557377049000	-11.6371357600000	13.4286343700000
0.7153502235000	7.0750482010000	9.0809121970000	0.7153502235000	-11.6364053700000	13.4283853800000
0.7749627422000	7.3847941060000	9.0979223470000	0.7749627422000	-11.6407737600000	13.4277424200000
0.8345752608000	7.6863525140000	9.1043140760000	0.8345752608000	-11.6483442400000	13.4273225000000
0.8941877794000	7.9824251630000	9.1093141800000	0.8941877794000	-11.6523449500000	13.4272903500000
0.9538002981000	8.2848619400000	9.1364814190000	0.9538002981000	-11.6614992300000	13.4267417400000
1.0134128170000	8.6791112350000	9.1487363630000	1.0134128170000	-11.6581486900000	13.4277065600000
1.0730253350000	8.8510384610000	9.1501008940000	1.0730253350000	-11.6521900300000	13.4277026600000
1.1326378540000	9.0609610730000	9.1467587990000	1.1326378540000	-11.6446975100000	13.4286320900000
1.1922503730000	9.0638518790000	9.1436372470000	1.1922503730000	-11.6414814800000	13.4289182400000
1.2518628910000	9.1064488860000	9.1432523490000	1.2518628910000	-11.6375737600000	13.4287062500000
1.3114754100000	9.0834357160000	9.1383037090000	1.3114754100000	-11.6348906600000	13.4287366100000
1.3710879280000	9.0179255730000	9.1374997770000	1.3710879280000	-11.6331447900000	13.4285822800000
1.4307004470000	8.9406353830000	9.1366777100000	1.4307004470000	-11.6328975800000	13.4284679200000
1.4903129660000	8.7949922980000	9.1326051190000	1.4903129660000	-11.6336313100000	13.4282656800000
1.5499254840000	8.4192720200000	9.1182067910000	1.5499254840000	-11.6371158400000	13.4274847800000
1.6095380030000	8.1964014100000	9.1097619410000	1.6095380030000	-11.6361988600000	13.4279749300000
1.6691505220000	8.0258918540000	9.1174431870000	1.6691505220000	-11.6317449300000	13.4276937000000
1.7287630400000	7.8470276090000	9.1149770530000	1.7287630400000	-11.6329212200000	13.4278619100000
1.7883755590000	7.6433719950000	9.1116892970000	1.7883755590000	-11.6355824600000	13.4281886600000
1.8479880770000	7.4091199080000	9.1002039840000	1.8479880770000	-11.6341716600000	13.4284682200000
1.9076005960000	7.2455788490000	9.0745433410000	1.9076005960000	-11.6334730700000	13.4285330000000
