cm_A			CALext		
t	x	y	t	x	y
0.0000000000	13.4854637500	9.5829179690	0.0000000000	-3.0786750030	14.6128658600
0.0183664848	13.4836999800	9.5834773010	0.0183664848	-3.0780524120	14.6112358700
0.0367329697	13.4808083600	9.5842316870	0.0367329697	-3.0794089510	14.6110647000
0.0550994545	13.4823484100	9.5836339140	0.0550994545	-3.0818084330	14.6108992900
0.0734659394	13.4816483800	9.5836331270	0.0734659394	-3.0803356990	14.6113442500
0.0918324242	13.4818893100	9.5839259140	0.0918324242	-3.0789413100	14.6111413000
0.1101989090	13.4816793100	9.5837218150	0.1101989090	-3.0799807390	14.6109737500
0.1285653939	13.4810882600	9.5839693810	0.1285653939	-3.0811936560	14.6109677200
0.1469318787	13.4808631900	9.5842313010	0.1469318787	-3.0798970350	14.6109325000
0.1652983635	13.4809976500	9.5842354800	0.1652983635	-3.0801822640	14.6108060200
0.1836648484	13.4809125700	9.5842094150	0.1836648484	-3.0808717120	14.6109359500
0.2020313332	13.4812405700	9.5840938790	0.2020313332	-3.0797643930	14.6110048900
0.2203978181	13.4810860500	9.5838565680	0.2203978181	-3.0796204070	14.6108306900
0.2387643029	13.4821698600	9.5836430180	0.2387643029	-3.0795543710	14.6110991500
0.2571307877	13.4823606100	9.5834822830	0.2571307877	-3.0793202050	14.6110112600
0.2754972726	13.4829007500	9.5832442180	0.2754972726	-3.0801497460	14.6110144700
0.2938637574	13.4830781400	9.5834225980	0.2938637574	-3.0806008890	14.6109235000
0.3122302423	13.4822947800	9.5835409070	0.3122302423	-3.0806883610	14.6107989400
0.3305967271	13.4827013700	9.5835654720	0.3305967271	-3.0799070240	14.6106672600
0.3489632119	13.4825212300	9.5833160030	0.3489632119	-3.0793338450	14.6108484000
0.3673296968	13.4829398500	9.5830728690	0.3673296968	-3.0806200180	14.6109146100
0.3856961816	13.4819181200	9.5835656030	0.3856961816	-3.0801347790	14.6110467800
0.4040626664	13.4783929400	9.5845462420	0.4040626664	-3.0814329720	14.6107180800
0.4224291513	13.4795602400	9.5842016800	0.4224291513	-3.0809073890	14.6108368500
0.4407956361	13.4826357400	9.5834486890	0.4407956361	-3.0808231770	14.6107306200
0.4591621210	13.4829446600	9.5833334000	0.4591621210	-3.0805616150	14.6108377900
0.4775286058	13.4826591300	9.5837781580	0.4775286058	-3.0791095010	14.6107347400
0.4958950906	13.4836281100	9.5832526760	0.4958950906	-3.0780840040	14.6108328700
0.5142615755	13.4831074700	9.5834096110	0.5142615755	-3.0783826690	14.6108811700
0.5326280603	13.4835088500	9.5835203990	0.5326280603	-3.0788208830	14.6109335700
0.5509945452	13.4824830700	9.5840733190	0.5509945452	-3.0802381460	14.6106952300
0.5693610300	13.4825107000	9.5839355040	0.5693610300	-3.0811345860	14.6107691500
0.5877275148	13.4815348800	9.5839400210	0.5877275148	-3.0784919580	14.6107431800
0.6060939997	13.4832972500	9.5833695770	0.6060939997	-3.0799737510	14.6110209700
0.6244604845	13.4826973400	9.5835602750	0.6244604845	-3.0797401510	14.6109935900
0.6428269693	13.4827663300	9.5837207000	0.6428269693	-3.0807732980	14.6108835000
0.6611934542	13.4825136600	9.5835897130	0.6611934542	-3.0789630720	14.6109728000
0.6795599390	13.4837833800	9.5829973190	0.6795599390	-3.0780420210	14.6108780200
0.6979264239	13.4847030600	9.5830203740	0.6979264239	-3.0787904610	14.6110867700
0.7162929087	13.4837820300	9.5836795950	0.7162929087	-3.0791455790	14.6112053400
0.7346593935	13.4856860400	9.5827910100	0.7346593935	-3.0796474790	14.6110870200
0.7530258784	13.4852767300	9.5827896920	0.7530258784	-3.0796202430	14.6112158400
0.7713923632	13.4855794600	9.5829239610	0.7713923632	-3.0794254330	14.6113450700
0.7897588481	13.4847415300	9.5829003310	0.7897588481	-3.0791904290	14.6113444300
0.8081253329	13.4857173400	9.5826066460	0.8081253329	-3.0798225770	14.6112825500
0.8264918177	13.4871280000	9.5819593710	0.8264918177	-3.0797376130	14.6110833400
0.8448583026	13.4860794100	9.5822777280	0.8448583026	-3.0783224700	14.6110923400
0.8632247874	13.4861416600	9.5821843630	0.8632247874	-3.0787297970	14.6112142100
0.8815912722	13.4870784200	9.5821368280	0.8815912722	-3.0786805520	14.6112636200
