GFsup2			GFext		
t	x	y	t	x	y
0.0000000000	-12.7252759300	16.8593757200	0.0000000000	7.5576511860	24.0940503600
0.0552608311	-12.7305249100	16.8591966300	0.0552608311	7.5581549070	24.0922549700
0.1105216622	-12.7186655400	16.8598922700	0.1105216622	7.5573172090	24.0922330200
0.1657824934	-12.7067763000	16.8603427900	0.1657824934	7.5596485960	24.0922570500
0.2210433245	-12.7138481500	16.8598849000	0.2210433245	7.5613462940	24.0921933400
0.2763041556	-12.7185438100	16.8589757200	0.2763041556	7.5605883160	24.0925918300
0.3315649867	-12.7195177200	16.8595541000	0.3315649867	7.5617664010	24.0924483900
0.3868258179	-12.7155549500	16.8601202200	0.3868258179	7.5606212320	24.0920553200
0.4420866490	-12.6872826300	16.8619644100	0.4420866490	7.5612805220	24.0923937600
0.4973474801	-12.6901720700	16.8612302900	0.4973474801	7.5643589590	24.0923347100
0.5526083112	-12.7024216000	16.8614792500	0.5526083112	7.5649275160	24.0919072000
0.6078691424	-12.6958420400	16.8615634900	0.6078691424	7.5627607000	24.0922991300
0.6631299735	-12.6931218900	16.8619908500	0.6631299735	7.5630422680	24.0922149000
0.7183908046	-12.6747516000	16.8623843700	0.7183908046	7.5625286230	24.0921664000
0.7736516357	-12.6694876300	16.8600905600	0.7736516357	7.5661007660	24.0922950200
0.8289124668	-12.6456483100	16.8613177000	0.8289124668	7.5678771420	24.0921131800
0.8841732980	-12.6164069700	16.8627804400	0.8841732980	7.5667430140	24.0918476300
0.9394341291	-12.6290824100	16.8609977100	0.9394341291	7.5690134050	24.0910159200
0.9946949602	-12.6343521500	16.8602806700	0.9946949602	7.5673096080	24.0919328000
1.0499557910	-12.6384954100	16.8603311800	1.0499557910	7.5680302950	24.0908058200
1.1052166220	-12.6243260700	16.8593890900	1.1052166220	7.5690453820	24.0915192100
1.1604774540	-12.6013387700	16.8611898600	1.1604774540	7.5721585570	24.0914235100
1.2157382850	-12.5647186700	16.8632302700	1.2157382850	7.5704865880	24.0924754500
1.2709991160	-12.5450343600	16.8633651600	1.2709991160	7.5765478190	24.0919613400
1.3262599470	-12.5185160300	16.8647655000	1.3262599470	7.5801262070	24.0922643900
1.3815207780	-12.5258588700	16.8643378400	1.3815207780	7.5798723020	24.0918141200
1.4367816090	-12.5174214000	16.8637261800	1.4367816090	7.5837859020	24.0928675400
1.4920424400	-12.5099043400	16.8632373700	1.4920424400	7.5842384010	24.0908286100
1.5473032710	-12.4894501000	16.8630192000	1.5473032710	7.5871828720	24.0915377100
1.6025641030	-12.4949376300	16.8622201600	1.6025641030	7.5864704160	24.0913978200
1.6578249340	-12.4874857100	16.8624193600	1.6578249340	7.5941645850	24.0906238600
1.7130857650	-12.4413124600	16.8642964700	1.7130857650	7.5943140850	24.0902059200
1.7683465960	-12.4312124000	16.8631960900	1.7683465960	7.6201317070	24.0897004500
1.8236074270	-12.4159345400	16.8621516900	1.8236074270	7.6454953030	24.0889319800
1.8788682580	-12.4548230200	16.8614313000	1.8788682580	7.6548872490	24.0894307700
1.9341290890	-12.4228351600	16.8627944300	1.9341290890	7.6594838870	24.0898575200
1.9893899200	-12.4227851400	16.8626277800	1.9893899200	7.6706855660	24.0899309300
2.0446507520	-12.4271559300	16.8620342700	2.0446507520	7.6770166850	24.0893983500
2.0999115830	-12.4118231100	16.8620003600	2.0999115830	7.6771669920	24.0903157700
2.1551724140	-12.3834031900	16.8622077300	2.1551724140	7.6760731700	24.0894998700
2.2104332450	-12.3619677800	16.8620172500	2.2104332450	7.6903456580	24.0893868200
2.2656940760	-12.3700217100	16.8623300700	2.2656940760	7.6879002740	24.0900751000
2.3209549070	-12.3813411200	16.8615859100	2.3209549070	7.6909557900	24.0893583600
