CALinsMM			CALext		
t	x	y	t	x	y
0.00000000000	11.91229191	4.682671543	0.000000000000	-12.049163900000	14.640702240000
0.05961251863	11.90819709	4.681458369	0.059612518630	-12.047957690000	14.640886870000
0.1192250373	11.9067773	4.68197333	0.119225037300	-12.043484300000	14.640331610000
0.1788375559	11.91068116	4.684046642	0.178837555900	-12.044286550000	14.639444090000
0.2384500745	11.9185423	4.686919682	0.238450074500	-12.038258040000	14.640955220000
0.2980625931	11.92132138	4.687079124	0.298062593100	-12.041589760000	14.640007780000
0.3576751118	11.91290275	4.685563846	0.357675111800	-12.027575180000	14.639281760000
0.4172876304	11.92886202	4.695264013	0.417287630400	-12.035816660000	14.638973790000
0.476900149	11.97705758	4.701700774	0.476900149000	-12.036694670000	14.640560150000
0.5365126677	12.01587258	4.705795269	0.536512667700	-12.036462550000	14.637698370000
0.5961251863	12.03368631	4.708386151	0.596125186300	-12.034553910000	14.636077000000
0.6557377049	12.03888176	4.701538401	0.655737704900	-12.033405400000	14.639534000000
0.7153502235	12.02546696	4.695439052	0.715350223500	-12.035678650000	14.638827150000
0.7749627422	12.02571696	4.689583642	0.774962742200	-12.036324540000	14.639298280000
0.8345752608	12.03116484	4.687514798	0.834575260800	-12.038836960000	14.636741820000
0.8941877794	12.04379731	4.685559604	0.894187779400	-12.040099600000	14.638684140000
0.9538002981	12.05636011	4.686155689	0.953800298100	-12.045694210000	14.638902110000
1.013412817	12.05595522	4.686508033	1.013412817000	-12.044094320000	14.640616230000
1.073025335	12.05475594	4.684097164	1.073025335000	-12.043363280000	14.639009480000
1.132637854	12.04966898	4.677661697	1.132637854000	-12.042808800000	14.636556930000
1.192250373	12.04357185	4.678922217	1.192250373000	-12.048238010000	14.639280330000
1.251862891	12.03618902	4.678655943	1.251862891000	-12.049317430000	14.638084700000
1.31147541	12.03015332	4.677597948	1.311475410000	-12.056673310000	14.635422350000
1.371087928	12.03021143	4.679488378	1.371087928000	-12.048764710000	14.635190200000
1.430700447	12.03093884	4.67989258	1.430700447000	-12.053082410000	14.635336530000
1.490312966	12.04351589	4.681784482	1.490312966000	-12.054329450000	14.634967770000
1.549925484	12.04891999	4.679173026	1.549925484000	-12.053578780000	14.634881230000
1.609538003	12.05682142	4.679845969	1.609538003000	-12.056048890000	14.634991740000
1.669150522	12.0579058	4.676465111	1.669150522000	-12.054499610000	14.634472310000
1.72876304	12.06471139	4.672286647	1.728763040000	-12.057367280000	14.635746070000
1.788375559	12.06957772	4.668018299	1.788375559000	-12.054891590000	14.636231470000
1.847988077	12.0718259	4.667018307	1.847988077000	-12.057291690000	14.636979140000
1.907600596	12.07530494	4.669107265	1.907600596000	-12.053850260000	14.636546610000
1.967213115	12.07426726	4.667645083	1.967213115000	-12.054740560000	14.635642250000
2.026825633	12.07643343	4.672267053	2.026825633000	-12.057144720000	14.635823900000
2.086438152	12.09346313	4.676537777	2.086438152000	-12.058062770000	14.634305210000
2.146050671	12.13912046	4.680834458	2.146050671000	-12.056754180000	14.634821620000
2.205663189	12.14996181	4.680372905	2.205663189000	-12.061815140000	14.634091110000
2.265275708	12.15576353	4.674769534	2.265275708000	-12.063395360000	14.635421300000
2.324888227	12.15259214	4.668721763	2.324888227000	-12.061095590000	14.636734510000
2.384500745	12.14596019	4.656717849	2.384500745000	-12.063940140000	14.636699020000
2.444113264	12.14389964	4.654737649	2.444113264000	-12.062275510000	14.637918470000
2.503725782	12.12846589	4.646501761	2.503725782000	-12.059605090000	14.636377330000
2.563338301	12.13079064	4.645496041	2.563338301000	-12.066417420000	14.633230110000
2.62295082	12.13317778	4.650099066	2.622950820000	-12.069355610000	14.633799520000
2.682563338	12.14521888	4.649356782	2.682563338000	-12.071143110000	14.634508820000
2.742175857	12.15095205	4.644802181	2.742175857000	-12.070587970000	14.634818070000
2.801788376	12.15770741	4.621246805	2.801788376000	-12.073527040000	14.638846830000
