GMfasBESTMMM			GMext		
0.8363534987	17.2338797700	1.5097448560	0.8363534987	46.8703774700	9.4588041870
0.8595855404	17.2340122400	1.5095679900	0.8595855404	46.8699055200	9.4587501240
0.8828175820	17.2330710400	1.5095020850	0.8828175820	46.8704165800	9.4587434280
0.9060496236	17.2338630500	1.5095976470	0.9060496236	46.8693971100	9.4587012060
0.9292816653	17.2328833200	1.5097885590	0.9292816653	46.8705694200	9.4587313540
0.9525137069	17.2329561200	1.5096567720	0.9525137069	46.8703856400	9.4587566100
0.9757457485	17.2322388300	1.5098503710	0.9757457485	46.8702807100	9.4586628250
0.9989777902	17.2322864300	1.5098428120	0.9989777902	46.8708760300	9.4585900950
1.0222098320	17.2330355900	1.5098790710	1.0222098320	46.8704656400	9.4585188920
1.0454418730	17.2327193100	1.5098862680	1.0454418730	46.8706609600	9.4584324460
1.0686739150	17.2327196400	1.5096939070	1.0686739150	46.8706910300	9.4584017900
1.0919059570	17.2343143700	1.5094123430	1.0919059570	46.8703185900	9.4585890700
1.1151379980	17.2318879800	1.5092881980	1.1151379980	46.8702716100	9.4586731830
1.1383700400	17.2282865300	1.5090991830	1.1383700400	46.8698124800	9.4586037550
1.1616020820	17.2278643000	1.5093766790	1.1616020820	46.8712598300	9.4584449890
1.1848341230	17.2242426600	1.5094537540	1.1848341230	46.8700921500	9.4586051080
1.2080661650	17.2172752200	1.5110107310	1.2080661650	46.8704619100	9.4586726090
1.2312982060	17.2160611400	1.5110068050	1.2312982060	46.8700693000	9.4587660530
1.2545302480	17.2058893400	1.5119422140	1.2545302480	46.8702967400	9.4586008640
1.2777622900	17.0979829500	1.5360133150	1.2777622900	46.8699890400	9.4590771160
1.3009943310	16.9714405700	1.5634131950	1.3009943310	46.8701935500	9.4588288590
1.3242263730	16.6519485400	1.6228073580	1.3242263730	46.8690158200	9.4589579930
1.3474584150	16.1336121400	1.7150140670	1.3474584150	46.8671101800	9.4602424670
1.3706904560	15.6020820400	1.8024143920	1.3706904560	46.8666035700	9.4607862360
1.3939224980	15.0995370400	1.8730312370	1.3939224980	46.8664052600	9.4634032580
1.4171545400	14.6333022000	1.9455004660	1.4171545400	46.8659917200	9.4666019470
1.4403865810	13.9035228900	2.0441515830	1.4403865810	46.8596624300	9.4726683290
1.4636186230	13.4202207600	2.0938819540	1.4636186230	46.8489399400	9.4773469090
1.4868506640	12.8610170800	2.1810569370	1.4868506640	46.8178044600	9.4890068440
1.5100827060	12.5383777900	2.2127055060	1.5100827060	46.7947548200	9.4949441470
1.5333147480	11.9258048400	2.3099082490	1.5333147480	46.7690431000	9.5156026810
1.5565467890	11.7648778800	2.3348474450	1.5565467890	46.7647159900	9.5185666540
1.5797788310	11.2076467100	2.4177396450	1.5797788310	46.7458089300	9.5435732210
1.6030108730	10.9852849000	2.4563111520	1.6030108730	46.7435456500	9.5520951650
1.6262429140	10.8881718000	2.4761441310	1.6262429140	46.7361739900	9.5568467970
1.6494749560	10.4196056300	2.5479939130	1.6494749560	46.7181121100	9.5781503410
1.6727069970	10.1978957800	2.5763450200	1.6727069970	46.7101848000	9.5821954500
1.6959390390	9.8737369260	2.6176155080	1.6959390390	46.7039486900	9.5878229740
1.7191710810	9.6927091650	2.6507821020	1.7191710810	46.6982380900	9.5853464750
1.7424031220	9.5140504670	2.6741974930	1.7424031220	46.6865458200	9.5894727060
1.7656351640	9.3720093170	2.7035307060	1.7656351640	46.6702014600	9.5953816680
1.7888672060	9.2506050620	2.7319853670	1.7888672060	46.6594083500	9.6010326670
1.8120992470	9.1932793910	2.7280802690	1.8120992470	46.6624002600	9.6034778760
1.8353312890	9.0073451230	2.7829692810	1.8353312890	46.6532525300	9.6188704760
1.8585633310	8.9021649010	2.8070291950	1.8585633310	46.6518958600	9.6292845060
1.8817953720	8.7428166390	2.8546839060	1.8817953720	46.6526374800	9.6385350600
1.9050274140	8.6830104100	2.8615189220	1.9050274140	46.6574525000	9.6389099670
1.9282594550	8.4901943230	2.8836494720	1.9282594550	46.6447646800	9.6486170090
1.9514914970	8.3384571910	2.9017599340	1.9514914970	46.6454287900	9.6494574560
1.9747235390	8.2626685880	2.9080519310	1.9747235390	46.6462824400	9.6499853340
1.9979555800	8.0953406770	2.9255156310	1.9979555800	46.6460857900	9.6521718820
2.0211876220	7.9262678830	2.9468756580	2.0211876220	46.6451534600	9.6563482410
2.0444196640	7.7489500000	2.9690731340	2.0444196640	46.6465274300	9.6570608480
2.0676517050	7.5878835950	2.9856589380	2.0676517050	46.6454988900	9.6585057980
2.0908837470	7.3387935110	3.0157128980	2.0908837470	46.6474505200	9.6629223450
2.1141157880	7.1264236270	3.0435574880	2.1141157880	46.6425980900	9.6726500270
2.1373478300	7.1092111070	3.0555331280	2.1373478300	46.6378504800	9.6732543250
2.1605798720	7.0744573530	3.0299615300	2.1605798720	46.6350637600	9.6828077410
2.1838119130	7.0065439410	3.0307581530	2.1838119130	46.6273546100	9.6946704870
2.2070439550	6.9054951300	3.0352025200	2.2070439550	46.6217549500	9.7021536760
2.2302759970	6.8336738370	3.0373877140	2.2302759970	46.6140567500	9.7113203020
2.2535080380	6.7633050270	3.0423861400	2.2535080380	46.6069773000	9.7171128290
2.2767400800	6.6855223230	3.0454125010	2.2767400800	46.5999447400	9.7212518060
2.2999721220	6.5777075950	3.0748477660	2.2999721220	46.5927660900	9.7288239460
2.3232041630	6.4750757090	3.0921004420	2.3232041630	46.5876058000	9.7342613700
2.3464362050	6.2807416650	3.1239646340	2.3464362050	46.5843917000	9.7440495800
2.3696682460	6.1069765420	3.1417348310	2.3696682460	46.5847316100	9.7592662320
2.3929002880	5.9951711550	3.1496751160	2.3929002880	46.5912787400	9.7727380300
2.4161323300	5.9022407790	3.1578297250	2.4161323300	46.5818622500	9.7871136750
2.4393643710	5.8105211300	3.1669153690	2.4393643710	46.5693928600	9.7938288410
2.4625964130	5.6714707760	3.1828610790	2.4625964130	46.5464166900	9.8058371720
2.4858284550	5.5920423050	3.1952544370	2.4858284550	46.5331404100	9.8137830260
2.5090604960	5.5198208340	3.2049073380	2.5090604960	46.5273256600	9.8186464270
2.5322925380	5.4163877170	3.2118569060	2.5322925380	46.5155538800	9.8285447260
2.5555245800	5.3602297790	3.2125144420	2.5555245800	46.5179489800	9.8300025830
2.5787566210	5.3317786390	3.1849261510	2.5787566210	46.5246291400	9.8302054400
2.6019886630	5.2304726300	3.1849990490	2.6019886630	46.5190405500	9.8383419900
2.6252207040	5.1229410020	3.1767340620	2.6252207040	46.5200751000	9.8432592620
2.6484527460	5.0647917860	3.1777587950	2.6484527460	46.5220728800	9.8504250030
2.6716847880	5.0423789110	3.1627237080	2.6716847880	46.5130366500	9.8659397850
2.6949168290	4.9511572690	3.1537865330	2.6949168290	46.5118555300	9.8723844110
2.7181488710	4.9126300940	3.1576265010	2.7181488710	46.4960211800	9.8794109990
2.7413809130	4.8344763120	3.1715464910	2.7413809130	46.4905547400	9.8862415760
2.7646129540	4.6334832820	3.1790426570	2.7646129540	46.4732620400	9.8986392820
2.7878449960	4.6163834370	3.1871771500	2.7878449960	46.4706506600	9.9032778170
2.8110770370	4.4720343530	3.2108897360	2.8110770370	46.4533677000	9.9175611670
2.8343090790	4.4550703430	3.2098061280	2.8343090790	46.4558293600	9.9192498910
2.8575411210	4.4131394860	3.2126904100	2.8575411210	46.4596129700	9.9203836370
2.8807731620	4.3775724390	3.2244977560	2.8807731620	46.4615786100	9.9196412890
2.9040052040	4.2995748760	3.2381474960	2.9040052040	46.4657648200	9.9227584790
2.9272372460	4.2167156470	3.2396007130	2.9272372460	46.4654363000	9.9245776780
2.9504692870	4.0608299090	3.2456318980	2.9504692870	46.4654387900	9.9359216050
2.9737013290	4.0058178080	3.2540151950	2.9737013290	46.4702754000	9.9435409440
2.9969333710	3.9234172890	3.2445164830	2.9969333710	46.4719447400	9.9527420890
3.0201654120	3.6933684550	3.2484023960	3.0201654120	46.4729860400	9.9645103340
3.0433974540	3.5926456120	3.2497914260	3.0433974540	46.4688450800	9.9729178770
3.0666294950	3.5310673700	3.2547627590	3.0666294950	46.4738631200	9.9693356470
3.0898615370	3.4203104980	3.2677951710	3.0898615370	46.4722596000	9.9725705320
3.1130935790	3.2722524440	3.2749572730	3.1130935790	46.4824241400	9.9773389650
3.1363256200	3.2492888580	3.2741994750	3.1363256200	46.4875089400	9.9793124590
3.1595576620	3.2449803600	3.2916400790	3.1595576620	46.4924870500	9.9807378130
3.1827897040	3.2202924560	3.2943732890	3.1827897040	46.4987394000	9.9838920570
3.2060217450	3.1217276790	3.3113867020	3.2060217450	46.5027662600	9.9892618300
3.2292537870	3.0800163420	3.3148644960	3.2292537870	46.5026199500	9.9903791890
3.2524858280	3.0844513920	3.3193747360	3.2524858280	46.5032267300	9.9904239790
3.2757178700	3.0325603520	3.3296676870	3.2757178700	46.5110671100	9.9938465570
3.2989499120	2.9793159010	3.3392950410	3.2989499120	46.5101218400	9.9945266240
3.3221819530	2.9291367800	3.3448739450	3.3221819530	46.5088177000	9.9942217540
3.3454139950	2.8632580070	3.3546508430	3.3454139950	46.5079674700	9.9966149920
3.3686460370	2.7704960720	3.3566485740	3.3686460370	46.5079691000	9.9994223250
3.3918780780	2.6040942410	3.3899304700	3.3918780780	46.5115299600	10.0101387800
3.4151101200	2.4378540380	3.3986777820	3.4151101200	46.5132828100	10.0179362900
3.4383421620	2.2722192050	3.4104718450	3.4383421620	46.5153399600	10.0239765300
3.4615742030	2.1981473830	3.4223611580	3.4615742030	46.5147217600	10.0278473300
3.4848062450	2.0640757020	3.4461787890	3.4848062450	46.5189112400	10.0311185200
3.5080382860	1.9229032460	3.4665192580	3.5080382860	46.5180521200	10.0345784300
3.5312703280	1.6499265210	3.5023388040	3.5312703280	46.5290000100	10.0381888200
3.5545023700	1.6013462480	3.4958059800	3.5545023700	46.5317645400	10.0390973100
3.5777344110	1.4472672600	3.5111015930	3.5777344110	46.5270575200	10.0434983100
3.6009664530	1.2956476590	3.5371319500	3.6009664530	46.5381910600	10.0456326300
3.6241984950	1.2467884320	3.5640967630	3.6241984950	46.5561857300	10.0473329100
3.6474305360	1.1568709800	3.5772198980	3.6474305360	46.5640596200	10.0502708100
3.6706625780	1.0851857170	3.5887541970	3.6706625780	46.5691689500	10.0552782300
3.6938946190	1.0587656580	3.6044689060	3.6938946190	46.5747394500	10.0555902100
3.7171266610	1.0720504280	3.6138702330	3.7171266610	46.5779584900	10.0572910500
3.7403587030	1.0839925870	3.6223090520	3.7403587030	46.5826504200	10.0571133200
3.7635907440	1.0681680680	3.6232954630	3.7635907440	46.5811005500	10.0528913100
3.7868227860	1.0538309990	3.6436003750	3.7868227860	46.5787515300	10.0544167400
3.8100548280	1.0436195780	3.6583638270	3.8100548280	46.5839282600	10.0534935800
3.8332868690	0.9749993174	3.6728745080	3.8332868690	46.5850683600	10.0539448200
3.8565189110	0.9528953729	3.6748227010	3.8565189110	46.5830978900	10.0537071400
3.8797509530	0.9473223300	3.6853897240	3.8797509530	46.5829309700	10.0544221800
3.9029829940	0.8844663815	3.6889969240	3.9029829940	46.5782094400	10.0528343800
3.9262150360	0.8194168189	3.6921412830	3.9262150360	46.5796221600	10.0566574600
3.9494470770	0.7644504030	3.7059422950	3.9494470770	46.5806066700	10.0620843400
3.9726791190	0.7427958960	3.6976133710	3.9726791190	46.5777955600	10.0663289900
3.9959111610	0.6680479600	3.7026228050	3.9959111610	46.5745797800	10.0645303800
4.0191432020	0.5541943483	3.7200916030	4.0191432020	46.5777410300	10.0605315300
4.0423752440	0.5002725219	3.7251347040	4.0423752440	46.5785157600	10.0614374500
4.0656072860	0.3954848081	3.7350633880	4.0656072860	46.5785098900	10.0649175100
4.0888393270	0.2449631708	3.7489652230	4.0888393270	46.5843374700	10.0676993300
4.1120713690	0.0070130909	3.7879325160	4.1120713690	46.5874432400	10.0787980600
4.1353034100	-0.1058137389	3.8109249450	4.1353034100	46.5874926100	10.0822991000
4.1585354520	-0.3715166020	3.8070019020	4.1585354520	46.5919278000	10.0907604800
4.1817674940	-0.4860017575	3.8188573090	4.1817674940	46.5912409200	10.0945981900
4.2049995350	-0.6234615106	3.8311479170	4.2049995350	46.5904298200	10.1013003400
4.2282315770	-0.7088912136	3.8377726090	4.2282315770	46.5892927000	10.1039459300
4.2514636190	-0.7848541490	3.8442584920	4.2514636190	46.5902418000	10.1095305300
4.2746956600	-0.8503542829	3.8419158940	4.2746956600	46.5902929400	10.1108611400
4.2979277020	-0.9716740150	3.8462855240	4.2979277020	46.5899765300	10.1146504500
4.3211597440	-1.0923525320	3.8595879100	4.3211597440	46.5900775900	10.1167152000
4.3443917850	-1.1226543360	3.8686358110	4.3443917850	46.5906344000	10.1163400800
4.3676238270	-1.3278661010	3.8712130310	4.3676238270	46.5934032800	10.1234659800
4.3908558680	-1.6048542550	3.9189844210	4.3908558680	46.5993089300	10.1306902500
4.4140879100	-1.6747623010	3.9203456640	4.4140879100	46.6010473900	10.1290116100
4.4373199520	-1.7320925330	3.9187927250	4.4373199520	46.6006558900	10.1305295300
4.4605519930	-1.7585094280	3.9209346920	4.4605519930	46.6060980000	10.1289078700
4.4837840350	-1.7901596810	3.9217016240	4.4837840350	46.6053724000	10.1264876500
4.5070160770	-1.8179851820	3.9244247560	4.5070160770	46.6061616800	10.1233249900
4.5302481180	-1.8922738590	3.9308620280	4.5302481180	46.6089250400	10.1276391200
4.5534801600	-1.9433165940	3.9391128700	4.5534801600	46.6049046900	10.1269342700
4.5767122010	-2.0011686240	3.9462137350	4.5767122010	46.6100146800	10.1250382300
4.5999442430	-2.0360867130	3.9449282150	4.5999442430	46.6097905700	10.1233550500
4.6231762850	-2.0609466590	3.9525742800	4.6231762850	46.6112527300	10.1244702300
4.6464083260	-2.0639553360	3.9495016520	4.6464083260	46.6104203700	10.1238395800
4.6696403680	-2.0617853230	3.9502124960	4.6696403680	46.6102598500	10.1234701000
4.6928724100	-2.0836434600	3.9569348740	4.6928724100	46.6140906300	10.1201063000
4.7161044510	-2.1019864640	3.9501812300	4.7161044510	46.6124167700	10.1186166400
4.7393364930	-2.1388147900	3.9655187510	4.7393364930	46.6135946100	10.1174455200
4.7625685350	-2.1989017110	3.9710862690	4.7625685350	46.6174574700	10.1208962300
4.7858005760	-2.2166246890	3.9761974560	4.7858005760	46.6147132000	10.1209114900
4.8090326180	-2.2495672920	3.9817738300	4.8090326180	46.6211493000	10.1174552000
4.8322646590	-2.2714220630	3.9827282770	4.8322646590	46.6276007500	10.1139252800
4.8554967010	-2.2680986590	3.9822141370	4.8554967010	46.6366329000	10.1134112200
4.8787287430	-2.2758798180	3.9828690090	4.8787287430	46.6419882500	10.1100747300
4.9019607840	-2.3148699340	3.9838121200	4.9019607840	46.6549085200	10.1090758000
4.9251928260	-2.3533481290	3.9883407740	4.9251928260	46.6569497700	10.1108789100
4.9484248680	-2.3553713340	3.9856371410	4.9484248680	46.6568037100	10.1154977700
4.9716569090	-2.3557369840	3.9804182190	4.9716569090	46.6538940600	10.1244037000
4.9948889510	-2.4461360090	3.9957737750	4.9948889510	46.6545113500	10.1250974100
5.0181209920	-2.5073596760	3.9997153680	5.0181209920	46.6547714500	10.1250506200
5.0413530340	-2.4426410360	3.9844000720	5.0413530340	46.6522857500	10.1251469600
5.0645850760	-2.4434179810	3.9948125240	5.0645850760	46.6584869100	10.1179305600
5.0878171170	-2.4515426320	3.9984939630	5.0878171170	46.6559966200	10.1148620100
5.1110491590	-2.4650948770	3.9884222460	5.1110491590	46.6528366200	10.1219086600
5.1342812010	-2.4527625360	3.9994106740	5.1342812010	46.6558334300	10.1228231000
5.1575132420	-2.4413489380	4.0009359700	5.1575132420	46.6555310900	10.1231629800
5.1807452840	-2.4349191640	4.0006309210	5.1807452840	46.6626049800	10.1277315400
5.2039773260	-2.4278117830	4.0017219710	5.2039773260	46.6593416500	10.1295716700
5.2272093670	-2.4261114050	4.0027390350	5.2272093670	46.6647272000	10.1278318300
5.2504414090	-2.4265788370	4.0030841150	5.2504414090	46.6585724900	10.1219703900
5.2736734500	-2.4380212630	4.0063092640	5.2736734500	46.6596472700	10.1214150000
5.2969054920	-2.4394486110	4.0036498210	5.2969054920	46.6593186400	10.1176500600
5.3201375340	-2.4328132650	4.0054979680	5.3201375340	46.6621329200	10.1186593500
5.3433695750	-2.4563672940	4.0168962570	5.3433695750	46.6598725900	10.1291758400
5.3666016170	-2.4694089550	4.0224552650	5.3666016170	46.6596305700	10.1282641200
5.3898336590	-2.2337418240	4.0370604120	5.3898336590	46.6502214000	10.1517694900
			5.4130657000	46.6512634900	10.1564949700
			5.4362977420	46.6443894900	10.1568510600
			5.4595297830	46.6219954400	10.1639911900
			5.4827618250	46.6333588500	10.1515315700
			5.5059938670	46.6383451200	10.1433440300
			5.5292259080	46.6385574600	10.1422762100
			5.5524579500	46.6402354900	10.1428111300
			5.5756899920	46.6381732000	10.1429863800
			5.5989220330	46.6446194100	10.1171687700
			5.6221540750	46.6476004400	10.0823289800
			5.6453861170	46.6593415400	10.0425483300
			5.6686181580	46.6211970200	10.0194210400
			5.6918502000	46.6351669000	9.9321241250
			5.7150822410	46.6822357900	9.8993560430
			5.7383142830	46.7340971900	9.8238387020
			5.7615463250	46.7136446400	9.7691743730
			5.7847783660	46.7099401400	9.7155864970
			5.8080104080	46.7129930900	9.6903786160
			5.8312424500	46.7112635300	9.6493479640
			5.8544744910	46.7274375800	9.6200335850
			5.8777065330	46.7246177800	9.6188227390
			5.9009385740	46.7210642800	9.5987749150
			5.9241706160	46.7182067500	9.5995665220
			5.9474026580	46.7174747500	9.5943632650
			5.9706346990	46.7176040700	9.5878220460
			5.9938667410	46.7128565100	9.5716796400
			6.0170987830	46.7107615100	9.5522452000
			6.0403308240	46.7091222800	9.5469314610
			6.0635628660	46.7121108400	9.5464326060
			6.0867949080	46.7090888500	9.5397333600
			6.1100269490	46.7113196900	9.5363535140
			6.1332589910	46.7111725200	9.5347430360
			6.1564910320	46.7130411900	9.5369684380
			6.1797230740	46.7094791000	9.5370365920
			6.2029551160	46.7096187900	9.5379155680
			6.2261871570	46.7069749600	9.5374842920
			6.2494191990	46.7028891800	9.5381932730
			6.2726512410	46.7036943600	9.5393283870
			6.2958832820	46.7072422500	9.5389354440
			6.3191153240	46.7107431100	9.5390235090
			6.3423473650	46.7105600900	9.5396304780
			6.3655794070	46.7119560000	9.5398751500
			6.3888114490	46.7144242300	9.5405677690
			6.4120434900	46.7140612900	9.5415514860
			6.4352755320	46.7151913800	9.5414893350
			6.4585075740	46.7169076600	9.5409901990
			6.4817396150	46.7189959300	9.5401661940
			6.5049716570	46.7194487900	9.5378170380
			6.5282036990	46.7207302500	9.5382213990
			6.5514357400	46.7217980900	9.5379259300
			6.5746677820	46.7242925500	9.5369134730
			6.5978998230	46.7266687900	9.5346076330
			6.6211318650	46.7277758900	9.5345331900
			6.6443639070	46.7269694200	9.5354151690
			6.6675959480	46.7270758900	9.5357093250
			6.6908279900	46.7262383200	9.5372851470
			6.7140600320	46.7262096000	9.5382209560
			6.7372920730	46.7251230500	9.5402458950
			6.7605241150	46.7234770300	9.5426273050
			6.7837561560	46.7244294900	9.5439012320
			6.8069881980	46.7235300500	9.5445715500
			6.8302202400	46.7228366800	9.5440730360
			6.8534522810	46.7236847900	9.5458838850
			6.8766843230	46.7222819500	9.5472705720
			6.8999163650	46.7222281000	9.5478233720
			6.9231484060	46.7217188700	9.5486143050
			6.9463804480	46.7198326800	9.5498091470
			6.9696124900	46.7199745000	9.5502082240
			6.9928445310	46.7164077600	9.5514739430
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
