GMfasBESTMMM			GMext		
t	x	y	t	x	y
0.0000000000	17.2345750500	1.5098748570	0.0000000000	46.8712955100	9.4585720270
0.0232320416	17.2341898200	1.5100149440	0.0232320416	46.8695951600	9.4587743050
0.0464640833	17.2343926200	1.5098893990	0.0464640833	46.8709293400	9.4585540640
0.0696961249	17.2346096600	1.5098936660	0.0696961249	46.8708783600	9.4586661940
0.0929281665	17.2344927500	1.5098772100	0.0929281665	46.8706359800	9.4586834890
0.1161602082	17.2341406800	1.5099437730	0.1161602082	46.8708456700	9.4587186870
0.1393922498	17.2344504500	1.5099525910	0.1393922498	46.8701535500	9.4588089900
0.1626242914	17.2345472700	1.5098322140	0.1626242914	46.8704357600	9.4587183320
0.1858563331	17.2344639000	1.5098857720	0.1858563331	46.8699414100	9.4587101520
0.2090883747	17.2343207000	1.5099729760	0.2090883747	46.8703129100	9.4586073980
0.2323204163	17.2342676800	1.5098965510	0.2323204163	46.8700356800	9.4585531910
0.2555524580	17.2342072600	1.5098286480	0.2555524580	46.8704532300	9.4587340000
0.2787844996	17.2348533900	1.5100189720	0.2787844996	46.8704424400	9.4586392250
0.3020165412	17.2346637200	1.5098645840	0.3020165412	46.8705246000	9.4587519640
0.3252485828	17.2347438600	1.5100471700	0.3252485828	46.8704123700	9.4585650060
0.3484806245	17.2349992300	1.5100858990	0.3484806245	46.8708730200	9.4584614300
0.3717126661	17.2345970700	1.5099038810	0.3717126661	46.8701104500	9.4586293300
0.3949447077	17.2354505100	1.5097846370	0.3949447077	46.8706408700	9.4584489180
0.4181767494	17.2352403600	1.5098433250	0.4181767494	46.8706697700	9.4584792150
0.4414087910	17.2346507400	1.5097568750	0.4414087910	46.8703431100	9.4585101560
0.4646408326	17.2351509000	1.5097782920	0.4646408326	46.8705371100	9.4584849880
0.4878728743	17.2347354000	1.5097945020	0.4878728743	46.8708626000	9.4584282690
0.5111049159	17.2339823000	1.5099093790	0.5111049159	46.8705842100	9.4584779590
0.5343369575	17.2337825800	1.5100037340	0.5343369575	46.8701889200	9.4587988690
0.5575689992	17.2338363100	1.5096461820	0.5575689992	46.8697810200	9.4587887560
0.5808010408	17.2329163100	1.5097576060	0.5808010408	46.8704891300	9.4587658510
0.6040330824	17.2334241300	1.5097480750	0.6040330824	46.8703821900	9.4587247300
0.6272651241	17.2340051700	1.5097429520	0.6272651241	46.8701474700	9.4587690870
0.6504971657	17.2335608100	1.5097535260	0.6504971657	46.8701435600	9.4589098920
0.6737292073	17.2339425900	1.5096317670	0.6737292073	46.8705242300	9.4587407610
0.6969612490	17.2341961300	1.5095749400	0.6969612490	46.8700587800	9.4588542420
0.7201932906	17.2338884200	1.5095265100	0.7201932906	46.8707698100	9.4586299520
0.7434253322	17.2337898000	1.5096287820	0.7434253322	46.8697710700	9.4585289900
0.7666573739	17.2339108100	1.5095715540	0.7666573739	46.8701580900	9.4587090220
0.7898894155	17.2338258900	1.5097707250	0.7898894155	46.8703093900	9.4586703390
0.8131214571	17.2339225100	1.5096789540	0.8131214571	46.8699904300	9.4587294590
