GMfasc			GMext		
t	x	y	t	x	y
8.166915052	3.967235626	0.595168898	8.166915052	-6.745597366	11.27439475
8.226527571	4.065220548	0.587317546	8.226527571	-6.742959133	11.27396426
8.286140089	4.07817094	0.588449647	8.286140089	-6.742184861	11.27340793
8.345752608	4.158503206	0.579466625	8.345752608	-6.740617861	11.27326303
8.405365127	4.251755	0.572763531	8.405365127	-6.740929588	11.27342533
8.464977645	4.288911065	0.571619388	8.464977645	-6.740984623	11.27302621
8.524590164	4.324644692	0.569627812	8.524590164	-6.739143548	11.27222889
8.584202683	4.365633112	0.566370358	8.584202683	-6.738381393	11.27286345
8.643815201	4.463596145	0.558070886	8.643815201	-6.741296874	11.27245476
8.70342772	4.529303749	0.552929957	8.70342772	-6.738824564	11.2729673
8.763040238	4.606925819	0.548941985	8.763040238	-6.733505571	11.27259302
8.822652757	4.667777325	0.545539694	8.822652757	-6.733609666	11.27247978
8.882265276	4.760811907	0.539906058	8.882265276	-6.730351111	11.27098512
8.941877794	4.788156698	0.538455658	8.941877794	-6.724720285	11.27079135
9.001490313	4.817493795	0.535628538	9.001490313	-6.730594394	11.27430648
9.061102832	4.877529288	0.533023101	9.061102832	-6.730166179	11.27125424
9.12071535	4.94016133	0.529746006	9.12071535	-6.731104244	11.27169291
9.180327869	4.927624741	0.532616259	9.180327869	-6.733107983	11.27199366
9.239940387	4.957249249	0.531060964	9.239940387	-6.734793971	11.27190397
9.299552906	4.981661538	0.531028114	9.299552906	-6.734961237	11.27249364
9.359165425	5.002905945	0.530243691	9.359165425	-6.735857204	11.27258768
9.418777943	5.06067093	0.527176513	9.418777943	-6.741769837	11.27301721
9.478390462	5.120085513	0.523883742	9.478390462	-6.738637168	11.27203344
9.538002981	5.151236265	0.520806544	9.538002981	-6.740870433	11.27235623
9.597615499	5.234163262	0.517353524	9.597615499	-6.739438878	11.27326553
9.657228018	5.283142842	0.514023407	9.657228018	-6.741374642	11.27316594
9.716840537	5.293224807	0.514221793	9.716840537	-6.740149512	11.27253007
