SOLfasMMM			SOLext		
t	x	y	t	x	y
0.000000000000	-2.924999937000	9.712499789000	0	25.07530066	14.42168643
0.018485313420	-2.925612315000	9.710971271000	0.018485313	25.07493367	14.42066022
0.036970626840	-2.925960002000	9.711032736000	0.036970627	25.07492351	14.42060433
0.055455940260	-2.922498916000	9.711345254000	0.05545594	25.07538187	14.42066304
0.073941253670	-2.920318776000	9.710338646000	0.073941254	25.07604496	14.42057323
0.092426567090	-2.921295251000	9.710859536000	0.092426567	25.07613077	14.42062605
0.110911880500	-2.922964804000	9.711986363000	0.110911881	25.07603411	14.42032187
0.129397193900	-2.924177968000	9.711509746000	0.129397194	25.0748808	14.42007266
0.147882507300	-2.923723596000	9.711817507000	0.147882507	25.07691845	14.42037636
0.166367820800	-2.925065888000	9.711362659000	0.166367821	25.07678474	14.42038646
0.184853134200	-2.927270814000	9.711904947000	0.184853134	25.07680711	14.42030811
0.203338447600	-2.927827394000	9.711759932000	0.203338448	25.07641158	14.42039153
0.221823761000	-2.930876071000	9.712749218000	0.221823761	25.07586864	14.42075458
0.240309074400	-2.930000765000	9.711892825000	0.240309074	25.0750592	14.41999147
0.258794387900	-2.927670663000	9.712529028000	0.258794388	25.07555052	14.42037031
0.277279701300	-2.926926842000	9.712131338000	0.277279701	25.07552453	14.42058359
0.295765014700	-2.927230699000	9.712196181000	0.295765015	25.07514172	14.42032554
0.314250328100	-2.927357091000	9.711923815000	0.314250328	25.07560978	14.42000719
0.332735641500	-2.927177457000	9.712350455000	0.332735642	25.07627258	14.42037198
0.351220955000	-2.925916407000	9.711445183000	0.351220955	25.0751334	14.42029329
0.369706268400	-2.926248372000	9.712033298000	0.369706268	25.07609989	14.41994379
0.388191581800	-2.927165400000	9.712113683000	0.388191582	25.0761848	14.41989745
0.406676895200	-2.926678338000	9.712427473000	0.406676895	25.07489004	14.41982344
0.425162208600	-2.930459530000	9.712773781000	0.425162209	25.07404041	14.42004431
0.443647522000	-2.930093098000	9.712615538000	0.443647522	25.07606316	14.41962666
0.462132835500	-2.926506766000	9.712495666000	0.462132836	25.07513141	14.41969672
0.480618148900	-2.924082521000	9.711970564000	0.480618149	25.0756682	14.41960858
0.499103462300	-2.923796060000	9.711603663000	0.499103462	25.07513965	14.41964448
0.517588775700	-2.922858648000	9.711945820000	0.517588776	25.07602754	14.41987814
0.536074089100	-2.920915981000	9.711709388000	0.536074089	25.07760022	14.42012461
