GMfas2BEST			GMext		
t	x	y	t	x	y
 0.0 	 6.712373526 	 0.8031885065 	 0.0 	 4.231778318 	 13.44001749 
 0.05961251863 	 6.744238268 	 0.7970920336 	 0.05961251863 	 4.232499282 	 13.43942003 
 0.1192250373 	 6.849098783 	 0.7821132416 	 0.1192250373 	 4.232821289 	 13.43940277 
 0.1788375559 	 6.946718225 	 0.7670004901 	 0.1788375559 	 4.232877767 	 13.43928848 
 0.2384500745 	 7.068991566 	 0.7407270914 	 0.2384500745 	 4.234212211 	 13.43892692 
 0.2980625931 	 7.176351921 	 0.7063820359 	 0.2980625931 	 4.238054679 	 13.43864826 
 0.3576751118 	 7.230547829 	 0.7098714993 	 0.3576751118 	 4.236420883 	 13.43867638 
 0.4172876304 	 7.299285106 	 0.7094127587 	 0.4172876304 	 4.237167104 	 13.43834038 
 0.476900149 	 7.405885156 	 0.6898586628 	 0.476900149 	 4.238730127 	 13.4383968 
 0.5365126677 	 7.472885339 	 0.6748397641 	 0.5365126677 	 4.239920975 	 13.43764199 
 0.5961251863 	 7.560100142 	 0.662696175 	 0.5961251863 	 4.239197205 	 13.43809883 
 0.6557377049 	 7.666694813 	 0.6464041688 	 0.6557377049 	 4.243130881 	 13.43716716 
 0.7153502235 	 7.726245912 	 0.6422552844 	 0.7153502235 	 4.242446254 	 13.43724665 
 0.7749627422 	 7.820380783 	 0.6287735339 	 0.7749627422 	 4.239788929 	 13.43767771 
 0.8345752608 	 7.872986845 	 0.6097673736 	 0.8345752608 	 4.241923134 	 13.43746078 
 0.8941877794 	 7.99079243 	 0.5974695067 	 0.8941877794 	 4.24430481 	 13.4365337 
 0.9538002981 	 8.011170493 	 0.590067029 	 0.9538002981 	 4.243437032 	 13.43671019 
 1.013412817 	 8.080504828 	 0.5588788811 	 1.013412817 	 4.242437593 	 13.43702991 
 1.073025335 	 8.201972927 	 0.5367820102 	 1.073025335 	 4.244057977 	 13.43738106 
 1.132637854 	 8.279848847 	 0.5217554044 	 1.132637854 	 4.244778062 	 13.43682023 
 1.192250373 	 8.401048107 	 0.5049633089 	 1.192250373 	 4.249010511 	 13.43526853 
 1.251862891 	 8.457340298 	 0.4944189613 	 1.251862891 	 4.248599942 	 13.43487147 
 1.31147541 	 8.579348593 	 0.4686153642 	 1.31147541 	 4.249814202 	 13.43499883 
 1.371087928 	 8.653467823 	 0.4573243361 	 1.371087928 	 4.253283812 	 13.43359446 
 1.430700447 	 8.714973987 	 0.4529632887 	 1.430700447 	 4.25035995 	 13.43462747 
 1.490312966 	 8.773298648 	 0.4423876999 	 1.490312966 	 4.251438337 	 13.43361881 
 1.549925484 	 8.89035884 	 0.4165699889 	 1.549925484 	 4.254810024 	 13.43359118 
 1.609538003 	 8.945330057 	 0.4124267355 	 1.609538003 	 4.252127109 	 13.43470731 
 1.669150522 	 9.028099738 	 0.40468762 	 1.669150522 	 4.260328796 	 13.43317022 
 1.72876304 	 9.126457674 	 0.3846260903 	 1.72876304 	 4.257878664 	 13.43389826 
 1.788375559 	 9.173734421 	 0.3701329352 	 1.788375559 	 4.260530761 	 13.43323783 
 1.847988077 	 9.273872139 	 0.3280075107 	 1.847988077 	 4.257647949 	 13.43390029 
 1.907600596 	 9.340139493 	 0.3069430173 	 1.907600596 	 4.259493158 	 13.4338004 
 1.967213115 	 9.35583008 	 0.3089748193 	 1.967213115 	 4.25408021 	 13.43442698 
 2.026825633 	 9.482441185 	 0.2942432526 	 2.026825633 	 4.254275063 	 13.43447259 
 2.086438152 	 9.595958249 	 0.2769848017 	 2.086438152 	 4.260511828 	 13.43389523 
 2.146050671 	 9.673153314 	 0.2535579452 	 2.146050671 	 4.266581816 	 13.43118094 
 2.205663189 	 9.799535446 	 0.2239428081 	 2.205663189 	 4.279919693 	 13.43184931 
 2.265275708 	 9.837800468 	 0.2227719264 	 2.265275708 	 4.284308494 	 13.43120327 
 2.324888227 	 9.898558861 	 0.2180131404 	 2.324888227 	 4.284865297 	 13.43077572 
 2.384500745 	 9.974207629 	 0.2006362196 	 2.384500745 	 4.294382285 	 13.42999485 
 2.444113264 	 9.957365315 	 0.2133787665 	 2.444113264 	 4.287938264 	 13.43045049 
 2.503725782 	 10.03821466 	 0.2042744935 	 2.503725782 	 4.287470297 	 13.4312119 
 2.563338301 	 10.14982344 	 0.1817012753 	 2.563338301 	 4.294747628 	 13.42963857 
