GMfasBEST1MMM			GMext		
t	x	y	t	x	y
0.0000000000	26.9582111900	2.5815947100	0.0000000000	46.4356451500	8.8501847030
0.0238766057	26.9583559900	2.5815110550	0.0238766057	46.4356193800	8.8500497360
0.0477532114	26.9586377600	2.5814310130	0.0477532114	46.4357218200	8.8501841680
0.0716298171	26.9596393100	2.5812875290	0.0716298171	46.4352275900	8.8503897210
0.0955064228	26.9602657400	2.5811395630	0.0955064228	46.4355519000	8.8499510180
0.1193830285	26.9597090700	2.5810225690	0.1193830285	46.4354370400	8.8497699740
0.1432596342	26.9596343300	2.5810329990	0.1432596342	46.4356311700	8.8498818310
0.1671362399	26.9596435200	2.5810378630	0.1671362399	46.4360881200	8.8497171250
0.1910128456	26.9605568600	2.5808147260	0.1910128456	46.4360468500	8.8497661310
0.2148894513	26.9599807300	2.5807133960	0.2148894513	46.4357408900	8.8499571890
0.2387660570	26.9603983600	2.5806034190	0.2387660570	46.4360191300	8.8496235500
0.2626426627	26.9610433300	2.5811277220	0.2626426627	46.4361375600	8.8498717040
0.2865192684	26.9602155000	2.5813038230	0.2865192684	46.4362219500	8.8499995480
0.3103958741	26.9592588300	2.5819497340	0.3103958741	46.4354104800	8.8502297200
0.3342724798	26.9591177300	2.5825536670	0.3342724798	46.4359903600	8.8503744860
0.3581490855	26.9578632100	2.5828194440	0.3581490855	46.4354499800	8.8507186070
0.3820256912	26.9575790400	2.5828176050	0.3820256912	46.4354830300	8.8506905670
0.4059022969	26.9580853700	2.5828892170	0.4059022969	46.4355603400	8.8505552960
0.4297789026	26.9584733900	2.5828864330	0.4297789026	46.4356085900	8.8508549870
0.4536555083	26.9587159900	2.5827854870	0.4536555083	46.4353605900	8.8504965120
0.4775321140	26.9589788300	2.5825690290	0.4775321140	46.4354263100	8.8506200150
0.5014087197	26.9588036300	2.5819851270	0.5014087197	46.4351230800	8.8507087650
0.5252853254	26.9587297000	2.5817630350	0.5252853254	46.4356441400	8.8505134750
0.5491619311	26.9592752700	2.5817528070	0.5491619311	46.4357799800	8.8503097130
0.5730385368	26.9605632600	2.5814055040	0.5730385368	46.4356477600	8.8502377240
0.5969151425	26.9605859300	2.5809210010	0.5969151425	46.4359756000	8.8501543950
0.6207917482	26.9601927700	2.5810435240	0.6207917482	46.4352011900	8.8502273320
0.6446683539	26.9606938400	2.5811028100	0.6446683539	46.4352700600	8.8502428960
0.6685449596	26.9608394800	2.5811109130	0.6685449596	46.4352524500	8.8500535600
0.6924215654	26.9608464100	2.5811807530	0.6924215654	46.4357807400	8.8502925040
0.7162981711	26.9606941000	2.5812399560	0.7162981711	46.4354402300	8.8502614600
0.7401747768	26.9610088100	2.5813236300	0.7401747768	46.4358873000	8.8501333630
0.7640513825	26.9609790800	2.5812693060	0.7640513825	46.4356382400	8.8501837340
0.7879279882	26.9556124400	2.5784993500	0.7879279882	46.4353752800	8.8500794160
0.8118045939	26.8488640500	2.4540413990	0.8118045939	46.4369242700	8.8430632270
0.8356811996	26.6799702100	2.4804678450	0.8356811996	46.4359516700	8.8385589650
0.8595578053	26.4097733800	2.4903893990	0.8595578053	46.4337952600	8.8181287900
0.8834344110	26.0302501600	2.4530161540	0.8834344110	46.4078423300	8.7958230930
0.9073110167	25.9483362700	2.4504986110	0.9073110167	46.4107887000	8.7901609390
0.9311876224	25.8592933000	2.4273463670	0.9311876224	46.4124835900	8.7841756610
0.9550642281	25.7433422000	2.4286206750	0.9550642281	46.4088530400	8.7801793280
0.9789408338	25.6701771400	2.4294123760	0.9789408338	46.4107590400	8.7764141910
1.0028174390	25.6037464800	2.4286106600	1.0028174390	46.4132670400	8.7718272480
1.0266940450	25.6137903000	2.4082045740	1.0266940450	46.4138838100	8.7672595340
1.0505706510	25.5550326300	2.4033549600	1.0505706510	46.4175541900	8.7661067360
1.0744472570	25.5161442600	2.4008586110	1.0744472570	46.4183950900	8.7654598090
1.0983238620	25.4112204200	2.4100382840	1.0983238620	46.4170630800	8.7638417970
1.1222004680	25.2793035100	2.4250122700	1.1222004680	46.4207951300	8.7594878200
1.1460770740	25.1317075300	2.4450564090	1.1460770740	46.4206350600	8.7575838220
1.1699536790	25.0418927700	2.4445548540	1.1699536790	46.4177851100	8.7522419310
1.1938302850	24.8342240400	2.4671203120	1.1938302850	46.4199830200	8.7442059660
1.2177068910	24.5300869200	2.5150609800	1.2177068910	46.3974334000	8.7326453200
1.2415834960	24.2824860000	2.5483803440	1.2415834960	46.4002387700	8.7181835460
1.2654601020	23.9726099600	2.5625179730	1.2654601020	46.4059638300	8.7022672890
