GMfasBEST			GMext		
t	x	y	t	x	y
3.280572783	20.06858985	1.002682477	3.280572783	48.35542157	9.787743545
3.30451857	20.00511244	1.037823976	3.30451857	48.35785876	9.78788519
3.328464357	19.92619574	1.051587317	3.328464357	48.3566034	9.787015416
3.352410143	19.83437474	1.058657126	3.352410143	48.3530696	9.79011619
3.37635593	19.68867505	1.061620638	3.37635593	48.35379765	9.791775844
3.400301717	19.56275945	1.083042045	3.400301717	48.35003316	9.796762849
3.424247504	19.40118468	1.113638776	3.424247504	48.34885851	9.797766657
3.44819329	19.25947691	1.12838142	3.44819329	48.34331595	9.805228255
3.472139077	18.90183266	1.197838038	3.472139077	48.33922187	9.828914815
3.496084864	18.77680625	1.215206411	3.496084864	48.34105619	9.826080602
3.520030651	18.55477448	1.244148828	3.520030651	48.35815287	9.827001941
3.543976437	18.2823131	1.310597591	3.543976437	48.35204982	9.849540529
3.567922224	18.27026194	1.31634908	3.567922224	48.35466239	9.852814368
3.591868011	18.26463733	1.33250303	3.591868011	48.35811009	9.850820969
3.615813798	18.27496948	1.334819849	3.615813798	48.35686194	9.85214255
3.639759584	18.22572864	1.348844886	3.639759584	48.35774925	9.854593199
3.663705371	18.17946167	1.356056984	3.663705371	48.35280151	9.859022554
3.687651158	18.08005715	1.361143009	3.687651158	48.35164749	9.859927092
3.711596945	17.72529578	1.405444904	3.711596945	48.33825012	9.865856225
3.735542731	17.55369804	1.428207529	3.735542731	48.33113293	9.870865499
3.759488518	17.48429916	1.458783997	3.759488518	48.31964124	9.871243424
3.783434305	17.41385474	1.487838282	3.783434305	48.33302784	9.865828612
3.807380091	17.3728484	1.485140589	3.807380091	48.32532426	9.867190021
3.831325878	17.21290031	1.510263308	3.831325878	48.31642509	9.871918441
3.855271665	17.08281135	1.547704685	3.855271665	48.31036967	9.875437939
3.879217452	17.02025584	1.570334751	3.879217452	48.30707775	9.873959644
3.903163238	16.95219998	1.581649243	3.903163238	48.30238318	9.873930084
3.927109025	16.84361242	1.602307933	3.927109025	48.29921308	9.874255883
3.951054812	16.82663057	1.608861129	3.951054812	48.29825479	9.870176034
3.975000599	16.8385233	1.616594838	3.975000599	48.30315646	9.86749538
3.998946385	16.79205473	1.611261978	3.998946385	48.30351281	9.864842164
4.022892172	16.6962367	1.641748841	4.022892172	48.29678589	9.869342646
4.046837959	16.66687405	1.653525917	4.046837959	48.29015507	9.868375014
4.070783746	16.69882855	1.655301228	4.070783746	48.29997708	9.859793724
4.094729532	16.7328455	1.649044701	4.094729532	48.29561904	9.859818898
4.118675319	16.69657067	1.64825343	4.118675319	48.29763875	9.857781573
4.142621106	16.63281391	1.656269373	4.142621106	48.29489228	9.863238427
4.166566893	16.5045967	1.673660177	4.166566893	48.29158824	9.865405513
4.190512679	16.36245059	1.673351834	4.190512679	48.28670979	9.865893949
4.214458466	16.26952532	1.681237627	4.214458466	48.28645554	9.872166889
4.238404253	16.22161311	1.682076138	4.238404253	48.28534875	9.874315962
4.26235004	16.13529318	1.690082323	4.26235004	48.27906894	9.875007505
4.286295826	16.11790156	1.692175318	4.286295826	48.27982208	9.872425323
4.310241613	15.89587743	1.712273324	4.310241613	48.27276432	9.877632337
4.3341874	15.82126264	1.72208963	4.3341874	48.27504128	9.875581764
4.358133186	15.58158209	1.704714573	4.358133186	48.27104317	9.87683125
4.382078973	15.40267314	1.720514473	4.382078973	48.26966818	9.87959173
4.40602476	15.25972259	1.732256192	4.40602476	48.27760321	9.874689005
4.429970547	15.24510514	1.735732122	4.429970547	48.27663715	9.86903711
4.453916333	15.09877779	1.723103761	4.453916333	48.27205347	9.858681553
4.47786212	14.97498506	1.713689553	4.47786212	48.26693199	9.857957962
4.501807907	14.81234244	1.724284904	4.501807907	48.26509694	9.848756857
4.525753694	14.72676728	1.73273174	4.525753694	48.26473277	9.849737122
4.54969948	14.62564576	1.706801347	4.54969948	48.25961911	9.857428407
4.573645267	14.60828583	1.706846097	4.573645267	48.26628294	9.851985004
4.597591054	14.2850286	1.690920618	4.597591054	48.26842772	9.863476807
4.621536841	14.04413856	1.708798775	4.621536841	48.27008598	9.870048026
4.645482627	13.88738812	1.722037624	4.645482627	48.27487796	9.872282423
4.669428414	13.72173592	1.721830583	4.669428414	48.27996106	9.872913461
4.693374201	13.52589825	1.724874829	4.693374201	48.27612417	9.879177088
4.717319988	13.16469143	1.763903022	4.717319988	48.28024102	9.900723913
4.741265774	13.10047646	1.765622897	4.741265774	48.27881262	9.908594524
4.765211561	12.87930579	1.768851125	4.765211561	48.26138128	9.94882659
4.789157348	12.74516517	1.782731083	4.789157348	48.25887504	9.960036525
4.813103135	12.57338152	1.806216756	4.813103135	48.26876589	9.975170312
