SOLfasBEST			SOLskin2		
1.376597837	5.811575763	10.68397214	1.376597837	23.80359474	14.05975796
1.401179941	5.719851153	10.71641059	1.401179941	23.80643261	14.05998869
1.425762045	5.680050728	10.71676841	1.425762045	23.81228298	14.06129284
1.450344149	5.666505088	10.72215145	1.450344149	23.81380724	14.06207576
1.474926254	5.639402785	10.72690085	1.474926254	23.82143586	14.06303291
1.499508358	5.496273871	10.72862938	1.499508358	23.81998051	14.06369482
1.524090462	5.429445009	10.73368276	1.524090462	23.81901671	14.06316056
1.548672566	5.389865573	10.73511101	1.548672566	23.8193553	14.06390009
1.573254671	5.312515765	10.73692535	1.573254671	23.81732164	14.06403431
1.597836775	5.208873523	10.74454154	1.597836775	23.81620776	14.06241478
1.622418879	5.097120246	10.74056002	1.622418879	23.80842618	14.06193027
1.647000983	5.060332396	10.7505442	1.647000983	23.80618931	14.06158647
1.671583088	5.000066337	10.75511773	1.671583088	23.80556448	14.06081621
1.696165192	4.929276172	10.75351693	1.696165192	23.80472233	14.06118539
1.720747296	4.90577062	10.74910139	1.720747296	23.80809725	14.06152372
1.7453294	4.846775395	10.74814538	1.7453294	23.80442622	14.0621639
1.769911504	4.812421782	10.76315858	1.769911504	23.8091837	14.06202782
1.794493609	4.791544582	10.75434044	1.794493609	23.81684588	14.06245866
1.819075713	4.678674376	10.76667414	1.819075713	23.8210929	14.06137321
1.843657817	4.644866035	10.78281928	1.843657817	23.82291849	14.06063373
1.868239921	4.582700268	10.80619247	1.868239921	23.82040239	14.0607466
1.892822026	4.490875416	10.79529317	1.892822026	23.82169785	14.05935141
1.91740413	4.449451904	10.80291776	1.91740413	23.82733689	14.05764376
1.941986234	4.445260465	10.80642406	1.941986234	23.82720988	14.05716216
1.966568338	4.32426981	10.80701576	1.966568338	23.824974	14.05468801
1.991150442	4.296515367	10.80665684	1.991150442	23.82286436	14.05442459
2.015732547	4.252723554	10.81151843	2.015732547	23.82517546	14.05484337
2.040314651	4.249550046	10.81262641	2.040314651	23.8200565	14.05622334
2.064896755	4.240429713	10.81080262	2.064896755	23.81830553	14.05691142
2.089478859	4.218096407	10.81450072	2.089478859	23.81923762	14.05866236
2.114060964	4.142692492	10.81681696	2.114060964	23.81679494	14.0595472
2.138643068	4.08364609	10.82310278	2.138643068	23.80794205	14.05893692
2.163225172	4.045583929	10.82410841	2.163225172	23.80962859	14.05924068
2.187807276	3.951753011	10.81333338	2.187807276	23.80342453	14.0593757
2.212389381	3.924227957	10.81050217	2.212389381	23.7943748	14.05938124
2.236971485	3.918598733	10.80912615	2.236971485	23.79753898	14.05983139
2.261553589	3.930040424	10.81182858	2.261553589	23.81010642	14.06072912
2.286135693	3.923583097	10.81352976	2.286135693	23.80995838	14.06163453
2.310717797	3.924779381	10.81566612	2.310717797	23.81267823	14.0616499
2.335299902	3.892998017	10.82350603	2.335299902	23.81032043	14.06114127
2.359882006	3.877383226	10.82297074	2.359882006	23.81400065	14.06145116
2.38446411	3.819823751	10.8275678	2.38446411	23.8111835	14.05928635
2.409046214	3.78278632	10.8174299	2.409046214	23.81275541	14.05949587
2.433628319	3.709970458	10.82218689	2.433628319	23.81383342	14.0579081
2.458210423	3.46727804	10.82157975	2.458210423	23.7979599	14.04805827
2.482792527	3.341702311	10.81413815	2.482792527	23.78726866	14.03784117
2.507374631	3.183914732	10.82157135	2.507374631	23.74983378	14.02310406
2.531956735	3.179193292	10.81649533	2.531956735	23.73656968	14.02795896
2.55653884	3.210281172	10.81916874	2.55653884	23.73169127	14.03282563
2.581120944	3.210351297	10.82169834	2.581120944	23.73008433	14.03626022
2.605703048	3.14438393	10.82132629	2.605703048	23.72859906	14.03783297
2.630285152	3.045564751	10.83050918	2.630285152	23.73209828	14.04001426
2.654867257	2.974506483	10.82069226	2.654867257	23.7394954	14.04246061
2.679449361	2.89719366	10.82027244	2.679449361	23.74354379	14.0459379
2.704031465	3.023309172	10.8300504	2.704031465	23.73962647	14.04350466
2.728613569	3.024512658	10.82860324	2.728613569	23.74125496	14.04464869
2.753195674	2.954477505	10.8267609	2.753195674	23.73938977	14.04479718
2.777777778	2.819903285	10.83883837	2.777777778	23.73696023	14.04222448
2.802359882	2.634597001	10.84725453	2.802359882	23.74493709	14.03986051
2.826941986	2.526856599	10.84149517	2.826941986	23.75958583	14.04448187
2.85152409	2.507685852	10.83004063	2.85152409	23.75021671	14.04688024
2.876106195	2.509534968	10.82961242	2.876106195	23.75038126	14.04719058
2.900688299	2.485242306	10.83209941	2.900688299	23.7496699	14.04851013
2.925270403	2.094535643	10.83285774	2.925270403	23.76628851	14.03735025
2.949852507	1.606909782	10.84334268	2.949852507	23.76831141	14.01810315
2.974434612	1.488662272	10.84876165	2.974434612	23.75858569	13.99932362
2.999016716	1.293539913	10.84274405	2.999016716	23.73535632	13.98776384
3.02359882	1.423729007	10.8449927	3.02359882	23.73230358	13.98212329
3.048180924	1.480760277	10.83747611	3.048180924	23.73820919	13.98316554
3.072763029	1.442708064	10.84220725	3.072763029	23.73806759	13.98522375
3.097345133	1.157168083	10.84997937	3.097345133	23.73403486	13.97508799
3.121927237	0.4228406923	10.85135015	3.121927237	23.70726081	13.96745801
3.146509341	0.2886995318	10.86154339	3.146509341	23.70605946	13.96882262
3.171091445	0.09957727891	10.87436909	3.171091445	23.6938822	13.96057654
3.19567355	0.1164891198	10.89141587	3.19567355	23.67020554	13.95668399
3.220255654	0.586181875	10.84949913	3.220255654	23.69997721	13.96548697
3.244837758	0.4427361673	10.87429051	3.244837758	23.68391264	13.96509426
3.269419862	0.1143397935	10.89635572	3.269419862	23.61076659	13.92597836
3.294001967	-0.362330265	10.88893352	3.294001967	23.55907794	13.91607546
3.318584071	-0.489644433	10.89882692	3.318584071	23.5386053	13.87389063
3.343166175	-0.4217940737	10.89351083	3.343166175	23.53343596	13.87591357
3.367748279	-0.1706614438	10.89553008	3.367748279	23.5414543	13.89161339
3.392330383	-0.05367833179	10.89810052	3.392330383	23.55548124	13.89888071
3.416912488	-0.7983412485	10.89584585	3.416912488	23.51296834	13.89011096
3.441494592	-1.141220801	10.90027081	3.441494592	23.4475726	13.87771433
3.466076696	-1.211718723	10.89624426	3.466076696	23.42466703	13.88501489
3.4906588	-1.177674127	10.90180828	3.4906588	23.4375241	13.88427627
3.515240905	-1.393493065	10.8869448	3.515240905	23.42048503	13.83532765
3.539823009	-1.742226401	10.90170627	3.539823009	23.28077449	13.76722972
3.564405113	-2.425842367	10.9003587	3.564405113	23.2707673	13.75207657
3.588987217	-2.728879001	10.89370249	3.588987217	23.15229495	13.74380609
3.613569322	-3.040941036	10.90654955	3.613569322	23.1053782	13.75215202
3.638151426	-3.240637594	10.91973454	3.638151426	23.08253964	13.75839564
3.66273353	-3.80627211	10.91018594	3.66273353	23.02273691	13.753788
3.687315634	-4.178611211	10.89728985	3.687315634	22.93657422	13.74960233
3.711897738	-4.510777304	10.90486322	3.711897738	22.89135775	13.75154209
3.736479843	-5.097302434	10.9220001	3.736479843	22.6807745	13.74932391
3.761061947	-5.169341438	10.92397386	3.761061947	22.68870334	13.75201315
3.785644051	-5.347659113	10.91203058	3.785644051	22.71982826	13.75520129
3.810226155	-5.887675139	10.90427669	3.810226155	22.55506342	13.74674991
3.83480826	-6.219339495	10.88731969	3.83480826	22.52309288	13.75681392
3.859390364	-6.563716038	10.92603757	3.859390364	22.36152837	13.74972205
3.883972468	-6.795259314	10.92153053	3.883972468	22.3314546	13.75512468
3.908554572	-6.923884123	10.9230635	3.908554572	22.31517253	13.75511094
3.933136676	-7.123724097	10.90358179	3.933136676	22.0928099	13.76022955
3.957718781	-7.257614328	10.91116501	3.957718781	22.08946257	13.75634847
3.982300885	-7.381807961	10.90959211	3.982300885	21.95197857	13.75846207
4.006882989	-7.425778328	10.9040651	4.006882989	21.92896633	13.75935317
4.031465093	-7.605901026	10.90217901	4.031465093	21.90978721	13.75861963
4.056047198	-7.802767693	10.91612224	4.056047198	21.90390683	13.75893679
4.080629302	-7.820788083	10.92040405	4.080629302	21.85239685	13.76126594
4.105211406	-8.01441797	10.90921348	4.105211406	21.75290313	13.76208577
4.12979351	-8.05144166	10.91603936	4.12979351	21.74035022	13.76220762
4.154375615	-8.188742133	10.92431195	4.154375615	21.71809279	13.76276462
4.178957719	-8.222974818	10.92021763	4.178957719	21.7112203	13.76309897
4.203539823	-8.425373696	10.92385771	4.203539823	21.64919051	13.76267377
4.228121927	-8.454871064	10.92552097	4.228121927	21.63119337	13.76271426
4.252704031	-8.573382957	10.92041861	4.252704031	21.60241286	13.7619569
4.277286136	-8.899888168	10.94514009	4.277286136	21.48389924	13.7603565
4.30186824	-9.108227521	10.95356539	4.30186824	21.46442904	13.75905638
4.326450344	-9.213178086	10.95849706	4.326450344	21.44543915	13.7635092
4.351032448	-9.571438414	10.96950072	4.351032448	21.35714418	13.76001106
4.375614553	-9.623816362	10.9694902	4.375614553	21.32516855	13.76116275
4.400196657	-9.663182213	10.96664012	4.400196657	21.27929487	13.76326434
4.424778761	-9.88912595	10.95995306	4.424778761	21.25582517	13.76064338
4.449360865	-9.946649517	10.95653757	4.449360865	21.2315178	13.76166128
4.47394297	-10.03928556	10.95871242	4.47394297	21.19913268	13.76061315
4.498525074	-10.14181186	10.95144349	4.498525074	21.13499458	13.76199168
4.523107178	-10.23180471	10.9606076	4.523107178	21.11676592	13.76217866
4.547689282	-10.26999508	10.96854458	4.547689282	21.09695282	13.76292004
4.572271386	-10.37074591	10.97057732	4.572271386	21.04945833	13.76872809
4.596853491	-10.3937613	10.96703892	4.596853491	21.02073712	13.76842448
4.621435595	-10.56222293	10.9390635	4.621435595	21.01952455	13.77225724
4.646017699	-10.5468284	10.90672826	4.646017699	21.02342039	13.77809264
4.670599803	-10.54756417	10.88727944	4.670599803	20.98327465	13.77155675
4.695181908	-10.71165082	10.89360505	4.695181908	20.98749736	13.76126801
4.719764012	-10.73216877	10.89069072	4.719764012	20.98126538	13.7427449
4.744346116	-10.70828315	10.88114789	4.744346116	20.95259117	13.74895822
4.76892822	-10.73574223	10.87566622	4.76892822	20.96409542	13.74696158
4.793510324	-10.84779374	10.89185743	4.793510324	20.93992807	13.75039058
4.818092429	-10.74619029	10.90734553	4.818092429	20.92713505	13.74827156
4.842674533	-10.49229178	10.90566844	4.842674533	20.9719966	13.73408041
4.867256637	-10.56400764	10.91110664	4.867256637	20.99301149	13.74402351
4.891838741	-10.65019309	10.90747865	4.891838741	20.98875467	13.7416421
4.916420846	-10.61701825	10.90794821	4.916420846	20.98207694	13.74272659
4.94100295	-10.66102012	10.90397468	4.94100295	20.98184086	13.74367766
4.965585054	-10.73706961	10.90203698	4.965585054	20.98226004	13.7453127
4.990167158	-10.69226276	10.90198815	4.990167158	20.99138376	13.74810103
5.014749263	-10.61869217	10.90869971	5.014749263	20.99458918	13.74932331
5.039331367	-10.76630698	10.90277349	5.039331367	20.97990982	13.74595803
5.063913471	-10.86638421	10.90025665	5.063913471	20.94676015	13.74631489
5.088495575	-10.80489684	10.90279405	5.088495575	20.9220364	13.75185756
5.113077679	-10.7251098	10.8976586	5.113077679	20.91754244	13.75296866
5.137659784	-10.87735736	10.90104153	5.137659784	20.90357607	13.7500636
5.162241888	-10.91703517	10.89733048	5.162241888	20.91432268	13.74842124
5.186823992	-10.88395706	10.90162239	5.186823992	20.91313392	13.74964512
5.211406096	-10.84989714	10.90101655	5.211406096	20.91823953	13.74996249
5.235988201	-10.78578792	10.89557089	5.235988201	20.90981641	13.75121798
5.260570305	-10.63809685	10.9038585	5.260570305	20.91616887	13.7492471
5.285152409	-10.50132845	10.9008851	5.285152409	20.91987984	13.74752241
5.309734513	-10.20383495	10.8815695	5.309734513	20.92053152	13.74990359
5.334316618	-9.780154669	10.86943106	5.334316618	20.89548576	13.74971117
5.358898722	-9.272589137	10.8654004	5.358898722	20.88956551	13.7533579
5.383480826	-8.449054685	10.82134992	5.383480826	20.9407313	13.74439729
5.40806293	-6.981330811	10.77839359	5.40806293	20.97714178	13.73982105
5.432645034	-4.856539873	10.70897284	5.432645034	20.91302864	13.74632598
5.457227139	-1.584094933	10.62621515	5.457227139	22.0385374	13.01769737
5.481809243	0.6008221102	10.52533035			
5.506391347	3.023661506	10.47674905			
5.530973451	3.633683719	10.49759666			
