SOLfasBEST			SOLskin2		
t	x	y	t	x	y
0.0	9.86738424	10.21008381	0.0	23.85401137	13.90787488
0.02458210423	9.867110358	10.20970166	0.02458210423	23.85411274	13.90697854
0.04916420846	9.868117265	10.20977073	0.04916420846	23.853766	13.9069036
0.07374631268	9.867653355	10.21017295	0.07374631268	23.85445861	13.90726648
0.09832841691	9.866583348	10.20914447	0.09832841691	23.85422631	13.90694967
0.1229105211	9.86988807	10.20929061	0.1229105211	23.85447487	13.9068794
0.1474926254	9.866722782	10.20952685	0.1474926254	23.85386024	13.90744563
0.1720747296	9.869132511	10.20953373	0.1720747296	23.85388136	13.90707108
0.1966568338	9.869972349	10.20820036	0.1966568338	23.85440597	13.90768614
0.2212389381	9.87045513	10.2078661	0.2212389381	23.8534328	13.90766284
0.2458210423	9.868300581	10.20645437	0.2458210423	23.85481076	13.90806283
0.2704031465	9.828176647	10.21099839	0.2704031465	23.85369836	13.9128349
0.2949852507	9.741645906	10.21221189	0.2949852507	23.85264329	13.91369702
0.319567355	9.700538799	10.21834796	0.319567355	23.85658989	13.92037775
0.3441494592	9.59274487	10.22003213	0.3441494592	23.85381345	13.92818573
0.3687315634	9.372118414	10.23886161	0.3687315634	23.82854376	13.96840687
0.3933136676	9.326664413	10.24032255	0.3933136676	23.82806008	13.97951819
0.4178957719	9.076167842	10.26337362	0.4178957719	23.80374037	14.03594926
0.4424778761	8.978976306	10.30293036	0.4424778761	23.83208673	14.05260204
0.4670599803	8.874683661	10.32589357	0.4670599803	23.85116528	14.0582673
0.4916420846	8.747653963	10.37107662	0.4916420846	23.82976839	14.06876672
0.5162241888	8.687744154	10.37948155	0.5162241888	23.8326186	14.06326764
0.540806293	8.653337599	10.39069743	0.540806293	23.830724	14.06229169
0.5653883972	8.592535183	10.39888701	0.5653883972	23.82792791	14.06203821
0.5899705015	8.484094651	10.43339896	0.5899705015	23.82654096	14.06202252
0.6145526057	8.359333911	10.45901742	0.6145526057	23.82678336	14.06527612
0.6391347099	8.237057965	10.44411211	0.6391347099	23.8220626	14.06629712
0.6637168142	8.03425108	10.48765454	0.6637168142	23.82829327	14.07039877
0.6882989184	7.980241714	10.50318767	0.6882989184	23.82043942	14.06909469
0.7128810226	7.891311992	10.52572406	0.7128810226	23.82917755	14.06515993
0.7374631268	7.730871179	10.51052924	0.7374631268	23.86172016	14.06407316
0.7620452311	7.715099752	10.51409876	0.7620452311	23.85579605	14.06379091
0.7866273353	7.65503583	10.52471806	0.7866273353	23.83719057	14.0646564
0.8112094395	7.580428442	10.52432761	0.8112094395	23.83818265	14.06417779
0.8357915438	7.447288298	10.54241647	0.8357915438	23.82608099	14.06590571
0.860373648	7.413564516	10.52539777	0.860373648	23.82985209	14.0651173
0.8849557522	7.336996229	10.5554986	0.8849557522	23.82819098	14.0659505
0.9095378564	7.306358172	10.56978217	0.9095378564	23.82907574	14.06496936
0.9341199607	7.216887732	10.57753301	0.9341199607	23.83203035	14.0636122
0.9587020649	7.163613015	10.58173974	0.9587020649	23.83541426	14.06645951
0.9832841691	7.017758872	10.58888901	0.9832841691	23.82497917	14.07040244
1.007866273	6.989257368	10.59321264	1.007866273	23.82086838	14.06897378
1.032448378	6.83927925	10.61965693	1.032448378	23.82153579	14.06762535
1.057030482	6.752918996	10.60781078	1.057030482	23.82186057	14.06439099
1.081612586	6.688590243	10.64247188	1.081612586	23.838496	14.06303447
1.10619469	6.609029631	10.64839185	1.10619469	23.84271379	14.06442083
1.130776794	6.508914024	10.65546138	1.130776794	23.84651667	14.06409764
1.155358899	6.486878852	10.65722033	1.155358899	23.83897255	14.06321442
1.179941003	6.446150752	10.65857285	1.179941003	23.82591872	14.06266079
1.204523107	6.33173507	10.66517268	1.204523107	23.81736949	14.06069827
1.229105211	6.316663109	10.66722408	1.229105211	23.81999112	14.06017753
1.253687316	6.202162964	10.6668861	1.253687316	23.81127655	14.06021059
1.27826942	6.127682606	10.67398074	1.27826942	23.80973116	14.06147035
1.302851524	6.035568339	10.67522355	1.302851524	23.80734963	14.06133461
1.327433628	5.982962428	10.6749598	1.327433628	23.8063751	14.06064307
1.352015733	5.831761267	10.67779987	1.352015733	23.79864076	14.05829892
