GMfasMM			GMextMM		
2.324888227	16.66584615	1.194369362	2.324888227	18.8347288	10.05091459
2.384500745	16.712197	1.194018351	2.384500745	18.83233047	10.04967939
2.444113264	16.75294396	1.193752827	2.444113264	18.83593389	10.05036949
2.503725782	16.7759299	1.200203276	2.503725782	18.84248045	10.04738372
2.563338301	16.77828543	1.192890687	2.563338301	18.84153434	10.04820113
2.62295082	16.76650376	1.190014723	2.62295082	18.83553802	10.04827287
2.682563338	16.77554563	1.192997669	2.682563338	18.83457833	10.04960777
2.742175857	16.86387755	1.18345516	2.742175857	18.84042645	10.04769033
2.801788376	16.89685573	1.176673708	2.801788376	18.8341485	10.05068839
2.861400894	16.98289871	1.174702888	2.861400894	18.82785373	10.05221192
2.921013413	17.0056941	1.174534644	2.921013413	18.83552271	10.04903585
2.980625931	17.01184131	1.178555379	2.980625931	18.82652081	10.05189045
3.04023845	17.11221841	1.169644034	3.04023845	18.83258192	10.05080762
3.099850969	17.15174868	1.170107898	3.099850969	18.83174011	10.04914351
3.159463487	17.16938415	1.174341308	3.159463487	18.81680689	10.04446121
3.219076006	17.24912491	1.165987707	3.219076006	18.79824584	10.04549695
3.278688525	17.29160741	1.173597385	3.278688525	18.80777417	10.04193803
3.338301043	17.27667431	1.190679685	3.338301043	18.79323231	10.0452739
3.397913562	17.28322861	1.198305358	3.397913562	18.77889094	10.04908845
3.45752608	17.29371797	1.206215346	3.45752608	18.7723764	10.05503718
3.517138599	17.3122482	1.213154436	3.517138599	18.76444956	10.05673671
3.576751118	17.35740573	1.21312836	3.576751118	18.77391889	10.06484922
3.636363636	17.3800693	1.212150335	3.636363636	18.76233365	10.06578804
3.695976155	17.4858176	1.204561728	3.695976155	18.76023041	10.06766305
3.755588674	17.51887858	1.203262376	3.755588674	18.75442249	10.07399074
3.815201192	17.53188265	1.200798868	3.815201192	18.75640079	10.07134602
3.874813711	17.54097168	1.201347146	3.874813711	18.76572987	10.07935092
3.93442623	17.54523257	1.20259361	3.93442623	18.77250696	10.07763706
3.994038748	17.56065779	1.200396072	3.994038748	18.78636571	10.08398559
4.053651267	17.62448234	1.195368462	4.053651267	18.78773967	10.07388786
4.113263785	17.67184048	1.197097501	4.113263785	18.75850703	10.08811125
4.172876304	17.70645965	1.197892573	4.172876304	18.75454842	10.08254856
4.232488823	17.76030388	1.187850179	4.232488823	18.71332585	10.08365379
4.292101341	17.82462622	1.178612139	4.292101341	18.69935829	10.08407637
4.35171386	17.93241144	1.167840291	4.35171386	18.68062009	10.09155171
4.411326379	18.02287372	1.165203542	4.411326379	18.65899385	10.07594237
4.470938897	18.08316514	1.166294973	4.470938897	18.6419747	10.07889269
4.530551416	18.17811704	1.155521407	4.530551416	18.61496254	10.0825394
4.590163934	18.23711354	1.150902029	4.590163934	18.6226413	10.07523824
4.649776453	18.25934244	1.147585717	4.649776453	18.62514948	10.07734925
4.709388972	18.34759287	1.13806979	4.709388972	18.60780277	10.08449565
4.76900149	18.39492522	1.132471154	4.76900149	18.60407159	10.08598895
4.828614009	18.43826049	1.125731287	4.828614009	18.60382666	10.08731506
4.888226528	18.52810144	1.120296285	4.888226528	18.58170575	10.0942185
4.947839046	18.54739578	1.121727155	4.947839046	18.59954931	10.09732425
5.007451565	18.63011021	1.113236676	5.007451565	18.57644149	10.09638718
5.067064083	18.67283774	1.106979869	5.067064083	18.62349463	10.08341384
5.126676602	18.69984395	1.105223712	5.126676602	18.6194989	10.08808005
5.186289121	18.70417739	1.103247972	5.186289121	18.63595234	10.08191607
5.245901639	18.70737301	1.097467244	5.245901639	18.61927314	10.08608767
5.305514158	18.72664939	1.094311372	5.305514158	18.55636223	10.08570046
5.365126677	18.74699645	1.092948779	5.365126677	18.54637662	10.08035969
5.424739195	18.77691751	1.086599506	5.424739195	18.52203059	10.08589207
5.484351714	18.77555979	1.086531275	5.484351714	18.50210176	10.08103349
5.543964232	18.77547121	1.089156576	5.543964232	18.49453287	10.0812708
5.603576751	18.76670287	1.092016352	5.603576751	18.48816872	10.08112198
5.66318927	18.75257099	1.093114997	5.66318927	18.48635689	10.08012311
5.722801788	18.74473844	1.094130726	5.722801788	18.49368324	10.08003442
5.782414307	18.74880641	1.093699358	5.782414307	18.49047107	10.07697247
5.842026826	18.75723528	1.092269367	5.842026826	18.48474618	10.0777671
5.901639344	18.74966944	1.090731449	5.901639344	18.48001267	10.08042109
5.961251863	18.74939104	1.092319971	5.961251863	18.47297593	10.08186575
6.020864382	18.74114961	1.094392982	6.020864382	18.48183131	10.07908051
6.0804769	18.73632712	1.096008501	6.0804769	18.47814747	10.08084368
6.140089419	18.70255049	1.099544194	6.140089419	18.47531671	10.08525392
6.199701937	18.69600195	1.100775129	6.199701937	18.47505906	10.08853375
6.259314456	18.63658125	1.107772392	6.259314456	18.45480317	10.09560856
6.318926975	18.61880771	1.107133971	6.318926975	18.46966619	10.09637885
6.378539493	18.60201409	1.106128752	6.378539493	18.47862291	10.10141644
6.438152012	18.52608802	1.109146921	6.438152012	18.48244186	10.11407304
6.497764531	18.48975544	1.105808575	6.497764531	18.49219649	10.10378782
6.557377049	18.44952967	1.098605833	6.557377049	18.48500087	10.11669618
6.616989568	18.38095502	1.099302245	6.616989568	18.4889969	10.11731681
6.676602086	18.26884852	1.104103123	6.676602086	18.46991009	10.11981934
6.736214605	18.25593836	1.088459934	6.736214605	18.4462807	10.11328824
6.795827124	18.14577496	1.098777615	6.795827124	18.44041884	10.11022159
6.855439642	18.03851292	1.10577038	6.855439642	18.43114701	10.10837236
6.915052161	17.99325393	1.107682388	6.915052161	18.44478788	10.11011382
7.034277198	17.88481907	1.083986098	6.97466468	18.42811399	10.11058069
