GMfasMM			GMextMM		
t	x	y	t	x	y
0	14.56458088	1.260267645	0	18.86262343	10.04923016
0.059612519	14.6951044	1.246982895	0.059612519	18.85678413	10.05080497
0.119225037	14.76386648	1.238580669	0.119225037	18.85414935	10.05111651
0.178837556	14.8631494	1.226097402	0.178837556	18.8537449	10.05383343
0.238450075	14.92442037	1.22195568	0.238450075	18.85143289	10.0532507
0.298062593	14.99513003	1.212555152	0.298062593	18.85477383	10.05254579
0.357675112	15.01784478	1.211406581	0.357675112	18.85565596	10.05155019
0.41728763	15.03719656	1.215732759	0.41728763	18.8539967	10.05317859
0.476900149	15.12270309	1.209563698	0.476900149	18.84789878	10.05805483
0.536512668	15.16741918	1.219371476	0.536512668	18.85587987	10.05750793
0.596125186	15.24889759	1.20532431	0.596125186	18.86176568	10.05744449
0.655737705	15.30164696	1.188225039	0.655737705	18.85598463	10.0569452
0.715350224	15.4075283	1.173855296	0.715350224	18.85040542	10.06035594
0.774962742	15.45610559	1.167316477	0.774962742	18.8611814	10.06228192
0.834575261	15.54511906	1.154789086	0.834575261	18.8569854	10.06266175
0.894187779	15.64808563	1.140414308	0.894187779	18.8669752	10.0636273
0.953800298	15.73105461	1.131272225	0.953800298	18.87018574	10.05862956
1.013412817	15.82473676	1.119012766	1.013412817	18.85349519	10.05632607
1.073025335	15.88546739	1.111446936	1.073025335	18.87312331	10.05356999
1.132637854	15.97981277	1.105891649	1.132637854	18.8727358	10.0537902
1.192250373	16.04891629	1.099495461	1.192250373	18.86714923	10.05059741
1.251862891	16.07483713	1.096670133	1.251862891	18.87443896	10.04977454
1.31147541	16.16414834	1.0906084	1.31147541	18.86007906	10.05240061
1.371087928	16.20577324	1.091206033	1.371087928	18.86289432	10.04950161
1.430700447	16.24975691	1.096607071	1.430700447	18.86122456	10.05015204
1.490312966	16.27162168	1.117742483	1.490312966	18.85613014	10.05001707
1.549925484	16.35588203	1.135536677	1.549925484	18.85966129	10.04629695
1.609538003	16.38037923	1.150439067	1.609538003	18.85834603	10.04565194
1.669150522	16.46506004	1.152857349	1.669150522	18.85643576	10.04957933
1.72876304	16.45618501	1.158443272	1.72876304	18.85146782	10.04976871
1.788375559	16.43642984	1.15103842	1.788375559	18.8597407	10.04450785
1.847988077	16.4479224	1.147956528	1.847988077	18.8565169	10.0503764
1.907600596	16.47166006	1.148752765	1.907600596	18.84810837	10.05044731
1.967213115	16.4979257	1.155111	1.967213115	18.84254777	10.05233794
2.026825633	16.55075974	1.173880185	2.026825633	18.83636134	10.05446738
2.086438152	16.53644829	1.188792079	2.086438152	18.83843385	10.05503924
2.146050671	16.54520514	1.194391608	2.146050671	18.83174049	10.05498226
2.205663189	16.57367032	1.196514835	2.205663189	18.82978504	10.05300021
2.265275708	16.63070861	1.196131171	2.265275708	18.83356964	10.05110195
