SOLendJULY			SOLext		
0.7052849351	22.79124385	10.11593831	0.7052849351	26.14682981	12.52524336
0.728794433	22.79086766	10.11559838	0.728794433	26.14687187	12.52538701
0.7523039308	22.79052371	10.11556956	0.7523039308	26.14687198	12.52547471
0.7758134286	22.7903367	10.11593598	0.7758134286	26.14627779	12.52493835
0.7993229265	22.7842355	10.11823736	0.7993229265	26.1446797	12.52567845
0.8228324243	22.78012207	10.12029363	0.8228324243	26.14378011	12.52701734
0.8463419221	22.7709991	10.12449633	0.8463419221	26.14240219	12.52899494
0.86985142	22.76641662	10.12711719	0.86985142	26.14387421	12.52992826
0.8933609178	22.76653957	10.12924092	0.8933609178	26.14611175	12.52997521
0.9168704156	22.76968419	10.13046965	0.9168704156	26.15118892	12.52705287
0.9403799135	22.77303948	10.1292233	0.9403799135	26.15108188	12.52724682
0.9638894113	22.77345812	10.12875172	0.9638894113	26.1525463	12.52702394
0.9873989092	22.76654596	10.1333468	0.9873989092	26.15021449	12.52737492
1.010908407	22.75191333	10.13001583	1.010908407	26.14884805	12.52735572
1.034417905	22.68125318	10.12724331	1.034417905	26.14680677	12.53058718
1.057927403	22.65705266	10.12812618	1.057927403	26.1467197	12.53135538
1.081436901	22.64712947	10.12884726	1.081436901	26.14634827	12.53202408
1.104946398	22.64289226	10.12742085	1.104946398	26.14319487	12.53114037
1.128455896	22.62975479	10.12770766	1.128455896	26.14720909	12.53449166
1.151965394	22.61538489	10.12772266	1.151965394	26.14648846	12.53603891
1.175474892	22.56974517	10.12816532	1.175474892	26.14484739	12.5401298
1.19898439	22.5303501	10.12438165	1.19898439	26.14959027	12.54566432
1.222493888	22.44406377	10.13848323	1.222493888	26.15418024	12.55366323
1.246003385	22.35080766	10.15162262	1.246003385	26.15916732	12.55818486
1.269512883	22.31334226	10.16030415	1.269512883	26.12520933	12.5675822
1.293022381	22.22228657	10.16904218	1.293022381	26.12049081	12.58312727
1.316531879	22.17062548	10.1748757	1.316531879	26.12348665	12.58751613
1.340041377	22.13796693	10.17163578	1.340041377	26.12403081	12.58964694
1.363550875	22.06347383	10.18285235	1.363550875	26.1296443	12.59601021
1.387060372	22.02926408	10.18696076	1.387060372	26.12968114	12.59868171
1.41056987	21.95829241	10.18674308	1.41056987	26.1293766	12.59989907
1.434079368	21.94490946	10.1876827	1.434079368	26.13239981	12.6028603
1.457588866	21.9430661	10.18922621	1.457588866	26.13628502	12.60403302
1.481098364	21.93796167	10.19028157	1.481098364	26.13804319	12.60591262
1.504607862	21.92301512	10.18923166	1.504607862	26.14722643	12.60975114
1.528117359	21.84460441	10.19558327	1.528117359	26.15209675	12.62016448
1.551626857	21.78193144	10.19800742	1.551626857	26.14942054	12.62293486
1.575136355	21.70799891	10.20469226	1.575136355	26.14693467	12.62256629
1.598645853	21.6289609	10.20337315	1.598645853	26.14522963	12.62518523
1.622155351	21.52561797	10.19952114	1.622155351	26.15275054	12.63438654
1.645664849	21.39242877	10.20772124	1.645664849	26.12295542	12.64796323
1.669174346	21.31270578	10.21389553	1.669174346	26.12833017	12.66214835
1.692683844	21.24260799	10.21057853	1.692683844	26.13149927	12.66702213
1.716193342	21.17109375	10.21205295	1.716193342	26.14026153	12.66746455
1.73970284	21.12990779	10.21071663	1.73970284	26.14286944	12.67209159
1.763212338	21.08394395	10.20386195	1.763212338	26.14961259	12.67635998
1.786721836	21.05507921	10.20446033	1.786721836	26.14832453	12.67627182
1.810231333	20.89541051	10.23835705	1.810231333	26.1426606	12.67695391
1.833740831	20.80646959	10.25421116	1.833740831	26.14590855	12.67783683
1.857250329	20.70764867	10.26225285	1.857250329	26.14844612	12.67744649
1.880759827	20.66451642	10.26810234	1.880759827	26.14895931	12.68088587
1.904269325	20.48654254	10.27534601	1.904269325	26.15457233	12.67948658
1.927778823	20.3878563	10.27955862	1.927778823	26.15618005	12.67957076
1.95128832	20.299266	10.27899066	1.95128832	26.15151187	12.68070208
1.974797818	20.25703958	10.27691575	1.974797818	26.14797577	12.68073797
1.998307316	20.18735002	10.27770868	1.998307316	26.14133941	12.67766499
2.021816814	20.04130049	10.27284961	2.021816814	26.13124497	12.67710023
2.045326312	20.00229965	10.27281389	2.045326312	26.12616721	12.67739255
2.06883581	19.85856148	10.27300093	2.06883581	26.11096364	12.67699696
2.092345308	19.8250676	10.27050614	2.092345308	26.12124908	12.67876545
2.115854805	19.73713092	10.27351673	2.115854805	26.12252594	12.67987976
2.139364303	19.68083923	10.27233819	2.139364303	26.12560741	12.68218535
2.162873801	19.60413168	10.27004556	2.162873801	26.12380818	12.6820173
2.186383299	19.56691558	10.27313356	2.186383299	26.12715713	12.68291458
2.209892797	19.49605118	10.27668397	2.209892797	26.11959352	12.68597147
2.233402295	19.46971278	10.27670226	2.233402295	26.12657987	12.68441172
2.256911792	19.41938287	10.27197193	2.256911792	26.12039368	12.68506413
2.28042129	19.37176979	10.26837839	2.28042129	26.12402507	12.68725795
2.303930788	19.30701742	10.26896541	2.303930788	26.11894702	12.68942224
2.327440286	19.28095105	10.26905637	2.327440286	26.12404024	12.68773221
2.350949784	19.2566885	10.26990744	2.350949784	26.1216722	12.68621043
2.374459282	19.22596931	10.26875203	2.374459282	26.12071993	12.68400275
2.397968779	19.15056853	10.26965567	2.397968779	26.11508696	12.68474895
2.421478277	19.11364766	10.27152102	2.421478277	26.11732572	12.68413744
2.444987775	19.05487763	10.27010849	2.444987775	26.1174137	12.6771239
2.468497273	19.02870717	10.26992723	2.468497273	26.11979886	12.67626437
2.492006771	18.93681874	10.27160746	2.492006771	26.11166762	12.67568726
2.515516269	18.91647321	10.26900307	2.515516269	26.10710336	12.68147641
2.539025766	18.87026374	10.27185236	2.539025766	26.09609402	12.68112434
2.562535264	18.8456324	10.27009327	2.562535264	26.09608519	12.6817728
2.586044762	18.82835914	10.26919835	2.586044762	26.09276103	12.68191248
2.60955426	18.83601093	10.26817753	2.60955426	26.08850106	12.68007358
2.633063758	18.83384682	10.26891074	2.633063758	26.0866376	12.68009028
2.656573256	18.83322967	10.27006999	2.656573256	26.08251167	12.68127556
2.680082753	18.83612265	10.27065404	2.680082753	26.08511142	12.68160488
2.703592251	18.81550171	10.27148693	2.703592251	26.09466306	12.68048893
2.727101749	18.79852619	10.27233837	2.727101749	26.08183111	12.68404793
2.750611247	18.75159775	10.27229376	2.750611247	26.0774065	12.68734832
2.774120745	18.73808209	10.27071063	2.774120745	26.07851425	12.68678004
2.797630243	18.71045934	10.27329747	2.797630243	26.07605283	12.68401273
2.82113974	18.67652136	10.27136654	2.82113974	26.07770835	12.68471147
2.844649238	18.52725492	10.27208536	2.844649238	26.07948673	12.69642777
2.868158736	18.50083156	10.2729101	2.868158736	26.08119307	12.69822634
2.891668234	18.42988986	10.27365979	2.891668234	26.08201156	12.7020581
2.915177732	18.30852081	10.27368561	2.915177732	26.07566093	12.70084742
2.93868723	18.27930268	10.27495902	2.93868723	26.06565875	12.69709576
2.962196727	18.21357246	10.27439375	2.962196727	26.06601149	12.69136249
2.985706225	18.12908139	10.27350903	2.985706225	26.05571653	12.68169467
3.009215723	18.13294041	10.27111101	3.009215723	26.05901619	12.67945066
3.032725221	18.11736443	10.27293178	3.032725221	26.05493355	12.67845372
3.056234719	18.09343458	10.27343328	3.056234719	26.05408102	12.67509072
3.079744217	18.05645994	10.27418873	3.079744217	26.04491643	12.67386648
3.103253715	18.03988734	10.27368137	3.103253715	26.04474587	12.67462868
3.126763212	17.99399637	10.27087886	3.126763212	26.04476974	12.67205448
3.15027271	17.93542645	10.26917187	3.15027271	26.0324469	12.67179598
3.173782208	17.92188356	10.26942015	3.173782208	26.01968047	12.67005771
3.197291706	17.88815553	10.27305447	3.197291706	26.00353173	12.66260096
3.220801204	17.86907949	10.27051177	3.220801204	26.00020391	12.66318705
3.244310702	17.85329926	10.27004653	3.244310702	25.99970678	12.66403652
3.267820199	17.78318735	10.26617361	3.267820199	25.99407906	12.66161044
3.291329697	17.7310417	10.26514276	3.291329697	25.99587031	12.66731212
3.314839195	17.69867697	10.26651429	3.314839195	25.99304054	12.66690588
3.338348693	17.65082169	10.2648081	3.338348693	25.98658352	12.66854457
3.361858191	17.59170611	10.26422599	3.361858191	25.9767188	12.66680186
3.385367689	17.50392389	10.262902	3.385367689	25.96606303	12.66771521
3.408877186	17.45552229	10.26508975	3.408877186	25.9502238	12.67307717
3.432386684	17.34805804	10.25993637	3.432386684	25.92095493	12.67243738
3.455896182	17.31706898	10.26136496	3.455896182	25.91930334	12.67080242
3.47940568	17.27665463	10.26353945	3.47940568	25.92005884	12.66912736
3.502915178	17.2275436	10.26397133	3.502915178	25.91987983	12.66836122
3.526424676	17.15378711	10.26390159	3.526424676	25.90069639	12.66348092
3.549934173	17.13602583	10.26321932	3.549934173	25.90667869	12.66756196
3.573443671	17.10186104	10.26650994	3.573443671	25.89648405	12.66709869
3.596953169	17.06951089	10.26862019	3.596953169	25.89160825	12.66450575
3.620462667	17.03965632	10.27299969	3.620462667	25.87364823	12.66087671
3.643972165	17.02525715	10.27667907	3.643972165	25.86706376	12.65330062
3.667481663	16.86675425	10.27921882	3.667481663	25.91813967	12.60511416
3.69099116	16.81867522	10.27805046	3.69099116	25.91008127	12.59554951
3.714500658	16.58767671	10.27192727	3.714500658	25.84961024	12.58317277
3.738010156	16.46503367	10.26941074	3.738010156	25.82794774	12.57796692
3.761519654	16.31578612	10.27138767	3.761519654	25.85826017	12.55996666
3.785029152	16.25588698	10.26784811	3.785029152	25.85468136	12.54020857
3.80853865	16.13122796	10.2622425	3.80853865	25.84436284	12.52966429
3.832048147	15.96089813	10.26622233	3.832048147	25.84019586	12.52263256
3.855557645	15.91470638	10.25817707	3.855557645	25.83326078	12.51495728
3.879067143	15.60624777	10.2556866	3.879067143	25.8165666	12.49901305
3.902576641	15.46677957	10.24162546	3.902576641	25.79997132	12.49957016
3.926086139	15.24203338	10.23377943	3.926086139	25.8232648	12.47252787
3.949595637	14.74676379	10.22358723	3.949595637	25.78676393	12.48250725
3.973105134	14.63217352	10.20610219	3.973105134	25.73738849	12.46415474
3.996614632	14.47928942	10.20573158	3.996614632	25.6983716	12.46997722
4.02012413	14.3304939	10.19731417	4.02012413	25.6846312	12.47015178
4.043633628	14.20617332	10.19196816	4.043633628	25.64814751	12.46024739
4.067143126	14.14509435	10.19587674	4.067143126	25.61785512	12.4494313
4.090652624	14.01275722	10.18437525	4.090652624	25.56529304	12.43660334
4.114162121	13.84056584	10.18235839	4.114162121	25.51687555	12.43103627
4.137671619	13.60647876	10.1583356	4.137671619	25.43851111	12.4221639
4.161181117	13.44678346	10.14044859	4.161181117	25.41920983	12.42252171
4.184690615	13.24160825	10.12624482	4.184690615	25.42768265	12.39782009
4.208200113	13.13718253	10.12375338	4.208200113	25.44423216	12.38541487
4.231709611	12.93864446	10.11874489	4.231709611	25.44203559	12.37123748
4.255219109	12.53730242	10.09426591	4.255219109	25.28990613	12.36752954
4.278728606	12.44977048	10.09759764	4.278728606	25.26213419	12.37187077
4.302238104	12.30017407	10.09470378	4.302238104	25.23411342	12.35358625
4.325747602	12.14932546	10.0999182	4.325747602	25.26294948	12.33719488
4.3492571	11.98521045	10.0923395	4.3492571	25.25079439	12.31171812
4.372766598	11.63852989	10.08301876	4.372766598	25.1596728	12.28670901
4.396276096	11.4079715	10.07193145	4.396276096	25.09822353	12.27050021
4.419785593	11.25272047	10.04694867	4.419785593	25.08650497	12.24857026
4.443295091	11.12174902	10.04231205	4.443295091	25.07979821	12.23892112
4.466804589	10.85526935	10.02483237	4.466804589	25.00488688	12.21685608
4.490314087	10.75012806	10.02031744	4.490314087	24.95260764	12.20852402
4.513823585	10.7017367	10.02480246	4.513823585	24.94499888	12.20706749
4.537333083	10.51833936	10.0211191	4.537333083	24.9017607	12.21117675
4.56084258	10.35959096	10.02282865	4.56084258	24.89251263	12.21006402
4.584352078	10.10311434	10.01549003	4.584352078	24.9254503	12.16247895
4.607861576	9.969569562	10.02158682	4.607861576	24.87642871	12.15605037
4.631371074	9.844014939	10.0126798	4.631371074	24.81432615	12.15055514
4.654880572	9.598275848	9.990813396	4.654880572	24.76098774	12.14035202
4.67839007	9.462515636	9.973589699	4.67839007	24.73066623	12.14222494
4.701899567	9.196439818	9.971055876	4.701899567	24.68557237	12.09581885
4.725409065	9.166008693	9.968613022	4.725409065	24.6808984	12.09613128
4.748918563	9.07424303	9.962421057	4.748918563	24.66322939	12.09187164
4.772428061	8.994677583	9.961802058	4.772428061	24.65059704	12.08416314
4.795937559	8.937965539	9.959470636	4.795937559	24.6423468	12.0887091
4.819447057	8.913089768	9.958658023	4.819447057	24.6450858	12.10586677
4.842956554	8.759683042	9.956923913	4.842956554	24.61692033	12.09481511
4.866466052	8.734574203	9.956297082	4.866466052	24.61232502	12.0887965
4.88997555	8.696092167	9.953124693	4.88997555	24.59622828	12.0884826
4.913485048	8.682743453	9.95558579	4.913485048	24.58494897	12.0861129
4.936994546	8.558962544	9.952146287	4.936994546	24.562953	12.0786933
4.960504044	8.483740925	9.951037413	4.960504044	24.53004799	12.07869168
4.984013541	8.413643192	9.952013977	4.984013541	24.50294453	12.07187072
5.007523039	8.352756269	9.953487519	5.007523039	24.49164762	12.06666921
5.031032537	8.270442883	9.950808543	5.031032537	24.48709776	12.06856247
5.054542035	8.232712445	9.953908481	5.054542035	24.47656803	12.07009713
5.078051533	8.131155181	9.946565104	5.078051533	24.44895761	12.07731286
5.101561031	8.102163123	9.949035225	5.101561031	24.42413225	12.07054069
5.125070528	8.037679287	9.950383463	5.125070528	24.38968055	12.06106378
5.148580026	7.981239473	9.950493754	5.148580026	24.36431932	12.06474414
5.172089524	7.942045811	9.94940385	5.172089524	24.34397791	12.0608071
5.195599022	7.905436246	9.944246357	5.195599022	24.33143013	12.05636162
5.21910852	7.878009535	9.946318555	5.21910852	24.31847265	12.05552978
5.242618018	7.89041961	9.946946321	5.242618018	24.31501693	12.05436755
5.266127516	7.87807505	9.949187296	5.266127516	24.31009448	12.05301707
5.289637013	7.853674082	9.952020689	5.289637013	24.30003323	12.05896513
5.313146511	7.794976339	9.946879791	5.313146511	24.27719051	12.05446999
5.336656009	7.740533746	9.944060651	5.336656009	24.26871135	12.05034451
5.360165507	7.707518811	9.943525429	5.360165507	24.25987934	12.05980709
5.383675005	7.693638241	9.944782679	5.383675005	24.26081502	12.06098568
5.407184503	7.593399095	9.937434805	5.407184503	24.25224557	12.0541093
5.430694	7.641977623	9.944408843	5.430694	24.26320994	12.06066095
5.454203498	7.676608797	9.946841441	5.454203498	24.26326217	12.05484372
5.477712996	7.636452949	9.946648933	5.477712996	24.27545041	12.03397362
5.501222494	7.600841752	9.944858842	5.501222494	24.26900052	12.02800318
5.524731992	7.558509717	9.949951527	5.524731992	24.21650795	12.04672814
5.54824149	7.526911519	9.9465332	5.54824149	24.18391072	12.06050655
5.571750987	7.518248034	9.94567464	5.571750987	24.16351009	12.06657899
5.595260485	7.519644938	9.948267582	5.595260485	24.15915554	12.07191005
5.618769983	7.511435458	9.949787841	5.618769983	24.13905832	12.0741188
5.642279481	7.519883198	9.945277163	5.642279481	24.11735484	12.07904749
5.665788979	7.508849193	9.94836761	5.665788979	24.11631598	12.08719948
5.689298477	7.500681226	9.951501912	5.689298477	24.12242006	12.08532042
5.712807974	7.497715866	9.954920274	5.712807974	24.13651101	12.10084367
5.736317472	7.487741697	9.956621926	5.736317472	24.09446358	12.12349472
5.75982697	7.477483513	9.95851736	5.75982697	24.08824677	12.12845777
5.783336468	7.46305368	9.959636457	5.783336468	24.09517606	12.12921258
5.806845966	7.466895427	9.959144947	5.806845966	24.08747666	12.12615535
5.830355464	7.467037915	9.960096928	5.830355464	24.0853326	12.13288961
5.853864961	7.461812637	9.96141924	5.853864961	24.06787567	12.14128057
5.877374459	7.486451763	9.961524691	5.877374459	24.0797872	12.13969839
5.900883957	7.490121863	9.962644916	5.900883957	24.06125686	12.14042676
5.924393455	7.488515115	9.962447186	5.924393455	24.0543326	12.14196776
5.947902953	7.473473284	9.963877181	5.947902953	24.05065177	12.14855083
5.971412451	7.490199426	9.964535251	5.971412451	24.05364225	12.14729585
5.994921948	7.498623162	9.963535862	5.994921948	24.05612195	12.14954769
6.018431446	7.532379704	9.961755639	6.018431446	24.06123432	12.1495979
6.041940944	7.561272328	9.963780692	6.041940944	24.06406732	12.14652867
6.065450442	7.551329073	9.964786214	6.065450442	24.05721766	12.1460392
6.08895994	7.499392962	9.963876731	6.08895994	24.04515493	12.14791107
6.112469438	7.476821945	9.964404134	6.112469438	24.03840301	12.15177211
6.135978935	7.483051006	9.963394162	6.135978935	24.03567473	12.1566298
6.159488433	7.480191522	9.964641045	6.159488433	24.03886525	12.15404797
6.182997931	7.468045377	9.96461864	6.182997931	24.02738173	12.15307555
6.206507429	7.416734782	9.960250162	6.206507429	24.03058224	12.15780693
6.230016927	7.399134913	9.961358506	6.230016927	24.02437552	12.15827208
6.253526425	7.354093766	9.960691745	6.253526425	24.01602945	12.15457023
6.277035923	7.344867276	9.961640943	6.277035923	24.01749448	12.15365556
6.30054542	7.350172246	9.962354874	6.30054542	24.01847961	12.15355748
6.324054918	7.356823159	9.962558183	6.324054918	24.01802013	12.15215451
6.347564416	7.358212536	9.960670866	6.347564416	24.02483253	12.1519386
6.371073914	7.363177454	9.960741196	6.371073914	24.02419913	12.15319393
6.394583412	7.381187127	9.960494936	6.394583412	24.03609348	12.15463078
6.41809291	7.400076104	9.962351658	6.41809291	24.03021012	12.15098629
6.441602407	7.413834213	9.963327424	6.441602407	24.03111809	12.14739386
6.465111905	7.407085006	9.963899385	6.465111905	24.03157537	12.14699692
6.488621403	7.403893633	9.963658047	6.488621403	24.02862806	12.14979827
6.512130901	7.455728984	9.95979192	6.512130901	24.03059598	12.15292902
6.535640399	7.464990524	9.964262346	6.535640399	24.03361184	12.15195879
6.559149897	7.476457355	9.965005052	6.559149897	24.03779639	12.15051942
6.582659394	7.482962645	9.964100114	6.582659394	24.04411	12.15418116
6.606168892	7.514663753	9.962061859	6.606168892	24.05399974	12.16392936
6.62967839	7.696354843	9.96618267	6.62967839	24.0656939	12.1769299
6.653187888	7.669093425	9.967124565	6.653187888	24.06134744	12.17245963
6.676697386	7.692515837	9.96822692	6.676697386	24.03159134	12.19735014
6.700206884	7.751910625	9.965423749	6.700206884	24.03650959	12.20661375
6.723716381	7.826664265	9.967013439	6.723716381	24.05006638	12.21809463
6.747225879	7.743082783	9.967753999	6.747225879	24.03990928	12.22982559
6.770735377	7.72603048	9.966749544	6.770735377	24.04239477	12.23225345
6.794244875	7.727822882	9.965246738	6.794244875	24.04631614	12.2365085
6.817754373	7.832137705	9.96691002	6.817754373	24.05996246	12.24272237
6.841263871	7.847706017	9.969381184	6.841263871	24.06071161	12.24264175
6.864773368	7.858558918	9.969865568	6.864773368	24.06417213	12.24404866
6.888282866	7.868119034	9.967824833	6.888282866	24.06612459	12.25259074
6.911792364	7.885947754	9.967308689	6.911792364	24.0732152	12.26161915
6.935301862	8.037677474	9.970878458	6.935301862	24.07161258	12.29407084
6.95881136	8.044927292	9.972582646	6.95881136	24.06749187	12.28656149
6.982320858	8.068653906	9.973042968	6.982320858	24.06873101	12.28485276
