SOLendJULY			SOLext		
t	x	y	t	x	y
0.0	22.79543018	10.115546	0.0	26.14736785	12.52631552
0.02350949784	22.79604535	10.11554906	0.02350949784	26.14765697	12.52573545
0.04701899567	22.79506541	10.11588157	0.04701899567	26.14703623	12.52562846
0.07052849351	22.79611681	10.11694049	0.07052849351	26.14801941	12.52500379
0.09403799135	22.7966585	10.11636408	0.09403799135	26.14756396	12.52462891
0.1175474892	22.79697016	10.11604746	0.1175474892	26.14814303	12.5250383
0.141056987	22.79500947	10.11594179	0.141056987	26.14715147	12.52514087
0.1645664849	22.79690335	10.11577592	0.1645664849	26.14826325	12.52499952
0.1880759827	22.79982483	10.11549175	0.1880759827	26.14920171	12.52438226
0.2115854805	22.79709247	10.11560104	0.2115854805	26.15079546	12.52503918
0.2350949784	22.79464989	10.11582342	0.2350949784	26.14943242	12.52489064
0.2586044762	22.79769393	10.11534733	0.2586044762	26.14985968	12.52378539
0.282113974	22.79658071	10.11468354	0.282113974	26.15039826	12.52331835
0.3056234719	22.79626762	10.11421291	0.3056234719	26.14906807	12.52376163
0.3291329697	22.79714593	10.11408689	0.3291329697	26.15009698	12.523982
0.3526424676	22.79740568	10.11377796	0.3526424676	26.1513519	12.52392261
0.3761519654	22.79620177	10.11357445	0.3761519654	26.15110721	12.52434276
0.3996614632	22.79440095	10.1137023	0.3996614632	26.14926705	12.52480235
0.4231709611	22.79440804	10.11396623	0.4231709611	26.14900798	12.52372829
0.4466804589	22.79623155	10.11359202	0.4466804589	26.1500912	12.52386308
0.4701899567	22.7942218	10.11401504	0.4701899567	26.1491245	12.52436419
0.4936994546	22.79426313	10.11385756	0.4936994546	26.15020188	12.52528497
0.5172089524	22.79579708	10.11349885	0.5172089524	26.14913645	12.52431573
0.5407184503	22.79720447	10.1133046	0.5407184503	26.15061355	12.52356924
0.5642279481	22.79699264	10.11292336	0.5642279481	26.15204241	12.52456081
0.5877374459	22.79426175	10.11352408	0.5877374459	26.14922951	12.52400919
0.6112469438	22.79453963	10.11442154	0.6112469438	26.14799633	12.52404404
0.6347564416	22.79581102	10.11393535	0.6347564416	26.14880479	12.5242141
0.6582659394	22.7945602	10.1145569	0.6582659394	26.14949654	12.52482182
0.6817754373	22.79247773	10.11492412	0.6817754373	26.14787016	12.52537887
