CALbumpJULY			CALext1		
t	x	y	t	x	y
0.0	17.43068104	5.876553806	0.0	3.369401054	14.60515969
0.05961251863	17.43074828	5.875843469	0.05961251863	3.369605352	14.60483126
0.1192250373	17.42062879	5.879628085	0.1192250373	3.370100526	14.60474621
0.1788375559	17.34615497	5.884442989	0.1788375559	3.369282623	14.60472118
0.2384500745	17.28121486	5.88986934	0.2384500745	3.367102376	14.60466035
0.2980625931	17.26715382	5.905838023	0.2980625931	3.368129849	14.60443905
0.3576751118	17.31808198	5.943882866	0.3576751118	3.364970647	14.60449972
0.4172876304	17.22328522	5.960142811	0.4172876304	3.356029624	14.60462168
0.476900149	17.18834176	5.972298141	0.476900149	3.354603272	14.60429503
0.5365126677	17.30100035	6.009258041	0.5365126677	3.356359436	14.60441545
0.5961251863	17.30209081	6.016268503	0.5961251863	3.357356326	14.60442081
0.6557377049	17.34733113	6.020508881	0.6557377049	3.355156755	14.60432863
0.7153502235	17.38884036	6.015675413	0.7153502235	3.356928253	14.6041121
0.7749627422	17.4241746	6.017341	0.7749627422	3.355688981	14.60392343
0.8345752608	17.46115451	6.002541376	0.8345752608	3.357346528	14.60324234
0.8941877794	17.51303473	5.981354535	0.8941877794	3.363930513	14.60332547
0.9538002981	17.57831928	5.95700331	0.9538002981	3.391619944	14.60371581
1.013412817	17.62199437	5.959500634	1.013412817	3.412219328	14.60392842
1.073025335	17.65477066	5.959504978	1.073025335	3.462762425	14.60487486
1.132637854	17.70549975	5.958948345	1.132637854	3.491460408	14.6061016
1.192250373	17.75928484	5.951204837	1.192250373	3.5262887	14.6073071
1.251862891	17.79742771	5.948274585	1.251862891	3.547702802	14.60755251
1.31147541	17.85325391	5.946363395	1.31147541	3.544575655	14.60641617
1.371087928	17.89568855	5.939334116	1.371087928	3.544902422	14.60565297
1.430700447	17.9365189	5.938965085	1.430700447	3.547581022	14.6049821
1.490312966	18.0216528	5.937041655	1.490312966	3.577512407	14.60575779
1.549925484	18.10130548	5.941444813	1.549925484	3.6237603	14.60631184
1.609538003	18.16992774	5.943724697	1.609538003	3.637495309	14.60665679
1.669150522	18.2235553	5.943756569	1.669150522	3.68028434	14.60576952
1.72876304	18.27053315	5.938396074	1.72876304	3.696139246	14.60492786
1.788375559	18.32853601	5.938850753	1.788375559	3.719421909	14.60464733
1.847988077	18.38173195	5.937098262	1.847988077	3.759961024	14.60406492
1.907600596	18.4658257	5.932462457	1.907600596	3.789027625	14.60458162
1.967213115	18.50836756	5.929239362	1.967213115	3.826759988	14.60438295
2.026825633	18.59179323	5.921059027	2.026825633	3.835028837	14.60440471
2.086438152	18.6231539	5.922434259	2.086438152	3.840114981	14.60496332
2.146050671	18.64327674	5.927481635	2.146050671	3.850903496	14.60467553
2.205663189	18.65301937	5.927219251	2.205663189	3.85051602	14.60445334
2.265275708	18.67266242	5.931050709	2.265275708	3.871572412	14.60451669
2.324888227	18.73823765	5.932279636	2.324888227	3.919297634	14.60365965
2.384500745	18.77088695	5.932651213	2.384500745	3.953798055	14.60367055
2.444113264	18.79987495	5.929075249	2.444113264	3.97769213	14.60275397
2.503725782	18.87671472	5.92736639	2.503725782	3.992557565	14.60335127
2.563338301	18.89915186	5.930564696	2.563338301	4.013288215	14.60375756
2.62295082	18.93129439	5.929500894	2.62295082	4.054575451	14.60328058
2.682563338	18.98862721	5.929342082	2.682563338	4.091506373	14.60485042
2.742175857	19.04467	5.924940862	2.742175857	4.140225812	14.60436973
2.801788376	19.09307272	5.913930401	2.801788376	4.199129274	14.60547204
2.861400894	19.08874982	5.895256567	2.861400894	4.202324351	14.60516623
2.921013413	19.06981656	5.88213023	2.921013413	4.210641126	14.60493652
2.980625931	19.09431686	5.90625592	2.980625931	4.206209532	14.6049487
3.04023845	19.07292537	5.928216187	3.04023845	4.202947711	14.60422501
3.099850969	19.04528717	5.934645374	3.099850969	4.20885762	14.6028779
3.159463487	19.04637417	5.932560566	3.159463487	4.220509858	14.60135974
3.219076006	19.03649682	5.936209335	3.219076006	4.222452774	14.6010596
3.278688525	19.03737723	5.938490681	3.278688525	4.215084817	14.60179253
3.338301043	19.03822859	5.939052181	3.338301043	4.210407836	14.60158305
3.397913562	19.04249194	5.938121532	3.397913562	4.205146662	14.60250849
3.45752608	19.0320486	5.933110212	3.45752608	4.197957302	14.60222202
3.517138599	19.04644092	5.930141056	3.517138599	4.200259905	14.60286202
3.576751118	19.05170035	5.929141049	3.576751118	4.196571182	14.60301309
3.636363636	19.05245963	5.929828581	3.636363636	4.200259776	14.60336904
3.695976155	19.05749731	5.927646505	3.695976155	4.197626347	14.60312828
3.755588674	19.06051671	5.926898054	3.755588674	4.198346769	14.60386192
3.815201192	19.06393553	5.924426486	3.815201192	4.196662011	14.60370329
3.874813711	19.06620763	5.923867518	3.874813711	4.197849271	14.60363004
3.93442623	19.06819662	5.923059184	3.93442623	4.19730689	14.60373288
3.994038748	19.05857083	5.928072671	3.994038748	4.197214266	14.60409548
4.053651267	19.0234311	5.928226743	4.053651267	4.195004229	14.60409713
4.113263785	18.94417693	5.931292494	4.113263785	4.193349904	14.60441414
4.172876304	18.92076785	5.936654141	4.172876304	4.1960764	14.60453757
4.232488823	18.91008796	5.940514486	4.232488823	4.197884086	14.60423033
4.292101341	18.90749224	5.939664572	4.292101341	4.195018958	14.60496886
4.35171386	18.90267186	5.952857135	4.35171386	4.189970946	14.6048167
4.411326379	18.895052	5.950373784	4.411326379	4.189495219	14.6050433
4.470938897	18.88419412	5.952953349	4.470938897	4.184369896	14.60522927
4.530551416	18.81931841	5.955132237	4.530551416	4.187105843	14.60603093
4.590163934	18.77648953	5.957569192	4.590163934	4.181938395	14.60606212
4.649776453	18.75999401	5.950878667	4.649776453	4.180542673	14.60639835
4.709388972	18.74477692	5.937598993	4.709388972	4.182833043	14.60661142
4.76900149	18.70739458	5.935717624	4.76900149	4.173233997	14.60654317
4.828614009	18.63753004	5.935564874	4.828614009	4.175931301	14.60694259
4.888226528	18.6216676	5.934560297	4.888226528	4.167317964	14.60624633
4.947839046	18.61623326	5.93468057	4.947839046	4.173760661	14.60578154
5.007451565	18.60998797	5.934594728	5.007451565	4.169039279	14.60528306
5.067064083	18.60480671	5.934517646	5.067064083	4.16839149	14.60532676
5.126676602	18.60321399	5.938924171	5.126676602	4.160877834	14.60515034
5.186289121	18.5846241	5.937868475	5.186289121	4.166696244	14.60494313
5.245901639	18.53067341	5.934392642	5.245901639	4.166978972	14.60430884
5.305514158	18.48957423	5.932083295	5.305514158	4.166336128	14.6044962
5.365126677	18.46707644	5.931376785	5.365126677	4.170886683	14.60402026
5.424739195	18.44919596	5.930765417	5.424739195	4.160758307	14.60372183
5.484351714	18.42460894	5.923801221	5.484351714	4.165695872	14.60327593
5.543964232	18.34276678	5.919476152	5.543964232	4.152619468	14.60396309
5.603576751	18.32635161	5.93009688	5.603576751	4.122574805	14.60438206
5.66318927	18.30268385	5.928826383	5.66318927	4.11792184	14.60408285
5.722801788	18.29710965	5.922744803	5.722801788	4.111194558	14.6038697
5.782414307	18.29367963	5.923707965	5.782414307	4.115113856	14.60378556
5.842026826	18.2890951	5.92838823	5.842026826	4.105653292	14.60298547
5.901639344	18.28193878	5.930512502	5.901639344	4.101776556	14.60343206
5.961251863	18.26521656	5.933575984	5.961251863	4.100795051	14.60349679
6.020864382	18.21841617	5.933097938	6.020864382	4.091989549	14.60359031
6.0804769	18.18952911	5.932622874	6.0804769	4.073226395	14.60455965
6.140089419	18.16370925	5.933709997	6.140089419	4.047064977	14.60556101
6.199701937	18.15316715	5.936369606	6.199701937	4.021838011	14.60550333
6.259314456	18.13301331	5.938186731	6.259314456	4.005652439	14.605434
6.318926975	18.12781075	5.935325047	6.318926975	3.980394746	14.60622128
6.378539493	18.07917198	5.940418831	6.378539493	3.961966293	14.60624509
6.438152012	18.04706743	5.935628008	6.438152012	3.957897612	14.60606319
6.497764531	18.02148618	5.938682836	6.497764531	3.95723659	14.60589278
6.557377049	17.99349921	5.938094017	6.557377049	3.963125903	14.60627457
6.616989568	17.925373	5.931251702	6.616989568	3.95657664	14.60608538
6.676602086	17.88371231	5.935391805	6.676602086	3.931337509	14.60624757
6.736214605	17.85568908	5.936170144	6.736214605	3.883110612	14.60585317
6.795827124	17.8347561	5.936519712	6.795827124	3.863447472	14.60495458
6.855439642	17.82593378	5.938550299	6.855439642	3.845314319	14.60319082
6.915052161	17.83999368	5.940295679	6.915052161	3.829434876	14.60328827
6.97466468	17.84168219	5.940418366	6.97466468	3.826994978	14.60287782
7.034277198	17.84589455	5.944168265	7.034277198	3.823977231	14.60272842
7.093889717	17.84204941	5.944983895	7.093889717	3.819622215	14.60267328
7.153502235	17.84173028	5.940046316	7.153502235	3.822050115	14.60264357
7.213114754	17.8516592	5.93630002	7.213114754	3.81740025	14.60263124
7.272727273	17.85383763	5.934354475	7.272727273	3.815945471	14.60291298
7.332339791	17.85250727	5.933206082	7.332339791	3.81853549	14.60327113
7.39195231	17.85356138	5.933028834	7.39195231	3.815015455	14.60327868
7.451564829	17.85726019	5.931479697	7.451564829	3.816023732	14.60344097
7.511177347	17.85863958	5.929584124	7.511177347	3.817748972	14.60360414
7.570789866	17.85906704	5.929205341	7.570789866	3.817470897	14.60387904
7.630402385	17.86460203	5.926263805	7.630402385	3.81897885	14.60408705
7.690014903	17.86711408	5.925149604	7.690014903	3.823205452	14.60369971
7.749627422	17.86044294	5.927629231	7.749627422	3.818830538	14.60378078
7.80923994	17.861187	5.927561934	7.80923994	3.818665917	14.60368057
7.868852459	17.86082259	5.927805743	7.868852459	3.820050146	14.60404356
7.928464978	17.97228431	5.928451484	7.928464978	3.822067473	14.60391022
7.988077496	18.02481291	5.914803793	7.988077496	3.820444919	14.60395351
8.047690015	18.05287405	5.918938677	8.047690015	3.822934721	14.60429206
8.107302534	18.06894122	5.908095558	8.107302534	3.821017704	14.60432752
8.166915052	18.17511324	5.908062412	8.166915052	3.82384494	14.60419526
8.226527571	18.21887035	5.892179722	8.226527571	3.830303938	14.60534668
8.286140089	18.24593036	5.883515114	8.286140089	3.842502881	14.60410876
8.345752608	18.29148805	5.880399403	8.345752608	3.851620363	14.60283122
8.405365127	18.32551477	5.864046239	8.405365127	3.839205516	14.60407957
8.464977645	18.33544522	5.852804456	8.464977645	3.823936194	14.60432524
8.524590164	18.33544522	5.802673368	8.524590164	3.816192238	14.60421428
8.584202683	18.36496046	5.79702895	8.584202683	3.79881489	14.60335263
8.643815201	18.38406053	5.792135935	8.643815201	3.785126329	14.60423762
8.70342772	18.43744287	5.758082358	8.70342772	3.811835366	14.60515275
8.763040238	18.43839713	5.743830309	8.763040238	3.818931746	14.60596768
8.822652757	18.45241303	5.715771789	8.822652757	3.822238744	14.60669858
8.882265276	18.45046803	5.692292443	8.882265276	3.809286024	14.60561619
8.941877794	18.45440239	5.679398282	8.941877794	3.824265857	14.60342757
9.001490313	18.46018635	5.653698477	9.001490313	3.83165586	14.59826931
9.061102832	18.46916163	5.623898336	9.061102832	3.833818424	14.59750498
9.12071535	18.50896309	5.606315867	9.12071535	3.83194094	14.59880529
9.180327869	18.54341555	5.594934554	9.180327869	3.835641858	14.60009516
9.239940387	18.54607612	5.581802456	9.239940387	3.838394083	14.60149528
9.299552906	18.53799333	5.552078673	9.299552906	3.831984458	14.60355637
9.359165425	18.54576633	5.530346553	9.359165425	3.825795712	14.55302683
9.418777943	18.55569046	5.525070849	9.418777943	3.831113102	14.6068451
9.478390462	18.57838606	5.522009082	9.478390462	3.873055327	14.60374624
9.538002981	18.59167125	5.518517752	9.538002981	3.894496222	14.60191485
9.597615499	18.62506198	5.517307404	9.597615499	3.908457382	14.60101542
9.657228018	18.66804343	5.508586633	9.657228018	3.911050971	14.60091538
9.716840537	18.68206262	5.47895479	9.716840537	3.910440491	14.60064062
9.776453055	18.73472487	5.470900834	9.776453055	3.92245663	14.59896808
9.836065574	18.79227843	5.458798482	9.836065574	3.919762904	14.59798817
9.895678092	18.8590343	5.453328519	9.895678092	3.920234936	14.59674412
9.955290611	18.90276817	5.454502717	9.955290611	3.914075021	14.59707264
10.01490313	18.96580316	5.445710047	10.01490313	3.912125568	14.59822121
10.07451565	19.00884611	5.419765284	10.07451565	3.918232786	14.59719747
10.13412817	19.05867279	5.401586849	10.13412817	3.909515973	14.59824091
10.19374069	19.10311558	5.414042908	10.19374069	3.922734726	14.59917727
10.2533532	19.12843394	5.414500295	10.2533532	3.915852859	14.59973745
10.31296572	19.14108327	5.403796261	10.31296572	3.915110747	14.60039666
10.37257824	19.14622058	5.405340025	10.37257824	3.910925574	14.60060363
10.43219076	19.20407125	5.430936958	10.43219076	3.912149021	14.60080101
10.49180328	19.25538402	5.452956719	10.49180328	3.921923117	14.60185111
10.5514158	19.32972035	5.461364343	10.5514158	3.967553119	14.60343654
10.61102832	19.36804657	5.468279519	10.61102832	3.985355143	14.60443559
10.67064083	19.38204798	5.466514023	10.67064083	3.984582074	14.60439158
10.73025335	19.40773029	5.464457415	10.73025335	3.979187419	14.60427102
10.78986587	19.39589013	5.50076771	10.78986587	3.973575184	14.60486754
10.84947839	19.38059549	5.509272389	10.84947839	3.975393797	14.60465191
10.90909091	19.34311759	5.492739107	10.90909091	3.978668227	14.60477868
10.96870343	19.34465725	5.492446601	10.96870343	3.977279788	14.60474275
11.02831595	19.36974002	5.512685412	11.02831595	3.970595475	14.60482432
11.08792846	19.35707471	5.528286298	11.08792846	3.976743422	14.6048879
11.14754098	19.35964784	5.532192567	11.14754098	3.976678131	14.60493952
11.2071535	19.37994009	5.533994481	11.2071535	3.974052362	14.6047502
11.26676602	19.40183548	5.538050485	11.26676602	3.975511741	14.60470981
11.32637854	19.41097913	5.537279994	11.32637854	3.975549149	14.60465734
11.38599106	19.41644574	5.538344235	11.38599106	3.970803843	14.60454265
11.44560358	19.42974447	5.541757679	11.44560358	3.973988008	14.60453793
11.5052161	19.43119448	5.541902978	11.5052161	3.974226818	14.60460001
11.56482861	19.43272303	5.536990496	11.56482861	3.970330112	14.60454149
11.62444113	19.44517872	5.534231135	11.62444113	3.97052843	14.60459856
11.68405365	19.44786197	5.536460329	11.68405365	3.973918169	14.60464053
11.74366617	19.4386883	5.537738295	11.74366617	3.972695646	14.60449116
11.80327869	19.40832163	5.538448363	11.80327869	3.97161074	14.6046526
11.86289121	19.39157442	5.549506227	11.86289121	3.973438411	14.60493837
11.92250373	19.3910877	5.576649302	11.92250373	3.970626026	14.6051286
11.98211624	19.36240769	5.602969147	11.98211624	3.972193023	14.60531786
12.04172876	19.328862	5.611692463	12.04172876	3.974503507	14.60529242
12.10134128	19.31202647	5.614251127	12.10134128	3.972495717	14.60510159
12.1609538	19.26534676	5.621893316	12.1609538	3.973549993	14.60524679
12.22056632	19.24910085	5.651026382	12.22056632	3.969724629	14.60504538
12.28017884	19.18622825	5.676740659	12.28017884	3.973673961	14.60411578
12.33979136	19.1556704	5.679318894	12.33979136	3.97261498	14.60399039
12.39940387	19.12216615	5.677626274	12.39940387	3.973916124	14.60347996
12.45901639	19.08136307	5.679996684	12.45901639	3.963030876	14.60301646
12.51862891	19.06296358	5.685371402	12.51862891	3.960224113	14.60220113
12.57824143	19.03809464	5.694974646	12.57824143	3.956985382	14.60179283
12.63785395	19.01504499	5.69793306	12.63785395	3.952178937	14.60169163
12.69746647	18.99783522	5.695785669	12.69746647	3.941645142	14.60207766
12.75707899	18.97515751	5.700119874	12.75707899	3.940309937	14.60193299
