CALbumpJULY			CALext1		
12.81669151	18.96264653	5.70947414	12.81669151	3.938255022	14.60211895
12.87630402	18.95320074	5.729946745	12.87630402	3.930324013	14.60160441
12.93591654	18.93063525	5.746504206	12.93591654	3.897921665	14.60225144
12.99552906	18.89859032	5.754868883	12.99552906	3.882931299	14.60381437
13.05514158	18.88259175	5.758355185	13.05514158	3.877922598	14.60466892
13.1147541	18.86330912	5.761914971	13.1147541	3.872756011	14.60608716
13.17436662	18.80252055	5.757973348	13.17436662	3.865755422	14.60798646
13.23397914	18.78864185	5.753151722	13.23397914	3.860435454	14.60898604
13.29359165	18.72587051	5.749587953	13.29359165	3.860455173	14.60963124
13.35320417	18.69544955	5.743105088	13.35320417	3.842954032	14.60942676
13.41281669	18.64823283	5.728364204	13.41281669	3.801881614	14.61123723
13.47242921	18.61014879	5.730097567	13.47242921	3.800630221	14.61143564
13.53204173	18.58139036	5.744465039	13.53204173	3.798840808	14.60995096
13.59165425	18.56473183	5.749433164	13.59165425	3.790675458	14.60870332
13.65126677	18.54463676	5.755472333	13.65126677	3.769984756	14.60699944
13.71087928	18.5428369	5.761027991	13.71087928	3.738497705	14.60599418
13.7704918	18.55928912	5.769367738	13.7704918	3.733415126	14.6046201
13.83010432	19.24650128	5.754766437			
13.88971684	20.02840946	5.559105999			
13.94932936	20.68437817	5.49659974			
