CALbump			CALext									
t	x	y	t	x	y							
0.0	17.3930912	6.380274376	0.0	-9.179628067	14.44597538							
0.05961251863	17.37531125	6.380524324	0.05961251863	-9.18659552050122	14.4529428335012							
0.1192250373	17.27453455	6.381144424	0.1192250373	-9.19356297400244	14.44060525							
0.1788375559	17.2124103	6.384732195	0.1788375559	-9.20053042750365	14.44069149							
0.2384500745	17.10244064	6.389526844	0.2384500745	-9.20749788100487	14.44088677							
0.2980625931	17.07655789	6.385767376	0.2980625931	-9.21446533450609	14.44383411							
0.3576751118	17.0731886	6.384355585	0.3576751118	-9.22143278800731	14.44082802							
0.4172876304	16.98557702	6.383793953	0.4172876304	-9.22840024150853	14.44141993							
0.476900149	16.93868382	6.385826176	0.476900149	-9.23536769500975	14.44256448							
0.5365126677	16.85418116	6.387802655	0.5365126677	-9.24233514851096	14.44167417							
0.5961251863	16.75628897	6.387759018	0.5961251863	-9.24930260201218	14.43866697							
0.6557377049	16.65901447	6.389795609	0.6557377049	-9.2562700555134	14.43772073							
0.7153502235	16.59134115	6.391029282	0.7153502235	-9.26323750901462	14.43612742							
0.7749627422	16.46642778	6.387932153	0.7749627422	-9.27020496251584	14.43337524							
0.8345752608	16.34958886	6.390204707	0.8345752608	-9.27717241601706	14.43316599							
0.8941877794	16.2226624	6.389649216	0.8941877794	-9.28413986951827	14.43290933							
0.9538002981	16.05636419	6.391968078	0.9538002981	-9.29110732301949	14.4309861							
1.013412817	15.83917024	6.39146223	1.013412817	-9.29807477652071	14.43830561							
1.073025335	15.77290755	6.39009075	1.073025335	-9.30504223002193	14.43329602							
1.132637854	15.74291486	6.392370992	1.132637854	-9.31200968352315	14.43074579							
1.192250373	15.71687966	6.395939536	1.192250373	-9.31897713702437	14.43318289							
1.251862891	15.68803318	6.398512355	1.251862891	-9.32594459052558	14.43258769							
1.31147541	15.74677416	6.387592086	1.31147541	-9.3329120440268	14.43251045							
1.371087928	15.75529287	6.384538677	1.371087928	-9.33987949752802	14.43221375							
1.430700447	15.75755106	6.381618071	1.430700447	-9.34684695102924	14.43338201							
1.490312966	15.80991415	6.379049086	1.490312966	-9.35381440453046	14.43416657							
1.549925484	15.81071883	6.380625639	1.549925484	-9.36078185803168	14.4345801							
1.609538003	15.80877763	6.379445185	1.609538003	-9.36774931153289	14.43489306							
1.669150522	15.82012558	6.379329409	1.669150522	-9.37471676503411	14.4344461							
1.72876304	15.83366404	6.379333575	1.72876304	-9.38168421853533	14.43562523							
1.788375559	15.84821894	6.378294877	1.788375559	-9.38865167203655	14.43537469							
1.847988077	15.8619915	6.377694795	1.847988077	-9.39561912553777	14.43531737							
1.907600596	15.93144235	6.372810088	1.907600596	-9.40258657903899	14.43514684							
1.967213115	15.96742394	6.373389336	1.967213115	-9.4095540325402	14.43553567							
2.026825633	15.98927669	6.369621314	2.026825633	-9.41652148604142	14.43578124							
2.086438152	15.9910982	6.369596809	2.086438152	-9.42348893954264	14.43589943							
2.146050671	16.00547462	6.368697689	2.146050671	-9.43045639304386	14.43592356							
2.205663189	16.02522324	6.372245222	2.205663189	-9.43742384654508	14.43596589							
2.265275708	16.06047208	6.372813521	2.265275708	-9.44439130004629	14.43577554							
2.324888227	16.09668428	6.370113924	2.324888227	-9.45135875354751	14.43616731							
2.384500745	16.12787907	6.368674707	2.384500745	-9.45832620704873	14.43597623							
2.444113264	16.14512353	6.364544676	2.444113264	-9.46529366054995	14.43630479							
2.503725782	16.15741095	6.35642084	2.503725782	-9.47226111405117	14.43645781							
2.563338301	16.16335043	6.351334126	2.563338301	-9.47922856755239	14.43614823							
2.62295082	16.17566733	6.351000053	2.62295082	-9.4861960210536	14.43639756							
2.682563338	16.18855792	6.342869247	2.682563338	-9.49316347455482	14.43587824							
2.742175857	16.23166976	6.324159681	2.742175857	-9.50013092805604	14.43598801							
2.801788376	16.2650979	6.313419562	2.801788376	-9.50709838155726	14.43570979							
2.861400894	16.2628906	6.311965663	2.861400894	-9.51406583505848	14.43581009							
2.921013413	16.28437693	6.309737173	2.921013413	-9.5210332885597	14.43579998							
2.980625931	16.3025389	6.307172858	2.980625931	-9.52800074206091	14.43595365							
3.04023845	16.2979474	6.307358648	3.04023845	-9.53496819556213	14.43613981							
3.099850969	16.29681111	6.308810135	3.099850969	-9.54193564906335	14.43546516							
3.159463487	16.30067338	6.309328026	3.159463487	-9.54890310256457	14.43525109							
3.219076006	16.32126223	6.306591446	3.219076006	-9.55587055606579	14.43536039							
3.278688525	16.3392204	6.303202539	3.278688525	-9.56283800956701	14.43554898							
3.338301043	16.34894495	6.29824119	3.338301043	-9.56980546306822	14.43584311							
3.397913562	16.40307678	6.291078033	3.397913562	-9.57677291656944	14.43552514							
3.45752608	16.42935736	6.286757918	3.45752608	-9.58374037007066	14.43579189							
3.517138599	16.44796269	6.276030424	3.517138599	-9.59070782357188	14.43548242							
3.576751118	16.44603803	6.284577591	3.576751118	-9.5976752770731	14.43557781							
3.636363636	16.43329201	6.287031285	3.636363636	-9.60464273057432	14.43600551							
3.695976155	16.41479693	6.295412946	3.695976155	-9.61161018407553	14.43621158							
3.755588674	16.4066613	6.294355513	3.755588674	-9.61857763757675	14.43629909							
3.815201192	16.40926051	6.293512149	3.815201192	-9.62554509107797	14.43657523							
3.874813711	16.41517478	6.290329562	3.874813711	-9.63251254457919	14.43622129							
3.93442623	16.4168429	6.288788218	3.93442623	-9.63947999808041	14.43657742							
3.994038748	16.42689962	6.282144468	3.994038748	-9.64644745158163	14.43621022							
4.053651267	16.43137716	6.282878619	4.053651267	-9.65341490508284	14.43622309							
4.113263785	16.42664929	6.281039307	4.113263785	-9.66038235858406	14.43631683							
4.172876304	16.42383899	6.280085764	4.172876304	-9.66734981208528	14.43635039							
4.232488823	16.42677622	6.287766962	4.232488823	-9.6743172655865	14.43650835							
4.292101341	16.42681844	6.291756972	4.292101341	-9.68128471908772	14.43663326							
4.35171386	16.4268627	6.293619603	4.35171386	-9.68825217258894	14.43678684							
4.411326379	16.42952932	6.295965688	4.411326379	-9.69521962609015	14.43653104							
4.470938897	16.42760802	6.295281855	4.470938897	-9.70218707959137	14.43680126							
4.530551416	16.43278547	6.298449374	4.530551416	-9.70915453309259	14.43693119							
4.590163934	16.43225961	6.299459084	4.590163934	-9.71612198659381	14.43672965							
4.649776453	16.41971365	6.30186486	4.649776453	-9.72308944009503	14.43682989							
4.709388972	16.41589114	6.302435456	4.709388972	-9.73005689359625	14.43727493							
4.76900149	16.40585327	6.30271682	4.76900149	-9.73702434709746	14.43722888							
4.828614009	16.41037967	6.30179122	4.828614009	-9.74399180059868	14.4370576							
4.888226528	16.41535436	6.301926309	4.888226528	-9.7509592540999	14.43741855							
4.947839046	16.41605256	6.297565376	4.947839046	-9.75792670760112	14.43740082							
5.007451565	16.40889734	6.298304131	5.007451565	-9.76489416110234	14.43717448							
5.067064083	16.40375036	6.301150431	5.067064083	-9.77186161460356	14.43729677							
5.126676602	16.40304743	6.303974727	5.126676602	-9.77882906810477	14.43746124							
5.186289121	16.39282573	6.306044554	5.186289121	-9.78579652160599	14.43760059							
5.245901639	16.34768129	6.310990575	5.245901639	-9.79276397510721	14.43767546							
5.305514158	16.30439979	6.321641569	5.305514158	-9.79973142860843	14.43752546							
5.365126677	16.25416246	6.360028308	5.365126677	-9.80669888210965	14.43733829							
5.424739195	16.25615552	6.370178737	5.424739195	-9.81366633561086	14.43763124							
5.484351714	16.24701833	6.376135968	5.484351714	-9.82063378911208	14.43747853							
5.543964232	16.25624473	6.372581983	5.543964232	-9.8276012426133	14.43754039							
5.603576751	16.235111	6.379878725	5.603576751	-9.83456869611452	14.43748934							
5.66318927	16.24053731	6.379257818	5.66318927	-9.84153614961574	14.43731965							
5.722801788	16.2434756	6.379375243	5.722801788	-9.84850360311696	14.4371394							
5.782414307	16.23166155	6.379891694	5.782414307	-9.85547105661817	14.43723061							
5.842026826	16.14633128	6.386557358	5.842026826	-9.86243851011939	14.43729811							
5.901639344	16.12914799	6.388603762	5.901639344	-9.86940596362061	14.43727942							
5.961251863	16.11300575	6.386945402	5.961251863	-9.87637341712183	14.43721848							
6.020864382	16.11740133	6.384173504	6.020864382	-9.88334087062305	14.4377625							
6.0804769	16.09922092	6.389834902	6.0804769	-9.89030832412427	14.43756427							
6.140089419	16.08956801	6.389661998	6.140089419	-9.89727577762548	14.43748606							
6.199701937	16.09740046	6.390075697	6.199701937	-9.9042432311267	14.43745636							
6.259314456	16.08454013	6.400273382	6.259314456	-9.91121068462792	14.43716241							
6.318926975	16.08756958	6.406072403	6.318926975	-9.91817813812914	14.43765069							
6.378539493	16.02838585	6.423471661	6.378539493	-9.92514559163036	14.43726982							
6.438152012	15.94675531	6.454969137	6.438152012	-9.93211304513158	14.43725187							
6.497764531	15.88096622	6.465916008	6.497764531	-9.93908049863279	14.43586828							
6.557377049	15.82954855	6.47624862	6.557377049	-9.94604795213401	14.43745513							
6.616989568	15.75752746	6.486789776	6.616989568	-9.95301540563523	14.43727312							
6.676602086	15.70101967	6.498627319	6.676602086	-9.95998285913645	14.43600916							
6.736214605	15.66853099	6.513504972	6.736214605	-9.96695031263767	14.43316902							
6.795827124	15.64056807	6.519066186	6.795827124	-9.97391776613889	14.43678911							
6.855439642	15.59119236	6.51786832	6.855439642	-9.9808852196401	14.43662214							
6.915052161	15.53702036	6.515487455	6.915052161	-9.98785267314132	14.43686924							
6.97466468	15.51239783	6.518521372	6.97466468	-9.99482012664254	14.43539679							
7.034277198	15.49856222	6.523193852	7.034277198	-10.0017875801438	14.43780394							
7.093889717	15.49380575	6.528141252	7.093889717	-10.008755033645	14.43490097							
7.153502235	15.48147844	6.534043147	7.153502235	-10.0157224871462	14.43734259							
7.213114754	15.40324211	6.536996092	7.213114754	-10.0226899406474	14.43687621							
7.272727273	15.36265746	6.533207073	7.272727273	-10.0296573941486	14.43619275							
7.332339791	15.27819885	6.534106562	7.332339791	-10.0366248476499	14.43605306							
7.39195231	15.21613777	6.535950021	7.39195231	-10.0435923011511	14.43329356							
7.451564829	15.13844404	6.534307491	7.451564829	-10.0505597546523	14.43155181							
7.511177347	15.09127698	6.538349943	7.511177347	-10.0575272081535	14.43338429							
7.570789866	15.09604291	6.537688255	7.570789866	-10.0644946616547	14.43252548							
7.630402385	15.07854983	6.537620104	7.630402385	-10.0714621151559	14.43319291							
7.690014903	15.06206801	6.534155029	7.690014903	-10.0784295686572	14.43318292							
7.749627422	15.04728159	6.532297405	7.749627422	-10.0853970221584	14.43276195							
7.80923994	15.03259884	6.530460454	7.80923994	-10.0923644756596	14.43212173							
7.868852459	15.02005451	6.529194803	7.868852459	-10.0993319291608	14.43221705							
7.928464978	14.99802272	6.528095609	7.928464978	-10.106299382662	14.43201074							
7.988077496	14.98038725	6.527073592	7.988077496	-10.1132668361633	14.4310947							
8.047690015	14.97344419	6.526305699	8.047690015	-10.1202342896645	14.43079473							
8.107302534	14.97572121	6.526987349	8.107302534	-10.1272017431657	14.43163416							
8.166915052	14.96881748	6.528012153	8.166915052	-10.1341691966669	14.43243888							
8.226527571	14.95087386	6.527895014	8.226527571	-10.1411366501681	14.43344973							
8.286140089	14.93233994	6.526771512	8.286140089	-10.1481041036693	14.4339394							
8.345752608	14.91751148	6.52592249	8.345752608	-10.1550715571706	14.43483987							
8.405365127	14.90865624	6.52480246	8.405365127	-10.1620390106718	14.43956969							
8.464977645	14.8990562	6.523083869	8.464977645	-10.169006464173	14.43458626							
8.524590164	14.91306368	6.521507811	8.524590164	-10.1759739176742	14.43505668							
8.584202683	14.93424123	6.519546236	8.584202683	-10.1829413711754	14.43497006							
8.643815201	14.95039521	6.517206692	8.643815201	-10.1899088246767	14.4344216							
8.70342772	14.9526761	6.514617759	8.70342772	-10.1968762781779	14.43505046							
8.763040238	14.94163757	6.508103353	8.763040238	-10.2038437316791	14.43471602							
8.822652757	14.95916065	6.499849128	8.822652757	-10.2108111851803	14.43533392							
8.882265276	14.99378578	6.486604851	8.882265276	-10.2177786386815	14.43538535							
8.941877794	15.01073908	6.467353696	8.941877794	-10.2247460921827	14.43585401							
9.001490313	15.02871153	6.46107782	9.001490313	-10.231713545684	14.43551463							
9.061102832	15.04391596	6.457097991	9.061102832	-10.2386809991852	14.4358451							
9.12071535	15.06985802	6.454349649	9.12071535	-10.2456484526864	14.43555837							
9.180327869	15.08718367	6.45203179	9.180327869	-10.2526159061876	14.43556448							
9.239940387	15.12741248	6.449254688	9.239940387	-10.2595833596888	14.43523587							
9.299552906	15.16414991	6.446850109	9.299552906	-10.2665508131901	14.43621474							
