GMfasMMM			GMextMMM		
t	x	y	t	x	y
0.0000000000	22.7369691000	0.8226521449	0.0000000000	47.8325478000	10.1999226200
0.0246840442	22.7367183600	0.8225269223	0.0246840442	47.8326360900	10.2001881100
0.0493680885	22.7378854000	0.8224964883	0.0493680885	47.8327744100	10.1996740000
0.0740521327	22.7378323000	0.8227260681	0.0740521327	47.8328394100	10.2001175800
0.0987361769	22.7377592500	0.8227438038	0.0987361769	47.8328098500	10.2002023200
0.1234202212	22.7377879000	0.8229268900	0.1234202212	47.8326205900	10.2001024800
0.1481042654	22.7366588400	0.8231284469	0.1481042654	47.8323582700	10.2001638300
0.1727883096	22.7372658300	0.8228168800	0.1727883096	47.8323180900	10.1998314600
0.1974723539	22.7377310400	0.8227754584	0.1974723539	47.8325321000	10.1999069900
0.2221563981	22.7380172700	0.8230534292	0.2221563981	47.8321811600	10.2004673200
0.2468404423	22.7375099700	0.8232355823	0.2468404423	47.8321516200	10.2002297000
0.2715244866	22.7381645400	0.8231829995	0.2715244866	47.8322204400	10.1999832000
0.2962085308	22.7370593200	0.8233761839	0.2962085308	47.8323364200	10.2001500000
0.3208925750	22.7386159200	0.8231933532	0.3208925750	47.8322000300	10.2000097400
0.3455766193	22.7381089100	0.8235125708	0.3455766193	47.8321132700	10.2003039400
0.3702606635	22.7361218500	0.8233911042	0.3702606635	47.8320110200	10.2007705000
0.3949447077	22.7365881200	0.8235121972	0.3949447077	47.8320386300	10.2003327800
0.4196287520	22.7370848600	0.8231997597	0.4196287520	47.8321704600	10.2004754600
0.4443127962	22.7357320000	0.8232220739	0.4443127962	47.8317884000	10.2006692800
0.4689968404	22.7347936900	0.8235056552	0.4689968404	47.8323146500	10.2002996400
0.4936808847	22.7336376700	0.8233142865	0.4936808847	47.8316059300	10.2003360300
0.5183649289	22.7325445300	0.8232666490	0.5183649289	47.8315645400	10.2005430500
0.5430489731	22.7302163200	0.8235753869	0.5430489731	47.8314757900	10.2013940400
0.5677330174	22.7274403400	0.8238126053	0.5677330174	47.8318448200	10.2012942200
0.5924170616	22.7185416100	0.8238132960	0.5924170616	47.8313254400	10.2013785200
0.6171011058	22.6785950100	0.8298582067	0.6171011058	47.8318868100	10.2014469400
0.6417851501	22.6262103500	0.8352853626	0.6417851501	47.8307149000	10.2013317800
0.6664691943	22.6143358600	0.8396614563	0.6664691943	47.8311498000	10.2015082500
0.6911532385	22.5870080800	0.8385518417	0.6911532385	47.8315582800	10.2013202700
0.7158372828	22.5733997100	0.8376436973	0.7158372828	47.8316270500	10.2009634400
0.7405213270	22.4543738200	0.8456782817	0.7405213270	47.8316413500	10.2006948100
