GMfas			GMext		
t	x	y	t	x	y
1.5907780980	11.0570341600	0.5508888985	1.5907780980	45.4067704500	11.6653671900
1.6138328530	10.9688154800	0.5545026206	1.6138328530	45.4080094500	11.6656389600
1.6368876080	10.9517151500	0.5602594156	1.6368876080	45.4079839100	11.6648329100
1.6599423630	10.8912587800	0.5698150746	1.6599423630	45.4085408800	11.6648123300
1.6829971180	10.7705767700	0.6051809222	1.6829971180	45.4076233300	11.6654538200
1.7060518730	10.6645290600	0.6412447990	1.7060518730	45.4082712500	11.6662434400
1.7291066280	10.5658899500	0.6695763678	1.7291066280	45.4080126400	11.6667044000
1.7521613830	10.4392447200	0.6959816344	1.7521613830	45.4096559100	11.6667639600
1.7752161380	10.3439637700	0.7010983599	1.7752161380	45.4105745600	11.6682214200
1.7982708930	10.1925868100	0.7043819806	1.7982708930	45.4097753900	11.6679092400
1.8213256480	10.0234443400	0.7319634100	1.8213256480	45.4101293400	11.6686251400
1.8443804030	10.0034382700	0.7330884302	1.8443804030	45.4109087500	11.6692964300
1.8674351590	9.8923279080	0.7529226856	1.8674351590	45.4112361500	11.6706200600
1.8904899140	9.7976473440	0.7903686383	1.8904899140	45.4112050400	11.6704210600
1.9135446690	9.7497229270	0.8205574616	1.9135446690	45.4104220000	11.6711640000
1.9365994240	9.7100859870	0.8288827553	1.9365994240	45.4110731300	11.6699199900
1.9596541790	9.4828745230	0.8810740941	1.9596541790	45.4110873400	11.6713768100
1.9827089340	9.4332183170	0.8908175401	1.9827089340	45.4111803600	11.6728201700
2.0057636890	9.2979821590	0.8943599909	2.0057636890	45.4103862300	11.6713507900
2.0288184440	9.1611795740	0.8943888022	2.0288184440	45.4110076200	11.6709227600
2.0518731990	9.0692481390	0.8870898992	2.0518731990	45.4108336700	11.6706166800
2.0749279540	9.0046730530	0.8893504091	2.0749279540	45.4104274200	11.6709087300
2.0979827090	8.8536687550	0.9131517162	2.0979827090	45.4106090700	11.6710911200
2.1210374640	8.6357890280	0.9336709777	2.1210374640	45.4100284700	11.6703501700
2.1440922190	8.5565593230	0.9586066026	2.1440922190	45.4098961900	11.6704012200
