cm_A			CALext		
t	x	y	t	x	y
0.0000000000	14.0925264200	9.3227482500	0.0000000000	-2.1247193690	14.1792496600
0.0186553242	14.0941301100	9.3230965170	0.0186553242	-2.1249709000	14.1792267500
0.0373106485	14.0929565400	9.3233279270	0.0373106485	-2.1253409570	14.1796434800
0.0559659727	14.0903215600	9.3236300750	0.0559659727	-2.1255254430	14.1800949800
0.0746212969	14.0963072700	9.3235041360	0.0746212969	-2.1247986770	14.1797690900
0.0932766212	14.0974789100	9.3205582380	0.0932766212	-2.1248380240	14.1796704400
0.1119319454	14.0980606700	9.3210828350	0.1119319454	-2.1246711570	14.1793691100
0.1305872696	14.0996023600	9.3209579980	0.1305872696	-2.1238611030	14.1796380100
0.1492425938	14.0969385600	9.3204622550	0.1492425938	-2.1228884140	14.1792625100
0.1678979181	14.0978732600	9.3209376710	0.1678979181	-2.1231763890	14.1794802300
0.1865532423	14.1001945500	9.3211399870	0.1865532423	-2.1233357580	14.1792218400
0.2052085665	14.1007783200	9.3204609140	0.2052085665	-2.1226967350	14.1790081600
0.2238638908	14.0976896100	9.3200736300	0.2238638908	-2.1229089470	14.1795457000
0.2425192150	14.0972136100	9.3204316790	0.2425192150	-2.1239676520	14.1796052900
0.2611745392	14.1011644500	9.3208289540	0.2611745392	-2.1232076290	14.1791611200
0.2798298634	14.1169885400	9.3201019140	0.2798298634	-2.1210190680	14.1785718400
0.2984851877	14.1305209600	9.3212632570	0.2984851877	-2.1211406750	14.1781124600
0.3171405119	14.1312836400	9.3203536560	0.3171405119	-2.1213492550	14.1784991400
0.3357958361	14.1293159400	9.3212582810	0.3357958361	-2.1214006730	14.1786411100
0.3544511604	14.1368723900	9.3221580960	0.3544511604	-2.1205159990	14.1780930600
0.3731064846	14.1587066200	9.3217673390	0.3731064846	-2.1180260400	14.1775520200
0.3917618088	14.1642105400	9.3211015370	0.3917618088	-2.1176496840	14.1778439100
0.4104171330	14.1714089300	9.3214282180	0.4104171330	-2.1190813370	14.1784263700
0.4290724573	14.1574517700	9.3216678300	0.4290724573	-2.1198069860	14.1781829000
0.4477277815	14.1725902100	9.3216349650	0.4477277815	-2.1177122990	14.1776363500
0.4663831057	14.2047884100	9.3227014960	0.4663831057	-2.1154874480	14.1776388400
0.4850384300	14.2265257000	9.3215614900	0.4850384300	-2.1129756760	14.1775771100
0.5036937542	14.2290029400	9.3215978190	0.5036937542	-2.1144202140	14.1774604800
0.5223490784	14.2247745900	9.3210995450	0.5223490784	-2.1134260030	14.1777628000
0.5410044027	14.2355098200	9.3202575680	0.5410044027	-2.1087174000	14.1769784700
0.5596597269	14.2490559200	9.3194959310	0.5596597269	-2.1045387740	14.1772870100
0.5783150511	14.2468756600	9.3196674290	0.5783150511	-2.1037447540	14.1773632600
0.5969703753	14.2423248600	9.3209639880	0.5969703753	-2.1016863660	14.1779159800
0.6156256996	14.2410403200	9.3211931320	0.6156256996	-2.1018123810	14.1779805800
0.6342810238	14.2422635000	9.3206793690	0.6342810238	-2.0998275720	14.1784898300
0.6529363480	14.2584887300	9.3201798670	0.6529363480	-2.0930571450	14.1782792700
0.6715916723	14.2648048800	9.3196428740	0.6715916723	-2.0901124560	14.1784880800
0.6902469965	14.2642510800	9.3189075220	0.6902469965	-2.0901402680	14.1784350900
0.7089023207	14.2629384500	9.3190480760	0.7089023207	-2.0820985060	14.1781983000
0.7275576450	14.2639100400	9.3197060980	0.7275576450	-2.0790760690	14.1785669700
0.7462129692	14.2709507700	9.3208835350	0.7462129692	-2.0601940250	14.1798568500
0.7648682934	14.2768616800	9.3223227710	0.7648682934	-2.0488784530	14.1797398000
0.7835236176	14.2913355200	9.3213107510	0.7835236176	-2.0371926960	14.1802343400
