cm_A			CALext		
0.8021789419	14.3009613300	9.3205953070	0.8021789419	-2.0319355500	14.1804080500
0.8208342661	14.3174615100	9.3214270760	0.8208342661	-2.0177152200	14.1815868900
0.8394895903	14.3310508400	9.3217194580	0.8394895903	-2.0098306970	14.1824204600
0.8581449146	14.3553863200	9.3229312370	0.8581449146	-1.9961599040	14.1841807800
0.8768002388	14.3837306300	9.3211318380	0.8768002388	-1.9835100200	14.1840989900
0.8954555630	14.4017586600	9.3195878540	0.8954555630	-1.9734472490	14.1837914300
0.9141108872	14.3976911400	9.3190926670	0.9141108872	-1.9642449230	14.1848745500
0.9327662115	14.3738464600	9.3190856990	0.9327662115	-1.9689094150	14.1861997000
0.9514215357	14.2380742300	9.3164402690	0.9514215357	-1.9802900700	14.1976890800
0.9700768599	14.0821250800	9.3147915170	0.9700768599	-1.9704837280	14.2017715000
0.9887321842	13.9066781100	9.3005700160	0.9887321842	-1.9754772540	14.1941657900
1.0073875080	13.8299431000	9.2933512550	1.0073875080	-1.9745733400	14.1942722100
1.0260428330	13.6658950100	9.2893264630	1.0260428330	-1.9827561060	14.1970564600
1.0446981570	13.5221367100	9.2781820700	1.0446981570	-2.0106823180	14.2091568600
1.0633534810	13.3985985800	9.2798762470	1.0633534810	-2.0265284850	14.2077468700
1.0820088050	13.3480135600	9.2847990370	1.0820088050	-2.0426379270	14.2034731100
1.1006641300	13.2260268200	9.2657716200	1.1006641300	-2.0407656800	14.2062046600
1.1193194540	13.1775090500	9.2549906530	1.1193194540	-2.0293308290	14.2054053700
1.1379747780	13.0972998700	9.2485888700	1.1379747780	-2.0235770320	14.2117092600
1.1566301020	13.0150732900	9.2400023640	1.1566301020	-2.0126726430	14.2146258500
1.1752854260	12.9817073200	9.2415246920	1.1752854260	-2.0137249850	14.2173373300
1.1939407510	12.8600601600	9.2177590120	1.1939407510	-2.0204146090	14.2270195100
1.2125960750	12.8145364600	9.2061574780	1.2125960750	-2.0338617470	14.2297726600
1.2312513990	12.7420583000	9.2042292190	1.2312513990	-2.0294843870	14.2303053700
1.2499067230	12.7415501200	9.2025139700	1.2499067230	-2.0323836900	14.2314807200
1.2685620480	12.7061319400	9.1782999630	1.2685620480	-2.0065575790	14.2280829900
1.2872173720	12.7134040700	9.1630897420	1.2872173720	-1.9420331400	14.2286490500
1.3058726960	12.6714923500	9.1580556630	1.3058726960	-1.9124144170	14.2315693200
1.3245280200	12.6847229800	9.1593353130	1.3245280200	-1.9162251960	14.2255451500
1.3431833450	12.6611526900	9.1401274840	1.3431833450	-1.9166561120	14.2237890200
1.3618386690	12.7031181000	9.1282249070	1.3618386690	-1.9039668560	14.2207044900
1.3804939930	12.7175887500	9.1119481810	1.3804939930	-1.9094687610	14.2017979200
1.3991493170	12.6887852500	9.0944196180	1.3991493170	-1.8809449940	14.1803370300
1.4178046410	12.7267636300	9.0748029360	1.4178046410	-1.8726271810	14.1670269600
1.4364599660	12.6721528500	9.0667245030	1.4364599660	-1.8753309950	14.1673343400
1.4551152900	12.6523302500	9.0317428070	1.4551152900	-1.8754528360	14.1582864800
1.4737706140	12.6947333300	9.0213909890	1.4737706140	-1.8827479090	14.1451765800
1.4924259380	12.7384885400	9.0172325160	1.4924259380	-1.8871798560	14.1381110600
1.5110812630	12.7843465400	9.0183137850	1.5110812630	-1.8858661100	14.1340103300
1.5297365870	12.8226018200	9.0132505570	1.5297365870	-1.8853979060	14.1295788000
1.5483919110	12.7883115800	8.9913149040	1.5483919110	-1.8787357790	14.1189315500
1.5670472350	12.7584165500	8.9838403030	1.5670472350	-1.8776040460	14.1064557700
1.5857025600	12.7877685100	8.9704418540	1.5857025600	-1.8780198750	14.0942050200
1.6043578840	12.8140201100	8.9707118100	1.6043578840	-1.8764425950	14.0923828400
1.6230132080	12.8042441600	8.9450900540	1.6230132080	-1.8646613490	14.0922926600
1.6416685320	12.7985525200	8.9347626190	1.6416685320	-1.8451858840	14.0917443300
1.6603238560	12.6560958700	8.8873082210	1.6603238560	-1.8380678270	14.0587813800
1.6789791810	12.6815966400	8.8762629040	1.6789791810	-1.8198174750	14.0513000100
1.6976345050	12.7147913300	8.8692452380	1.6976345050	-1.7719535780	14.0461465900
1.7162898290	12.7273634200	8.8381365390	1.7162898290	-1.7348490450	14.0152404100
1.7349451530	12.7589901300	8.8039332870	1.7349451530	-1.7147529490	13.9780046300
1.7536004780	12.7934658100	8.7996106640	1.7536004780	-1.7122044900	13.9615896600
1.7722558020	12.7805037000	8.7743591850	1.7722558020	-1.7161733180	13.9531670200
1.7909111260	12.7552749000	8.7658312500	1.7909111260	-1.7166957100	13.9442369400
1.8095664500	12.7783897300	8.7536299940	1.8095664500	-1.7535008990	13.9429238600
1.8282217740	12.8222020800	8.7451218430	1.8282217740	-1.7659750320	13.9218073500
1.8468770990	12.8071092700	8.7281338010	1.8468770990	-1.7630881140	13.8948793100
1.8655324230	12.8185800700	8.7160023520	1.8655324230	-1.7307992180	13.8721981200
1.8841877470	12.8348217000	8.7139722890	1.8841877470	-1.7032902680	13.8769801100
1.9028430710	12.8995310800	8.7180392320	1.9028430710	-1.6494274430	13.8861937300
1.9214983960	12.9700009600	8.7191106510	1.9214983960	-1.6231262280	13.8882660300
1.9401537200	12.9928326200	8.7238171010	1.9401537200	-1.6093843620	13.8860075300
1.9588090440	13.0174953600	8.7267788800	1.9588090440	-1.5925768840	13.8899196800
1.9774643680	13.0535054400	8.7275367800	1.9774643680	-1.5752427550	13.8916152100
1.9961196930	13.1318002400	8.7262792940	1.9961196930	-1.5694041960	13.8907232400
2.0147750170	13.1944132200	8.7309507130	2.0147750170	-1.5670152440	13.8870031800
2.0334303410	13.2034960900	8.7282043420	2.0334303410	-1.5579450400	13.8854404000
2.0520856650	13.1862620000	8.7241668740	2.0520856650	-1.5101583510	13.8856314900
2.0707409890	13.1529119400	8.7209501620	2.0707409890	-1.4971671160	13.8844074300
2.0893963140	13.1452050200	8.7212941270	2.0893963140	-1.4956475560	13.8861813000
2.1080516380	13.1768292400	8.7171206930	2.1080516380	-1.4666441370	13.8890790200
2.1267069620	13.1942272700	8.7136579450	2.1267069620	-1.4362206040	13.8858783300
2.1453622860	13.1711599700	8.6843749200	2.1453622860	-1.3821886480	13.8811541300
2.1640176110	13.0329645800	8.6543387340	2.1640176110	-1.3631147480	13.8730835400
2.1826729350	12.9646330700	8.6451987570	2.1826729350	-1.3742864980	13.8553151800
2.2013282590	12.9646060300	8.6382911070	2.2013282590	-1.3718676900	13.8391507000
2.2199835830	12.9841731900	8.6143856720	2.2199835830	-1.3041407860	13.8499898400
2.2386389080	13.0003691800	8.6033069560	2.2386389080	-1.2418180100	13.8483542800
2.2572942320	12.9746515700	8.5918702390	2.2572942320	-1.2338698730	13.8137554700
2.2759495560	12.9506682800	8.5647219380	2.2759495560	-1.2561246400	13.7421001800
2.2946048800	12.9690762400	8.5631938390	2.2946048800	-1.2227194260	13.7374289900
2.3132602040	13.0051768000	8.5613349350	2.3132602040	-1.1946056560	13.7344682500
2.3319155290	12.9614548400	8.5462345550	2.3319155290	-1.1578260850	13.7312670300
2.3505708530	12.9730604100	8.5356568340	2.3505708530	-1.1056374420	13.7342671700
2.3692261770	12.9825910000	8.5304612070	2.3692261770	-1.0882536200	13.7295002200
2.3878815010	12.9760473300	8.5325050810	2.3878815010	-1.0826591000	13.7325804300
2.4065368260	12.9739953100	8.5330474150	2.4065368260	-1.0681711810	13.7371568700
2.4251921500	12.9736131400	8.5324033190	2.4251921500	-1.0621235050	13.7352625900
2.4438474740	12.9636722100	8.5286220230	2.4438474740	-1.0645502170	13.7305373600
2.4625027980	12.9519619100	8.5218410650	2.4625027980	-1.0559515880	13.7211358700
2.4811581230	12.9051143100	8.5102361710	2.4811581230	-1.0497785010	13.7178222200
2.4998134470	12.8876882000	8.4970416360	2.4998134470	-1.0473258250	13.7103778500
2.5184687710	12.8876644600	8.4906368070	2.5184687710	-1.0422745070	13.7123268300
2.5371240950	12.9243965000	8.4848058810	2.5371240950	-1.0068999860	13.7027942300
2.5557794190	12.9336418800	8.4801546430	2.5557794190	-1.0127328580	13.6888617300
2.5744347440	12.8256675200	8.4394727930	2.5744347440	-0.9844262594	13.6553417200
2.5930900680	12.8403118500	8.4265969680	2.5930900680	-0.9714290733	13.6517808200
2.6117453920	12.8711809600	8.4229682300	2.6117453920	-0.9707783063	13.6472013500
2.6304007160	12.8964012800	8.4194229990	2.6304007160	-0.9539553812	13.6513059200
2.6490560410	12.9041396600	8.4178271660	2.6490560410	-0.9388125449	13.6510850200
2.6677113650	12.9237334200	8.4184460640	2.6677113650	-0.9203012033	13.6498463100
2.6863666890	12.9276382300	8.4179901270	2.6863666890	-0.9124009769	13.6517201300
2.7050220130	12.9159659500	8.4172359920	2.7050220130	-0.9092113751	13.6517574900
2.7236773380	12.9150210100	8.4173201520	2.7236773380	-0.9107379831	13.6526986800
2.7423326620	12.8965593900	8.4165162450	2.7423326620	-0.9174008114	13.6567889800
2.7609879860	12.8957932700	8.4154975160	2.7609879860	-0.9125983632	13.6536205400
2.7796433100	12.9200051000	8.4146011600	2.7796433100	-0.9086277119	13.6494146100
2.7982986340	12.9221857800	8.4088642470	2.7982986340	-0.9197483655	13.6465462300
2.8169539590	12.8919461100	8.4079510550	2.8169539590	-0.9280689262	13.6466069600
2.8356092830	12.8798721500	8.4139969600	2.8356092830	-0.9283399072	13.6491326200
2.8542646070	12.8578215700	8.4176289020	2.8542646070	-0.9317073517	13.6512487800
2.8729199310	12.8300955100	8.4184584990	2.8729199310	-0.9391745432	13.6491699400
2.8915752560	12.8030746700	8.4082538490	2.8915752560	-0.9479049737	13.6444724500
2.9102305800	12.8022506700	8.4055958880	2.9102305800	-0.9428089350	13.6421656000
2.9288859040	12.7856197500	8.3928829170	2.9288859040	-0.9337434423	13.6349755100
2.9475412280	12.7464490600	8.3789792990	2.9475412280	-0.9274436615	13.6196110500
2.9661965520	12.7020309800	8.3732300430	2.9661965520	-0.9480571539	13.6142830200
2.9848518770	12.6991784400	8.3680577680	2.9848518770	-0.9345995408	13.6054056000
3.0035072010	12.7083471900	8.3684753590	3.0035072010	-0.9345552895	13.6020318000
3.0221625250	12.6986197300	8.3684538730	3.0221625250	-0.9471902038	13.5988775000
3.0408178490	12.5692162500	8.3392091990	3.0408178490	-0.9506307557	13.5937345200
3.0594731740	12.5690683700	8.3251275560	3.0594731740	-0.9429794782	13.5875520600
3.0781284980	12.5535021000	8.3238253340	3.0781284980	-0.9426342215	13.5943351800
3.0967838220	12.5327878200	8.3236412580	3.0967838220	-0.9451346039	13.5977543500
3.1154391460	12.4753909500	8.3238823830	3.1154391460	-0.9586621843	13.6035063100
3.1340944710	12.4982531600	8.3223300360	3.1340944710	-0.9416960613	13.6000239900
3.1527497950	12.5166691400	8.3151433280	3.1527497950	-0.9380870954	13.5926748200
3.1714051190	12.5118295000	8.3138765980	3.1714051190	-0.9404192162	13.5908682800
3.1900604430	12.5156582900	8.3146006890	3.1900604430	-0.9357223892	13.5950230800
3.2087157670	12.5379882100	8.3193538020	3.2087157670	-0.9259556415	13.6161993100
3.2273710920	12.6036282700	8.3213595830	3.2273710920	-0.9010511599	13.6133010500
3.2460264160	12.6283203700	8.3170409600	3.2460264160	-0.8978869152	13.5981562300
3.2646817400	12.6051741700	8.3151650820	3.2646817400	-0.9034528069	13.6062713800
3.2833370640	12.6012866200	8.3175873020	3.2833370640	-0.8941491911	13.6176350500
3.3019923890	12.6223092700	8.3310479350	3.3019923890	-0.8956969289	13.6362686300
3.3206477130	12.6330265200	8.3294617370	3.3206477130	-0.9031249251	13.6399769900
3.3393030370	12.6014229700	8.3270248320	3.3393030370	-0.9136250145	13.6450745300
3.3579583610	12.6185230700	8.3477533200	3.3579583610	-0.9118554309	13.6536916000
3.3766136860	12.6239970200	8.3527352260	3.3766136860	-0.9140581934	13.6558261700
3.3952690100	12.6577743400	8.3556467220	3.3952690100	-0.9049417464	13.6568534400
3.4139243340	12.6811699000	8.3546473990	3.4139243340	-0.8969674932	13.6615847100
3.4325796580	12.6519393800	8.3571340520	3.4325796580	-0.9033055589	13.6675605500
3.4512349820	12.6324701400	8.3590731950	3.4512349820	-0.9092400453	13.6689856100
3.4698903070	12.6156382500	8.3610391020	3.4698903070	-0.9122937721	13.6692950100
3.4885456310	12.6184706300	8.3596101250	3.4885456310	-0.9126490830	13.6695127700
3.5072009550	12.6091944400	8.3603449990	3.5072009550	-0.9151683067	13.6707855900
3.5258562790	12.5988837200	8.3700113450	3.5258562790	-0.9236570676	13.6759652900
3.5445116040	12.5910350200	8.3681115410	3.5445116040	-0.9263276248	13.6765600600
3.5631669280	12.5689807100	8.3622619450	3.5631669280	-0.9301785282	13.6750659600
3.5818222520	12.5490918200	8.3602864480	3.5818222520	-0.9335903925	13.6755205700
3.6004775760	12.5332234200	8.3604212400	3.6004775760	-0.9361090396	13.6749272100
3.6191329010	12.5325481600	8.3611719020	3.6191329010	-0.9378834571	13.6747294700
3.6377882250	12.5465539000	8.3568874500	3.6377882250	-0.9326301926	13.6697259100
3.6564435490	12.5562952200	8.3558931900	3.6564435490	-0.9317292068	13.6697462900
3.6750988730	12.5500455400	8.3626337070	3.6750988730	-0.9341776789	13.6749669500
3.6937541970	12.5493827300	8.3617002640	3.6937541970	-0.9345968262	13.6732085000
3.7124095220	12.5474993300	8.3573209370	3.7124095220	-0.9358948473	13.6670335700
3.7310648460	12.5385889700	8.3577935060	3.7310648460	-0.9424314477	13.6665784800
3.7497201700	12.5282855800	8.3611776110	3.7497201700	-0.9486493042	13.6715159400
3.7683754940	12.5396281100	8.3594683920	3.7683754940	-0.9437451956	13.6703345000
3.7870308190	12.5411484600	8.3585287990	3.7870308190	-0.9386348304	13.6712138400
3.8056861430	12.5385803700	8.3613555340	3.8056861430	-0.9488606571	13.6788822000
3.8243414670	12.5167422900	8.3614097730	3.8243414670	-0.9595707660	13.6779209300
3.8429967910	12.5117887500	8.3584905330	3.8429967910	-0.9550938902	13.6732734300
3.8616521160	12.5288130200	8.3570179710	3.8616521160	-0.9465236086	13.6693929300
3.8803074400	12.5491302100	8.3511395940	3.8803074400	-0.9354803982	13.6654435900
3.8989627640	12.5526344600	8.3494929180	3.8989627640	-0.9321219812	13.6637189600
3.9176180880	12.5515955800	8.3500076970	3.9176180880	-0.9316446785	13.6635713500
3.9362734120	12.5661488900	8.3497606060	3.9362734120	-0.9232740654	13.6640690000
3.9549287370	12.5702293500	8.3496227150	3.9549287370	-0.9176952677	13.6655214900
3.9735840610	12.5779429800	8.3474850240	3.9735840610	-0.9178673006	13.6640616100
3.9922393850	12.5728454700	8.3454710250	3.9922393850	-0.9262297280	13.6613233000
4.0108947090	12.5723157300	8.3449999840	4.0108947090	-0.9248341473	13.6605949100
4.0295500340	12.5750744100	8.3449131550	4.0295500340	-0.9218757751	13.6601940400
4.0482053580	12.5834293500	8.3461618140	4.0482053580	-0.9143922039	13.6594503300
4.0668606820	12.5825045000	8.3434577310	4.0668606820	-0.9205495691	13.6571410900
4.0855160060	12.5619947700	8.3422011220	4.0855160060	-0.9259826799	13.6562179000
4.1041713300	12.5415670900	8.3474612670	4.1041713300	-0.9340845109	13.6599957700
4.1228266550	12.5437931600	8.3486658920	4.1228266550	-0.9330470277	13.6616802900
4.1414819790	12.5455408200	8.3489459360	4.1414819790	-0.9367236414	13.6639567400
4.1601373030	12.4942487200	8.3465092900	4.1601373030	-0.9493244423	13.6628941200
4.1787926270	12.4455964800	8.3453597720	4.1787926270	-0.9531280227	13.6596858500
4.1974479520	12.4557694200	8.3444788350	4.1974479520	-0.9477856176	13.6577282800
4.2161032760	12.4891821300	8.3451951370	4.2161032760	-0.9395281140	13.6573951100
4.2347586000	12.4726813400	8.3466001150	4.2347586000	-0.9437961619	13.6600665400
4.2534139240	12.4399191700	8.3463271510	4.2534139240	-0.9516180312	13.6597472800
4.2720692490	12.4402796400	8.3467727460	4.2720692490	-0.9530133082	13.6591691100
4.2907245730	12.4495280300	8.3469543540	4.2907245730	-0.9442167171	13.6590816100
4.3093798970	12.4586715900	8.3481793030	4.3093798970	-0.9397187006	13.6621816300
4.3280352210	12.4641595800	8.3472367700	4.3280352210	-0.9392542533	13.6613895400
4.3466905450	12.4722476200	8.3466861910	4.3466905450	-0.9374424372	13.6588171300
4.3653458700	12.4537684100	8.3459591690	4.3653458700	-0.9433393081	13.6580036100
4.3840011940	12.4442099500	8.3468972280	4.3840011940	-0.9415150507	13.6576902900
4.4026565180	12.4397097900	8.3476128330	4.4026565180	-0.9421253388	13.6585537100
4.4213118420	12.4458125000	8.3474719620	4.4213118420	-0.9414533828	13.6595421000
4.4399671670	12.4507605500	8.3470638290	4.4399671670	-0.9380079202	13.6594928300
4.4586224910	12.4491794900	8.3475134890	4.4586224910	-0.9380796571	13.6594722100
4.4772778150	12.4430753100	8.3487418820	4.4772778150	-0.9444738496	13.6601601200
4.4959331390	12.4338310600	8.3492794500	4.4959331390	-0.9477336669	13.6593644600
4.5145884640	12.4395917300	8.3490367430	4.5145884640	-0.9431031265	13.6594125100
4.5332437880	12.4480163300	8.3481339070	4.5332437880	-0.9351456304	13.6593233300
4.5518991120	12.4537826000	8.3480214110	4.5518991120	-0.9321889215	13.6606468100
4.5705544360	12.4286015200	8.3511182880	4.5705544360	-0.9437329864	13.6617591500
4.5892097600	12.4118189900	8.3493922930	4.5892097600	-0.9499679940	13.6613788600
4.6078650850	12.4342660600	8.3496492890	4.6078650850	-0.9382208309	13.6599646100
4.6265204090	12.4371865700	8.3499005290	4.6265204090	-0.9361926125	13.6600744500
4.6451757330	12.3857081000	8.3545820700	4.6451757330	-0.9473425502	13.6649408600
4.6638310570	12.3015333000	8.3560440120	4.6638310570	-0.9726764942	13.6704640500
4.6824863820	12.3291912000	8.3653679110	4.6824863820	-0.9579573265	13.6834788300
4.7011417060	12.3795842600	8.3626618340	4.7011417060	-0.9544341833	13.6844220900
4.7197970300	12.3678852600	8.3612638710	4.7197970300	-0.9560564897	13.6835524200
4.7384523540	12.3710129800	8.3759418490	4.7384523540	-0.9436009360	13.7025585500
4.7571076790	12.3812610700	8.3940767030	4.7571076790	-0.9380378657	13.7306802000
4.7757630030	12.4425338000	8.4286373420	4.7757630030	-0.9429624162	13.7556944000
4.7944183270	12.4235976100	8.4544846820	4.7944183270	-0.9479507326	13.7943579700
4.8130736510	12.4077029400	8.4625988840	4.8130736510	-0.9487202130	13.8111359600
4.8317289750	12.4771063700	8.4991568270	4.8317289750	-0.9335949927	13.8626152700
4.8503843000	12.8067856800	8.5752929940	4.8503843000	-0.9142785101	13.9217913600
4.8690396240	12.9709353400	8.6316309410	4.8690396240	-0.9005044917	13.9420947900
4.8876949480	13.1452093800	8.6552160620	4.8876949480	-0.8935826600	13.9406421500
4.9063502720	13.3154964200	8.6819856950	4.9063502720	-0.8842268277	13.9447086300
4.9250055970	13.6317447700	8.7179338990	4.9250055970	-0.7585548726	13.9419527100
4.9436609210	14.1988872700	8.7478071400	4.9436609210	-0.5996755258	14.0178279900
4.9623162450	14.3036844300	8.7924325660	4.9623162450	-0.6186784779	14.0389838900
4.9809715690	14.1822858000	8.8668303630	4.9809715690	-0.7151939836	14.0508508400
4.9996268940	14.1068934900	8.9050136050	4.9996268940	-0.7723236431	14.0741142900
5.0182822180	14.1744326300	8.8777398550	5.0182822180	-0.7690400780	14.0830352800
5.0369375420	14.3515303200	8.8658213660	5.0369375420	-0.7749419211	14.0806597700
5.0555928660	14.5602353900	8.8768721930	5.0555928660	-0.8271244846	14.0696889900
5.0742481900	14.6108235800	8.9482694350	5.0742481900	-0.8940170224	14.0864665700
5.0929035150	14.6617949700	9.0036881560	5.0929035150	-0.8689923063	14.0752595400
5.1115588390	14.6625429600	9.0181673350	5.1115588390	-0.8603577852	14.0731957600
5.1302141630	14.8224432000	9.0522483580	5.1302141630	-0.8614396919	14.0631910200
5.1488694870	14.9478297800	9.0628795550	5.1488694870	-0.8488812240	14.0566929400
5.1675248120	15.0862136200	9.0651592150	5.1675248120	-0.8514185343	14.0495398300
5.1861801360	15.1455020900	9.0652183770	5.1861801360	-0.8402277025	14.0490003300
5.2048354600	15.2438615400	9.0649373320	5.2048354600	-0.8485217540	14.0460847100
5.2234907840	15.2919565600	9.0683110330	5.2234907840	-0.8616182242	14.0427108900
5.2421461080	15.3691046400	9.0725990350	5.2421461080	-0.8695724390	14.0444631400
5.2608014330	15.4906714200	9.0824326720	5.2608014330	-0.8697737754	14.0379267100
5.2794567570	15.5267269000	9.0679928240	5.2794567570	-0.8740846655	14.0393046000
5.2981120810	15.5735868800	9.0589544390	5.2981120810	-0.8623886785	14.0419245900
5.3167674050	15.6501192000	9.0562673130	5.3167674050	-0.8496897172	14.0409258000
5.3354227300	15.6800154600	9.0535623040	5.3354227300	-0.8379940728	14.0374639900
5.3540780540	15.7221375600	9.0504789240	5.3540780540	-0.8198177422	14.0339896400
5.3727333780	15.7614344200	9.0456286970	5.3727333780	-0.7879374868	14.0307160800
5.3913887020	15.7970207800	9.0472527020	5.3913887020	-0.7625498225	14.0311249500
5.4100440270	15.8273662400	9.0497622720	5.4100440270	-0.7357455922	14.0257273200
5.4286993510	15.8345559300	9.0512539580	5.4286993510	-0.7231203802	14.0240204000
5.4473546750	15.8349474700	9.0518625240	5.4473546750	-0.7032905242	14.0249574900
5.4660099990	15.8275022700	9.0527751260	5.4660099990	-0.6878296903	14.0276222600
5.4846653230	15.8333823700	9.0510827430	5.4846653230	-0.6739835303	14.0298790500
5.5033206480	15.8439249000	9.0433549770	5.5033206480	-0.6547165899	14.0259778600
5.5219759720	15.8442320400	9.0407847820	5.5219759720	-0.6392975615	14.0260604500
5.5406312960	15.8391276800	9.0230962180	5.5406312960	-0.6231126655	14.0260060800
5.5592866200	15.8361572100	8.9942661470	5.5592866200	-0.6094374430	14.0256010100
5.5779419450	15.8769776500	8.9719144570	5.5779419450	-0.5813462983	14.0200451300
5.5965972690	15.8990471600	8.9548361380	5.5965972690	-0.5509747632	14.0185200300
5.6152525930	15.9056672000	8.9533765110	5.6152525930	-0.5391243740	14.0184920100
5.6339079170	15.9429193000	8.9496833220	5.6339079170	-0.5209947698	14.0177059800
5.6525632420	15.9835577500	8.9473549800	5.6525632420	-0.4872041645	14.0147765500
5.6712185660	16.0234428400	8.9412122610	5.6712185660	-0.4443332033	14.0161153000
5.6898738900	16.0356751300	8.9431029430	5.6898738900	-0.4326054567	14.0149698200
5.7085292140	16.0601798200	8.9432700420	5.7085292140	-0.3928946014	14.0149050400
5.7271845380	16.0775989400	8.9428455480	5.7271845380	-0.3695488343	14.0149485900
5.7458398630	16.0894592300	8.9373040320	5.7458398630	-0.3618025306	14.0121796900
5.7644951870	16.0943767300	8.9333103280	5.7644951870	-0.3415297276	14.0147476100
5.7831505110	16.1040952700	8.9348031230	5.7831505110	-0.3262335798	14.0169708800
5.8018058350	16.1454198500	8.9370002990	5.8018058350	-0.3079656185	14.0183615300
5.8204611600	16.1778813200	8.9217189950	5.8204611600	-0.2938097392	14.0188441400
5.8391164840	16.1737417200	8.9025716590	5.8391164840	-0.2823456528	14.0164179700
5.8577718080	16.1711863400	8.8974214280	5.8577718080	-0.2739710798	14.0172375300
5.8764271320	16.1814156000	8.8984280310	5.8764271320	-0.2577037661	14.0183477400
5.8950824570	16.2036939300	8.9010138060	5.8950824570	-0.2441770780	14.0178813600
5.9137377810	16.2224150900	8.8977737700	5.9137377810	-0.2320848238	14.0165791100
5.9323931050	16.2345651500	8.8953695200	5.9323931050	-0.2227384035	14.0162637000
5.9510484290	16.2225120700	8.8766326630	5.9510484290	-0.2012650823	14.0126777200
5.9697037530	16.2229745000	8.8498240610	5.9697037530	-0.1744865027	14.0136485300
5.9883590780	16.2597277600	8.8379409690	5.9883590780	-0.1467108441	14.0123560100
6.0070144020	16.3129591400	8.8326215340	6.0070144020	-0.1062751784	14.0115882100
6.0256697260	16.3291330200	8.8275462370	6.0256697260	-0.0837313703	14.0139857400
