GMfasBESTMMM			GMext		
t	x	y	t	x	y
0.0000000000	30.9818501900	1.5569830720	0.0000000000	47.5047901600	8.7257171870
0.0237490204	30.9812573600	1.5574162910	0.0237490204	47.5047371600	8.7257007550
0.0474980407	30.9799919900	1.5579603620	0.0474980407	47.5048963400	8.7256685040
0.0712470611	30.9788650200	1.5582808520	0.0712470611	47.5048455000	8.7259303280
0.0949960814	30.9790770900	1.5583656900	0.0949960814	47.5048535700	8.7261745230
0.1187451018	30.9796053200	1.5580666630	0.1187451018	47.5042319200	8.7265037180
0.1424941221	30.9802965600	1.5575793710	0.1424941221	47.5044627700	8.7262419750
0.1662431425	30.9805366100	1.5576402260	0.1662431425	47.5046570300	8.7261885900
0.1899921628	30.9802334100	1.5573825080	0.1899921628	47.5041635100	8.7264458850
0.2137411832	30.9807523200	1.5573969140	0.2137411832	47.5045278300	8.7260119870
0.2374902035	30.9812107100	1.5569753560	0.2374902035	47.5046097300	8.7260817510
0.2612392239	30.9813095000	1.5570200320	0.2612392239	47.5044039800	8.7261032540
0.2849882442	30.9822542300	1.5568763910	0.2849882442	47.5050420700	8.7259088380
0.3087372646	30.9819296900	1.5568318590	0.3087372646	47.5045370600	8.7254876030
0.3324862849	30.9815674300	1.5568857200	0.3324862849	47.5042537200	8.7258627620
0.3562353053	30.9816590200	1.5567997940	0.3562353053	47.5047246400	8.7257217260
0.3799843256	30.9823866100	1.5566696060	0.3799843256	47.5044567000	8.7258555270
0.4037333460	30.9816303100	1.5568981450	0.4037333460	47.5043906700	8.7260797720
0.4274823664	30.9818988700	1.5568841090	0.4274823664	47.5042921300	8.7261745700
0.4512313867	30.9820725300	1.5567602890	0.4512313867	47.5042900800	8.7260562600
0.4749804071	30.9821698600	1.5565577460	0.4749804071	47.5043325700	8.7261073250
0.4987294274	30.9820309100	1.5566077550	0.4987294274	47.5043495400	8.7260508600
0.5224784478	30.9824087400	1.5565659380	0.5224784478	47.5039321300	8.7260393420
0.5462274681	30.9818942100	1.5565866340	0.5462274681	47.5041326200	8.7260839590
0.5699764885	30.9827827400	1.5565367300	0.5699764885	47.5043133200	8.7255281700
0.5937255088	30.9828883600	1.5563323920	0.5937255088	47.5042255000	8.7259469930
0.6174745292	30.9822002300	1.5566034810	0.6174745292	47.5042520800	8.7255212410
0.6412235495	30.9826594500	1.5563493060	0.6412235495	47.5042347600	8.7257009980
0.6649725699	30.9831742900	1.5563101290	0.6649725699	47.5040210200	8.7254912900
0.6887215902	30.9835806200	1.5563818960	0.6887215902	47.5042907400	8.7256931510
0.7124706106	30.9832930600	1.5567952930	0.7124706106	47.5037687300	8.7263433750
0.7362196309	30.9831090800	1.5567672890	0.7362196309	47.5037357100	8.7258551390
0.7599686513	30.9826884500	1.5568205190	0.7599686513	47.5040094300	8.7259937480
0.7837176716	30.9830344600	1.5567183380	0.7837176716	47.5040547600	8.7262399450
0.8074666920	30.9831174400	1.5566605940	0.8074666920	47.5039119800	8.7260189370
