GMfas3			GMext		
t	x	y	t	x	y
0.00000000000	-4.28334164100	1.26794596200	0.00000000000	11.12172445000	10.34200663000
0.05961251863	-4.26103411300	1.26617603100	0.05961251863	11.12247638000	10.33983787000
0.11922503730	-4.24703666400	1.26633397000	0.11922503730	11.12030556000	10.33939010000
0.17883755590	-4.26986133700	1.28124133800	0.17883755590	11.11368245000	10.34000472000
0.23845007450	-4.25625670600	1.28601802500	0.23845007450	11.10853448000	10.34223401000
0.29806259310	-4.15395945700	1.26925767100	0.29806259310	11.10542993000	10.34248012000
0.35767511180	-4.11145400800	1.26078802800	0.35767511180	11.11028354000	10.34222812000
0.41728763040	-4.01534942100	1.25273167000	0.41728763040	11.11255354000	10.33990624000
0.47690014900	-4.06197264500	1.26456245500	0.47690014900	11.11572812000	10.33947425000
0.53651266770	-3.94729244800	1.24609478300	0.53651266770	11.12088624000	10.33914307000
0.59612518630	-3.84184037800	1.23408498000	0.59612518630	11.11811456000	10.33909895000
0.65573770490	-3.82061937100	1.23110549400	0.65573770490	11.11915418000	10.33903658000
0.71535022350	-3.78342830400	1.22321128600	0.71535022350	11.12075295000	10.33900253000
0.77496274220	-3.74514637400	1.21435268300	0.77496274220	11.11872631000	10.33913266000
0.83457526080	-3.71182310200	1.21020289800	0.83457526080	11.11556850000	10.33934780000
0.89418777940	-3.68595095400	1.21461177500	0.89418777940	11.10805920000	10.34206605000
0.95380029810	-3.64588995500	1.20350826000	0.95380029810	11.10570350000	10.34216602000
1.01341281700	-3.64228964200	1.21065545300	1.01341281700	11.10659103000	10.34203575000
1.07302533500	-3.55305242600	1.19894241400	1.07302533500	11.10392295000	10.34203321000
1.13263785400	-3.50758028500	1.19398662900	1.13263785400	11.10468651000	10.34208695000
1.19225037300	-3.48468773300	1.20697454600	1.19225037300	11.10701913000	10.34200813000
1.25186289100	-3.45799406600	1.22461024800	1.25186289100	11.10388026000	10.34230505000
1.31147541000	-3.43628752200	1.22376331800	1.31147541000	11.10953624000	10.34198202000
1.37108792800	-3.36385573400	1.21543840100	1.37108792800	11.10946220000	10.34201896000
1.43070044700	-3.36036205300	1.21570493500	1.43070044700	11.11039257000	10.34207345000
1.49031296600	-3.38607038800	1.22540403500	1.49031296600	11.11016235000	10.34214748000
1.54992548400	-3.34803410400	1.21131775000	1.54992548400	11.10744100000	10.34227865000
1.60953800300	-3.37614386400	1.23150515700	1.60953800300	11.10448997000	10.34247523000
1.66915052200	-3.31289850600	1.21570279400	1.66915052200	11.10477599000	10.34246467000
1.72876304000	-3.23922248400	1.20740223700	1.72876304000	11.10418347000	10.34259029000
1.78837555900	-3.24348860400	1.21186066800	1.78837555900	11.10767932000	10.34232147000
1.84798807700	-3.20231485000	1.19808270100	1.84798807700	11.11059269000	10.34220415000
1.90760059600	-3.26136139900	1.20958644100	1.90760059600	11.11727015000	10.33942757000
1.96721311500	-3.21293522500	1.19997433900	1.96721311500	11.11900460000	10.33943125000
2.02682563300	-3.15665048700	1.19240485600	2.02682563300	11.12213485000	10.33906014000
2.08643815200	-3.08191384500	1.18339767200	2.08643815200	11.12008720000	10.33852011000
2.14605067100	-3.02967350000	1.17910805700	2.14605067100	11.11757484000	10.33904680000
2.20566318900	-2.96015549800	1.16919113900	2.20566318900	11.11616752000	10.33898567000
2.26527570800	-2.85724193500	1.15506066500	2.26527570800	11.11489712000	10.33936496000
2.32488822700	-2.86374375000	1.14429840700	2.32488822700	11.11231645000	10.33954419000
2.38450074500	-2.84041234850	1.14174277700	2.38450074500	11.10928527000	10.34012411000
2.44411326400	-2.81708094700	1.13918714700	2.44411326400	11.10808339000	10.34235872000
2.50372578200	-2.76316492500	1.13412747500	2.50372578200	11.10337012000	10.34066561000
2.56333830100	-2.66265125200	1.12154191000	2.56333830100	11.10759137000	10.34231857000
2.62295082000	-2.62286331800	1.10185517400	2.62295082000	11.10929752000	10.34223260000
2.68256333800	-2.56276439000	1.09053973700	2.68256333800	11.11077928000	10.33992349000
2.74217585700	-2.49817681800	1.08029327500	2.74217585700	11.11451553000	10.33965531000
2.80178837600	-2.49315620900	1.07961244700	2.80178837600	11.11781729000	10.33929679000
2.86140089400	-2.45925917300	1.07595862200	2.86140089400	11.12074115000	10.33934714000
2.92101341300	-2.33591007600	1.06346760400	2.92101341300	11.12489062000	10.33880082000
2.98062593100	-2.22439704200	1.05440716800	2.98062593100	11.12795309000	10.33863674000
3.04023845000	-2.13768500300	1.04623348700	3.04023845000	11.12931547000	10.33856855000
3.09985096900	-2.02327946800	1.03533360500	3.09985096900	11.13171337000	10.33828725000
3.15946348700	-2.04293593300	1.03818505100	3.15946348700	11.12588194000	10.33891392000
3.21907600600	-2.01938988400	1.03612550200	3.21907600600	11.12543914000	10.33915191000
3.27868852500	-2.01523579400	1.03638909500	3.27868852500	11.11990567000	10.33932027000
