CALbumpMM			CALext		
t	x	y	t	x	y
0.000000000000	16.465924680000	7.013958806000	0.000000000000	-1.158135613000	13.750228280000
0.059612518630	16.463550560000	7.012261318000	0.059612518630	-1.162378828000	13.750592630000
0.119225037300	16.352805510000	7.082152874000	0.119225037300	-1.311621754000	13.789712090000
0.178837555900	16.179158650000	7.095030373000	0.178837555900	-1.452460129000	13.821519240000
0.238450074500	15.916794840000	7.136842738000	0.238450074500	-1.635023120000	13.899876580000
0.298062593100	15.792828820000	7.151715620000	0.298062593100	-1.792845295000	13.887211710000
0.357675111800	15.715651180000	7.163767181000	0.357675111800	-1.999061281000	13.898513800000
0.417287630400	15.643061490000	7.179118607000	0.417287630400	-2.147534218000	13.880314710000
0.476900149000	15.511991270000	7.189028450000	0.476900149000	-2.290304679000	13.890732060000
0.536512667700	15.411760330000	7.168643055000	0.536512667700	-2.482307202000	13.905669700000
0.596125186300	15.376950000000	7.172079030000	0.596125186300	-2.623636886000	13.890900770000
0.655737704900	15.289437680000	7.156178102000	0.655737704900	-2.713634649000	13.876740530000
0.715350223500	15.276318510000	7.149483143000	0.715350223500	-2.757121828000	13.879830280000
0.774962742200	15.265979090000	7.156975597000	0.774962742200	-2.801957536000	13.889943960000
0.834575260800	15.259242700000	7.166654190000	0.834575260800	-2.817156211000	13.894239280000
0.894187779400	15.262734490000	7.155102510000	0.894187779400	-2.827185517000	13.880764750000
0.953800298100	15.272405420000	7.146960363000	0.953800298100	-2.831529170000	13.865274790000
1.013412817000	15.301478630000	7.155288760000	1.013412817000	-2.822731757000	13.872187700000
1.073025335000	15.277017330000	7.157476411000	1.073025335000	-2.815817371000	13.887324750000
1.132637854000	15.255339100000	7.148643419000	1.132637854000	-2.807826542000	13.883614980000
1.192250373000	15.241416270000	7.132110820000	1.192250373000	-2.791250887000	13.882875560000
1.251862891000	15.243554030000	7.134025517000	1.251862891000	-2.778795811000	13.882118180000
1.311475410000	15.295585270000	7.097712637000	1.311475410000	-2.741967331000	13.875012120000
1.371087928000	15.287703610000	7.088867887000	1.371087928000	-2.723963577000	13.873598540000
1.430700447000	15.288284580000	7.088178576000	1.430700447000	-2.695911385000	13.870525890000
1.490312966000	15.305752600000	7.056884500000	1.490312966000	-2.655573537000	13.868666760000
1.549925484000	15.416679200000	7.008553220000	1.549925484000	-2.580183627000	13.853433770000
1.609538003000	15.426102440000	7.008032991000	1.609538003000	-2.601743550000	13.884794150000
1.669150522000	15.408765340000	6.986976816000	1.669150522000	-2.518235443000	13.891937930000
1.728763040000	15.484099260000	6.950848465000	1.728763040000	-2.482162178000	13.896495530000
1.788375559000	15.518068110000	6.931861274000	1.788375559000	-2.452204703000	13.896135690000
1.847988077000	15.590841720000	6.892404867000	1.847988077000	-2.417362824000	13.881151940000
1.907600596000	15.599278710000	6.874725683000	1.907600596000	-2.389401878000	13.862048630000
1.967213115000	15.617313250000	6.853172795000	1.967213115000	-2.334793467000	13.838167490000
2.026825633000	15.636305090000	6.858200698000	2.026825633000	-2.299193995000	13.860078390000
2.086438152000	15.646488850000	6.863421885000	2.086438152000	-2.283806178000	13.855253130000
2.146050671000	15.651441690000	6.854077810000	2.146050671000	-2.272590195000	13.850191780000
2.205663189000	15.689227500000	6.849973898000	2.205663189000	-2.191731718000	13.858087360000
