SOLfasBEST			SOLextSKINUSE		
t	x	y	t	x	y
0.000000000000	4.244031738000	9.694960002000	0.000000000000	22.625994200000	14.734747690000
0.023749020350	4.243837171000	9.694588297000	0.023749020350	22.624841220000	14.734436320000
0.047498040710	4.243091379000	9.694904873000	0.047498040710	22.625289810000	14.734804560000
0.071247061060	4.241762197000	9.694970579000	0.071247061060	22.625472180000	14.734496690000
0.094996081410	4.238193304000	9.695228310000	0.094996081410	22.624406940000	14.734603010000
0.118745101800	4.239321339000	9.695218057000	0.118745101800	22.625265550000	14.734585890000
0.142494122100	4.239721970000	9.695093099000	0.142494122100	22.625100910000	14.734645090000
0.166243142500	4.238744819000	9.695525531000	0.166243142500	22.625699970000	14.734558330000
0.189992162800	4.236301131000	9.695814028000	0.189992162800	22.625209580000	14.734477800000
0.213741183200	4.237832437000	9.695634152000	0.213741183200	22.625016720000	14.734322890000
0.237490203500	4.236220046000	9.696017065000	0.237490203500	22.624375500000	14.734471380000
0.261239223900	4.228410383000	9.696312027000	0.261239223900	22.624523780000	14.734416560000
0.284988244200	4.227549917000	9.696223393000	0.284988244200	22.625135410000	14.734397370000
0.308737264600	4.221648031000	9.696361734000	0.308737264600	22.624497740000	14.734660540000
0.332486284900	4.217476793000	9.695501988000	0.332486284900	22.625505360000	14.734238530000
0.356235305300	4.217709526000	9.695699303000	0.356235305300	22.625342120000	14.734545230000
0.379984325600	4.220300090000	9.696671048000	0.379984325600	22.624106830000	14.734364030000
0.403733346000	4.223724860000	9.696169988000	0.403733346000	22.625238020000	14.734435110000
0.427482366400	4.221847383000	9.695906739000	0.427482366400	22.625130930000	14.734235510000
0.451231386700	4.224998293000	9.695831303000	0.451231386700	22.624560710000	14.734466070000
0.474980407100	4.228818668000	9.696313335000	0.474980407100	22.624656210000	14.734286930000
0.498729427400	4.230226127000	9.696238443000	0.498729427400	22.625543350000	14.734244700000
0.522478447800	4.226152490000	9.695501869000	0.522478447800	22.624352950000	14.734196790000
0.546227468100	4.225538040000	9.696564043000	0.546227468100	22.625275920000	14.734340340000
0.569976488500	4.222716721000	9.697008351000	0.569976488500	22.624063870000	14.734439810000
