CALbump2			CALext		
t	x	y	t	x	y
3.039665139	13.62538567	8.984569929	3.039665139	-7.964490622	14.0504742
3.064580427	13.55715092	8.978889961	3.064580427	-7.966931171	14.04433778
3.089495715	13.49256642	8.969784025	3.089495715	-7.956933851	14.04899279
3.114411003	13.45651672	8.962543387	3.114411003	-7.955721818	14.05087335
3.139326291	13.40106182	8.953306639	3.139326291	-7.954388308	14.05477917
3.164241579	13.33461293	8.948405739	3.164241579	-7.944845013	14.04863418
3.189156867	13.34407976	8.952774264	3.189156867	-7.948593509	14.04991137
3.214072155	13.35793295	8.954653489	3.214072155	-7.948761516	14.04929719
3.238987443	13.35087646	8.954520025	3.238987443	-7.948947734	14.04990886
3.263902731	13.33290529	8.953384951	3.263902731	-7.949316439	14.05078401
3.288818019	13.27987625	8.946760688	3.288818019	-7.947184071	14.05218863
3.313733307	13.26335971	8.94966079	3.313733307	-7.942623385	14.05147117
3.338648595	13.23597783	8.950191543	3.338648595	-7.93906192	14.05187511
3.363563883	13.17723499	8.936280992	3.363563883	-7.935401711	14.05474926
3.388479171	13.11570602	8.931111665	3.388479171	-7.92774282	14.05660599
3.413394459	13.05941653	8.934734048	3.413394459	-7.945474373	14.05668732
3.438309747	13.01863799	8.933193066	3.438309747	-7.957070931	14.0546911
3.463225035	12.99428503	8.929351181	3.463225035	-7.978510582	14.05270897
3.488140323	12.97357541	8.929343418	3.488140323	-8.005644974	14.05123404
3.513055611	12.92113307	8.923623404	3.513055611	-8.015761806	14.04924862
3.537970899	12.83163005	8.904291968	3.537970899	-8.019149605	14.04725731
3.562886187	12.82250857	8.897341328	3.562886187	-8.015819608	14.04682039
3.587801475	12.73607439	8.877722155	3.587801475	-8.035634642	14.04615628
3.612716763	12.63101125	8.862574114	3.612716763	-8.033326368	14.04250965
3.637632051	12.56265313	8.86072527	3.637632051	-8.021881496	14.04147096
3.662547339	12.49182247	8.852238048	3.662547339	-8.026824401	14.04282785
3.687462627	12.43274082	8.836538358	3.687462627	-8.020226743	14.04385497
3.712377915	12.35974657	8.817487116	3.712377915	-8.039729485	14.02248754
3.737293203	12.30842341	8.81466436	3.737293203	-8.061259697	13.99498127
3.762208491	12.22992244	8.810505887	3.762208491	-8.077453981	13.98860546
3.787123779	12.18687807	8.804565216	3.787123779	-8.073745694	13.99018633
3.812039067	12.18942726	8.803451086	3.812039067	-8.082423482	13.98673346
3.836954355	12.19654125	8.803964237	3.836954355	-8.096405452	13.97569131
3.861869643	12.14672358	8.802839977	3.861869643	-8.103146465	13.97080444
3.886784931	12.08743042	8.798317534	3.886784931	-8.102174715	13.96819417
3.911700219	12.07134006	8.79408186	3.911700219	-8.105062244	13.9704326
3.936615507	12.0518419	8.785498557	3.936615507	-8.108076979	13.97568193
3.961530795	11.99941571	8.783109647	3.961530795	-8.106815216	13.97496774
3.986446083	11.83592737	8.754449688	3.986446083	-8.138549642	13.96739994
4.011361371	11.7881067	8.743683571	4.011361371	-8.157137435	13.9763813
4.036276659	11.66661707	8.714923316	4.036276659	-8.200678882	13.97064372
4.061191947	11.55568578	8.683177277	4.061191947	-8.219283913	13.96483725
4.086107235	11.47070645	8.660786333	4.086107235	-8.25973784	13.95919042
4.111022523	11.3916372	8.652455702	4.111022523	-8.267990784	13.95406071
4.135937811	11.31908624	8.646402502	4.135937811	-8.291330125	13.94423171
4.160853099	11.27537964	8.645147959	4.160853099	-8.304435653	13.94260244
4.185768387	11.16180875	8.600665124	4.185768387	-8.320384656	13.93847667
4.210683676	11.11378989	8.587938344	4.210683676	-8.329384359	13.93981368
4.235598964	10.97800161	8.562261923	4.235598964	-8.335767082	13.94299111
4.260514252	10.91343606	8.54034613	4.260514252	-8.333529165	13.93665131
4.28542954	10.71547756	8.502942561	4.28542954	-8.388541523	13.93655955
4.310344828	10.68851234	8.501223594	4.310344828	-8.415400879	13.93540296
4.335260116	10.6091998	8.489951192	4.335260116	-8.451300313	13.92817526
4.360175404	10.53680816	8.462800774	4.360175404	-8.485632993	13.92701255
4.385090692	10.38241348	8.425543046	4.385090692	-8.526974759	13.91923091
4.41000598	10.17973927	8.415832072	4.41000598	-8.644155583	13.90834786
4.434921268	10.04459258	8.390320557	4.434921268	-8.646654538	13.90868398
4.459836556	9.850571263	8.345726906	4.459836556	-8.674424984	13.91787802
4.484751844	9.733446445	8.310405647	4.484751844	-8.706676	13.92291168
4.509667132	9.570090326	8.293353173	4.509667132	-8.844951151	13.92782314
4.53458242	9.337265101	8.266657834	4.53458242	-8.946519802	13.92692468
4.559497708	9.211054752	8.246744336	4.559497708	-9.064144077	13.93552582
4.584412996	9.015211267	8.207885568	4.584412996	-9.140064899	13.94528371
4.609328284	8.758519653	8.165691534	4.609328284	-9.133826766	13.98467087
4.634243572	8.463720841	8.128448425	4.634243572	-9.303045418	13.97167033
4.65915886	8.296232279	8.10312783	4.65915886	-9.500280536	13.94465257
4.684074148	8.044423084	8.062132668	4.684074148	-9.645402788	13.92839408
4.708989436	7.618509038	7.988285877	4.708989436	-9.936463413	13.91901107
4.733904724	7.506602884	7.96328913	4.733904724	-9.96789636	13.9301136
4.758820012	7.446909694	7.959750698	4.758820012	-10.04987908	13.94572344
4.7837353	7.246225157	7.927758511	4.7837353	-10.19574032	13.93656174
4.808650588	7.076533987	7.904241717	4.808650588	-10.25435491	13.95431982
4.833565876	6.844490742	7.865984952	4.833565876	-10.27248668	13.98380517
4.858481164	6.569839138	7.827014515	4.858481164	-10.31903086	13.97122988
4.883396452	6.456404224	7.810375983	4.883396452	-10.44878628	13.98043092
4.90831174	6.222563974	7.781304095	4.90831174	-10.62148539	14.01978787
4.933227028	6.181516722	7.774341102	4.933227028	-10.64845793	14.03091656
4.958142316	6.03314648	7.753066799	4.958142316	-10.65257232	14.01211313
4.983057604	5.976032288	7.743534957	4.983057604	-10.75584591	13.9988567
5.007972892	5.96391338	7.745147102	5.007972892	-10.79444152	14.00081206
5.03288818	5.90998338	7.730955079	5.03288818	-10.78725676	13.99264301
5.057803468	5.779861722	7.693668337	5.057803468	-10.79450364	13.98407789
5.082718756	5.733969903	7.688881966	5.082718756	-10.79922313	13.98527052
5.107634044	5.632074223	7.663161951	5.107634044	-10.85262191	14.00697464
5.132549332	5.417302854	7.614024636	5.132549332	-10.93174889	13.9975154
5.15746462	5.335638416	7.606316633	5.15746462	-10.94377504	14.00568373
5.182379908	5.092030876	7.556522641	5.182379908	-11.06233981	14.00235797
5.207295196	5.029744724	7.536680284	5.207295196	-11.06927644	14.00602812
5.232210484	4.984664282	7.515327266	5.232210484	-11.09351675	14.01368575
5.257125772	4.837989065	7.48735804	5.257125772	-11.10881354	14.00602671
5.28204106	4.716261418	7.454578504	5.28204106	-11.13792929	14.00386929
5.306956348	4.69970202	7.449691137	5.306956348	-11.12554413	14.00380065
5.331871636	4.684502853	7.43953266	5.331871636	-11.11369563	14.00069401
5.356786924	4.696232326	7.44217903	5.356786924	-11.14719221	14.00046006
5.381702212	4.688636042	7.442098243	5.381702212	-11.16044056	14.00159723
5.4066175	4.560128891	7.404326441	5.4066175	-11.19217887	14.00299081
5.431532789	4.473815701	7.381134162	5.431532789	-11.18780043	14.00518793
5.456448077	4.460765617	7.377920395	5.456448077	-11.18036589	14.00999401
5.481363365	4.413705	7.365251721	5.481363365	-11.19110774	14.00929101
5.506278653	4.345983833	7.357835736	5.506278653	-11.22681037	13.99139395
5.531193941	4.27279678	7.359459616	5.531193941	-11.24465937	13.98840532
5.556109229	4.131942276	7.335060875	5.556109229	-11.26428001	13.9915026
5.581024517	4.05950466	7.319088319	5.581024517	-11.28827191	13.99644295
5.605939805	4.000028241	7.315843198	5.605939805	-11.34699845	13.99465264
5.630855093	4.014545582	7.306982336	5.630855093	-11.33178281	13.99063899
5.655770381	3.930669925	7.289992723	5.655770381	-11.35003482	13.99995153
5.680685669	3.908197701	7.299566569	5.680685669	-11.36097132	13.99094001
5.705600957	3.953866433	7.297239897	5.705600957	-11.35746524	13.98609125
5.730516245	3.927677964	7.294697373	5.730516245	-11.37045259	13.99017144
5.755431533	3.917349956	7.296261526	5.755431533	-11.37613436	13.99155071
5.780346821	3.875261448	7.302834634	5.780346821	-11.39406997	13.99225289
5.805262109	3.900555858	7.283864272	5.805262109	-11.39125418	13.98568477
5.830177397	3.86687332	7.288685017	5.830177397	-11.4058844	13.98968146
5.855092685	3.832189949	7.285875486	5.855092685	-11.4073035	13.99193746
5.880007973	3.840778006	7.28503181	5.880007973	-11.40122627	13.99040555
5.904923261	3.786006888	7.283928858	5.904923261	-11.41242472	13.99053362
5.929838549	3.644421496	7.264422099	5.929838549	-11.40748345	13.99740514
5.954753837	3.590702018	7.240857133	5.954753837	-11.42132768	13.99848833
5.979669125	3.610629542	7.236260456	5.979669125	-11.41380952	13.9967832
6.004584413	3.53690975	7.231361095	6.004584413	-11.41403796	14.00383347
6.029499701	3.529704831	7.235802291	6.029499701	-11.42549016	14.0045233
6.054414989	3.627132979	7.238264096	6.054414989	-11.42291838	14.00114688
6.079330277	3.502169058	7.229906976	6.079330277	-11.4300069	14.00432567
6.104245565	3.513960056	7.229849919	6.104245565	-11.43011629	14.00474257
6.129160853	3.521207114	7.230923884	6.129160853	-11.43884366	14.00387477
6.154076141	3.451841753	7.227268514	6.154076141	-11.45487248	14.0042283
6.178991429	3.437365411	7.234114915	6.178991429	-11.46572451	14.00415676
6.203906717	3.431671367	7.236731104	6.203906717	-11.46544044	14.0073366
6.228822005	3.454024428	7.243480548	6.228822005	-11.46130329	14.00471769
6.253737293	3.581585006	7.293566245	6.253737293	-11.47617998	14.00883941
6.278652581	3.826548515	7.353386617	6.278652581	-11.4799729	14.00463854
6.303567869	4.03148536	7.407228187	6.303567869	-11.43215373	14.01388755
6.328483157	5.095916632	7.775665954	6.328483157	-11.25386031	14.04698752
6.353398445	5.256268247	7.844862722	6.353398445	-11.20679647	14.05007331
