cm_A			CALext		
t	x	y	t	x	y
0.0000000000	13.3987405100	9.1926633910	0.0000000000	-2.2114426080	14.8730355800
0.0187553922	13.3973038400	9.1928831450	0.0187553922	-2.2117346350	14.8730698300
0.0375107844	13.3971406300	9.1931597330	0.0375107844	-2.2117400580	14.8729993200
0.0562661765	13.3959104300	9.1937666840	0.0562661765	-2.2112335890	14.8729347800
0.0750215687	13.3949100100	9.1943494410	0.0750215687	-2.2120263450	14.8729434300
0.0937769609	13.3936897600	9.1947696060	0.0937769609	-2.2124534210	14.8729642200
0.1125323531	13.3889523400	9.1967865120	0.1125323531	-2.2142022530	14.8730961500
0.1312877452	13.3841846900	9.1987281000	0.1312877452	-2.2145478440	14.8731917500
0.1500431374	13.3831240200	9.1987501630	0.1500431374	-2.2168111570	14.8732407500
0.1687985296	13.3887802900	9.1967502740	0.1687985296	-2.2171453720	14.8732385700
0.1875539218	13.3906320100	9.1961671830	0.1875539218	-2.2172486560	14.8732837600
0.2063093139	13.3910760100	9.1958199470	0.2063093139	-2.2157857880	14.8732543900
0.2250647061	13.3919810800	9.1951950980	0.2250647061	-2.2179309130	14.8734127100
0.2438200983	13.3934391000	9.1949105740	0.2438200983	-2.2168324980	14.8733700900
0.2625754905	13.3956453600	9.1939710470	0.2625754905	-2.2174679780	14.8732016100
0.2813308826	13.3977244500	9.1925026980	0.2813308826	-2.2167874570	14.8731987200
0.3000862748	13.3992494800	9.1921225260	0.3000862748	-2.2148669210	14.8731537100
0.3188416670	13.3971468200	9.1930580060	0.3188416670	-2.2164613940	14.8732307200
0.3375970592	13.3965210200	9.1932306210	0.3375970592	-2.2147636340	14.8733165700
0.3563524513	13.3955432400	9.1935875370	0.3563524513	-2.2138482750	14.8733478600
0.3751078435	13.3938981200	9.1938837970	0.3751078435	-2.2155825570	14.8732761900
0.3938632357	13.3925499500	9.1944953000	0.3938632357	-2.2167461750	14.8734682200
0.4126186279	13.3930339500	9.1944010540	0.4126186279	-2.2156501750	14.8733500400
0.4313740200	13.3934262200	9.1943794250	0.4313740200	-2.2161722890	14.8732736900
0.4501294122	13.3915766700	9.1949458770	0.4501294122	-2.2177783340	14.8733572300
0.4688848044	13.3918726000	9.1949332330	0.4688848044	-2.2148091530	14.8733464500
0.4876401966	13.3948005600	9.1941657440	0.4876401966	-2.2141808560	14.8732790500
0.5063955887	13.3959357300	9.1936905340	0.5063955887	-2.2151413120	14.8733047400
0.5251509809	13.3948740300	9.1943691930	0.5251509809	-2.2146269250	14.8732774600
0.5439063731	13.3949689300	9.1942875500	0.5439063731	-2.2149651000	14.8733135800
0.5626617653	13.3967324200	9.1935286240	0.5626617653	-2.2159142550	14.8732007300
0.5814171574	13.3976593800	9.1929982530	0.5814171574	-2.2172369590	14.8733369600
0.6001725496	13.3968151000	9.1932306830	0.6001725496	-2.2150484200	14.8733946400
0.6189279418	13.3965106500	9.1935322270	0.6189279418	-2.2173475260	14.8732761000
0.6376833340	13.3991840300	9.1931450410	0.6376833340	-2.2163056130	14.8733446700
0.6564387261	13.4021356400	9.1931751400	0.6564387261	-2.2180221200	14.8733659800
0.6751941183	13.4022673000	9.1931356680	0.6751941183	-2.2178555540	14.8733888700
0.6939495105	13.4020772800	9.1934900050	0.6939495105	-2.2159328410	14.8733719500
0.7127049027	13.3995317100	9.1943485680	0.7127049027	-2.2168476930	14.8734751200
0.7314602948	13.3968514100	9.1953090730	0.7314602948	-2.2178496530	14.8735572500
0.7502156870	13.3949779600	9.1960697300	0.7502156870	-2.2190228880	14.8734797100
0.7689710792	13.3904664500	9.1983096710	0.7689710792	-2.2186169990	14.8735477900
0.7877264714	13.3840272400	9.1999613310	0.7877264714	-2.2196778780	14.8735244100
0.8064818635	13.3758650100	9.2030456820	0.8064818635	-2.2225246100	14.8736404700
0.8252372557	13.3565007200	9.2019083970	0.8252372557	-2.2257609230	14.8736602800
0.8439926479	13.3480935100	9.2018008410	0.8439926479	-2.2255982220	14.8736939800
0.8627480401	13.3405473100	9.2005250710	0.8627480401	-2.2343624630	14.8740612000
0.8815034322	13.3211655500	9.1999797330	0.8815034322	-2.2399288880	14.8740891200
0.9002588244	13.2827238300	9.1971550770	0.9002588244	-2.2616688650	14.8736772600
0.9190142166	13.2581803900	9.1988674920	0.9190142166	-2.2988685870	14.8733044000
0.9377696088	13.2511556600	9.1990466280	0.9377696088	-2.3054334650	14.8732055500
0.9565250009	13.2356291700	9.2009745180	0.9565250009	-2.3333178920	14.8723404700
0.9752803931	13.2183764200	9.1967746340	0.9752803931	-2.3451466160	14.8723411700
0.9940357853	13.1954546500	9.1967217780	0.9940357853	-2.3466154610	14.8720939600
1.0127911770	13.1211865500	9.1936059110	1.0127911770	-2.3564281590	14.8715656000
1.0315465700	13.0898310900	9.1955154890	1.0315465700	-2.3653557800	14.8714637900
1.0503019620	12.9294692200	9.1946409910	1.0503019620	-2.3952883120	14.8699387600
1.0690573540	12.6309939300	9.1710714750	1.0690573540	-2.4547160480	14.8718346100
1.0878127460	12.3655119700	9.1487091250	1.0878127460	-2.5619161920	14.8713876900
1.1065681380	12.2471088200	9.1430372680	1.1065681380	-2.6096573210	14.8727196300
1.1253235310	12.0273405000	9.1183539750	1.1253235310	-2.7457361420	14.8752722200
1.1440789230	11.9776970400	9.0839672250	1.1440789230	-2.7309430880	14.8744147500
1.1628343150	12.1929186500	9.0181243770	1.1628343150	-2.6697975430	14.8730367800
1.1815897070	12.1780581600	9.0139854210	1.1815897070	-2.6736509060	14.8734413000
1.2003450990	12.0780951200	8.9951397290	1.2003450990	-2.6750775330	14.8743352300
1.2191004910	12.0270864900	9.0001980690	1.2191004910	-2.6636025860	14.8741918900
1.2378558840	11.9482245900	8.9686047130	1.2378558840	-2.6704185420	14.8740170300
1.2566112760	11.9300001800	8.9608287630	1.2566112760	-2.6816736420	14.8741007000
1.2753666680	11.9032747600	8.9470991700	1.2753666680	-2.6946612720	14.8752617900
1.2941220600	11.8081337100	8.9323232920	1.2941220600	-2.7095808550	14.8756124700
1.3128774520	11.7488203300	8.9252744250	1.3128774520	-2.7175347690	14.8758079000
1.3316328440	11.6631717600	8.8927470530	1.3316328440	-2.7280408540	14.8755574600
1.3503882370	11.6642195100	8.8894412440	1.3503882370	-2.7279789020	14.8755037600
1.3691436290	11.6618742300	8.8861631990	1.3691436290	-2.7330625940	14.8751097000
1.3878990210	11.6705959900	8.8794642590	1.3878990210	-2.7383004730	14.8750674400
1.4066544130	11.6422890200	8.8615358410	1.4066544130	-2.7338818410	14.8748081800
1.4254098050	11.6264429500	8.8606229330	1.4254098050	-2.7377937620	14.8749630900
1.4441651970	11.5750117200	8.8552585650	1.4441651970	-2.7462703150	14.8746434800
1.4629205900	11.5580781700	8.8476957710	1.4629205900	-2.7414222720	14.8742634200
1.4816759820	11.5656777000	8.8325328430	1.4816759820	-2.7270255330	14.8740462000
1.5004313740	11.5382433800	8.8260097780	1.5004313740	-2.7324044970	14.8740152000
1.5191867660	11.3841897100	8.7902631200	1.5191867660	-2.7270032520	14.8736417000
1.5379421580	11.3557657500	8.7822190910	1.5379421580	-2.7262709300	14.8735232700
1.5566975510	11.3704209700	8.7627090120	1.5566975510	-2.7095555630	14.8721098700
1.5754529430	11.3355019300	8.7439112650	1.5754529430	-2.7022761010	14.8712815500
1.5942083350	11.3149221000	8.7350715690	1.5942083350	-2.7090220630	14.8711901600
1.6129637270	11.3119653400	8.7331024650	1.6129637270	-2.7086002000	14.8712609600
1.6317191190	11.1579194300	8.6832089930	1.6317191190	-2.7088215400	14.8703876800
1.6504745110	11.1237020900	8.6623661880	1.6504745110	-2.7016997020	14.8699316000
1.6692299040	11.0105615000	8.6572165270	1.6692299040	-2.7071076660	14.8693874200
1.6879852960	10.9719758300	8.6594952630	1.6879852960	-2.7056386480	14.8698378000
1.7067406880	10.9521570900	8.6591737870	1.7067406880	-2.7073967240	14.8695166500
1.7254960800	10.9617351300	8.6463056600	1.7254960800	-2.7100357070	14.8691649400
1.7442514720	10.9469179200	8.6304671610	1.7442514720	-2.7104003880	14.8691910800
1.7630068640	10.9391899700	8.6207341610	1.7630068640	-2.7133761770	14.8693139700
1.7817622570	10.9382441800	8.6213337150	1.7817622570	-2.7123605820	14.8694690700
1.8005176490	10.9712763300	8.6252379830	1.8005176490	-2.7155847950	14.8699538700
1.8192730410	11.0345175600	8.6345706600	1.8192730410	-2.7216746620	14.8708853600
1.8380284330	11.0224466000	8.6339686690	1.8380284330	-2.7222916590	14.8708702500
1.8567838250	10.9951924100	8.6349818780	1.8567838250	-2.7246886930	14.8714557900
1.8755392180	11.0008879700	8.6367937860	1.8755392180	-2.7265073190	14.8721354500
1.8942946100	11.0781398500	8.6555576020	1.8942946100	-2.7327636180	14.8747994000
1.9130500020	11.1434919100	8.6666544720	1.9130500020	-2.7455015100	14.8766050200
1.9318053940	11.1739977700	8.6675039880	1.9318053940	-2.7492440270	14.8775472900
1.9505607860	11.1611765900	8.6674362730	1.9505607860	-2.7545379900	14.8772469700
1.9693161780	11.1690510300	8.6612557470	1.9693161780	-2.7572063120	14.8771747400
1.9880715710	11.2018630000	8.6669749880	1.9880715710	-2.7835322240	14.8775580900
2.0068269630	11.1978157700	8.6638225390	2.0068269630	-2.7893694620	14.8773620000
2.0255823550	11.1911529200	8.6601408970	2.0255823550	-2.7894444760	14.8768783100
2.0443377470	11.1719358000	8.6582647460	2.0443377470	-2.7910766340	14.8765393700
2.0630931390	11.2030146300	8.6585415950	2.0630931390	-2.7890785390	14.8761363400
2.0818485310	11.2539246700	8.6526175640	2.0818485310	-2.7893794990	14.8757809500
2.1006039240	11.2543305700	8.6514991990	2.1006039240	-2.7915023050	14.8754190400
2.1193593160	11.2052784900	8.6371609340	2.1193593160	-2.7877592590	14.8750144900
2.1381147080	11.1676362000	8.6307756760	2.1381147080	-2.7898529260	14.8749892700
2.1568701000	11.1932062300	8.6261408240	2.1568701000	-2.7936728870	14.8746434200
2.1756254920	11.2240893300	8.6205942790	2.1756254920	-2.7924828320	14.8744625700
2.1943808850	11.1077127900	8.5757945290	2.1943808850	-2.7903980130	14.8739079800
2.2131362770	11.1087691700	8.5561046820	2.2131362770	-2.7922107280	14.8730079800
2.2318916690	11.1083284300	8.5515836080	2.2318916690	-2.7890007480	14.8727209100
2.2506470610	11.1125642200	8.5505270660	2.2506470610	-2.7901901840	14.8726682000
2.2694024530	11.1248817700	8.5484502760	2.2694024530	-2.7882690420	14.8724096900
2.2881578450	11.1918341900	8.5445801610	2.2881578450	-2.7785700050	14.8720116500
2.3069132380	11.2415915700	8.5437212710	2.3069132380	-2.7746980000	14.8712012400
2.3256686300	11.2602049700	8.5354986880	2.3256686300	-2.7716516150	14.8708240900
2.3444240220	11.2644599700	8.5357087430	2.3444240220	-2.7548513460	14.8705107800
2.3631794140	11.2710815600	8.5270505970	2.3631794140	-2.7295159290	14.8701015100
2.3819348060	11.2943227600	8.5205316560	2.3819348060	-2.7113910800	14.8704301600
2.4006901980	11.2912143000	8.5182541670	2.4006901980	-2.7067584860	14.8706154100
2.4194455910	11.2680882300	8.5146324780	2.4194455910	-2.7123715880	14.8702450800
2.4382009830	11.2537614000	8.5146397260	2.4382009830	-2.7125932280	14.8702540500
2.4569563750	11.2377964900	8.5088571650	2.4569563750	-2.7151857570	14.8707307500
2.4757117670	11.2276247500	8.5090417360	2.4757117670	-2.7112530440	14.8708158300
2.4944671590	11.2396127900	8.5071801680	2.4944671590	-2.7042146930	14.8711672200
2.5132225510	11.2457602500	8.5086542310	2.5132225510	-2.7098939940	14.8713172800
2.5319779440	11.2553368400	8.5003777090	2.5319779440	-2.7114864270	14.8715290000
2.5507333360	11.2327349400	8.4860258660	2.5507333360	-2.7041931420	14.8714801600
2.5694887280	11.2450737400	8.4773921410	2.5694887280	-2.7025077170	14.8715087000
2.5882441200	11.2713703200	8.4761549750	2.5882441200	-2.6943828110	14.8716457100
2.6069995120	11.2993011200	8.4730502540	2.6069995120	-2.6668002080	14.8714916800
2.6257549050	11.3345244500	8.4693909890	2.6257549050	-2.6431402350	14.8713369300
2.6445102970	11.3524935600	8.4695375340	2.6445102970	-2.6351001280	14.8713993500
2.6632656890	11.3632532800	8.4754436680	2.6632656890	-2.6363312000	14.8718490400
2.6820210810	11.3793680700	8.4755179840	2.6820210810	-2.6360169680	14.8719217500
2.7007764730	11.3927669300	8.4716435950	2.7007764730	-2.6115198110	14.8711322600
2.7195318650	11.3765592700	8.4727957100	2.7195318650	-2.6057534660	14.8709788300
2.7382872580	11.3737171000	8.4783394990	2.7382872580	-2.6000505280	14.8712040200
2.7570426500	11.3764720800	8.4824632490	2.7570426500	-2.6018295690	14.8716180100
2.7757980420	11.3849216100	8.4866309120	2.7757980420	-2.5946532910	14.8724465000
2.7945534340	11.3739791900	8.4841090060	2.7945534340	-2.5853765810	14.8721851800
2.8133088260	11.3558358400	8.4832562240	2.8133088260	-2.5879498100	14.8718626100
2.8320642180	11.3360992600	8.4816468410	2.8320642180	-2.5840400120	14.8719881400
2.8508196110	11.3284533200	8.4812954140	2.8508196110	-2.5878659230	14.8721862700
2.8695750030	11.3478122700	8.4752584610	2.8695750030	-2.5787734390	14.8715388600
2.8883303950	11.3520423700	8.4649188080	2.8883303950	-2.5749696520	14.8707504100
2.9070857870	11.3454463600	8.4597373390	2.9070857870	-2.5673813820	14.8705341100
2.9258411790	11.3459247400	8.4592262090	2.9258411790	-2.5608906380	14.8706008100
2.9445965720	11.3333823000	8.4450524040	2.9445965720	-2.5513557310	14.8700111200
2.9633519640	11.3202665000	8.4304611800	2.9633519640	-2.5432633690	14.8690326800
2.9821073560	11.1718237100	8.3832207340	2.9821073560	-2.5296245010	14.8676308300
3.0008627480	11.1786381400	8.3736394620	3.0008627480	-2.5459012060	14.8689835500
3.0196181400	11.1883559700	8.3675696950	3.0196181400	-2.5321462540	14.8692952800
3.0383735320	11.1798957800	8.3548246740	3.0383735320	-2.5094331660	14.8690468400
3.0571289250	11.1465353300	8.3370955730	3.0571289250	-2.4967786180	14.8695583600
3.0758843170	11.1613088700	8.3251614120	3.0758843170	-2.4861161400	14.8696518900
3.0946397090	11.1637678000	8.3209740380	3.0946397090	-2.4625960630	14.8695001800
3.1133951010	11.0760716400	8.2856962840	3.1133951010	-2.3977329210	14.8679354500
3.1321504930	11.0432362500	8.2617554000	3.1321504930	-2.4059962780	14.8630312500
3.1509058850	11.0332454400	8.2528599700	3.1509058850	-2.3906631820	14.8624049400
3.1696612780	11.0125865700	8.2500305660	3.1696612780	-2.3538018680	14.8621132700
3.1884166700	11.0151043600	8.2487922130	3.1884166700	-2.3490729680	14.8628575000
3.2071720620	11.0173497500	8.2412394330	3.2071720620	-2.2971865480	14.8645764800
3.2259274540	11.0269395200	8.2387605040	3.2259274540	-2.2120860720	14.8675000200
3.2446828460	11.0405700600	8.2434863180	3.2446828460	-2.1888825950	14.8673027100
3.2634382380	11.0717379100	8.2431229780	3.2634382380	-2.1193846940	14.8678025000
3.2821936310	11.0398022200	8.2246348330	3.2821936310	-2.0803554950	14.8688443200
3.3009490230	11.0457163700	8.2147404180	3.3009490230	-2.0548337320	14.8681897100
3.3197044150	11.0538105200	8.2113973000	3.3197044150	-2.0263270840	14.8678778000
3.3384598070	11.0568461000	8.2098125760	3.3384598070	-2.0270902050	14.8670085500
3.3572151990	11.0636130500	8.2047759520	3.3572151990	-2.0113648380	14.8677144700
3.3759705920	11.0571415200	8.2032128920	3.3759705920	-2.0284329580	14.8670860900
3.3947259840	11.0409127500	8.2082883360	3.3947259840	-2.0307431880	14.8661723000
3.4134813760	11.0411855800	8.2112273870	3.4134813760	-2.0457675750	14.8659103800
3.4322367680	11.0540981200	8.2125055320	3.4322367680	-2.0561027180	14.8645407800
3.4509921600	11.0417444900	8.2150986860	3.4509921600	-2.0565229090	14.8648970000
3.4697475520	11.0302447000	8.2172610870	3.4697475520	-2.0501561550	14.8647606600
3.4885029450	11.0361300500	8.2183414190	3.4885029450	-2.0516304450	14.8655357500
3.5072583370	11.0998780400	8.2235479070	3.5072583370	-2.0534126710	14.8667661500
