 GFsup 			GFext		
 t 	 x 	 y 	t	x	y
0	 0.452167165 	 19.313997480 	0	19.70156933	23.18971603
 0.055260831 	 0.468908914 	 19.313858570 	0.055260831	19.70272498	23.18990803
 0.110521662 	 0.463971678 	 19.313872110 	0.110521662	19.70309004	23.189853
 0.165782493 	 0.467934591 	 19.313437900 	0.165782493	19.70317859	23.19005261
 0.221043325 	 0.477109338 	 19.313593920 	0.221043325	19.70256083	23.18995094
 0.276304156 	 0.483869434 	 19.314188890 	0.276304156	19.70438534	23.18980983
 0.331564987 	 0.495811572 	 19.314447470 	0.331564987	19.70410182	23.19005462
 0.386825818 	 0.475646116 	 19.313696350 	0.386825818	19.70470514	23.19005837
 0.442086649 	 0.482578690 	 19.313506160 	0.442086649	19.70404964	23.19004188
 0.497347480 	 0.483795672 	 19.313479980 	0.49734748	19.70511767	23.19023473
 0.552608311 	 0.482217971 	 19.313945740 	0.552608311	19.7053145	23.19007676
 0.607869142 	 0.472555168 	 19.313639880 	0.607869142	19.70482209	23.18966369
 0.663129974 	 0.483409556 	 19.313043020 	0.663129974	19.70625156	23.19011622
 0.718390805 	 0.482466898 	 19.312462120 	0.718390805	19.70703139	23.19011395
 0.773651636 	 0.469226227 	 19.313130750 	0.773651636	19.70595557	23.18995325
 0.828912467 	 0.461539080 	 19.313256490 	0.828912467	19.70575879	23.18999033
 0.884173298 	 0.468065271 	 19.312605290 	0.884173298	19.70474892	23.18997854
 0.939434129 	 0.463943211 	 19.312812340 	0.939434129	19.70374203	23.18992889
 0.994694960 	 0.469944959 	 19.313162170 	0.99469496	19.70368355	23.18992101
 1.049955791 	 0.468945950 	 19.313104650 	1.049955791	19.70523272	23.18989897
 1.105216622 	 0.468649535 	 19.312767570 	1.105216622	19.7048727	23.19009392
 1.160477454 	 0.459208803 	 19.312774460 	1.160477454	19.70410204	23.19011508
 1.215738285 	 0.458149974 	 19.312708070 	1.215738285	19.70362076	23.19002045
 1.270999116 	 0.454826971 	 19.312625000 	1.270999116	19.7025247	23.19012629
 1.326259947 	 0.459659915 	 19.312855250 	1.326259947	19.70362214	23.1900626
 1.381520778 	 0.457960036 	 19.313017960 	1.381520778	19.70392702	23.19010458
